basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	footprintWKT	institutionCode	locality	modified	occurrenceID	scientificName	scientificNameAuthorship	id	dataset_id	node_id	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	associatedReferences	day	dynamicProperties	eventDate	identifiedBy	individualCount	maximumDepthInMeters	minimumDepthInMeters	month	preparations	scientificNameID	sex	waterBody	year	depth	date_start	date_mid	date_end	date_year	sst	sss
Occurrence	Scarabino, F., 2006. Faunistica y taxonomia de invertebrados bentonicos marinos y estuarinos de la costa uruguaya. In Bases para la conservacion y el manejo de la costa uruguaya, (eds. R. Menafra, L. Rodriguez-Gallego, F. Scarabino and D. Conde), pp. 143-156. Montevideo: Vida Silvestre Uruguay.	CNP-MARINEINVER-824	CNP-MARINEINVER	235454	Uruguay	-34.349998	-55.939999	POLYGON ((-58.400002 -33.75, -53.48 -33.75, -53.48 -34.950001, -58.400002 -34.950001, -58.400002 -33.75))	CENPAT-CONICET	Costa uruguaya	2015-09-01T09:17:00	urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-824	Pallenopsis tumidula	Loman, 1923	116bf316-90c2-4c72-ad59-fe0923a06d9e	b1f8bc4c-5427-40c8-8728-aad4d463b944	['464a96d8-c17e-4bbb-b6b8-778e1fb687c4']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis tumidula	2	1065	1274	1302	1358	379601	379609	236317	134593	240298	240298	Pallenopsis tumidula	['NO_DEPTH', 'ON_LAND']	-41	-111366																					
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	80821.273557	Invertebrate Zoology: Crustacea		Argentina	-45.3670005798	-64.3330001831		USNM	Off Golfo San Matias			Pallenopsis tumidula	Loman	b69bc2f3-7f9b-4d46-a82b-7dafe9fb593c	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Pallenopsidae	Pallenopsis	Pallenopsis tumidula	2	1065	1274	1302	1358	379601	379609	236317	134593	240298	240298	Pallenopsis tumidula	[]	92	85482	National Museum of Natural History, Smithsonian Institution	15	observedindividualcount=1;	1888-01-15T12:00:00Z	Hedgpeth, J. W.	1.0	94.2	94.2	1	Alcohol (Ethanol)	urn:lsid:marinespecies.org:taxname:240298	male	South Atlantic Ocean	1888	94.2	-2586470400000.0	-2586470400000.0	-2586470400000.0	1888.0	11.48	34.55
