basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	datasetName	day	eventDate	footprintWKT	geodeticDatum	language	locationID	modified	month	occurrenceID	occurrenceStatus	preparations	recordedBy	samplingProtocol	scientificNameAuthorship	sex	specificEpithet	year	dateIdentified	georeferenceSources	identifiedBy	bibliographicCitation	fieldNumber	individualCount	locality	occurrenceRemarks	startDayOfYear	taxonRemarks	waterBody	date_start	date_mid	date_end	date_year
HumanObservation	34179	SOMBASE Pycnogonids	-45.7666015625	174.408294678	BAS	1640	1640	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	092a9af8-a690-428e-a839-40b9e223e04f	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1640.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	1623	236430	10.52	34.3																																				
HumanObservation	39576	SOMBASE Pycnogonids	-71.1578979492	-110.083503723	BAS	1473	1460	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	277581be-6060-4018-a0e3-a6f7048698bc	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1466.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	1475	263052	-1.69	33.44																																				
HumanObservation	22609	SOMBASE Pycnogonids	-49.3499984741	-172.266601562	BAS	5340	5340	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	3d58b48c-a1c5-4ec6-87c5-680058dd74d2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	5340.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	5438	620407	10.74	34.52																																				
HumanObservation	33985	SOMBASE Pycnogonids	-46.7165985107	37.9500007629	BAS	775	0	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	440ac11d-5944-4253-9ed8-52dc3d522282	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82																																				
HumanObservation	34180	SOMBASE Pycnogonids	-45.7633018494	174.508300781	BAS	1586	1586	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	66b6267c-7d85-4d4e-8ee2-05a26dfe2034	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1586.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	1572	239908	10.54	34.3																																				
PreservedSpecimen	8081	NIWA	-45.7633	174.5083	NIWA Invertebrate Collection	1586	1586	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	770abc7c-ec52-4581-ba5f-368acd8087ab	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	1572	239908	10.54	34.3	Oceania	500	New Zealand	NIWA Invertebrate Collection	26	26/10/1979	POINT (174.5083 -45.7633)	WGS84	en	S151	8/04/2022	10	5cdc5ff2-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), None = 2	NZOI	Sled, epibenthic	(Hodgson, 1914)	mixed	australis	1979															
HumanObservation	39577	SOMBASE Pycnogonids	-71.1751022339	-109.856399536	BAS	1046	1040	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	8df08d54-ef59-45ce-8cb3-d2e8f5679c5c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1043.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	953	256466	-1.69	33.45																																				
HumanObservation	39108	SOMBASE Pycnogonids	-74.3908004761	-104.767196655	BAS	505	502	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	a7fb17d4-8163-460a-b049-1bf783ebccde	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	503.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	591	34721	-1.54	33.23																																				
PreservedSpecimen	70215	NIWA	-71.154333	171.1865	NIWA Invertebrate Collection	1138	1138	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	a8ee2743-bb46-4f27-b3bb-d1a2de0eca42	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1138.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	1249	35945	-1.64	34.13	Antarctica	100	Ross Dependency	NIWA Invertebrate Collection	29	29/02/2004	LINESTRING (171.1865 -71.154333, 171.1865 -71.154333)	WGS84	en	TAN0402/204	8/04/2022	2	6057c892-fa36-11e2-96b3-aa6f927c92a3	present	Specimen(s), Ethanol - orig formalin = 1	NIWA; MFish	Grab,  van Veen	(Hodgson, 1914)		australis	2004	2006	GPS	Nielsen, Johanna												
HumanObservation	TAN0402/7 Pantopipetta australis	MBIS BioRoss	-71.716333	171.827833	NIWA	536	536	Pantopipetta australis	urn:lsid:marinespecies.org:taxname:173029	adea84ad-a399-4c07-bb96-7a67fda4df7c	e13f0a51-f810-45d6-9503-64ecd7bedd70	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	536.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Stiripasterida	Austrodecidae	Pantopipetta	Pantopipetta australis	2	1065	1274	1302	1358	379600	22616	134580	173029	173029	Pantopipetta australis	[]	532	28016	-1.63	34.09		30			4	2004-02-04T21:45+12	POINT (171.827833 -71.716333)	WGS84	en		2013-11-03	2	1831	present			Van Veen grab	(Hodgson, 1914)		australis	2004	2005-06-20		Johanna Nielsen	Pantopipetta australis (MBIS BioRoss 1831)	TAN0402/7	2	Ross 3	GearType= Van Veen Grab	35	Pantopipetta australis	Southern Ocean	1075852800000.0	1075852800000.0	1075852800000.0	2004.0
