basisOfRecord	bibliographicCitation	catalogNumber	class	collectionCode	datasetID	decimalLatitude	decimalLongitude	family	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	order	phylum	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	footprintWKT	sex	taxonRank
PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus minusculus</i> Clark, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239830	sm_id_743	Pycnogonida	WoRMS type localities	https://marineinfo.org/id/dataset/5184	-27.4	153.15	Phoxichilidiidae	Anoplodactylus	WoRMS Editorial Board	Animalia	Pacific Ocean	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_743	present	Pantopoda	Arthropoda	http://www.marinespecies.org/aphia.php?p=specdetails&id=743	Anoplodactylus minusculus	Clark, 1970	urn:lsid:marinespecies.org:taxname:239830	minusculus	holotype	b6617a4d-7adc-4b6f-8336-6cc7bfb6202b	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus minusculus	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	239830	239830	Anoplodactylus minusculus	['NO_DEPTH', 'ON_LAND']	3.34	-296	22.66	35.43					
PreservedSpecimen		P.27576	Pycnogonida	co113		-27.45	153.166	Phoxichilidiidae	Anoplodactylus	AM	Animalia	tidal reaches of the Brisbane River	2017-03-02T11:26:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27576	present	Pantopoda	Arthropoda		Anoplodactylus minusculus		urn:lsid:marinespecies.org:taxname:239830	minusculus		c19a92f8-71b8-4399-82c3-061f9444e725	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus minusculus		2	1065	1274	1302	1358	379601	379610	14469	134592	239830	239830	Anoplodactylus minusculus	['NO_DEPTH', 'ON_LAND']	-13.0	-1410			10000	Australia	POINT (153.16600 -27.45000)	Male	species
PreservedSpecimen		P.27575	Pycnogonida	co113		-27.45	153.166	Phoxichilidiidae	Anoplodactylus	AM	Animalia	tidal reaches of the Brisbane River	2017-03-02T11:26:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.27575	present	Pantopoda	Arthropoda		Anoplodactylus minusculus		urn:lsid:marinespecies.org:taxname:239830	minusculus		f21e19d8-3861-491c-8911-47cbe1af14a5	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus minusculus		2	1065	1274	1302	1358	379601	379610	14469	134592	239830	239830	Anoplodactylus minusculus	['NO_DEPTH', 'ON_LAND']	-13.0	-1410			10000	Australia	POINT (153.16600 -27.45000)	Male	species
