associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	typeStatus	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetID	modified	occurrenceID	occurrenceStatus	references	specificEpithet	superdomain	superdomainid
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233803.185711	Invertebrate Zoology: Crustacea	Belize	2	16.8033294678	-88.0749969482	observedindividualcount=1;	1983-04-02T12:00:00Z	Child, C. Allan	1.0	USNM	Carrie Bow Cay, Fore Reef Slope	24.4	24.4	4	Alcohol (Ethanol)	G. Hendler	Nymphon setipedes	Child	urn:lsid:marinespecies.org:taxname:239718	male	Holotype	North Atlantic Ocean	1983	3325cf9a-02e1-4941-852f-50677928dac3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	24.4	418089600000	418089600000	418089600000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon setipedes	2	1065	1274	1302	1358	379601	379609	1566	134591	239718	239718	Nymphon setipedes	[]	19	660	28.13	35.55								
	PreservedSpecimen	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon setipedes</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239718	sm_id_2067	WoRMS type localities		2	16.8	-88.08		1983-04-02			WoRMS Editorial Board	Caribbean Sea		24.3999996185303	4			Nymphon setipedes	Child, 1988	urn:lsid:marinespecies.org:taxname:239718		holotype		1983	61a68b9f-effd-415b-b774-838b9735dd1c	b74b429a-4052-4f5b-bff3-fe0b5a2e8669	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	24.3999996185303	418089600000	418089600000	418089600000	1983	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon setipedes	2	1065	1274	1302	1358	379601	379609	1566	134591	239718	239718	Nymphon setipedes	[]	20	263	28.13	35.55	https://marineinfo.org/id/dataset/5184	2007-06-20 15:52:33	WoRMS Editorial Board:WoRMS type localities:sm_id_2067	present	http://www.marinespecies.org/aphia.php?p=specdetails&id=2067	setipedes	Biota	1.0
