AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified,parent
1710754,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1710754,Cambropycnogon,"Waloszek & Dunlop, 2002",accepted,,180,Genus,1710754.0,Cambropycnogon,"Waloszek & Dunlop, 2002",1302,Animalia,Arthropoda,Pycnogonida,,,Cambropycnogon,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Cambropycnogon Waloszek & Dunlop, 2002&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1710754 on 2024-07-24",urn:lsid:marinespecies.org:taxname:1710754,1,,0.0,0.0,1.0,exact,2023-10-12T07:06:58.290Z,
1710755,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1710755,Cambropycnogon klausmuelleri,"Waloszek & Dunlop, 2002",accepted,,220,Species,1710755.0,Cambropycnogon klausmuelleri,"Waloszek & Dunlop, 2002",1710754,Animalia,Arthropoda,Pycnogonida,,,Cambropycnogon,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Cambropycnogon klausmuelleri Waloszek & Dunlop, 2002&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1710755 on 2024-07-24",urn:lsid:marinespecies.org:taxname:1710755,1,,0.0,0.0,1.0,exact,2023-10-12T07:06:58.290Z,1710754.0
379596,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379596,Nectopantopoda,"Bamber, 2007",accepted,,100,Order,379596.0,Nectopantopoda,"Bamber, 2007",1302,Animalia,Arthropoda,Pycnogonida,Nectopantopoda,,,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Nectopantopoda&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379596 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379596,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,
379597,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379597,Haliestidae,"Bamber, 2007",accepted,,140,Family,379597.0,Haliestidae,"Bamber, 2007",379596,Animalia,Arthropoda,Pycnogonida,Nectopantopoda,Haliestidae,,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Haliestidae Bamber, 2007&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379597 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379597,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,379596.0
379598,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379598,Haliestes,"Siveter, Suton, Briggs & Siveter, 2004",accepted,,180,Genus,379598.0,Haliestes,"Siveter, Suton, Briggs & Siveter, 2004",379597,Animalia,Arthropoda,Pycnogonida,Nectopantopoda,Haliestidae,Haliestes,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Haliestes Siveter, Suton, Briggs & Siveter, 2004&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379598 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379598,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,379597.0
379599,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379599,Haliestes dasos,"Siveter, Sutton, Briggs & Siveter, 2004",accepted,,220,Species,379599.0,Haliestes dasos,"Siveter, Sutton, Briggs & Siveter, 2004",379598,Animalia,Arthropoda,Pycnogonida,Nectopantopoda,Haliestidae,Haliestes,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Haliestes dasos Siveter, Sutton, Briggs & Siveter, 2004&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379599 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379599,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,379598.0
379588,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379588,Palaeoisopoda,"Hedgpeth, 1978",accepted,,100,Order,379588.0,Palaeoisopoda,"Hedgpeth, 1978",1302,Animalia,Arthropoda,Pycnogonida,Palaeoisopoda,,,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Palaeoisopoda&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379588 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379588,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,
379589,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379589,Palaeoisopodidae,"Dubinin, 1957",accepted,,140,Family,379589.0,Palaeoisopodidae,"Dubinin, 1957",379588,Animalia,Arthropoda,Pycnogonida,Palaeoisopoda,Palaeoisopodidae,,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Palaeoisopodidae Dubinin, 1957&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379589 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379589,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,379588.0
379590,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379590,Palaeoisopus,"Broili, 1928",accepted,,180,Genus,379590.0,Palaeoisopus,"Broili, 1928",379589,Animalia,Arthropoda,Pycnogonida,Palaeoisopoda,Palaeoisopodidae,Palaeoisopus,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Palaeoisopus Broili, 1928&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379590 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379590,1,0.0,0.0,0.0,1.0,exact,2023-02-26T19:56:37.217Z,379589.0
379591,https://www.marinespecies.org/aphia.php?p=taxdetails&id=379591,Palaeoisopus problematicus,"Boili, 1928",accepted,,220,Species,379591.0,Palaeoisopus problematicus,"Boili, 1928",379590,Animalia,Arthropoda,Pycnogonida,Palaeoisopoda,Palaeoisopodidae,Palaeoisopus,"Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. Palaeoisopus problematicus Boili, 1928&nbsp;&#8224;. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=379591 on 2024-07-24",urn:lsid:marinespecies.org:taxname:379591,1,0.0,0.0,0.0,1.0,exact,2009-01-04T09:46:42.403Z,379590.0
