key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	typeStatus	recordedBy	fieldNumber	references	datasetID	scientificNameID	bibliographicCitation	rightsHolder	nomenclaturalCode	stateProvince	coordinatePrecision	georeferencedBy	otherCatalogNumbers	samplingProtocol	dynamicProperties	georeferenceVerificationStatus	verbatimLocality	disposition	ownerInstitutionCode	identificationRemarks	occurrenceRemarks	georeferenceSources	coordinateUncertaintyInMeters	continent	locationRemarks
1318878966	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:23.323+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	26.12	-78.5683	591.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, Bahamas	1973.0	9.0	27.0	1973-09-27	270.0	270.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T14:30:00.000+00:00	2024-07-02T12:37:23.323+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/34a23abb1-803f-453b-ad56-8d1f9dd3d24e'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Stock, Jan H., Zoological Museum Amsterdam	Alcohol (Ethanol)	WGS84	Pycnogonida	BS	[]	[]	LATIN_AMERICA	Bahamas	NORTH_AMERICA	http://n2t.net/ark:/65665/34a23abb1-803f-453b-ad56-8d1f9dd3d24e	urn:lsid:biocol.org:col:34871	27 SEP 1973	unknown, from legacy	Northwest Providence Channel	Degrees Minutes Seconds	IZ	1318878966	http://n2t.net/ark:/65665/34a23abb1-803f-453b-ad56-8d1f9dd3d24e	USNM 172295	USNM	137	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																										
1320843318	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:55.248+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	27.4917	-78.625	490.5	5.5	{}	North Atlantic Ocean	North Atlantic Ocean, Bahamas	1964.0	2.0	5.0	1964-02-05	36.0	36.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-03-27T15:27:00.000+00:00	2024-07-02T12:37:55.248+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a10c3c5f-9332-4b86-b394-9d423c82adc5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	Stock, Jan H., Zoological Museum Amsterdam	Alcohol (Ethanol)	WGS84	Pycnogonida	BS	[]	[]	LATIN_AMERICA	Bahamas	NORTH_AMERICA	http://n2t.net/ark:/65665/3a10c3c5f-9332-4b86-b394-9d423c82adc5	urn:lsid:biocol.org:col:34871		unknown, from legacy	Little Bahama Bank, Matanilla Reef, North of	Degrees Minutes Seconds	IZ	1320843318	http://n2t.net/ark:/65665/3a10c3c5f-9332-4b86-b394-9d423c82adc5	USNM 149232	USNM	252	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	HOLOTYPE	University of Miami	G252																						
4055770226	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:19.490+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	27.49	-78.63	490.5	5.5	{}			1964.0	2.0	5.0	1964-02-05	36.0	36.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:12:19.490+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_816'}]	[]	[]	[]			True				WGS84	Pycnogonida	BS	[]	[]	LATIN_AMERICA	Bahamas	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_816				Atlantic Ocean		WoRMS type localities	4055770226	WoRMS Editorial Board:WoRMS type localities:sm_id_816	sm_id_816	WoRMS Editorial Board					HOLOTYPE			http://www.marinespecies.org/aphia.php?p=specdetails&id=816	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:239514	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ascorhynchus pararmatus</i> Stock, 1975. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239514																		
2434402781	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.390+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1151/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1151_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1151/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE					{}			1964.0	2.0	5.0	1964-02-05	36.0	36.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:21.390+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1151@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1151_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1151/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		True			WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1151@CRS	Naturalis Biodiversity Center	5.II.1964				Chelicerata and Myriapoda	2434402781	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1151	ZMA.PYC.P.1151			Animalia		MALE	HOLOTYPE							Naturalis Biodiversity Center	ICZN																
2434401234	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.146+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1159/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1159_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1159/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE					{}			1964.0	9.0	21.0	1964-09-21	265.0	265.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:25.146+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1159@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1159_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1159/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1159@CRS	Naturalis Biodiversity Center	21.IX.1964				Chelicerata and Myriapoda	2434401234	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1159	ZMA.PYC.P.1159			Animalia										Naturalis Biodiversity Center	ICZN																
1317881184	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:03.390+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	24.13	-80.15	347.5	18.5	{}	North Atlantic Ocean	North Atlantic Ocean, United States, Florida	1960.0	11.0	2.0	1960-11-02	307.0	307.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:51:00.000+00:00	2024-07-02T12:37:03.390+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31e04da0d-f7b5-4168-98ca-19fc3e9cfac3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/31e04da0d-f7b5-4168-98ca-19fc3e9cfac3	urn:lsid:biocol.org:col:34871	02 NOV 1960	unknown, from legacy	75 Miles SE Of Key Largo	Degrees Minutes Seconds	IZ	1317881184	http://n2t.net/ark:/65665/31e04da0d-f7b5-4168-98ca-19fc3e9cfac3	USNM 154663	USNM	2443	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE										Florida															
1318219864	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:07.854+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	26.65	-79.5	732.0	0.0	{}	North Atlantic Ocean	North Atlantic Ocean, United States	1960.0	11.0	10.0	1960-11-10	315.0	315.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:51:00.000+00:00	2024-07-02T12:37:07.854+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32cfe5731-4544-4378-8932-f05db6753666'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/32cfe5731-4544-4378-8932-f05db6753666	urn:lsid:biocol.org:col:34871	10 NOV 1960	unknown, from legacy	Straits Of Florida, Off Palm Beach	Degrees Minutes Seconds	IZ	1318219864	http://n2t.net/ark:/65665/32cfe5731-4544-4378-8932-f05db6753666	USNM 154664	USNM	2484	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE																									
477929653	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:27:17.000+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'C.A. Child, 1980', 'http://rs.tdwg.org/dwc/terms/identificationID': '1623730', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'C. Allan Child', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus pararmatus'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	22.55	-78.19167	402.34	0.0	{}	Atlantic, Western Central	Atlantic Ocean: Atlantic, Western Central: Cuba	1939.0	4.0	26.0	1939-04-26	116.0	116.0	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_UNCERTAINTY_METERS_INVALID', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2023-02-23T19:26:35.000+00:00	2024-07-24T00:27:17.000+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:83783'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	False		C. Allan Child	whole animal (70% ethanol)	WGS84	Pycnogonida	CU	[]	[]	LATIN_AMERICA	Cuba	NORTH_AMERICA	MCZ:IZ:83783	b4640710-8e03-11d8-b956-b8a03c50a862	April 26, 1939	unknown	Camaguey, Off Cayo Romano	deg. min. sec.	IZ	477929653	MCZ:IZ:83783	83783	MCZ		Animalia Arthropoda Pycnogonida Ammotheidae Ascorhynchus pararmatus				RV Atlantis, Harvard-Havana Expedition		http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:83783				President and Fellows of Harvard College	ICZN		1e-05	[no agent data]	station number=3386	Otter Trawl, 35 ft.	"{""associated grant"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)"", ""part of group"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)""}"	verified by collector	Cuba, Camaguey, Off Cayo Romano	in collection	Museum of Comparative Zoology, Harvard University	"label appears to read "" trawl - otter 317 "" or ""Trawl - otter 31 "" station data reads ""ot. tr., 35 ft. """	associated grant: Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)	The Atlantis Expeditions to the West Indies in 1938 and 1939 compiled by Fenner A. Chace, Jr.			
895363288	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:26:42.330+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.H. Stock, 1973', 'http://rs.tdwg.org/dwc/terms/identificationID': '1623872', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'J.H. Stock, 1973', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus pararmatus'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	22.78333	-78.68333	475.49	0.0	{}	Atlantic, Western Central	Atlantic Ocean: Atlantic, Western Central: Cuba: Camaguey	1939.0	4.0	29.0	1939-04-29	119.0	119.0	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:26:42.330+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12244'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	False		J.H. Stock, 1973	whole animal (70% ethanol)	WGS84	Pycnogonida	CU	[]	[]	LATIN_AMERICA	Cuba	NORTH_AMERICA	MCZ:IZ:CRU-12244	b4640710-8e03-11d8-b956-b8a03c50a862	29/4/1939	unknown	Off Punta Alegre	deg. min. sec.	IZ	895363288	MCZ:IZ:CRU-12244	CRU-12244	MCZ		Animalia Arthropoda Pycnogonida Ammotheidae Ascorhynchus pararmatus		MALE		RV Atlantis, Harvard-Havana Expedition		http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12244				President and Fellows of Harvard College	ICZN	Camaguey	1e-05	[no agent data]	station number=3410		"{""associated grant"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)"", ""part of group"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)"", ""sex"":""male""}"	unknown	Cuba, Off Punta Alegre	in collection	Museum of Comparative Zoology, Harvard University		associated grant: Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn); sex: male	unknown			
895363281	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:26:42.347+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.H. Stock, 1973', 'http://rs.tdwg.org/dwc/terms/identificationID': '1623908', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'J.H. Stock, 1973', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus pararmatus'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2118380	1	54	354	9477065	4338615	2118315	2118380	2118380	Ascorhynchus pararmatus Stock, 1975	Ascorhynchus pararmatus Stock, 1975	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus pararmatus	Ascorhynchus	pararmatus	SPECIES	ACCEPTED	NE	22.56667	-78.23333	402.34	0.0	{}	Atlantic, Western Central	Atlantic Ocean: Atlantic, Western Central: Cuba	1939.0	4.0	27.0	1939-04-27	117.0	117.0	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:26:42.347+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12245'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	False		J.H. Stock, 1973	whole animal (70% ethanol)	WGS84	Pycnogonida	CU	[]	[]	LATIN_AMERICA	Cuba	NORTH_AMERICA	MCZ:IZ:CRU-12245	b4640710-8e03-11d8-b956-b8a03c50a862	27/4/1939	unknown	Off Cayo Coco	deg. min. sec.	IZ	895363281	MCZ:IZ:CRU-12245	CRU-12245	MCZ		Animalia Arthropoda Pycnogonida Ammotheidae Ascorhynchus pararmatus				RV Atlantis, Harvard-Havana Expedition		http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12245				President and Fellows of Harvard College	ICZN		1e-05	[no agent data]	station number=3391	Otter Trawl 35¿	"{""associated grant"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)"", ""part of group"":""Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn)"", ""sex"":""multiple""}"	verified by collector	Cuba, Off Cayo Coco	in collection	Museum of Comparative Zoology, Harvard University		associated grant: Documenting Marine Biodiversity through Digitization of Invertebrate Collections (DigIn); sex: multiple	The Atlantis Expeditions to the West Indies in 1938 and 1939 compiled by Fenner A. Chace, Jr.			
