key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	http://unknown.org/nick	verbatimEventDate	verbatimLocality	collectionCode	gbifID	occurrenceID	taxonID	catalogNumber	institutionCode	eventTime	occurrenceRemarks	http://unknown.org/captive	identificationID	networkKeys	individualCount	higherGeography	institutionKey	preparations	samplingProtocol	institutionID	nomenclaturalCode	http://unknown.org/taxonRankID	locality	language	type	taxonConceptID	ownerInstitutionCode	http://unknown.org/species	higherClassification	coordinatePrecision	otherCatalogNumbers	eventID	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	depth	collectionKey	depthAccuracy	sex	originalNameUsage	identificationRemarks	typeStatus	datasetID	scientificNameID	bibliographicCitation	waterBody	habitat	verbatimDepth	locationID	collectionID
2235466540	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	US	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T06:17:46.327+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Janine Baker', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '21825932', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2015-10-05T12:55:00-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Janine Baker', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/21825932/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/21825932'}, {'http://purl.org/dc/terms/creator': 'Janine Baker', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '21826026', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2015-10-05T13:06:02-07:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Janine Baker', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/21826026/original.jpeg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/21826026'}]}	HUMAN_OBSERVATION	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2018-07-23T07:36:03	-34.42369	137.922662	194.0	OCEANIA	South Australia	{}	2015.0	10.0	5.0	2015-10-05T12:55	278.0	278.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-07T08:49:27.000+00:00	2024-07-24T06:17:46.327+00:00	https://www.inaturalist.org/observations/14635632	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '14635632'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/21825932', 'created': '2015-10-05T19:55:00.000+00:00', 'creator': 'Janine Baker', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Janine Baker', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/21825932/original.jpeg'}, {'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/21826026', 'created': '2015-10-05T20:06:02.000+00:00', 'creator': 'Janine Baker', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Janine Baker', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/21826026/original.jpeg'}]	[]	[]	False	iNaturalist research-grade observations	Janine Baker	Janine Baker	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA	Janine Baker	14635632	marinejanine	2015/10/05 12:55 PM ACDT	Ardrossan SA 5571, Australia	Observations	2235466540	https://www.inaturalist.org/observations/14635632	743390	14635632	iNaturalist	12:55:00+10:30	Body 1mm; legs 2mm. Found at 50cm deep, lowest tide. Recorded during SACReD field work, supported by small community grant 2015-16, from Northern & Yorke NRM. Species identification by D. Staples, Museum Victoria.	wild	31730078																																						
1272760945	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:17.598+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2014-01-01T00:00:00	-38.65	145.58		OCEANIA	Victoria	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.10_1', 'name': 'Victoria'}, 'level2': {'gid': 'AUS.10.5_1', 'name': 'Bass Coast'}}	2014.0	2.0	7.0	2014-02-07	38.0	38.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-04-10T14:19:00.000+00:00	2024-07-02T06:37:17.598+00:00		http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1d3d6f27-4f94-4865-8232-fb4ab21061a8'}]	[]	[]	[]	False		Hales, T.J.	David A. Staples - Museum Victoria	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria	1d3d6f27-4f94-4865-8232-fb4ab21061a8			Harmers haven	Invertebrates	1272760945	1d3d6f27-4f94-4865-8232-fb4ab21061a8		J67653	NMV					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	Australia|Victoria	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	Whole|Wet|ethanol 70%	hand	urn:lsid:biocol.org:col:34978	ICZN	7000	Harmers haven	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe	NMV	Achelia shepherdi	Arthropoda | Cheliceriformes | Pycnogonida | Pantopoda | Ammotheidae																						
1632847193	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:33.386+00:00	382	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE		-37.59244	139.65731			South Australia	{}	2008.0	2.0	7.0	2008-02-07	38.0	38.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2021-11-19T00:00:00.000+00:00	2024-07-02T07:13:33.386+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6aeb299a-2ed8-45c1-9349-4d2e377caddb'}]	[]	[]	[]	False	Bonney & Du Couedic Canyon Survey (Feb 2008)	Currie, David|Sardi, Sardi	Conlan, K - Canadian Museum of Nature	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		6aeb299a-2ed8-45c1-9349-4d2e377caddb			BE_100, Bonney Canyon	Marine Invertebrates	1632847193	6aeb299a-2ed8-45c1-9349-4d2e377caddb		E4722	SAMA	17:20:				['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		5d0174cc-48aa-497e-8751-df708df5ccc5	Wet Specimen	grab			7000			PhysicalObject	https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		1e-05	ecatalogue.irn:619906	urn:emu.sam.sa.gov.au:Event:51955																			
1100790093	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:06.659+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-32.62182	152.31952	100.0	OCEANIA	New South Wales	{}	2006.0	3.0	12.0	2006-03-12	71.0	71.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:20:06.659+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e71110b9-c86a-4f7d-a57f-19a24489ed68'}]	[]	[]	[]	False		Keable, J. Stephen|Australian Museum|Invertebrates, Marine		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		e71110b9-c86a-4f7d-a57f-19a24489ed68			Broughton Island, Esmeralda Cove	Invertebrates - Marine & Other	1100790093	e71110b9-c86a-4f7d-a57f-19a24489ed68		P.80395	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			9cfe8cbf-35ff-4d93-b932-cb05d91b7922		airlift on SCUBA			7000				https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		1e-05	ecatalogue.irn:1288692|urn:catalog:AM:Invertebrates - Marine & Other:P.80395	urn:australianmuseum.net.au:Events:1116616	Achelia shepherdi Stock, 1973	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	ecatalogue.LocCollectionEventLocal: [NSW 2962] Australia, New South Wales, Broughton Island, Esmeralda Cove (32° 37' 19 S, 152° 19' 10 E) 12/03/2006 - 12/03/2006, airlift on SCUBA, Field Collected - Aquatic, Marine Invertebrates Collection Management Port Stephens 2006;	Stock, 1973															
1633601648	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:26.353+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE		-27.4385	153.542	500.0	OCEANIA	Queensland	{}	2005.0	2.0	12.0	2005-02-12	43.0	43.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2022-04-20T00:00:00.000+00:00	2024-07-02T06:30:26.353+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '274ad555-3e7b-4b82-a423-ecbb2f4777c9'}]	[]	[]	[]	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		274ad555-3e7b-4b82-a423-ecbb2f4777c9		12 Feb 2005		Arachnids	1633601648	274ad555-3e7b-4b82-a423-ecbb2f4777c9		S73270	QM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			442fa096-b2bf-4ecc-b513-ae0958eeec25	Spirit				7000	North Stradbroke Island, Point Lookout			https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		0.01667							10.0	d3ab26a1-b655-42b3-ae4c-a04b651f4303													
1633601616	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:38.975+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE		-27.413333	153.525	500.0	OCEANIA	Queensland	{}	2005.0	2.0	18.0	2005-02-18	49.0	49.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2022-04-20T00:00:00.000+00:00	2024-07-02T06:30:38.975+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'bfe15fc4-525b-4ac0-a855-5ce19eb03095'}]	[]	[]	[]	False		Parker, M.		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		bfe15fc4-525b-4ac0-a855-5ce19eb03095		18 Feb 2005		Arachnids	1633601616	bfe15fc4-525b-4ac0-a855-5ce19eb03095		S73272	QM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			442fa096-b2bf-4ecc-b513-ae0958eeec25	Spirit				7000	Shag Rock, N of Point Lookout			https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		0.01667					(off N. Stradbroke Island, Moreton Bay area)		8.0	d3ab26a1-b655-42b3-ae4c-a04b651f4303													
1633601639	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:41.421+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE		-27.439861	153.55	500.0	OCEANIA	Queensland	{}	2005.0	2.0	17.0	2005-02-17	48.0	48.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2022-04-20T00:00:00.000+00:00	2024-07-02T06:30:41.421+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'd8d1517d-71f5-4ee8-b573-1c562884a27e'}]	[]	[]	[]	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		d8d1517d-71f5-4ee8-b573-1c562884a27e		17 Feb 2005		Arachnids	1633601639	d8d1517d-71f5-4ee8-b573-1c562884a27e		S73271	QM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			442fa096-b2bf-4ecc-b513-ae0958eeec25	Spirit				7000	Flat Rock			https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		0.01667					(north of N. Stradbroke Island, east of Kepple Sands on the Qld mainland)		11.5	d3ab26a1-b655-42b3-ae4c-a04b651f4303	3.5												
1100784032	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:00.536+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-30.83803	150.23481	100.0	OCEANIA	New South Wales	{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.5_1', 'name': 'New South Wales'}, 'level2': {'gid': 'AUS.5.59_1', 'name': 'Gunnedah'}}	2004.0	3.0	28.0	2004-03-28	88.0	88.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:00.536+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1ba3f0d7-0452-4141-af07-29d083fbd1a1'}]	[]	[]	[]	False		Australian Museum Party	Arango, Dr Claudia - Queensland Museum	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		1ba3f0d7-0452-4141-af07-29d083fbd1a1			south of Batemans Bay, south side of Burrewarra Point	Invertebrates - Marine & Other	1100784032	1ba3f0d7-0452-4141-af07-29d083fbd1a1		P.73558	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			9cfe8cbf-35ff-4d93-b932-cb05d91b7922		hand collected on SCUBA			7000				https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		1e-05	ecatalogue.irn:1198230|urn:catalog:AM:Invertebrates - Marine & Other:P.73558	urn:australianmuseum.net.au:Events:1090558	Achelia shepherdi Stock, 1973	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	ecatalogue.LocCollectionEventLocal: [NSW 2619] Australia, New South Wales, south of Batemans Bay, south side of Burrewarra Point (30° 50' 17 S, 150° 14' 05 E) 28/03/2004 - 28/03/2004, hand collected on SCUBA, Field Collected - Aquatic, Marine Invertebrates Collection Management annual tri;	Stock, 1973															
1100784156	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:16.366+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-35.8301	150.23355	1000.0	OCEANIA	New South Wales	{}	2004.0	3.0	23.0	2004-03-23	83.0	83.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:16.366+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '483dfa83-b42b-40ce-a29e-2d71ee632889'}]	[]	[]	[]	False		Australian Museum party	Arango, Dr Claudia - Queensland Museum	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		483dfa83-b42b-40ce-a29e-2d71ee632889			north side of Burrewarra Point, south of Batemans Bay	Invertebrates - Marine & Other	1100784156	483dfa83-b42b-40ce-a29e-2d71ee632889		P.73581	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			9cfe8cbf-35ff-4d93-b932-cb05d91b7922		hand collected on SCUBA			7000				https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		1e-05	ecatalogue.irn:1198300|urn:catalog:AM:Invertebrates - Marine & Other:P.73581	urn:australianmuseum.net.au:Events:1090560	Achelia shepherdi Stock, 1973	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:100m-1km}	ecatalogue.LocCollectionEventLocal: [NSW 2511] Australia, New South Wales, north side of Burrewarra Point, south of Batemans Bay (35° 49' 48 S, 150° 14' 01 E) 23/03/2004 - 23/03/2004, hand collected on SCUBA, Field Collected - Aquatic, Marine Invertebrates Collection Management annual tri;	Stock, 1973				FEMALE											
1100784093	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:09.294+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	4338702	1	54	354	9477065	6313	2118396	4338702	4338702	Achelia shepherdi Stock, 1973	Achelia shepherdi Stock, 1973	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia shepherdi	Achelia	shepherdi	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-32.21033	152.56849	100.0	OCEANIA	New South Wales	{}	2003.0	3.0	23.0	2003-03-23	82.0	82.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:09.294+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2b210f49-a5aa-4a92-9666-37a8be09a34c'}]	[]	[]	[]	False		Australian Museum party	Arango, Dr Claudia - Queensland Museum	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		2b210f49-a5aa-4a92-9666-37a8be09a34c			Forster, outer Latitude Rock	Invertebrates - Marine & Other	1100784093	2b210f49-a5aa-4a92-9666-37a8be09a34c		P.73489	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']			9cfe8cbf-35ff-4d93-b932-cb05d91b7922		hand collected on scuba			7000				https://biodiversity.org.au/afd/taxa/44be4ad7-229d-4d9c-b843-8d66104fd5fe		Achelia shepherdi		1e-05	ecatalogue.irn:1198102|urn:catalog:AM:Invertebrates - Marine & Other:P.73489	urn:australianmuseum.net.au:Events:1062289	Achelia shepherdi Stock, 1973	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	ecatalogue.LocCollectionEventLocal: [NSW 2269] Australia, New South Wales, Forster, outer Latitude Rock (32° 12' 37 S, 152° 34' 07 E) 23/03/2003 - 23/03/2003, hand collected on scuba, Marine Invertebrate Collection Management Trip March 2003;	Stock, 1973				MALE											
