key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	gbifID	language	collectionCode	occurrenceID	individualCount	waterBody	higherGeography	modified	institutionKey	collectionKey	identifiedBy	institutionID	verbatimEventDate	locality	higherClassification	collectionID	continent	eventID	dynamicProperties	fieldNumber	occurrenceRemarks	bibliographicCitation	typeStatus	otherCatalogNumbers	datasetID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders
4081172972	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.174+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE	-72.3048	170.2813	500.0	44.0	0.0	{}	1965.0	1.0	19.0	1965-01-19	19.0	19.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.174+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5c7728f8-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False	NIWA Invertebrate Collection	NZOI	Specimen(s), None = 1	Dredge, cone mesh with bag	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	5c7728f8-fa36-11e2-96b3-aa6f927c92a3	9311	urn:lsid:marinespecies.org:taxname:173360	NIWA Invertebrate Collection	E181	POINT (170.2813 -72.3048)	4081172972	en	NIWA	5c7728f8-fa36-11e2-96b3-aa6f927c92a3																													
1320593588	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:50.463+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	FEMALE	2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE	-68.5	-68.5		64.0	0.0	{}	1948.0	2.0	20.0	1948-02-20	51.0	51.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:50.463+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3960284de-8fef-49d6-a671-3328dca7fe02'}]	[]	[]	[]	False	NMNH Extant Biology	D. Nutt	Alcohol (Ethanol)		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	http://n2t.net/ark:/65665/3960284de-8fef-49d6-a671-3328dca7fe02	USNM 87332		USNM	195		1320593588		IZ	http://n2t.net/ark:/65665/3960284de-8fef-49d6-a671-3328dca7fe02	1.0	Antarctic Ocean	Antarctic Ocean, Antarctica	2016-09-30T11:16:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Hedgpeth, J. W.	urn:lsid:biocol.org:col:34871	20 FEB 1948	Antarctic Peninsula, Palmer Land, Marguerite Bay	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																	
2005435532	f2ab6184-eff7-4069-a9bb-e4f366aeefff	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-05-29T01:32:00.598+00:00	2024-01-25T02:24:12.559+00:00	274	{}	HUMAN_OBSERVATION	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE	-71.3083	170.1	500.0	87.0	5.0	{}	1912.0	1.0	3.0	1912-01-03	3.0	3.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-25T02:24:12.559+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:NIWA:TerraNovaExp:461'}]	[]	[]	[]	False	British Antarctic (Terra Nova) Expedition Zoology			GearType=Agassiz trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	urn:NIWA:TerraNovaExp:461	TN Stn. 220 Nymphon adareanum	urn:lsid:marinespecies.org:taxname:173360	TN		POINT (170.1000 -71.3083)	2005435532	en	MBIS Terra Nova Expedition	urn:NIWA:TerraNovaExp:461	12.0	Southern Ocean		2014-08-10T00:00:00.000+00:00						off Cape Adare, mouth of Robertson's Bay			ANTARCTICA	220	SurfaceTemperatureInC=-0.5	Stn. 220	SurfaceTemperatureInC=-0.5. GearType=Agassiz trawl	Nymphon adareanum (MBIS Terra Nova Expedition urn:NIWA:TerraNovaExp:461)											
1055834229	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:12.718+00:00	391	{}	PRESERVED_SPECIMEN	PRESENT	MALE	2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE				31.0		{}	1904.0	2.0	24.0	1904-02-24	55.0	55.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:12.718+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3643422'}]	[]	[]	[]	False						Pycnogonida		[]	[]			EUROPE	3643422	1907.6.24.27		NHMUK			1055834229		ZOO	3548d213-ea10-49c7-9a6e-8a3563714d6b	1.0				1d808a7c-1f9e-4379-9616-edb749ecf10e					Cape Adare.	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae				"{""associatedMediaCount"": null, ""barcode"": ""011096593"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180302263000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon adareanum Hodgson, 1907"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055834229"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR02"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"				HOLOTYPE	NHMUK:ecatalogue:3643422									
1056088917	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.673+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'http://purl.org/dc/terms/created': '1187777819000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]}	PRESERVED_SPECIMEN	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE						{}	1904.0			1904			['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:03.673+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1202787'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 31', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/99572617-d196-4497-8a2f-2f71531eb018'}]	[]	[]	False						Pycnogonida		[]	[]			EUROPE	1202787	1908.2.1.1		NHMUK			1056088917		ZOO	590f9444-de44-4428-bce4-af32269978db					1d808a7c-1f9e-4379-9616-edb749ecf10e					Cape Adare	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae				"{""associatedMediaCount"": 1, ""barcode"": ""011012445"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294367403000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon adareanum Calman, 1923"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056088917"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""slide"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"					NHMUK:ecatalogue:1202787									
1057385329	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:54.996+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 23', 'http://purl.org/dc/terms/created': '1187777784000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/4ed62b3e-ff07-4c84-9791-1c2914a6b5e3'}]}	PRESERVED_SPECIMEN	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE						{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:54.996+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1202207'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 23', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/4ed62b3e-ff07-4c84-9791-1c2914a6b5e3'}]	[]	[]	False						Pycnogonida		[]	[]			EUROPE	1202207	1907.6.24.27		NHMUK			1057385329		ZOO	eb4ae338-0cd1-4c47-83d7-899e44bb22f8					1d808a7c-1f9e-4379-9616-edb749ecf10e						Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae				"{""associatedMediaCount"": 1, ""barcode"": ""010982914"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294363739000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon adareanum Calman, 1923"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057385329"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"				TYPE	NHMUK:ecatalogue:1202207									
1055855278	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:55.346+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 98', 'http://purl.org/dc/terms/created': '1187778117000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/486cd005-166c-43cb-bde4-6262543a5a9b'}]}	PRESERVED_SPECIMEN	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE						{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:17:55.346+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1205735'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 98', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/486cd005-166c-43cb-bde4-6262543a5a9b'}]	[]	[]	False						Pycnogonida		[]	[]			EUROPE	1205735	1915.7.24.72-81		NHMUK			1055855278		ZOO	f12f6b21-6c82-4d67-b0dd-ea3413458618					1d808a7c-1f9e-4379-9616-edb749ecf10e						Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae				"{""associatedMediaCount"": 1, ""barcode"": ""011012444"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294412218000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon adareanum Calman, 1923"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Terra Nova Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055855278"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Terra Nova""}"	220				NHMUK:ecatalogue:1205735									
4547867383	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.652+00:00	57	{}	HUMAN_OBSERVATION	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE	-71.7127	122.67314	774607.0			{'level0': {'gid': 'ATA', 'name': 'Antarctica'}}							['COUNTRY_COORDINATE_MISMATCH', 'COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:27.652+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e38238fd-fab8-489f-9223-88b6147a1635'}]	[]	[]	[]	False					WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	e38238fd-fab8-489f-9223-88b6147a1635						4547867383			e38238fd-fab8-489f-9223-88b6147a1635													ANTARCTICA	e38238fd-fab8-489f-9223-88b6147a1635							EB6380B5-80AF-5935-E053-0514A8C08744	fr | en	Nymphon adareanum Hodgson, 1907	TAAF : Terre-Adélie	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	821684	
3935011215	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.703+00:00	10	{}	HUMAN_OBSERVATION	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE	-71.7127	122.67314	774607.0			{'level0': {'gid': 'ATA', 'name': 'Antarctica'}}							['COUNTRY_COORDINATE_MISMATCH', 'COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.703+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'fd294132-505a-46f4-a087-2ae8337f76fc'}]	[]	[]	[]	False					WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	fd294132-505a-46f4-a087-2ae8337f76fc						3935011215			fd294132-505a-46f4-a087-2ae8337f76fc													ANTARCTICA	fd294132-505a-46f4-a087-2ae8337f76fc							D2B0CE86-7C29-1275-E053-5514A8C0FBF9		Nymphon adareanum Hodgson, 1907	TAAF : Terre-Adélie	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	821684	Pantopoda
1019678324	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:41.195+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1907', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Nymphon;Nymphonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Hodgson, 1907', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|218532', 'http://rs.tdwg.org/dwc/terms/family': 'Nymphonidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Nymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'adareanum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25170', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Nymphon adareanum Hodgson, 1907'}]}	PRESERVED_SPECIMEN	PRESENT		2117840	1	54	354	9477065	2013	2117630	2117840	2117840	Nymphon adareanum Hodgson, 1907	Nymphon adareanum Hodgson, 1907	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon adareanum	Nymphon	adareanum	SPECIES	ACCEPTED	NE						{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:41.195+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4714'}]	[]	[]	[]	False						Pycnogonida		[]	[]			EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4714	2009-4714		MNHN			1019678324		IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-4714	1.0			2016-06-29T17:14:07.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Arnaud F.					10.15468/qgvvhd																	
