key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	verbatimEventDate	institutionCode	locationID	locality	gbifID	collectionCode	occurrenceID	higherClassification	collectionID	sex	typeStatus	habitat	georeferenceProtocol	verbatimCoordinateSystem	rightsHolder	nomenclaturalCode
1321381393	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:12.106+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	Juvenile	4338277	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus rimulus Child, 1988	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	rimulus	SPECIES	SYNONYM	NE	-9.37	46.22	3.75	0.75	AFRICA	{}	Indian Ocean	Indian Ocean, Seychelles	1986	3	22	1986-03-22	81	81	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2019-05-20T14:14:00.000+00:00	2024-07-02T12:38:12.106+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b8d3be03-a050-4a06-84ca-907f169dee68'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	B. Kensley	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol); Slide	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3b8d3be03-a050-4a06-84ca-907f169dee68	USNM 234238	urn:lsid:biocol.org:col:34871	22 MAR 1986	USNM	K-AL-108	Aldabra Atoll, Picard Island, Seaward Of Reef Crest	1321381393	IZ	http://n2t.net/ark:/65665/3b8d3be03-a050-4a06-84ca-907f169dee68	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6							
1317648351	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:02.946+00:00	395	{}	PRESERVED_SPECIMEN	5.0	PRESENT		4338277	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus rimulus Child, 1988	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	rimulus	SPECIES	SYNONYM	NE			3.0	0.0	OCEANIA	{}	South Pacific Ocean	South Pacific Ocean, American Samoa	1985	10	23	1985-10-23	296	296	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:22:00.000+00:00	2024-07-02T12:37:02.946+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/313b7832e-d15b-4605-97f3-2e46c59100e9'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	K. Nakamura	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)		Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	NORTH_AMERICA	http://n2t.net/ark:/65665/313b7832e-d15b-4605-97f3-2e46c59100e9	USNM 234396	urn:lsid:biocol.org:col:34871	23 OCT 1985	USNM		Tutuila Island, Pago Pago Harbor	1317648351	IZ	http://n2t.net/ark:/65665/313b7832e-d15b-4605-97f3-2e46c59100e9	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6							
1318620985	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:59.531+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		4338277	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus rimulus Child, 1988	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	rimulus	SPECIES	SYNONYM	NE			3.0	0.0	OCEANIA	{}	South Pacific Ocean	South Pacific Ocean, American Samoa	1985	10	23	1985-10-23	296	296	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:22:00.000+00:00	2024-07-02T12:38:59.531+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33ebcff0b-2075-488d-9a44-abba70a57926'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	K. Nakamura	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)		Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	NORTH_AMERICA	http://n2t.net/ark:/65665/33ebcff0b-2075-488d-9a44-abba70a57926	USNM 234395	urn:lsid:biocol.org:col:34871	23 OCT 1985	USNM		Tutuila Island, Pago Pago Harbor	1318620985	IZ	http://n2t.net/ark:/65665/33ebcff0b-2075-488d-9a44-abba70a57926	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE						
1318024929	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:10.971+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		4338277	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus rimulus Child, 1988	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	rimulus	SPECIES	SYNONYM	NE	-9.42	46.52	6.0	0.0	AFRICA	{'level0': {'gid': 'SYC', 'name': 'Seychelles'}, 'level1': {'gid': 'SYC.20_1', 'name': 'Outer Islands'}}	Indian Ocean	Indian Ocean, Seychelles	1983	4	3	1983-04-03	93	93	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:20:00.000+00:00	2024-07-02T12:37:10.971+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3245dedbb-510d-4ac2-8523-a43cc7981bb5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	B. Kensley	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3245dedbb-510d-4ac2-8523-a43cc7981bb5	USNM 234237	urn:lsid:biocol.org:col:34871	03 APR 1983	USNM	K-AL-14	Aldabra Atoll, Cinq Cases, Grand Terre	1318024929	IZ	http://n2t.net/ark:/65665/3245dedbb-510d-4ac2-8523-a43cc7981bb5	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	PARATYPE	Dense halimeda on dead coral.	unknown, from legacy	Degrees Minutes Seconds		
1321403619	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:38.891+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT		4338277	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus rimulus Child, 1988	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	rimulus	SPECIES	SYNONYM	NE	-9.42	46.52	6.0	0.0	AFRICA	{'level0': {'gid': 'SYC', 'name': 'Seychelles'}, 'level1': {'gid': 'SYC.20_1', 'name': 'Outer Islands'}}	Indian Ocean	Indian Ocean, Seychelles	1983	4	3	1983-04-03	93	93	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:20:00.000+00:00	2024-07-02T12:39:38.891+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b9ccfdd8-aa1b-4995-b3f6-e0854d9e0635'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	B. Kensley	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	SC	[]	[]	AFRICA	Seychelles	NORTH_AMERICA	http://n2t.net/ark:/65665/3b9ccfdd8-aa1b-4995-b3f6-e0854d9e0635	USNM 234236	urn:lsid:biocol.org:col:34871	03 APR 1983	USNM	K-AL-14	Aldabra Atoll, Cinq Cases, Grand Terre	1321403619	IZ	http://n2t.net/ark:/65665/3b9ccfdd8-aa1b-4995-b3f6-e0854d9e0635	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	HOLOTYPE	Dense halimeda on dead coral.	unknown, from legacy	Degrees Minutes Seconds		
2434362455	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:29.960+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117389	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus squalidus Clark, 1973	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	squalidus	SPECIES	ACCEPTED	NE	-12.083333	131.1			OCEANIA	{}			1979	5	31	1979-05-31	151	151	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:29.960+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200803@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE	ZMA.PYC.200803@CRS	ZMA.PYC.200803	Naturalis Biodiversity Center	31 mei 1979				2434362455	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200803	Animalia|Phoxichilidiidae 							Naturalis Biodiversity Center	ICZN
2434400780	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:18.253+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117389	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus squalidus Clark, 1973	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	squalidus	SPECIES	ACCEPTED	NE	-12.083333	131.1			OCEANIA	{}			1979	5	31	1979-05-31	151	151	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:18.253+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200898@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE	ZMA.PYC.200898@CRS	ZMA.PYC.200898	Naturalis Biodiversity Center	31 mei 1979				2434400780	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200898	Animalia|Phoxichilidiidae 							Naturalis Biodiversity Center	ICZN
2434399253	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:44.578+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117389	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus squalidus Clark, 1973	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	squalidus	SPECIES	ACCEPTED	NE	-9.495833	147.113333			OCEANIA	{}			1979	6	11	1979-06-11	162	162	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:44.578+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200814@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	PG	[]	[]	OCEANIA	Papua New Guinea	EUROPE	ZMA.PYC.200814@CRS	ZMA.PYC.200814	Naturalis Biodiversity Center	11 jun 1979				2434399253	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200814	Animalia|Phoxichilidiidae 							Naturalis Biodiversity Center	ICZN
2434361455	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.429+00:00	393	{}	PRESERVED_SPECIMEN	2.0	PRESENT		2117389	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus squalidus Clark, 1973	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	squalidus	SPECIES	ACCEPTED	NE	3.766667	125.583333			ASIA	{}			1979	7	18	1979-07-18	199	199	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:34.429+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200794@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200794@CRS	ZMA.PYC.200794	Naturalis Biodiversity Center	18 jul 1979				2434361455	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200794	Animalia|Phoxichilidiidae 							Naturalis Biodiversity Center	ICZN
2434399815	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.373+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		2117389	1	54	354	9477065	6316	2117290	2117389	2117389	Anoplodactylus squalidus Clark, 1973	Anoplodactylus squalidus Clark, 1973	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus squalidus	Anoplodactylus	squalidus	SPECIES	ACCEPTED	NE	-2.063333	130.138333			ASIA	{}			1979	7	3	1979-07-03	184	184	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:21.373+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200903@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200903@CRS	ZMA.PYC.200903	Naturalis Biodiversity Center	03 jul 1979				2434399815	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200903	Animalia|Phoxichilidiidae 							Naturalis Biodiversity Center	ICZN
