key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	http://unknown.org/nick	verbatimEventDate	verbatimLocality	collectionCode	gbifID	occurrenceID	taxonID	catalogNumber	institutionCode	eventTime	occurrenceRemarks	http://unknown.org/captive	identificationID	networkKeys	coordinatePrecision	depth	depthAccuracy	organismQuantity	organismQuantityType	scientificNameID	footprintWKT	waterBody	associatedSequences	institutionKey	collectionKey	datasetID	samplingProtocol	recordNumber	eventID	institutionID	island	locality	eventRemarks	parentNameUsageID	organismID	locationID	collectionID	locationRemarks	otherCatalogNumbers	acceptedNameUsage	http://unknown.org/taxonRankID	dynamicProperties	taxonConceptID	http://unknown.org/species	nameAccordingTo	verbatimTaxonRank	originalNameUsage	elevation	elevationAccuracy	preparations	sex	identificationRemarks	individualCount	higherGeography	nomenclaturalCode	language	type	ownerInstitutionCode	higherClassification
4458590309	50c9509d-22c7-4a22-a47d-8c48425ef4a7	28eb1a3f-1c15-4a95-931a-4af90ecb574d	997448a8-f762-11e1-a439-00145eb45e9a	28eb1a3f-1c15-4a95-931a-4af90ecb574d	AU	DWC_ARCHIVE	2024-07-23T16:16:17.354+00:00	2024-07-24T05:49:35.580+00:00	474	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Rebecca Lloyd', 'http://rs.tdwg.org/dwc/terms/catalogNumber': '5951008', 'http://purl.org/dc/terms/publisher': 'iNaturalist', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/created': '2016-12-31T21:56:56-08:00', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'Rebecca Lloyd', 'http://purl.org/dc/terms/identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/5951008/original.jpg', 'http://purl.org/dc/terms/references': 'https://www.inaturalist.org/photos/5951008'}]}	HUMAN_OBSERVATION	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE	2023-11-24T03:22:26	-38.268376	144.728394	7813.0	OCEANIA	Victoria	{}	2016.0	12.0	31.0	2016-12-31T21:56	366.0	366.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2023-12-01T07:50:47.000+00:00	2024-07-24T05:49:35.580+00:00	https://www.inaturalist.org/observations/4893006	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4893006'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'references': 'https://www.inaturalist.org/photos/5951008', 'created': '2017-01-01T05:56:56.000+00:00', 'creator': 'Rebecca Lloyd', 'publisher': 'iNaturalist', 'license': 'http://creativecommons.org/licenses/by-nc/4.0/', 'rightsHolder': 'Rebecca Lloyd', 'identifier': 'https://inaturalist-open-data.s3.amazonaws.com/photos/5951008/original.jpg'}]	[]	[]	False	iNaturalist research-grade observations	Rebecca Lloyd	Matt Tank	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Rebecca Lloyd	4893006	bexlloyd	2016/12/31 9:56 PM AEDT	Popes Eye, off Portsea, Victoria, Australia	Observations	4458590309	https://www.inaturalist.org/observations/4893006	813406	4893006	iNaturalist	21:56:00+11:00	Male with eggs	wild	429358459																																														
1882673027	f2d200d5-914c-408f-821a-9ba0001465af	5fa89f68-9af0-4a0d-8998-ea39695c1db9	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-09T13:49:52.040+00:00	2024-01-25T02:23:40.146+00:00	262	{}	HUMAN_OBSERVATION	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE		-14.69264	145.46831	200.0	OCEANIA		{}	2009.0	2.0	27.0	2009-02-27	58.0	58.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2018-07-13T09:32:37.000+00:00	2024-01-25T02:23:40.146+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'F74F8DBC-36BA-41E9-8F8E-0371A44A50EA'}]	[]	[]	[]	False				WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		F74F8DBC-36BA-41E9-8F8E-0371A44A50EA				CReefs - Lizard Island 2009	1882673027	F74F8DBC-36BA-41E9-8F8E-0371A44A50EA		F74F8DBC-36BA-41E9-8F8E-0371A44A50EA	AIMS					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	0.0018	10.0	0.0	1.0	individuals	urn:lsid:marinespecies.org:taxname:240013	POINT (145.46831 -14.69264)																																						
3344688801	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:13.377+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE					OCEANIA	Queensland	{}	2009.0	2.0	22.0	2009-02-22	53.0	53.0	['TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-24T22:36:13.377+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OGL_MSC_NortheasternUniversity_S12234'}]	[]	[]	[]	False	Ocean Genome Legacy Collection	Claudia Arango	Claudia Arango		Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA		OGL_MSC_NortheasternUniversity_S12234				OGL	3344688801	OGL_MSC_NortheasternUniversity_S12234	T02486	S12234	OGL					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		18.0				urn:lsid:marinespecies.org:taxname:240013		Great Barrier Reef	BOLD ID: Q041	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	OGL_MSC_NortheasternUniversity	ND	Q041; Bird Islet	CE01754	8c116cac-9394-4c4e-be14-06184bdc62bd	Lizard Island	Coconut beach	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO/CREEFS	134591	S12234	CL02561	0f00dede-1a1f-49e5-ae69-2bc40db635c5																						
2382899859	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:14.459+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE		-43.061001	147.947998		OCEANIA	Tasmania	{}	2007.0	1.0	26.0	2007-01-26	26.0	26.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-24T22:36:14.459+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'OGL_MSC_NortheasternUniversity_S12191'}]	[]	[]	[]	False	Ocean Genome Legacy Collection	Claudia Arango	Claudia Arango	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA		OGL_MSC_NortheasternUniversity_S12191				OGL	2382899859	OGL_MSC_NortheasternUniversity_S12191	T02486	S12191	OGL					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		20.0				urn:lsid:marinespecies.org:taxname:240013		Waterfall Bay	BOLD ID: TAS38	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	OGL_MSC_NortheasternUniversity	ND	TAS38	CE01499	8c116cac-9394-4c4e-be14-06184bdc62bd			Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO	134591	S12191	CL01379	0f00dede-1a1f-49e5-ae69-2bc40db635c5	Tasman Peninsula																					
1100790272	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:20:17.930+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE	2019-01-01T00:00:00	-33.48919	151.44616	100.0	OCEANIA	New South Wales	{}	2007.0	5.0	5.0	2007-05-05	125.0	125.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:20:17.930+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'fbebc7e6-5a32-4eef-8f0a-3458fd450c28'}]	[]	[]	[]	False		Springthorpe, T. Roger|Australian Museum|Invertebrates, Marine		WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		fbebc7e6-5a32-4eef-8f0a-3458fd450c28			Cape Three Points, east side of First Point	Invertebrates - Marine & Other	1100790272	fbebc7e6-5a32-4eef-8f0a-3458fd450c28		P.80503	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1e-05									9cfe8cbf-35ff-4d93-b932-cb05d91b7922			hand collected on SCUBA		urn:australianmuseum.net.au:Events:1095866									ecatalogue.LocCollectionEventLocal: [NSW 3140] Australia, New South Wales, Cape Three Points, east side of First Point (33° 29' 21 S, 151° 26' 46 E) 05/05/2007 - 05/05/2007, Springthorpe, Roger T - Australian Museum - Marine Invertebrates(Collector), hand collected on SCUBA, Field Collect;	ecatalogue.irn:1288970|urn:catalog:AM:Invertebrates - Marine & Other:P.80503	Nymphon cf. molleri Clark, 1963	7000	{dcterms:type:PhysicalObject,dcterms:modified:2020/8/12,verbatimUncertainty:10m-100m}	https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri	Clark, 1963	species													
4902184208	4ffe66a0-6c8b-11de-8226-b8a03c50a862	8a226609-56b9-4b87-a0a2-767c38edd572	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:56.955+00:00	2024-07-02T07:38:51.704+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE		-41.1383	146.8603	100.0	OCEANIA	Tasmania	{}	2001.0	4.0	25.0	2001-04-25	115.0	115.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-02T07:38:51.704+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4c648a88-1580-456b-aa21-bddf6be18241'}]	[]	[]	[]	False		Crimp	K. Redburn	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		4c648a88-1580-456b-aa21-bddf6be18241				invertebrates	4902184208	4c648a88-1580-456b-aa21-bddf6be18241		J3173	TMAG					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	0.0001									50af0502-76a6-4b30-b9f6-cf317562945f			Pylon scraping					Port Dalrymple: Bell Bay: Sawyers Point: Berth 5									7000		https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri			Nymphon molleri												
1633598984	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:44.319+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE		-18.816667	146.433333		OCEANIA	Queensland	{}	2000.0	4.0	19.0	2000-04-19	110.0	110.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2021-12-24T00:00:00.000+00:00	2024-07-02T06:30:44.319+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'ecbe07c0-4ff2-4019-95cd-575a021079fc'}]	[]	[]	[]	False			C P Arango	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		ecbe07c0-4ff2-4019-95cd-575a021079fc		19 Apr 2000		Arachnids	1633598984	ecbe07c0-4ff2-4019-95cd-575a021079fc		S105806	QM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']										442fa096-b2bf-4ecc-b513-ae0958eeec25	d3ab26a1-b655-42b3-ae4c-a04b651f4303							GBR, Palm Islands, Pandora Reef						In rubble and algae. Male, female.			7000		https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri				1.5	0.5	Spirit									
1100762936	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:09.911+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-27.40666	153.533	1000.0	OCEANIA	Queensland	{}	1993.0	6.0	4.0	1993-06-04	155.0	155.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:09.911+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2d2d4821-8596-420f-abc3-45e93629a6e6'}]	[]	[]	[]	False		Springthorpe, Roger Tenison|Australian Museum|Invertebrates, Marine	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		2d2d4821-8596-420f-abc3-45e93629a6e6			North Stradbroke Island, Middle Reef	Invertebrates - Marine & Other	1100762936	2d2d4821-8596-420f-abc3-45e93629a6e6		P.42921	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1e-05									9cfe8cbf-35ff-4d93-b932-cb05d91b7922			hand collected on SCUBA		urn:australianmuseum.net.au:Events:1064966									ecatalogue.LocCollectionEventLocal: [QLD 866] Australia, Queensland, North Stradbroke Island, Middle Reef (27° 24' 24 S, 153° 32' E) 04/06/1993 - 04/06/1993, hand collected on SCUBA;	ecatalogue.irn:1062962|urn:catalog:AM:Invertebrates - Marine & Other:P.42921	Nymphon molleri Clark, 1963	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:100m-1km}	https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri	Clark, 1963														
1100763095	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:25.622+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-27.39233	153.54933	5.0	OCEANIA	Queensland	{}	1993.0	6.0	1.0	1993-06-01	152.0	152.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:25.622+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '63f3c835-07d1-4150-bbef-5ddb199c3981'}]	[]	[]	[]	False		Springthorpe, Roger Tenison|Australian Museum|Invertebrates, Marine	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		63f3c835-07d1-4150-bbef-5ddb199c3981			west side of Flat Rock, North Stradbroke Island	Invertebrates - Marine & Other	1100763095	63f3c835-07d1-4150-bbef-5ddb199c3981		P.43127	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1e-05									9cfe8cbf-35ff-4d93-b932-cb05d91b7922					urn:australianmuseum.net.au:Events:1064931									ecatalogue.LocCollectionEventLocal: [QLD 793] Australia, Queensland, west side of Flat Rock, North Stradbroke Island (27° 23' 32 S, 153° 32' 58 E) 01/06/1993 - 01/06/1993;	ecatalogue.irn:1120372|urn:catalog:AM:Invertebrates - Marine & Other:P.43127	Nymphon molleri Clark, 1963	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19}	https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri	Clark, 1963														
1100762864	dce8feb0-6c89-11de-8225-b8a03c50a862	770c30d2-c2a8-4bb2-8056-6167297cddae	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:20:52.620+00:00	2024-07-02T07:19:48.346+00:00	384	{}	PRESERVED_SPECIMEN	PRESENT	2117699	1	54	354	9477065	2013	2117630	2117699	2117699	Nymphon molleri Clark, 1963	Nymphon molleri Clark, 1963	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon molleri	Nymphon	molleri	SPECIES	ACCEPTED	NE	1994-01-01T00:00:00	-28.19416	153.57715	100.0	OCEANIA	New South Wales	{}	1993.0	6.0	9.0	1993-06-09	160.0	160.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:19:48.346+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a446d6b2-015f-4096-900d-ff6afb2f06d1'}]	[]	[]	[]	False		Springthorpe, Roger Tenison|Australian Museum|Invertebrates, Marine	Krapp, F	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA		a446d6b2-015f-4096-900d-ff6afb2f06d1			Cook Island, South Ledge	Invertebrates - Marine & Other	1100762864	a446d6b2-015f-4096-900d-ff6afb2f06d1		P.42907	AM					['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1e-05									9cfe8cbf-35ff-4d93-b932-cb05d91b7922					urn:australianmuseum.net.au:Events:1062839									ecatalogue.LocCollectionEventLocal: [NSW 857] Australia, New South Wales, Cook Island, South Ledge (28° 11' 39 S, 153° 34' 38 E) 09/06/1993 - 09/06/1993;	ecatalogue.irn:1120340|urn:catalog:AM:Invertebrates - Marine & Other:P.42907	Nymphon molleri Clark, 1963	7000	{dcterms:type:PhysicalObject,dcterms:modified:2019/11/19,verbatimUncertainty:10m-100m}	https://biodiversity.org.au/afd/taxa/3265cda7-c086-4522-8b46-8c516a42eea5	Nymphon molleri	Clark, 1963						MALE								
