key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	islandGroup	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	collectionID	sex	depth	depthAccuracy	higherGeography	typeStatus	modified	datasetName	verbatimCoordinateSystem	locationID	higherClassification	references	datasetID	scientificNameID	bibliographicCitation
4399690383	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.724+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	44.5532416	146.8681614	ASIA	{}	Sea of Okhotsk	1987	7	25	1987-07-25	206	206	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.724+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '254f9842-2eb7-41d1-8011-a25ae31464cc'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	Dredge	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.105	254f9842-2eb7-41d1-8011-a25ae31464cc	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kuril Islands	Iturup Is.	105	OBFc	4399690383	254f9842-2eb7-41d1-8011-a25ae31464cc	500.0 m	INV0001278	IORAS	IORAS	fd699988-ab5d-4737-9443-9085cea191d2														
4399690781	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.834+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	48.0248859	153.3284155		{}	Sea of Okhotsk	1987	8	20	1987-08-20	232	232	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.834+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4ebf8187-f4a6-4f18-8101-f45cc7fa8168'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	Dredge	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.310	4ebf8187-f4a6-4f18-8101-f45cc7fa8168	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kuril Islands	Yurlov Cape, Matua Is., Kuriles	310	OBFc	4399690781	4ebf8187-f4a6-4f18-8101-f45cc7fa8168	100.0 m	INV0001279	IORAS	IORAS	fd699988-ab5d-4737-9443-9085cea191d2														
4399691285	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.205+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	50.1449041	155.0935367		{}	Sea of Okhotsk	1987	10	10	1987-10-10	283	283	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.205+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ef5319ac-638e-4031-87e9-07f2a0c9775b'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Tihookeanskii	Turpaeva, Elena	EtOH 75%	Dredge	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Tihookeanskii__st.438	ef5319ac-638e-4031-87e9-07f2a0c9775b	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kuril Islands	Luzhin Strait, Paramushir Is., Kuriles	438	OBFc	4399691285	ef5319ac-638e-4031-87e9-07f2a0c9775b	430.0 m	INV0001280	IORAS	IORAS	fd699988-ab5d-4737-9443-9085cea191d2														
1318831883	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:47.119+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	46.7	151.75		{}	North Pacific Ocean	1906	6	24	1906-06-24	175	175	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:47.119+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/348109cc7-8983-4f51-9e0a-5aec0d6edf09'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	NORTH_AMERICA		http://n2t.net/ark:/65665/348109cc7-8983-4f51-9e0a-5aec0d6edf09	urn:lsid:biocol.org:col:34871		Simushir Island, South of	USFC/A4803	IZ	1318831883	http://n2t.net/ark:/65665/348109cc7-8983-4f51-9e0a-5aec0d6edf09		USNM 80539	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	419.0	0.0	North Pacific Ocean, Russia	PARATYPE	2015-06-24T16:18:00.000+00:00	NMNH Extant Biology	Degrees Minutes Seconds	4803	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae				
1321919553	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:18.273+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	46.7	151.75		{}	North Pacific Ocean	1906	6	24	1906-06-24	175	175	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:18.273+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3d0a8fd49-7f25-46af-8ef7-3fedd77a9fef'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	NORTH_AMERICA		http://n2t.net/ark:/65665/3d0a8fd49-7f25-46af-8ef7-3fedd77a9fef	urn:lsid:biocol.org:col:34871		Simushir Island, South of	USFC/A4803	IZ	1321919553	http://n2t.net/ark:/65665/3d0a8fd49-7f25-46af-8ef7-3fedd77a9fef		USNM 80538	USNM		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	419.0	0.0	North Pacific Ocean, Russia	HOLOTYPE	2015-06-24T16:18:00.000+00:00	NMNH Extant Biology	Degrees Minutes Seconds	4803	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae				
4055769784	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:16.037+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2117280	1	54	354	9477065	6316	2117279	2117280	2117280	Phoxichilidium horribilis Hedgpeth, 1949	Phoxichilidium horribilis Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Phoxichilidium	Phoxichilidium horribilis	Phoxichilidium	horribilis	SPECIES	ACCEPTED	NE	46.7	151.75		{}		1906	6	24	1906-06-24	175	175	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:12:16.037+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_2165'}]	[]	[]	[]			True					WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_2165			Okhotsk Sea		WoRMS type localities	4055769784	WoRMS Editorial Board:WoRMS type localities:sm_id_2165		sm_id_2165	WoRMS Editorial Board				419.0			HOLOTYPE	2007-06-20T15:52:33.000+00:00					http://www.marinespecies.org/aphia.php?p=specdetails&id=2165	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240072	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Phoxichilidium horribilis</i> Hedgpeth, 1949. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240072
