key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	typeStatus	references	datasetID	scientificNameID	bibliographicCitation
1321323534	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:38.543+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2118279	1	54	354	9477065	6313	2118237	2118279	2118279	Tanystylum philippinensis Child, 1988	Tanystylum philippinensis Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum philippinensis	Tanystylum	philippinensis	SPECIES	ACCEPTED	NE	20.4028	121.964	0.75	0.75	ASIA	Batanes	{}	North Pacific Ocean	North Pacific Ocean, Philippines, Batanes	1985	6	6	1985-06-06	157	157	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:39:38.543+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b64323d7-cedd-417f-8910-1063bbcd0b05'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	C. Child	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3b64323d7-cedd-417f-8910-1063bbcd0b05	urn:lsid:biocol.org:col:34871	06 JUN 1985	unknown, from legacy	Batan Islands, Batan Island, Mananioy Bay, At Rock Pinnacle	Degrees Minutes Seconds	IZ	1321323534	http://n2t.net/ark:/65665/3b64323d7-cedd-417f-8910-1063bbcd0b05	USNM 228541	USNM	CAC 243	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6						
1318221282	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:15.063+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118279	1	54	354	9477065	6313	2118237	2118279	2118279	Tanystylum philippinensis Child, 1988	Tanystylum philippinensis Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum philippinensis	Tanystylum	philippinensis	SPECIES	ACCEPTED	NE	9.09	123.274	17.5	2.5	ASIA	Negros Oriental	{}	North Pacific Ocean	North Pacific Ocean, Philippines, Negros Oriental	1978	6	23	1978-06-23	174	174	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:37:15.063+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32d0e09fa-30d4-4878-96fa-a72c6a3f1ec1'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/32d0e09fa-30d4-4878-96fa-a72c6a3f1ec1	urn:lsid:biocol.org:col:34871	23 JUN 1978	unknown, from legacy	Apo Island, NW Side Of Island	Degrees Minutes Seconds	IZ	1318221282	http://n2t.net/ark:/65665/32d0e09fa-30d4-4878-96fa-a72c6a3f1ec1	USNM 228540	USNM	SP-19-3	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	PARATYPE				
1320852954	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:55.515+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118279	1	54	354	9477065	6313	2118237	2118279	2118279	Tanystylum philippinensis Child, 1988	Tanystylum philippinensis Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum philippinensis	Tanystylum	philippinensis	SPECIES	ACCEPTED	NE	9.09	123.274	17.5	2.5	ASIA	Negros Oriental	{}	North Pacific Ocean	North Pacific Ocean, Philippines, Negros Oriental	1978	6	23	1978-06-23	174	174	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:37:55.515+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a1788932-aac7-4e33-8460-a8f825782bdf'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3a1788932-aac7-4e33-8460-a8f825782bdf	urn:lsid:biocol.org:col:34871	23 JUN 1978	unknown, from legacy	Apo Island, NW Side Of Island	Degrees Minutes Seconds	IZ	1320852954	http://n2t.net/ark:/65665/3a1788932-aac7-4e33-8460-a8f825782bdf	USNM 228539	USNM	SP-19-3	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	HOLOTYPE				
4055757142	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:10:16.208+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2118279	1	54	354	9477065	6313	2118237	2118279	2118279	Tanystylum philippinensis Child, 1988	Tanystylum philippinensis Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum philippinensis	Tanystylum	philippinensis	SPECIES	ACCEPTED	NE	9.09	123.27	17.5	2.5	ASIA		{}			1978	6	23	1978-06-23	174	174	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:10:16.208+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_2336'}]	[]	[]	[]			True					WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_2336				Bohol Sea		WoRMS type localities	4055757142	WoRMS Editorial Board:WoRMS type localities:sm_id_2336	sm_id_2336	WoRMS Editorial Board					HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=2336	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:239758	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Tanystylum philippinensis</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239758
