key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	references	datasetID	scientificNameID	bibliographicCitation	continent	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders
440010384	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:52.561+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Proboehmia;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|48085', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Proboehmia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tubirostris', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Holotype', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10471', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Proboehmia tubirostris Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445083673042akhyThOB0c0iGKB4'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE	-18.9	163.313339	530.0	{}	1985.0	9.0	15.0	1985-09-15T09:44/1985-09-15T10:04	258.0	258.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2018-01-16T11:52:23.000+00:00	2024-07-24T12:24:52.561+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4583'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445083673042akhyThOB0c0iGKB4'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Bouchet & Richer de Forges-IRD coll.	Stock	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4583	2007-4583	MNHN	Grand Passage	MUSORSTOM 4/DW156	440010384	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4583	10.15468/qgvvhd														
439998135	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:52.561+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Proboehmia;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|48086', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Proboehmia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tubirostris', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10471', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Proboehmia tubirostris Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445084826921IqOEoatvuyB0JXXU'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE	-18.9	163.313339	530.0	{}	1985.0	9.0	15.0	1985-09-15T09:44/1985-09-15T10:04	258.0	258.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-10-17T14:08:56.000+00:00	2024-07-24T12:24:52.561+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4584'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445084826921IqOEoatvuyB0JXXU'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Bouchet & Richer de Forges-IRD coll.	Stock	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4584	2007-4584	MNHN	Grand Passage	MUSORSTOM 4/DW156	439998135	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4584	10.15468/qgvvhd														
442597588	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:43.437+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1991', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Proboehmia;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1991', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|110180', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Proboehmia', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'tubirostris', 'http://rs.tdwg.org/dwc/terms/typeStatus': 'Paratype(s)', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|10471', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Stock', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Proboehmia tubirostris Stock, 1991'}], 'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/creator': 'Corbari L. & Leprieur S.', 'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/terms/license': 'cc-by', 'http://purl.org/dc/terms/identifier': 'http://mediaphoto.mnhn.fr/media/1445084595906j0Q2KEBq9FCJcDMv'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE	-18.9	163.313339	530.0	{}	1985.0	9.0	15.0	1985-09-15T09:44/1985-09-15T10:04	258.0	258.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2022-02-16T16:33:04.000+00:00	2024-07-24T12:24:43.437+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20688'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'creator': 'Corbari L. & Leprieur S.', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'identifier': 'http://mediaphoto.mnhn.fr/media/1445084595906j0Q2KEBq9FCJcDMv'}]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Bouchet & Richer de Forges-IRD coll.	Stock	WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20688	2008-20688	MNHN	Grand Passage	MUSORSTOM 4/DW156	442597588	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20688	10.15468/qgvvhd														
4055769679	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:15.615+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE	-18.9	163.31	530.0	{}	1985.0	9.0	15.0	1985-09-15	258.0	258.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:12:15.615+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_2174'}]	[]	[]	[]			True			WGS84	Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_2174	sm_id_2174	WoRMS Editorial Board	Pacific Ocean		4055769679	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_2174		http://www.marinespecies.org/aphia.php?p=specdetails&id=2174	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240321	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Proboehmia tubirostris</i> Stock, 1991. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240321										
4548546768	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.070+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE				{}								['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-03-21T10:14:27.070+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '57b405b3-2f87-4fc1-96d1-910a827a738f'}]	[]	[]	[]			False				Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	57b405b3-2f87-4fc1-96d1-910a827a738f					4548546768		57b405b3-2f87-4fc1-96d1-910a827a738f			EB6380B5-80AF-5935-E053-0514A8C08744			OCEANIA	57b405b3-2f87-4fc1-96d1-910a827a738f	fr | en	Proboehmia tubirostris Stock, 1991	Province Nord|Province Sud|Îles Loyauté	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712092	
3935050986	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:37.476+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE				{}								['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:37.476+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '61f16633-fab8-4fc9-9a0d-5a7618c10998'}]	[]	[]	[]			False				Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	61f16633-fab8-4fc9-9a0d-5a7618c10998					3935050986		61f16633-fab8-4fc9-9a0d-5a7618c10998			D2B0CE86-7C29-1275-E053-5514A8C0FBF9			OCEANIA	61f16633-fab8-4fc9-9a0d-5a7618c10998		Proboehmia tubirostris Stock, 1991	Province Nord|Province Sud|Îles Loyauté	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712092	Pantopoda
3847007644	6ed43f52-25d1-4d56-a821-63a8564b81f6	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-23T18:06:52.356+00:00	2024-01-26T10:23:26.783+00:00	20	{}	HUMAN_OBSERVATION		PRESENT	2118230	1	54	354	9477065	6313	2118229	2118230	2118230	Proboehmia tubirostris Stock, 1991	Proboehmia tubirostris Stock, 1991	Animalia	Arthropoda	Pantopoda	Ammotheidae	Proboehmia	Proboehmia tubirostris	Proboehmia	tubirostris	SPECIES	ACCEPTED	NE				{}								['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:23:26.783+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '835dd62a-af8c-4abc-ab3d-c5257eca8b7d'}]	[]	[]	[]			False				Pycnogonida	NC	[]	[]	OCEANIA	New Caledonia	EUROPE	835dd62a-af8c-4abc-ab3d-c5257eca8b7d					3847007644		835dd62a-af8c-4abc-ab3d-c5257eca8b7d			B6BB40E7-FCE6-5E23-E053-5014A8C0B867			OCEANIA	835dd62a-af8c-4abc-ab3d-c5257eca8b7d		Proboehmia tubirostris Stock, 1991	Province Nord|Province Sud|Îles Loyauté		Invalid	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	712092	
