key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	coordinateUncertaintyInMeters	datasetID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders	depth	depthAccuracy
4851017367	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.136+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	4338561	1	54	354	9477065	2011	2118062	4338561	4338561	Seguapallene insignatus Pushkin, 1975	Seguapallene insignatus Pushkin, 1975	Animalia	Arthropoda	Pantopoda	Callipallenidae	Seguapallene	Seguapallene insignatus	Seguapallene	insignatus	SPECIES	ACCEPTED	NE	-63.742664	-55.2064123	{}	Weddell Sea	2022.0	1.0	29.0	2022-01-29	29.0	29.0	['COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:59.136+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '61fe28b9-1714-4424-bec5-b260090c264d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003652_2.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003652_1.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Dudnik, Zoya	EtOH 96%	Sigsbee Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Mstislav Keldysh_cruise_87_st.7337	61fe28b9-1714-4424-bec5-b260090c264d	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Weddell Sea	7337	OBFc	4851017367	61fe28b9-1714-4424-bec5-b260090c264d	510.0 - 511.0 m	INV0003652	IORAS	IORAS	cruise 87	fd699988-ab5d-4737-9443-9085cea191d2												
4548130879	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:26.498+00:00	57	{}	HUMAN_OBSERVATION		PRESENT	4338561	1	54	354	9477065	2011	2118062	4338561	4338561	Seguapallene insignatus Pushkin, 1975	Seguapallene insignatus Pushkin, 1975	Animalia	Arthropoda	Pantopoda	Callipallenidae	Seguapallene	Seguapallene insignatus	Seguapallene	insignatus	SPECIES	ACCEPTED	NE	-49.13558	68.66923	{}								['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:26.498+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '35a97c47-a789-48f2-8677-21ae03920a66'}]	[]	[]	[]			False					WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	35a97c47-a789-48f2-8677-21ae03920a66	35a97c47-a789-48f2-8677-21ae03920a66					4548130879	35a97c47-a789-48f2-8677-21ae03920a66							1105902.0	EB6380B5-80AF-5935-E053-0514A8C08744	fr | en	Seguapallene insignatus Pushkin, 1975	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	815639			
3935111826	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.554+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	4338561	1	54	354	9477065	2011	2118062	4338561	4338561	Seguapallene insignatus Pushkin, 1975	Seguapallene insignatus Pushkin, 1975	Animalia	Arthropoda	Pantopoda	Callipallenidae	Seguapallene	Seguapallene insignatus	Seguapallene	insignatus	SPECIES	ACCEPTED	NE	-49.13558	68.66923	{}								['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.554+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e843bd51-b4ec-448e-8ab7-6c19f984ce9a'}]	[]	[]	[]			False					WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	e843bd51-b4ec-448e-8ab7-6c19f984ce9a	e843bd51-b4ec-448e-8ab7-6c19f984ce9a					3935111826	e843bd51-b4ec-448e-8ab7-6c19f984ce9a							1105902.0	D2B0CE86-7C29-1275-E053-5514A8C0FBF9		Seguapallene insignatus Pushkin, 1975	TAAF : Îles sub-antarctiques	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	815639	Pantopoda		
318009937	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.245+00:00	124	{}	OCCURRENCE		PRESENT	4338561	1	54	354	9477065	2011	2118062	4338561	4338561	Seguapallene insignatus Pushkin, 1975	Seguapallene insignatus Pushkin, 1975	Animalia	Arthropoda	Pantopoda	Callipallenidae	Seguapallene	Seguapallene insignatus	Seguapallene	insignatus	SPECIES	ACCEPTED	NE	-48.1716	70.5433	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.245+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37950'}]	[]	[]	[]			False					WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE						SOMBASE Pycnogonids	318009937			37950	BAS														16.5	13.5
