key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	preparations	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	locality	gbifID	collectionCode	occurrenceID	higherClassification	decimalLatitude	decimalLongitude	depth	depthAccuracy	month	day	identifiedBy	geodeticDatum	countryCode	gbifRegion	country	institutionCode	coordinatePrecision	waterBody	higherGeography	georeferencedBy	references	collectionKey	otherCatalogNumbers	georeferenceProtocol	georeferenceVerificationStatus	georeferenceRemarks	verbatimCoordinateSystem	verbatimLocality	higherGeographyID	disposition	ownerInstitutionCode	identificationRemarks	georeferenceSources	datasetName	locationID	collectionID	dynamicProperties	fieldNumber	stateProvince	samplingProtocol	typeStatus	acceptedNameUsage	eventRemarks	occurrenceRemarks
2434359931	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:33.147+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.473/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'RMNH.PYC.473_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.473/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	3.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1981	1981-01-01/1981-12-31	1	365	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2021-01-28T00:00:00.000+00:00	2024-07-23T00:33:33.147+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.473@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'RMNH.PYC.473_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.473/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Tydeman Azores exp.	WholeOrganism (alcohol)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	RMNH.PYC.473@CRS	RMNH.PYC.473	ICZN	Naturalis Biodiversity Center	1981	sta. 5.004	2434359931	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.473	Animalia|Collossendeidae																																								
201111902	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:46.449+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1978	1978-07-01	182	182	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:46.449+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201111902'}]	[]	[]	[]		False	DESBRUYERES Daniel		Pycnogonida	[]	[]	EUROPE			32348				Golfe de Gascogne	201111902	Biocean	201111902		47.5567	-8.4317	1920.0	0.0	7.0	1.0	STOCK Jan	WGS84	FR	EUROPE	France	Ifremer																												
811983073	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:48.176+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1978	1978-07-01	182	182	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:48.176+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811983073'}]	[]	[]	[]		False	DESBRUYERES Daniel		Pycnogonida	[]	[]	EUROPE			32348				Golfe de Gascogne	811983073	bio_dba	811983073		47.5567	-8.4317	1920.0	0.0	7.0	1.0	STOCK Jan	WGS84	FR	EUROPE	France	Ifremer																												
2434367029	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:35.123+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.474/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'RMNH.PYC.474_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.474/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1977	1977-08-30	242	242	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2021-01-28T00:00:00.000+00:00	2024-07-23T00:33:35.123+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.474@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'RMNH.PYC.474_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.474/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Tydeman Canary Isl. exp.	WholeOrganism (alcohol)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	RMNH.PYC.474@CRS	RMNH.PYC.474	ICZN	Naturalis Biodiversity Center	30 aug. 1977	sta. 69	2434367029	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.474	Animalia|Collossendeidae					8.0	30.0																																		
477942600	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:22:57.341+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'L. Leibensperger (MCZ), 1996', 'http://rs.tdwg.org/dwc/terms/identificationID': '1595508', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Laura Leibensperger', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Colossendeis clavata'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-03-19	78	78	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_UNCERTAINTY_METERS_INVALID', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:22:57.341+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:83793'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	False	RV Atlantis II 086	whole animal (70% ethanol)	Pycnogonida	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/458148996120359751990'}]	NORTH_AMERICA	President and Fellows of Harvard College	MCZ:IZ:83793	83793	ICZN	b4640710-8e03-11d8-b956-b8a03c50a862	19/3/1975	[coordinate data only]	477942600	IZ	MCZ:IZ:83793	Animalia Arthropoda Pycnogonida Colossendeidae Colossendeis clavata	39.6555	-70.43017	2117.5	37.5	3.0	19.0	Laura Leibensperger	WGS84	US	NORTH_AMERICA	United States of America	MCZ	1e-05	Atlantic, Northwest	Atlantic Ocean: Atlantic, Northwest: United States	Woods Hole Oceanographic Institution	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:83793	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	station number=431	unknown	verified by collector	to 39°38.70'N 70°23.02'W	degrees dec. minutes	[coordinate data only]	https://marineregions.org/mrgid/25365	in collection	Museum of Comparative Zoology, Harvard University	"(0245-) 0428 - 0558 (-0800) hrs. 32 specs. 40 gms. "" misc storage of Backus "" specimens were separated from lot of Colossendeis colossea - L. Leibensperger (MCZ), Nov. 1996"	Coordinates are from original label											
1318219447	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:15.274+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-07-28	209	209	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:50:00.000+00:00	2024-07-02T12:37:15.274+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32cf96700-b0ec-4a8d-849f-c782e98cd41e'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/32cf96700-b0ec-4a8d-849f-c782e98cd41e	USNM 154652		urn:lsid:biocol.org:col:34871	28 JUL 1975	Off Maryland	1318219447	IZ	http://n2t.net/ark:/65665/32cf96700-b0ec-4a8d-849f-c782e98cd41e	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	38.883	-72.6775	1425.0	50.0	7.0	28.0	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	US	NORTH_AMERICA	United States of America	USNM		North Atlantic Ocean	North Atlantic Ocean, United States			0174f5b3-da29-4967-b8dc-ce75ed53e35d		unknown, from legacy			Degrees Minutes Seconds							NMNH Extant Biology	28	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
1320116997	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:50.888+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-07-24	205	205	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:50:00.000+00:00	2024-07-02T12:37:50.888+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/380e6c7f5-8c3f-435f-b3bf-afd7ea9ca004'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/380e6c7f5-8c3f-435f-b3bf-afd7ea9ca004	USNM 154643		urn:lsid:biocol.org:col:34871	24 JUL 1975	Off Virginia	1320116997	IZ	http://n2t.net/ark:/65665/380e6c7f5-8c3f-435f-b3bf-afd7ea9ca004	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	36.5708	-74.385	2310.0	70.0	7.0	24.0	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	US	NORTH_AMERICA	United States of America	USNM		North Atlantic Ocean	North Atlantic Ocean			0174f5b3-da29-4967-b8dc-ce75ed53e35d		unknown, from legacy			Degrees Minutes Seconds							NMNH Extant Biology	17	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
1321300484	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:38.314+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-07-23	204	204	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:50:00.000+00:00	2024-07-02T12:39:38.314+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b540ff2e-67f3-4141-9940-8376968a661d'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3b540ff2e-67f3-4141-9940-8376968a661d	USNM 154638		urn:lsid:biocol.org:col:34871	23 JUL 1975	Off Virginia	1321300484	IZ	http://n2t.net/ark:/65665/3b540ff2e-67f3-4141-9940-8376968a661d	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	36.705	-74.6133	1519.0	61.0	7.0	23.0	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	US	NORTH_AMERICA	United States of America	USNM		North Atlantic Ocean	North Atlantic Ocean			0174f5b3-da29-4967-b8dc-ce75ed53e35d		unknown, from legacy			Degrees Minutes Seconds							NMNH Extant Biology	13	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
1321357238	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:03.399+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-07-24	205	205	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:50:00.000+00:00	2024-07-02T12:38:03.399+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b7c2b509-aafe-44f2-9699-cc5571f3e0c8'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3b7c2b509-aafe-44f2-9699-cc5571f3e0c8	USNM 154647		urn:lsid:biocol.org:col:34871	24 JUL 1975	Off Virginia	1321357238	IZ	http://n2t.net/ark:/65665/3b7c2b509-aafe-44f2-9699-cc5571f3e0c8	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	36.6883	-74.2492	2132.5	7.5	7.0	24.0	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	US	NORTH_AMERICA	United States of America	USNM		North Atlantic Ocean	North Atlantic Ocean			0174f5b3-da29-4967-b8dc-ce75ed53e35d		unknown, from legacy			Degrees Minutes Seconds							NMNH Extant Biology	18	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
1318241250	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:27.597+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117594	1	54	354	9477065	2012	2117538	2117594	2117594	Colossendeis clavata Meinert, 1899	Colossendeis clavata Meinert, 1899	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis clavata	Colossendeis	clavata	SPECIES	ACCEPTED	NE	{}	1975	1975-09-19	262	262	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2019-02-18T13:44:00.000+00:00	2024-07-02T12:37:27.597+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32df11ca3-10a9-4df4-b4f7-366815fe253c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/32df11ca3-10a9-4df4-b4f7-366815fe253c	USNM 155234		urn:lsid:biocol.org:col:34871	19 SEP 1975	North American Slope, Off Maryland	1318241250	IZ	http://n2t.net/ark:/65665/32df11ca3-10a9-4df4-b4f7-366815fe253c	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	36.675	-74.5	1476.0	0.0	9.0	19.0	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	WGS84	US	NORTH_AMERICA	United States of America	USNM		North Atlantic Ocean	North Atlantic Ocean, United States			0174f5b3-da29-4967-b8dc-ce75ed53e35d		unknown, from legacy			Degrees Minutes Seconds							NMNH Extant Biology	GI-75-08-92	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
