key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	sex	references	datasetID	scientificNameID	bibliographicCitation
1317417602	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:36.378+00:00	395	{}	PRESERVED_SPECIMEN	64.0	PRESENT	2117816	1	54	354	9477065	2013	2117630	2117816	2117816	Nymphon glabrum Child, 1995	Nymphon glabrum Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon glabrum	Nymphon	glabrum	SPECIES	ACCEPTED	NE	-60.515	-45.8892	55.0	0.0	ANTARCTICA	{}	Antarctic Ocean, Scotia Sea	Antarctic Ocean, Scotia Sea, Antarctica	1966.0	2.0	8.0	1966-02-08	39.0	39.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-01-02T14:07:00.000+00:00	2024-07-02T12:38:36.378+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/309858503-a2ce-45fb-848e-4eea6045a633'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	D. Pawson & D. Squires	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	http://n2t.net/ark:/65665/309858503-a2ce-45fb-848e-4eea6045a633	urn:lsid:biocol.org:col:34871	08 FEB 1966	unknown, from legacy	South Orkney Islands	Degrees Minutes Seconds	USARP/EA/66/020	IZ	1317417602	http://n2t.net/ark:/65665/309858503-a2ce-45fb-848e-4eea6045a633	USNM 234672	USNM	020	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6					
1320426074	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:18.754+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117816	1	54	354	9477065	2013	2117630	2117816	2117816	Nymphon glabrum Child, 1995	Nymphon glabrum Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon glabrum	Nymphon	glabrum	SPECIES	ACCEPTED	NE	-60.515	-45.8892	55.0	0.0	ANTARCTICA	{}	Antarctic Ocean, Scotia Sea	Antarctic Ocean, Scotia Sea, Antarctica	1966.0	2.0	8.0	1966-02-08	39.0	39.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2018-01-02T14:07:00.000+00:00	2024-07-02T12:38:18.754+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/38e9a8554-ad20-4555-b311-3736d0ebceb2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	D. Pawson & D. Squires	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	NORTH_AMERICA	http://n2t.net/ark:/65665/38e9a8554-ad20-4555-b311-3736d0ebceb2	urn:lsid:biocol.org:col:34871	08 FEB 1966	unknown, from legacy	South Orkney Islands	Degrees Minutes Seconds	USARP/EA/66/020	IZ	1320426074	http://n2t.net/ark:/65665/38e9a8554-ad20-4555-b311-3736d0ebceb2	USNM 234671	USNM	020	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE				
4055741291	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:38.750+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT	2117816	1	54	354	9477065	2013	2117630	2117816	2117816	Nymphon glabrum Child, 1995	Nymphon glabrum Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon glabrum	Nymphon	glabrum	SPECIES	ACCEPTED	NE	-60.52	-45.9	55.0		ANTARCTICA	{}			1966.0	2.0	8.0	1966-02-08	39.0	39.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:07:38.750+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1992'}]	[]	[]	[]			True					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1992				Scotia Sea			WoRMS type localities	4055741291	WoRMS Editorial Board:WoRMS type localities:sm_id_1992	sm_id_1992	WoRMS Editorial Board					http://www.marinespecies.org/aphia.php?p=specdetails&id=1992	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:173417	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon glabrum</i> Child, 1995. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=173417
318007649	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.942+00:00	124	{}	OCCURRENCE		PRESENT	2117816	1	54	354	9477065	2013	2117630	2117816	2117816	Nymphon glabrum Child, 1995	Nymphon glabrum Child, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon glabrum	Nymphon	glabrum	SPECIES	ACCEPTED	NE	-60.5166	-45.895	55.0	0.0	ANTARCTICA	{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.942+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22941'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE								SOMBASE Pycnogonids	318007649		22941	BAS								
