key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	dynamicProperties	locality	fieldNumber	gbifID	collectionCode	occurrenceID	higherClassification	sex
1057580763	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:12.768+00:00	391	{}	PRESERVED_SPECIMEN	7	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE	51.6167	-13.0	1301.0	{}	1982	3	25	1982-03-25	84	84	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:12.768+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660351'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660351	Dr Roger Bamber	Dr Roger Bamber	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE	3660351	1994.4598-4604	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047801"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304028000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057580763"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51403[hash]1, 51%37'N,  13%00'W.	Station 51403[hash]1	1057580763	ZOO	c6401d30-0850-4988-a098-8996d1186a29	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	
1056602992	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:11.815+00:00	391	{}	PRESERVED_SPECIMEN	4	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE	51.6167	-12.9833	1321.0	{}	1982	3	25	1982-03-25	84	84	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:11.815+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660353'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660353	Dr Roger Bamber	Dr Roger Bamber	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE	3660353	1994.4605-4608	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047802"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304028000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056602992"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51403[hash]2, 51%37'N,  12%59'W.	Station 51403[hash]2	1056602992	ZOO	c580c0b6-7034-45c1-8115-bd1fdf34e1a1	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	
1057497718	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:13.537+00:00	391	{}	PRESERVED_SPECIMEN	1	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE	51.6	-13.0	1326.0	{}	1982	3	26	1982-03-26	85	85	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:13.537+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660355'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660355	Dr Roger Bamber	Dr Roger Bamber	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE	3660355	1994.4609	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047803"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304028000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057497718"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51403[hash]4, 51%36'N,  13%00'W.	Station 51403[hash]4	1057497718	ZOO	3f573720-3e77-45f6-8b2d-211b99a7e9a5	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	
1056740765	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:11.791+00:00	391	{}	PRESERVED_SPECIMEN	1	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE			1283.0	{}	1982	4	2	1982-04-02	92	92	HOLOTYPE	['TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:11.791+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660347'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660347	Dr Roger Bamber	Dr Roger Bamber		Pycnogonida		[]	[]			EUROPE	3660347	1994.4595	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047799"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304027000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056740765"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51420[hash]4,  51%37.9'N, 12%59.5'W to 51%37.5'N, 12%59.6'W.	Station 51420[hash]4	1056740765	ZOO	52d50629-9c19-402a-9621-d458a99dd2de	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	MALE
1057618920	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:11.947+00:00	391	{}	PRESERVED_SPECIMEN	2	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE			1283.0	{}	1982	4	2	1982-04-02	92	92	PARATYPE	['TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:11.947+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660349'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660349	Dr Roger Bamber	Dr Roger Bamber		Pycnogonida		[]	[]			EUROPE	3660349	1994.4596-4597	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047800"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304028000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057618920"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51420[hash],  51%37.9'N, 12%59.5'W to 51%37.5'N, 12%59.6'W.	Station 51420[hash]4	1057618920	ZOO	283b8b0e-95b6-4a7a-991d-199e420362df	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	
1056112016	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:14.383+00:00	391	{}	PRESERVED_SPECIMEN	8	PRESENT	2117739	1	54	354	9477065	2013	2117630	2117739	2117739	Nymphon akanthochoeros Bamber & Thurston, 1995	Nymphon akanthochoeros Bamber & Thurston, 1995	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon akanthochoeros	Nymphon	akanthochoeros	SPECIES	ACCEPTED	NE	51.6167	-12.9833	1327.0	{}	1982	4	2	1982-04-02	92	92	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:19:14.383+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '3660357'}]	[]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False	NHMUK:ecatalogue:3660357	Dr Roger Bamber	Dr Roger Bamber	WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE	3660357	1994.4610-4617	NHMUK	"{""associatedMediaCount"": null, ""barcode"": ""011047804"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1180304028000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": ""Yes"", ""determinationNames"": ""Nymphon akanthocheros Bamber & Thurston, 1995"", ""determinationTypes"": null, ""donorName"": ""Dr Roger Bamber"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056112016"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": ""IMS"", ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""INEA"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Minor phyla"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Discovery Stn.51420[hash]1, 51%37'N,  12%59'W.	Station 51420[hash]1	1056112016	ZOO	904a570f-673a-4afb-82ff-be894fe19b06	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	
