key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	continent	modified	depthAccuracy	projectId	coordinateUncertaintyInMeters	organismQuantity	organismQuantityType	scientificNameID	verbatimEventDate	footprintWKT	language	type	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	waterBody	occurrenceRemarks	datasetName	locationID	georeferenceSources	dateIdentified	taxonRemarks	bibliographicCitation	sex	higherGeography	rightsHolder	nomenclaturalCode	verbatimLocality	higherClassification	fieldNotes	eventTime	coordinatePrecision	otherCatalogNumbers	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	verbatimTaxonRank	island	lifeStage	disposition	parentNameUsage	materialEntityID	georeferenceProtocol	verbatimCoordinateSystem	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	references	associatedSequences	verbatimIdentification
318004004	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.418+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.418+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38840'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004004			38840	BAS				22.0	ANTARCTICA		0.0																																																							
318004005	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.417+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.417+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38841'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004005			38841	BAS				35.0	ANTARCTICA		0.0																																																							
318004006	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.419+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.419+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38842'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004006			38842	BAS				21.0	ANTARCTICA		0.0																																																							
318004007	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.416+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.416+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38843'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004007			38843	BAS				4.0	ANTARCTICA		0.0																																																							
318004008	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.418+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.418+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38844'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004008			38844	BAS				12.0	ANTARCTICA		0.0																																																							
318004009	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.422+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.422+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38845'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004009			38845	BAS				18.0	ANTARCTICA		0.0																																																							
318004010	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.421+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.421+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38846'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004010			38846	BAS				24.0	ANTARCTICA		0.0																																																							
318004011	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.417+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.417+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38847'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004011			38847	BAS				28.0	ANTARCTICA		0.0																																																							
318004012	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.419+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.419+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38848'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004012			38848	BAS				30.0	ANTARCTICA		0.0																																																							
318004013	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.419+00:00	124	{}	OCCURRENCE		PRESENT	4338694	1	54	354	9477065	6313	2118396	4338694	4338694	Achelia spicata (Hodgson, 1914)	Achelia spicata (Hodgson, 1914)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia spicata	Achelia	spicata	SPECIES	ACCEPTED	NE	-66.5333	92.9833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.419+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38849'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318004013			38849	BAS				36.0	ANTARCTICA		0.0																																																							
