key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	individualCount	modified	collectionKey	recordedBy	locality	collectionCode	collectionID	dateIdentified	rightsHolder	nomenclaturalCode	verbatimLocality	disposition	locationID	ownerInstitutionCode	parentNameUsage	materialEntityID	datasetName	otherCatalogNumbers	typeStatus	dynamicProperties	higherClassification	sex	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	http://unknown.org/language	references	bibliographicCitation
3386516305	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.134+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	Juvenile	2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE	-76.1691	-27.7973	78.0	552.9449999999999	8.055000000000007	ANTARCTICA	{}	2012.0	2.0	21.0	2012-02-21	52.0	52.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.134+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	5.0	individuals	False	[{'identifier': 'JR275_496.1'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR275	JR275_496.1	urn:lsid:marinespecies.org:taxname:173462	https://ror.org/01rhff309	21/02/2012	LINESTRING (-27.79567 -76.16965, -27.79901 -76.1685)	JR275_38	en	3386516305	JR275_496.1	PhysicalObject	JR275_496.1	BAS																																						
3386516567	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.491+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE	-70.9382	-10.5463	142.0	311.6	1.0999999999999943	ANTARCTICA	{}	2011.0	3.0	28.0	2011-03-28	87.0	87.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.491+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'ANTXXVII/3_PS77_1280_2.1'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Rauschert dredge|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS77	ANTXXVII/3_PS77_1280_2.1	urn:lsid:marinespecies.org:taxname:173462	https://ror.org/01rhff309	28/03/2011	LINESTRING (-10.548667 -70.93717, -10.54383333 -70.93916667)	PS77_PS77/280-2	en	3386516567	ANTXXVII/3_PS77_1280_2.1	PhysicalObject	ANTXXVII/3_PS77_1280_2.1	BAS																																						
3386516663	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.562+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE	-70.8435	-10.5842	847.0	254.6	29.099999999999994		{}	2011.0	4.0	1.0	2011-04-01	91.0	91.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.562+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS77_301-1.5'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jana Domel	96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	PS77	PS77_301-1.5	urn:lsid:marinespecies.org:taxname:173462	https://ror.org/01rhff309	1/4/2011	LINESTRING (-10.587833 -70.851, -10.58066667 -70.836)	PS77_PS77/301-1	en	3386516663	PS77_301-1.5	PhysicalObject	PS77_301-1.5	BAS																																						
3466772952	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:21.834+00:00	273		{}	HUMAN_OBSERVATION	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE				234.0		ANTARCTICA	{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:21.834+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	5.0	Individuals	False	[{'identifier': '04916778-0569-4356-bdc7-866999fbb0cc'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 1	04916778-0569-4356-bdc7-866999fbb0cc	urn:lsid:marinespecies.org:taxname:173462		1/12/2008				3466772952	04916778-0569-4356-bdc7-866999fbb0cc				ASAC_3010_0434	IU-2007-230	7000	https://biodiversity.org.au/afd/taxa/f022bc78-de95-41c0-ba3e-d28d9c5cc2ce	Species	Nymphon multituberculatum	173462																															
3466772829	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.659+00:00	273		{}	HUMAN_OBSERVATION	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE				176.9		ANTARCTICA	{}	2008.0	1.0	13.0	2008-01-13	13.0	13.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:20.659+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '2b933b63-25a7-46c7-bcb0-236599ee9ed2'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 11	2b933b63-25a7-46c7-bcb0-236599ee9ed2	urn:lsid:marinespecies.org:taxname:173462		1/13/2008				3466772829	2b933b63-25a7-46c7-bcb0-236599ee9ed2				ASAC_3010_0716	IU-2007-77e	7000	https://biodiversity.org.au/afd/taxa/f022bc78-de95-41c0-ba3e-d28d9c5cc2ce	Species	Nymphon multituberculatum	173462																															
3466772672	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:19.723+00:00	273		{}	HUMAN_OBSERVATION	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE				443.67		ANTARCTICA	{}	2008.0	1.0	14.0	2008-01-14	14.0	14.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:19.723+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'bbde89c2-febf-486f-a687-a4b97e61b366'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 72	bbde89c2-febf-486f-a687-a4b97e61b366	urn:lsid:marinespecies.org:taxname:173462		1/14/2008				3466772672	bbde89c2-febf-486f-a687-a4b97e61b366				ASAC_3010_0471	IU-2007-263	7000	https://biodiversity.org.au/afd/taxa/f022bc78-de95-41c0-ba3e-d28d9c5cc2ce	Species	Nymphon multituberculatum	173462																															
3466773089	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:23.002+00:00	273		{}	HUMAN_OBSERVATION	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE				370.38		ANTARCTICA	{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:23.002+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'ca03c2ac-2318-4a2f-a445-ce6059aa896e'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 54	ca03c2ac-2318-4a2f-a445-ce6059aa896e	urn:lsid:marinespecies.org:taxname:173462		1/12/2008				3466773089	ca03c2ac-2318-4a2f-a445-ce6059aa896e				ASAC_3010_0450	IU-2007-244	7000	https://biodiversity.org.au/afd/taxa/f022bc78-de95-41c0-ba3e-d28d9c5cc2ce	Species	Nymphon multituberculatum	173462																															
3466772399	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:15.776+00:00	273		{}	HUMAN_OBSERVATION	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE				370.38		ANTARCTICA	{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:15.776+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'd8b7b3e8-b19e-42a3-b364-22f2ac560e58'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 54	d8b7b3e8-b19e-42a3-b364-22f2ac560e58	urn:lsid:marinespecies.org:taxname:173462		1/12/2008				3466772399	d8b7b3e8-b19e-42a3-b364-22f2ac560e58				ASAC_3010_0446	IU-2007-240	7000	https://biodiversity.org.au/afd/taxa/f022bc78-de95-41c0-ba3e-d28d9c5cc2ce	Species	Nymphon multituberculatum	173462																															
4462709315	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:53.542+00:00	564		{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1944', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Nymphon;Nymphonidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Gordon, 1944', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|585745', 'http://rs.tdwg.org/dwc/terms/family': 'Nymphonidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Nymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'multituberculatum', 'http://rs.tdwg.org/dwc/terms/dateIdentified': '2018', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25205', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arango C.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Nymphon multituberculatum Gordon, 1944'}]}	PRESERVED_SPECIMEN	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE	-66.563407	141.29965		187.5	11.5		{}	2008.0	1.0	13.0	2008-01-13	13.0	13.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:53.542+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2022-3483'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	False	Arango C.			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2022-3483					CEAMARC/11EV424		4462709315	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2022-3483		2022-3483	MNHN								1.0	2015-08-25T12:39:13.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	IPEV-AAD-MNHN	Terre Adélie	IU	10.15468/qgvvhd																								
3386516987	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.778+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT		2117651	1	54	354	9477065	2013	2117630	2117651	2117651	Nymphon multituberculatum Gordon, 1944	Nymphon multituberculatum Gordon, 1944	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon multituberculatum	Nymphon	multituberculatum	SPECIES	ACCEPTED	NE	-70.3988	-8.32	350.0	598.5	3.5		{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.778+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	5.0	individuals	False	[{'identifier': 'PS71_1469_05'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/polarstern_antxxiv3.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS71	PS71_1469_05	urn:lsid:marinespecies.org:taxname:173462	https://ror.org/01rhff309	12/1/2008	LINESTRING (-8.3286667 -70.4, -8.311333333 -70.39766667)	PS71_048-1	en	3386516987	PS71_1469_05	PhysicalObject	PS71_1469_05	BAS																																						
