key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	depthAccuracy	continent
4851017312	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.201+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-62.3796498	-54.721	{}	2022.0	2.0	1.0	2022-02-01	32.0	32.0	['COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:59.201+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '106370a6-252b-4d01-a38e-974b6751412c'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003608_1.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003608_2.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Dudnik, Zoya	EtOH 96%	Sigsbee Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Mstislav Keldysh_cruise_87_st.7353	106370a6-252b-4d01-a38e-974b6751412c	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	South Atlantics	7353	OBFc	4851017312	106370a6-252b-4d01-a38e-974b6751412c	364.0 - 362.0 m	INV0003608	IORAS	IORAS	cruise 87	fd699988-ab5d-4737-9443-9085cea191d2			
4851017324	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.878+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-61.1331918	-50.7091641	{}	2022.0	2.0	6.0	2022-02-06	37.0	37.0	['COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.878+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4412e839-e4ec-4b17-849c-56dcafbcc712'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003654_1.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003654_2.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Dudnik, Zoya	EtOH 96%	Sigsbee Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Mstislav Keldysh_cruise_87_st.7363	4412e839-e4ec-4b17-849c-56dcafbcc712	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	South Atlantics	7363	OBFc	4851017324	4412e839-e4ec-4b17-849c-56dcafbcc712	765.0 - 767.0 m	INV0003654	IORAS	IORAS	cruise 87	fd699988-ab5d-4737-9443-9085cea191d2			
4851017353	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.076+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-60.940141	-43.306072	{}	2022.0	2.0	8.0	2022-02-08	39.0	39.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:59.076+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '62369e8a-0d0c-4e05-90ee-e1865a3f2d8d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003612_2.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0003612_1.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Dudnik, Zoya	EtOH 96%	Double Square Net	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Mstislav Keldysh_cruise_87_st.7373	62369e8a-0d0c-4e05-90ee-e1865a3f2d8d	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Southern Ocean	7373	OBFc	4851017353	62369e8a-0d0c-4e05-90ee-e1865a3f2d8d	0 - 368.0 m	INV0003612	IORAS	IORAS	cruise 87	fd699988-ab5d-4737-9443-9085cea191d2			
318005060	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.377+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-67.5833	45.5833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.377+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37423'}]	[]	[]	[]			False					WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE						SOMBASE Pycnogonids	318005060			37423	BAS				280.0	0.0	
318005150	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.244+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-53.925	-36.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.244+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38202'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005150			38202	BAS				149.0	21.0	
318005151	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.245+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-54.1	-35.5833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.245+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38203'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005151			38203	BAS				152.5	24.5	
318005153	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.245+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-53.6166	-41.1833	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.245+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38207'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005153			38207	BAS				131.5	3.5	
318005154	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.244+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-53.7	-41.2166	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.244+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38208'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005154			38208	BAS				142.5	10.5	
318005155	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.245+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-53.6166	-41.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.245+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38209'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005155			38209	BAS				163.5	16.5	
318005156	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.244+00:00	124	{}	OCCURRENCE		PRESENT	2118079	1	54	354	9477065	2011	2118069	2118079	2118079	Austropallene bucera Pushkin, 1993	Austropallene bucera Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene bucera	Austropallene	bucera	SPECIES	ACCEPTED	NE	-53.6816	-41.2716	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.244+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38210'}]	[]	[]	[]			False					WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE						SOMBASE Pycnogonids	318005156			38210	BAS				135.0	0.0	
