key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	modified	datasetID	locality	collectionCode	individualCount	waterBody	collectionKey	recordedBy	islandGroup	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	continent
3386517421	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:25.102+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-63.8366	-55.5772	443.0	408.5	3.5	{}	2019.0	3.0	14.0	2019-03-14	73.0	73.0	['COLLECTION_MATCH_NONE']	2024-01-26T10:52:25.102+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'PS118_0106_013'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Rauschert dredge|https://epic.awi.de/id/eprint/48988/1/Expeditionsprogramm_PS118_Dorschel.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS118	PS118_0106_013	urn:lsid:marinespecies.org:taxname:239905	https://ror.org/01rhff309	14/03/2019	LINESTRING (-55.586023 -63.83744, -55.56843 -63.83575)	PS118_12_10R	en	3386517421	PS118_0106_013	PhysicalObject	PS118_0106_013	BAS														
240912733	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:50.286+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-71.693333	-12.49		440.0	0.0	{}	1996.0	2.0	20.0	1996-02-20	51.0	51.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:50.286+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3199'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3199	urn:lsid:marinespecies.org:taxname:239905						240912733	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3199		3199	AWI	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	Kapp Norvegia area	Weddell Sea macrozoobenthos EASIZ I										
240912734	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:49.115+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-73.601667	-22.595		850.0	0.0	{}	1996.0	2.0	14.0	1996-02-14	45.0	45.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:49.115+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3200'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3200	urn:lsid:marinespecies.org:taxname:239905						240912734	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3200		3200	AWI	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	South of Vestkapp	Weddell Sea macrozoobenthos EASIZ I										
240912735	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:49.115+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-73.7	-22.508333		446.0	0.0	{}	1996.0	2.0	15.0	1996-02-15	46.0	46.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:49.115+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3201'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3201	urn:lsid:marinespecies.org:taxname:239905						240912735	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3201		3201	AWI	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	South of Vestkapp	Weddell Sea macrozoobenthos EASIZ I										
240912736	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:49.266+00:00	242		{}	HUMAN_OBSERVATION	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-71.525	-12.425		504.0	0.0	{}	1996.0	2.0	28.0	1996-02-28	59.0	59.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:49.266+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3202'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3202	urn:lsid:marinespecies.org:taxname:239905						240912736	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:3202		3202	AWI	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432	Kapp Norvegia area	Weddell Sea macrozoobenthos EASIZ I										
4444205397	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.766+00:00	69		{}	PRESERVED_SPECIMEN	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-60.8031664	-44.2415561				{}	1965.0	2.0	5.0	1965-02-05	36.0	36.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.766+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': '593c5244-0ce4-4cb3-9691-e6768b0089ca'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Pushkin, A.	EtOH 75%	Trawl	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Akademik Knipovich_cruise 1_st.90	593c5244-0ce4-4cb3-9691-e6768b0089ca		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86			90		4444205397	593c5244-0ce4-4cb3-9691-e6768b0089ca		INV0002711	IORAS			South Orkney Islands	OBFc	7.0	Atlantic Ocean	fd699988-ab5d-4737-9443-9085cea191d2	RV Akademik Knipovich	South Orkney Islands	176.0 - 190.0 m	IORAS	cruise 1	fd699988-ab5d-4737-9443-9085cea191d2	
318008472	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.997+00:00	124		{}	OCCURRENCE	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-71.6933	-12.49		440.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.997+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21565'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318008472			21565	BAS				SOMBASE Pycnogonids										
318008473	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.999+00:00	124		{}	OCCURRENCE	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-71.525	-12.425		504.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.999+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21566'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318008473			21566	BAS				SOMBASE Pycnogonids										
318008474	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.005+00:00	124		{}	OCCURRENCE	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-73.6017	-22.595		850.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.005+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21567'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318008474			21567	BAS				SOMBASE Pycnogonids										
318008475	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.007+00:00	124		{}	OCCURRENCE	PRESENT	2117465	1	54	354	9477065	3254684	2117433	2117465	2117465	Pallenopsis leiopus Pushkin, 1993	Pallenopsis leiopus Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis leiopus	Pallenopsis	leiopus	SPECIES	ACCEPTED	NE	-73.7	-22.5083		446.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.007+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21568'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318008475			21568	BAS				SOMBASE Pycnogonids										
