key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	habitat	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	rightsHolder	nomenclaturalCode	eventID	recordedBy	samplingProtocol	recordNumber	verbatimDepth	fieldNumber	typeStatus
1320249614	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:30.945+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE	-34.08	18.63	17.0	0.0	AFRICA	Western Cape	{}	Indian Ocean	Indian Ocean, South Africa, Western Cape	1968.0	2.0	26.0	1968-02-26	57.0	57.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T08:36:00.000+00:00	2024-07-02T12:39:30.945+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/386c7408a-8d24-4d97-a8f6-c6a3fd48eff7'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Arnaud, F.	Alcohol (Ethanol)	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA	http://n2t.net/ark:/65665/386c7408a-8d24-4d97-a8f6-c6a3fd48eff7	Sand and clay.	urn:lsid:biocol.org:col:34871	26 FEB 1968	unknown, from legacy	False Bay	Degrees Minutes Seconds	IZ	1320249614	http://n2t.net/ark:/65665/386c7408a-8d24-4d97-a8f6-c6a3fd48eff7	USNM 222679	USNM	FAL-708	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ascorhynchidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6									
2434399919	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:42.810+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE	-29.433333	31.766667					{}			1964.0	9.0	9.0	1964-09-09	253.0	253.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:42.810+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.200946@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False		Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	EUROPE	ZMA.PYC.200946@CRS		Naturalis Biodiversity Center	09 sep 1964				Chelicerata and Myriapoda	2434399919	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200946	ZMA.PYC.200946			Animalia|Ascorhynchidae		Naturalis Biodiversity Center	ICZN							
1836929638	cd6fe3a0-eee9-4066-8420-e36313ed833d	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T13:52:47.454+00:00	2024-01-25T00:34:43.975+00:00	251	{}	HUMAN_OBSERVATION		PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE	-33.8	25.78333			AFRICA		{}			1961.0	7.0	14.0	1961-07-14	195.0	195.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-01-25T00:34:43.975+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:IZIKO:8828'}]	[]	[]	[]			False				WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	urn:catalog:FBIP:IZIKO:8828	black mud rock				South Coast Dredge			1836929638	urn:catalog:FBIP:IZIKO:8828								SCD 262 U-Z						
2434400605	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:17.186+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1207/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1207_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1207/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	MALE	5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1958.0	8.0	19.0	1958-08-19	231.0	231.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:17.186+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1207@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1207_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1207/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1207@CRS		Naturalis Biodiversity Center	19.VIII.1958				Chelicerata and Myriapoda	2434400605	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1207	ZMA.PYC.P.1207			Animalia		Naturalis Biodiversity Center	ICZN							
2434399750	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.448+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1203/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1203_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1203/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	FEMALE	5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1929.0	12.0	20.0	1929-12-20	354.0	354.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:25.448+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1203@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1203_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1203/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.P.1203@CRS		Naturalis Biodiversity Center	20 dec. 1929				Chelicerata and Myriapoda	2434399750	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1203	ZMA.PYC.P.1203			Animalia		Naturalis Biodiversity Center	ICZN		Mortensen					
1275071039	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.995+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1903.0	4.0	29.0	1903-04-29T00:00	119.0	119.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']		2024-01-24T17:25:03.995+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071039'}]	[]	[]	[]			False					Pycnogonida		[]	[]			AFRICA	urn:catalog:IZIKO:SAM-A-10058					St. James,low tide			1275071039	urn:catalog:IZIKO:SAM-A-10058	SAM-A-10058								K.H.Barnard					
1275071049	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.982+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1903.0	8.0	21.0	1903-08-21T00:00	233.0	233.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-01-24T17:25:03.982+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071049'}]	[]	[]	[]			False					Pycnogonida		[]	[]			AFRICA	urn:catalog:IZIKO:SAM-A-10057					False Bay, Seal S.S.W. ½ miles.			1275071049	urn:catalog:IZIKO:SAM-A-10057	SAM-A-10057								S.S. Pieter Faure	Dredge on sand or shells.	P.F.17452	0-12 fms		
1275071056	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.858+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1901.0	8.0	29.0	1901-08-29T00:00	241.0	241.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-01-24T17:25:03.858+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071056'}]	[]	[]	[]			False					Pycnogonida		[]	[]			AFRICA	urn:catalog:IZIKO:SAM-A-10061					Stalwart Pt.N.N.W. 9 miles.			1275071056	urn:catalog:IZIKO:SAM-A-10061	SAM-A-10061								S.S. Pieter Faure	Dredge on sand or shells.	P.F.13547	0-53 fms		
1275071061	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.835+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1901.0	8.0	9.0	1901-08-09T00:00	221.0	221.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-01-24T17:25:03.835+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071061'}]	[]	[]	[]			False					Pycnogonida		[]	[]			AFRICA	urn:catalog:IZIKO:SAM-A-10054					Stalwart Pt.N.N.W. 9 miles.			1275071061	urn:catalog:IZIKO:SAM-A-10054	SAM-A-10054								S.S. Pieter Faure	Dredge on sand or stone	P.F.13574	0-53 fms		
1275071174	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862		5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.331+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT		5166749	1	54	354	9477065	4338615	2118490	5166749	5166749	Boehmia chelata (Bohm, 1879)	Boehmia chelata (Bohm, 1879)	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Boehmia	Boehmia chelata	Boehmia	chelata	SPECIES	ACCEPTED	NE							{}			1901.0	8.0	27.0	1901-08-27T00:00	239.0	239.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']		2024-01-24T17:25:04.331+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071174'}]	[]	[]	[]			False					Pycnogonida		[]	[]			AFRICA	urn:catalog:IZIKO:SAM-A-10135					Keishmma Point.NE by E 5miles			1275071174	urn:catalog:IZIKO:SAM-A-10135	SAM-A-10135								SS.Pieter Faure	Dredge	PA.A13574	0-33 fms		
