key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	depth	depthAccuracy
1318544413	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:13.886+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.65	-64.0	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	22.0	1971-10-22	295.0	295.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:37:13.886+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33b592d9c-5bd9-47f5-8926-b5af2df97b82'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/33b592d9c-5bd9-47f5-8926-b5af2df97b82	urn:lsid:biocol.org:col:34871	22 OCT 1971	unknown, from legacy	Staten Island	Degrees Minutes Seconds	USARP/HE/715/865/SOSC	IZ	1318544413	http://n2t.net/ark:/65665/33b592d9c-5bd9-47f5-8926-b5af2df97b82	USNM 234613	USNM	865	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		
1319693067	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:31.432+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.592	-63.979	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	22.0	1971-10-22	295.0	295.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:37:31.432+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/36e2a11dc-2f8e-467c-b9f5-0a8fb7231950'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/36e2a11dc-2f8e-467c-b9f5-0a8fb7231950	urn:lsid:biocol.org:col:34871	22 OCT 1971	unknown, from legacy	Staten Island	Degrees Minutes Seconds	USARP/HE/715/864/SOSC	IZ	1319693067	http://n2t.net/ark:/65665/36e2a11dc-2f8e-467c-b9f5-0a8fb7231950	USNM 234614	USNM	864	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	87.0	0.0
1319783975	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:45.578+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.48	-63.83	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	27.0	1971-10-27	300.0	300.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:37:45.578+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3723594cf-07e4-4505-a58a-ea694de3f0ef'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/3723594cf-07e4-4505-a58a-ea694de3f0ef	urn:lsid:biocol.org:col:34871	27 OCT 1971	unknown, from legacy	Staten Island	Degrees Minutes Seconds	USARP/HE/715/876/SOSC	IZ	1319783975	http://n2t.net/ark:/65665/3723594cf-07e4-4505-a58a-ea694de3f0ef	USNM 234609	USNM	876	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	112.0	0.0
1321492960	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:32.339+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	FEMALE	2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.48	-63.83	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	27.0	1971-10-27	300.0	300.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:38:32.339+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3bdba9dd1-b20b-427b-93e3-04888026999b'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/3bdba9dd1-b20b-427b-93e3-04888026999b	urn:lsid:biocol.org:col:34871	27 OCT 1971	unknown, from legacy	Staten Island	Degrees Minutes Seconds	USARP/HE/715/876/SOSC	IZ	1321492960	http://n2t.net/ark:/65665/3bdba9dd1-b20b-427b-93e3-04888026999b	USNM 234610	USNM	876	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	112.0	0.0
1321584159	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:14.029+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	FEMALE	2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.652	-63.835	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	26.0	1971-10-26	299.0	299.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:38:14.029+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c1c4b1e9-b1ce-430b-a616-7736b78142dc'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/3c1c4b1e9-b1ce-430b-a616-7736b78142dc	urn:lsid:biocol.org:col:34871	26 OCT 1971	unknown, from legacy	Staten Island	Degrees Minutes Seconds	USARP/HE/715/874/SOSC	IZ	1321584159	http://n2t.net/ark:/65665/3c1c4b1e9-b1ce-430b-a616-7736b78142dc	USNM 234611	USNM	874	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	136.0	1.0
1322317873	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:29.208+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.57	-65.83	Tierra del Fuego	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina, Tierra del Fuego	1971.0	10.0	26.0	1971-10-26	299.0	299.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:39:29.208+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e24c7cb0-8281-4c2b-a90d-3645b9549f0a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/3e24c7cb0-8281-4c2b-a90d-3645b9549f0a	urn:lsid:biocol.org:col:34871	26 OCT 1971	unknown, from legacy	Thetis Bay	Degrees Minutes Seconds	USARP/HE/715/873/SOSC	IZ	1322317873	http://n2t.net/ark:/65665/3e24c7cb0-8281-4c2b-a90d-3645b9549f0a	USNM 234612	USNM	873	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	118.0	0.0
318004681	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.114+00:00	124	{}	OCCURRENCE		PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.6166	-64.0		{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.114+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22576'}]	[]	[]	[]			False					WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE								SOMBASE Pycnogonids	318004681		22576	BAS				87.0	0.0
318004682	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.114+00:00	124	{}	OCCURRENCE		PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.65	-64.0		{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.114+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22577'}]	[]	[]	[]			False					WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE								SOMBASE Pycnogonids	318004682		22577	BAS					
318004683	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.114+00:00	124	{}	OCCURRENCE		PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.5666	-65.8333		{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.114+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22578'}]	[]	[]	[]			False					WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE								SOMBASE Pycnogonids	318004683		22578	BAS				118.0	0.0
318004684	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.113+00:00	124	{}	OCCURRENCE		PRESENT		2117957	1	54	354	9477065	6314	2117918	2117957	2117957	Austrodecus pushkini Child, 1994	Austrodecus pushkini Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus pushkini	Austrodecus	pushkini	SPECIES	ACCEPTED	NE	-54.65	-63.8333		{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.113+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22579'}]	[]	[]	[]			False					WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE								SOMBASE Pycnogonids	318004684		22579	BAS				136.0	1.0
