key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	recordedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locationID	footprintWKT	gbifID	language	collectionCode	occurrenceID	georeferenceSources	modified	references	datasetID	bibliographicCitation	locality
4081084201	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.660+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	4338500	1	54	354	9477065	2013	2117630	4338500	4338500	Nymphon trispinum Child, 1998	Nymphon trispinum Child, 1998	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon trispinum	Nymphon	trispinum	SPECIES	ACCEPTED	NE	-45.965	171.761667	100.0	1251.5	16.5	{}	1995.0	2.0	23.0	1995-02-23	54.0	54.0	HOLOTYPE	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.660+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5ff96e1e-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True	NIWA Invertebrate Collection	NZOI	Specimen(s), Alcohol unknown = 1	Trawl, type undefined	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5ff96e1e-fa36-11e2-96b3-aa6f927c92a3	7593	urn:lsid:marinespecies.org:taxname:240208	NIWA Invertebrate Collection	W460	POINT (171.7616667 -45.965)	4081084201	en	NIWA	5ff96e1e-fa36-11e2-96b3-aa6f927c92a3	GPS					
4055753590	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:09:42.759+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	4338500	1	54	354	9477065	2013	2117630	4338500	4338500	Nymphon trispinum Child, 1998	Nymphon trispinum Child, 1998	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon trispinum	Nymphon	trispinum	SPECIES	ACCEPTED	NE	-45.965	171.761673		1235.0		{}	1995.0	2.0	23.0	1995-02-23	54.0	54.0	HOLOTYPE	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INDIVIDUAL_COUNT_INVALID', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:09:42.759+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_90223'}]	[]	[]	[]	True					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_90223	sm_id_90223	urn:lsid:marinespecies.org:taxname:240208	WoRMS Editorial Board			4055753590		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_90223		2020-11-16T11:12:20.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=90223	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon trispinum</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240208	
318009074	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.628+00:00	124	{}	OCCURRENCE	PRESENT	4338500	1	54	354	9477065	2013	2117630	4338500	4338500	Nymphon trispinum Child, 1998	Nymphon trispinum Child, 1998	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon trispinum	Nymphon	trispinum	SPECIES	ACCEPTED	NE	-45.965	171.7616		1407.5	7.5	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.628+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34142'}]	[]	[]	[]	False					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34142		BAS			318009074		SOMBASE Pycnogonids							
4055736957	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:06:46.911+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	4338500	1	54	354	9477065	2013	2117630	4338500	4338500	Nymphon trispinum Child, 1998	Nymphon trispinum Child, 1998	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon trispinum	Nymphon	trispinum	SPECIES	ACCEPTED	NE	-45.97	171.76		1407.5	7.5	{}							HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:06:46.911+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1158'}]	[]	[]	[]	True					WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1158	sm_id_1158	urn:lsid:marinespecies.org:taxname:240208	WoRMS Editorial Board			4055736957		WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1158		2007-06-20T15:52:33.000+00:00	http://www.marinespecies.org/aphia.php?p=specdetails&id=1158	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Nymphon trispinum</i> Child, 1998. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240208	Pacific Ocean
