key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	gbifID	collectionCode	occurrenceID	collectionID	individualCount	stateProvince	waterBody	higherGeography	modified	institutionKey	collectionKey	datasetName	identifiedBy	preparations	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	institutionCode	locationID	higherClassification	rightsHolder	nomenclaturalCode	sex
2520587090	a0a4d131-f53f-43b2-a1ba-254473b8a006	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T07:19:20.199+00:00	2024-01-25T11:57:29.297+00:00	150	{}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE	27.616667	-84.216667	73.0	0.0	{}	1967	10	6	1967-10-06	279	279	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-25T11:57:29.297+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '385c63b2-1171-41ec-93cb-a2b09285b50c'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	112e8277-f2f5-44ed-a696-f35f73ee4d99	385c63b2-1171-41ec-93cb-a2b09285b50c	7267	urn:lsid:marinespecies.org:taxname:239951	2520587090	FSBC I	385c63b2-1171-41ec-93cb-a2b09285b50c	56bf7b66-ed07-4b91-9f0d-1f00de11fab8																					
1320400057	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:41.425+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE	27.62	-84.22	73.2	0.0	{}	1967	10	6	1967-10-06	279	279	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:41.425+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/38d71756e-2d0d-41ca-a926-6adbd5c92588'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		http://n2t.net/ark:/65665/38d71756e-2d0d-41ca-a926-6adbd5c92588	USNM 213522		1320400057	IZ	http://n2t.net/ark:/65665/38d71756e-2d0d-41ca-a926-6adbd5c92588	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2.0	Florida	North Atlantic Ocean, Gulf of Mexico	North Atlantic Ocean, Gulf of Mexico, United States, Florida	2014-10-21T08:04:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	06 OCT 1967	unknown, from legacy	85 Mile W Of Egmont Key	Degrees Minutes Seconds	USNM	E-67-344	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae			
2434362511	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:22.600+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1329/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1329_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1329/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE					{}	1896	2	4	1896-02-04	35	35	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:22.600+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1329@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1329_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1329/format/large'}]	[]	[]	False		Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	EUROPE		ZMA.PYC.P.1329@CRS	ZMA.PYC.P.1329		2434362511	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1329			Tortuge-Eil.			2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92				WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	4.II.1896						Animalia	Naturalis Biodiversity Center	ICZN	
2434399583	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:21.762+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1330/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1330_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1330/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE					{}	1896	2	1	1896-02-01	32	32	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:21.762+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1330@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1330_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1330/format/large'}]	[]	[]	False		Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	EUROPE		ZMA.PYC.P.1330@CRS	ZMA.PYC.P.1330		2434399583	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1330			Tortuge-Eil.			2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92				WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	1.II.1896						Animalia	Naturalis Biodiversity Center	ICZN	MALE
2434400114	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:15.698+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1331/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1331_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1331/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE					{}	1896	2	1	1896-02-01	32	32	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:15.698+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1331@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1331_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1331/format/large'}]	[]	[]	False		Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	EUROPE		ZMA.PYC.P.1331@CRS	ZMA.PYC.P.1331		2434400114	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1331			Tortuge-Eil.			2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92				WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	1.II.1896						Animalia	Naturalis Biodiversity Center	ICZN	FEMALE
2434401656	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.953+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1333/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1333_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1333/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	5166745	1	54	354	9477065	6313	2118215	5166745	5166745	Nymphopsis anarthra Loman, 1928	Nymphopsis anarthra Loman, 1928	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis anarthra	Nymphopsis	anarthra	SPECIES	ACCEPTED	NE					{}	1896	2	1	1896-02-01	32	32	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:41.953+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1333@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1333_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1333/format/large'}]	[]	[]	False		Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	EUROPE		ZMA.PYC.P.1333@CRS	ZMA.PYC.P.1333		2434401656	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1333			Tortuga Eil.			2020-04-03T00:00:00.000+00:00	0e919a55-08d3-4bd2-aec1-200858fafd92				WholeOrganism (microscopic slide)	Naturalis Biodiversity Center	1.II.1896						Animalia	Naturalis Biodiversity Center	ICZN	MALE
