key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	programmeAcronym	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	habitat	institutionCode	locality	fieldNumber	gbifID	language	collectionCode	occurrenceID	collectionID	continent	individualCount	preparations	municipality	county	networkKeys	sex	higherGeography	typeStatus	modified	institutionKey	collectionKey	datasetName	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification
3962573892	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.171+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-07-07T00:00:00	-41.759	-72.855	212.5	111.5	Llanquihue, Puerto Montt	{}	South-Eastern Pacific Ocean	2013	7	9	2013-07-09	190	190	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.171+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:4019'}]	[]	[]	[]	False	Javier Sellanes; Germán Zapata	René Arias	trawl	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:4019	SCBUCN-4019	mud	UCN	Carelmapu	571	3962573892	en	Zool	urn:scbucn.ucn.coq.cl:Zool:4019	scbucn.ucn.coq.cl																			
3962574720	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.423+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-07-03T00:00:00	-30.268	-71.576	41.0	1.0	Elqui	{}	South-Eastern Pacific Ocean	2011	8	31	2011-08-31	243	243	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.423+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:3481'}]	[]	[]	[]	False	Javier Sellanes	Javier Sellanes	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:3481	SCBUCN-3481	sand	UCN	El Panul	253	3962574720	en	Zool	urn:scbucn.ucn.coq.cl:Zool:3481	scbucn.ucn.coq.cl	SOUTH_AMERICA																		
3962573604	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:47.905+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-07-02T00:00:00	-46.903	-75.6	535.5	38.5	Puerto Aysén	{}	South-Eastern Pacific Ocean	2010	3	6	2010-03-06	65	65	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:47.905+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2216'}]	[]	[]	[]	False	Javier Sellanes	Javier Sellanes	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2216	SCBUCN-2216	mud	UCN	Golfo De Penas	195	3962573604	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2216	scbucn.ucn.coq.cl	SOUTH_AMERICA																		
3962575078	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.531+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-07-02T00:00:00	-36.383	-73.733	836.0	70.0	Concepción	{}	South-Eastern Pacific Ocean	2010	3	9	2010-03-09	68	68	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.531+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2981'}]	[]	[]	[]	False	Javier Sellanes	Javier Sellanes	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2981	SCBUCN-2981	mud	UCN	Tomé	198	3962575078	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2981	scbucn.ucn.coq.cl																			
3962571832	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:47.092+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-07-02T00:00:00	-36.374	-73.718	757.0	4.0	Concepción	{}	South-Eastern Pacific Ocean	2010	3	10	2010-03-10	69	69	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:47.092+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:3008'}]	[]	[]	[]	False	Javier Sellanes	Javier Sellanes	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:3008	SCBUCN-3008	mud	UCN	Tomé	199	3962571832	en	Zool	urn:scbucn.ucn.coq.cl:Zool:3008	scbucn.ucn.coq.cl																			
3962575796	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.726+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2018-11-29T00:00:00	-36.375	-73.719	744.0	20.0	Ñuble	{}	South-Eastern Pacific Ocean	2010	3	9	2010-03-09	68	68	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.726+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:7669'}]	[]	[]	[]	False	Javier Sellanes	Jorge Avilés	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:7669	SCBUCN-7669	mud	UCN	Quirihue	196	3962575796	en	Zool	urn:scbucn.ucn.coq.cl:Zool:7669	scbucn.ucn.coq.cl		1.0	whole animal (ETOH)	Quirihue	Itata														
3962575651	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.698+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-06-28T00:00:00	-29.39	-71.62	359.5	3.5	Elqui	{}	South-Eastern Pacific Ocean	2006	8	5	2006-08-05	217	217	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.698+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2037'}]	[]	[]	[]	False	Patricio Bravo	Jorge Avilés	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2037	SCBUCN-2037	mud	UCN	Chungungo	41	3962575651	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2037	scbucn.ucn.coq.cl																			
3962571430	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:46.883+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-06-28T00:00:00	-35.046	-72.667	464.5	1.5	Talca	{}	South-Eastern Pacific Ocean	2006	8	20	2006-08-20	232	232	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:46.883+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2591'}]	[]	[]	[]	False	Patricio Bravo	Javier Sellanes	dredge	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2591	SCBUCN-2591	mud	UCN	Constitución	118	3962571430	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2591	scbucn.ucn.coq.cl																			
3962575309	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.587+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-06-28T00:00:00	-29.568	-71.521	453.0	6.0	Elqui, La Higuera	{}	South-Eastern Pacific Ocean	2006	8	8	2006-08-08	220	220	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.587+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2892'}]	[]	[]	[]	False	Patricio Bravo	Javier Sellanes	trawl	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2892	SCBUCN-2892	mud	UCN	Chungungo	50	3962575309	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2892	scbucn.ucn.coq.cl	SOUTH_AMERICA																		
3962575304	c2d8bc68-8f4d-465e-80b2-734a4bb9d806	b71c3d3c-8048-43d5-bfb8-b88f9510de95	faeb021c-ab9f-4c80-9587-3749a8f6fb23	bf0d80b3-46da-4e60-b1cf-39f2320acb43	CL	EML	2023-03-04T08:16:52.117+00:00	2024-01-25T00:11:48.587+00:00	222	CESP2017-0007	CESP	{}	PRESERVED_SPECIMEN	PRESENT	2117434	1	54	354	9477065	3254684	2117433	2117434	2117434	Pallenopsis notiosa Child, 1992	Pallenopsis notiosa Child, 1992	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis notiosa	Pallenopsis	notiosa	SPECIES	ACCEPTED	NE	2015-06-28T00:00:00	-32.086	-71.685	492.0	2.0	Choapa	{}	South-Eastern Pacific Ocean	2006	8	13	2006-08-13	225	225	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_COORDINATE_MISMATCH', 'INSTITUTION_MATCH_NONE']	2024-01-25T00:11:48.587+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:scbucn.ucn.coq.cl:Zool:2897'}]	[]	[]	[]	False	Patricio Bravo	Javier Sellanes	trawl	WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	LATIN_AMERICA	urn:scbucn.ucn.coq.cl:Zool:2897	SCBUCN-2897	mud	UCN	Los Vilos	72	3962575304	en	Zool	urn:scbucn.ucn.coq.cl:Zool:2897	scbucn.ucn.coq.cl																			
