key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	identifier	catalogNumber	locality	gbifID	occurrenceID	occurrenceRemarks	recordNumber	verbatimDepth	networkKeys	modified	institutionKey	collectionKey	institutionCode	collectionCode	collectionID	decimalLatitude	decimalLongitude	continent	geodeticDatum	countryCode	gbifRegion	country	eventID	typeStatus
1275071142	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.476+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}	1969.0	2.0	17.0	1969-02-17T00:00	48.0	48.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.476+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071142'}]	[]	[]	[]	False	Penriths & Kensley	Kensley	Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10171	SAM-A-10171	Agate Beach,Ludritz.	1275071142	urn:catalog:IZIKO:SAM-A-10171																			
1275071150	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.462+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}	1969.0	2.0	17.0	1969-02-17T00:00	48.0	48.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.462+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071150'}]	[]	[]	[]	False	Penriths & Kensley		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10170	SAM-A-10170	Agate Beach,Ludritz.	1275071150	urn:catalog:IZIKO:SAM-A-10170	Conf.Arnaud																		
1275070995	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:24:58.787+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:24:58.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275070995'}]	[]	[]	[]	False			Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10062	SAM-A-10062	East London	1275070995	urn:catalog:IZIKO:SAM-A-10062																			
1275071041	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.991+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:03.991+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071041'}]	[]	[]	[]	False	G. Gilchrist		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10063	SAM-A-10063	Table Bay sewage outlet	1275071041	urn:catalog:IZIKO:SAM-A-10063																			
1275071121	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.360+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.360+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071121'}]	[]	[]	[]	False	Gilchrist		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10119	SAM-A-10119	Table Bay. Sewage outlet. Littoral.	1275071121	urn:catalog:IZIKO:SAM-A-10119																			
1275071158	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.455+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.455+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071158'}]	[]	[]	[]	False	Stephenson		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10132	SAM-A-10132	Port Elizaberth.Littoral	1275071158	urn:catalog:IZIKO:SAM-A-10132																			
1275071192	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.286+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:04.286+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071192'}]	[]	[]	[]	False	UCT Ecological Survey		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10206	SAM-A-10206	Port Elizaberth Shore Station	1275071192	urn:catalog:IZIKO:SAM-A-10206		E66																	
1275071197	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.283+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.283+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071197'}]	[]	[]	[]	False	SS.Pieter Faure		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10136	SAM-A-10136	Seal Island.False Bay.SSW.½ miles.	1275071197	urn:catalog:IZIKO:SAM-A-10136		PF.A907	0-12 fms																
1275071256	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.328+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.328+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071256'}]	[]	[]	[]	False	Emmerson -K		Pycnogonida	[]	[]	AFRICA	urn:catalog:IZIKO:SAM-A-10157	SAM-A-10157	Off Orange R.Mouth	1275071256	urn:catalog:IZIKO:SAM-A-10157	Male																		
1019678942	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:42.048+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1910', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Nymphopsis;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Hodgson, 1910', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|220681', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Nymphopsis', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'cuspidata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|25390', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Nymphopsis cuspidata Hodgson, 1910'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	5166736	1	54	354	9477065	6313	2118215	5166736	5166736	Nymphopsis cuspidata Hodgson, 1910	Nymphopsis cuspidata Hodgson, 1910	Animalia	Arthropoda	Pantopoda	Ammotheidae	Nymphopsis	Nymphopsis cuspidata	Nymphopsis	cuspidata	SPECIES	ACCEPTED	NE	{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:42.048+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5018'}]	[]	[]	[]	False		Arnaud F.	Pycnogonida	[]	[]	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5018	2009-5018		1019678942	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-5018				['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	2019-11-18T12:21:03.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	MNHN	IU	10.15468/qgvvhd									
