key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	elevation	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	combinationAuthors	verbatimScientificName	locality	gbifID	occurrenceID	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	networkKeys	depth	modified	institutionKey	collectionKey	identifiedBy	catalogNumber	institutionCode	fieldNumber	verbatimLocality	collectionCode	collectionID	projectId	programmeAcronym	waterBody	datasetName	recordedBy	eventID	scientificNameID	language	institutionID	typeStatus	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	datasetID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	http://unknown.org/orders	infraspecificEpithet	otherCatalogNumbers	preparations	acceptedNameUsage	eventRemarks	associatedSequences	taxonConceptID	verbatimIdentification	occurrenceRemarks	depthAccuracy	bibliographicCitation
4012366528	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.803+00:00	84	{}	MATERIAL_CITATION	4.0	PRESENT	MALE	2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.498333	-61.09	28.0	NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:53.803+00:00	https://treatment.plazi.org/id/03A95E063E2CFF83FDBA0765005FBDF4#3B68E54D3E2CFF82FC8005B803B5B88A	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FC8005B803B5B88A'}]	[]	[]	[]	True	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FC8005B803B5B88A	Stock	Callipallene longicoxa Stock, 1955	Grande Anse d'Arlets	4012366528	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FC8005B803B5B88A	1 ♂, 1 ♂ ov., 2 ♀♀, 2 juvs; same collection data as for preceding; MNHN-IU- 2016 - 1277	03A95E063E2CFF83FDBA0765005FBDF4.taxon	1955	Callipallene longicoxa																																											
4012366318	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:52.539+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT	MALE	2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.498333	-61.09	28.0	NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:52.539+00:00	https://treatment.plazi.org/id/03A95E063E2CFF83FDBA0765005FBDF4#3B68E54D3E2CFF82FF40055B0201B8EC	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF40055B0201B8EC'}]	[]	[]	[]	True	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF40055B0201B8EC	Stock	Callipallene longicoxa Stock, 1955	Grande Anse d'Arlets	4012366318	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF40055B0201B8EC	MARTINIQUE • 1 ♂ carrying larvae; Grande Anse d’Arlets; 14 ° 29.9 ʹ N, 61 ° 05.4 ʹ W; depth 28 m; 7 Sep. 2016; st. AB 157; MNHN-IU- 2016 - 841 / MK 411155	03A95E063E2CFF83FDBA0765005FBDF4.taxon	1955	Callipallene longicoxa																																											
1945782498	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.129+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1955', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Callipallene;Callipallenidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1955', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414534', 'http://rs.tdwg.org/dwc/terms/family': 'Callipallenidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Callipallene', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'longicoxa', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52207', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Callipallene longicoxa Stock, 1955'}]}	PRESERVED_SPECIMEN	6.0	PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.4975	-61.089999		NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.129+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1277'}]	[]	[]	[]	True	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1277			Grande Anse d'Arlet	1945782498	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1277					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	28.0	2015-06-19T19:23:01.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Sabroux R.	2016-1277	MNHN	MADIBENTHOS/AB157	Pointe Lézarde	IU	10.15468/qgvvhd																															
1945782789	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:53.794+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1955', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Callipallene;Callipallenidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1955', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414721', 'http://rs.tdwg.org/dwc/terms/family': 'Callipallenidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Callipallene', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'longicoxa', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52207', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Callipallene longicoxa Stock, 1955'}]}	PRESERVED_SPECIMEN	1.0	PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.4975	-61.089999		NORTH_AMERICA	{}	2016.0	9.0	7.0	2016-09-07	251.0	251.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:53.794+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-841'}]	[]	[]	[]	True	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-841			Grande Anse d'Arlet	1945782789	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-841					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	28.0	2015-06-19T19:23:01.000+00:00	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	Sabroux R.	2016-841	MNHN	MADIBENTHOS/AB157	Pointe Lézarde	IU	10.15468/qgvvhd																															
3886059977	b8a82fe0-9e10-4507-9201-b4bf12a64d59	1e9400fa-ce73-4737-9eaa-f25df148945c	b68add0c-c5b6-451a-818c-203a0253bac9	1e9400fa-ce73-4737-9eaa-f25df148945c	VE	EML	2024-01-23T17:44:57.946+00:00	2024-01-26T12:45:58.723+00:00	15	{}	HUMAN_OBSERVATION		PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	10.983568	-64.157809		SOUTH_AMERICA	{'level0': {'gid': 'VEN', 'name': 'Venezuela'}, 'level1': {'gid': 'VEN.18_1', 'name': 'Nueva Esparta'}, 'level2': {'gid': 'VEN.18.10_1', 'name': 'Peninsula de Macanao'}}	2012.0			2012			[]	2024-01-26T12:45:58.723+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'BMLR_VT_TGECAM_CM_E2_SP4'}]	[]	[]	[]	False	WGS84	Pycnogonida	VE	[]	[]	LATIN_AMERICA	Venezuela (Bolivarian Republic of)	LATIN_AMERICA	BMLR_VT_TGECAM_CM_E2_SP4				3886059977	BMLR_VT_TGECAM_CM_E2_SP4					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']					Claudina Mata							BID-CA2020-025-NAC	BID	Caribbean Sea	biodiversidad-larestinga	Claudina Mata	BMLR_VT_TGECAM_CM_E2	urn:lsid:marinespecies.org:taxname:240035	en																							
1122950246	afaa80a2-6167-47e1-baae-5450206d07dd	0674aea0-a7e1-11d8-9534-b8a03c50a862	6038e54e-f762-11e1-a439-00145eb45e9a	0674aea0-a7e1-11d8-9534-b8a03c50a862	DE	BIOCASE	2024-06-07T15:52:29.772+00:00	2024-06-07T15:53:06.229+00:00	349	{}	PRESERVED_SPECIMEN		PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE					{}	1985.0	12.0	15.0	1985-12-15	349.0	349.0	['REFERENCES_URI_INVALID', 'COLLECTION_MATCH_NONE']	2024-06-07T15:53:06.229+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://id.snsb.info/zsm/collection_zsm/545189/610323/498600'}]	[]	[]	[]	False		Pycnogonida	CO	[]	[]	LATIN_AMERICA	Colombia	EUROPE	http://id.snsb.info/zsm/collection_zsm/545189/610323/498600			Dept. Magdalena, Santa Marta, Punta de Betin	1122950246	http://id.snsb.info/zsm/collection_zsm/545189/610323/498600					['17abcf75-2f1e-46dd-bf75-a5b21dd02655']			774f65a5-ed87-4356-9515-ea9fd8d68650			ZSM-A-20071659 / 610323 / 498600	SNSB-ZSM			ZSMarthrovariacoll						Müller, Hans-Georg				http://grscicoll.org/institution/bavarian-state-collection-zoology																						
4012366422	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.325+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE					{}							['TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:53.325+00:00	https://treatment.plazi.org/id/03A95E063E2CFF83FDBA0765005FBDF4#3B68E54D3E2CFF82FF4004530288B9E7	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004530288B9E7'}]	[]	[]	[]	True		Pycnogonida		[]	[]			EUROPE	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004530288B9E7	Stock	Callipallene longicoxa Stock, 1955		4012366422	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004530288B9E7	Callipallene brevirostris longicoxa Stock, 1955. Holotype: NHMD 110621 (not examined). Type locality: off Calf and Cow, St James Bay, St Thomas (Virgin Islands).	03A95E063E2CFF83FDBA0765005FBDF4.taxon	1955	Callipallene longicoxa																						HOLOTYPE																					
4012366494	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862	7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.660+00:00	84	{}	MATERIAL_CITATION	1.0	PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE				NORTH_AMERICA	{}							['CONTINENT_DERIVED_FROM_COUNTRY', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-19T16:28:53.660+00:00	https://treatment.plazi.org/id/03A95E063E2CFF83FDBA0765005FBDF4#3B68E54D3E2CFF82FF4004CE0028B840	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004CE0028B840'}]	[]	[]	[]	True		Pycnogonida	BZ	[]	[]	LATIN_AMERICA	Belize	EUROPE	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004CE0028B840	Stock	Callipallene longicoxa Stock, 1955	Carrie Bow Cay	4012366494	03A95E063E2CFF83FDBA0765005FBDF4.mc.3B68E54D3E2CFF82FF4004CE0028B840	Callipallene belizae Child, 1982. Holotype: USNM 171035 (not examined). Type locality: Carrie Bow Cay, Belize.	03A95E063E2CFF83FDBA0765005FBDF4.taxon	1955	Callipallene longicoxa				586ee56e-b0fe-4dff-b7f9-aeb104f3308a			USNM 171035	USNM														HOLOTYPE																					
4547988328	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:26.665+00:00	57	{}	HUMAN_OBSERVATION		PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.65485	-61.01929		NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.3_1', 'name': 'Saint-Joseph'}}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:26.665+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '22ca6b23-dd8c-4832-a32d-e85a793247c0'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	22ca6b23-dd8c-4832-a32d-e85a793247c0				4547988328	22ca6b23-dd8c-4832-a32d-e85a793247c0		928405																				22ca6b23-dd8c-4832-a32d-e85a793247c0					26983.0	275.37364700437337	EB6380B5-80AF-5935-E053-0514A8C08744	fr | en	Callipallene longicoxa Stock, 1955	Martinique	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.												
3935067613	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.053+00:00	10	{}	HUMAN_OBSERVATION		PRESENT		2118115	1	54	354	9477065	2011	2118112	2118115	2118115	Callipallene longicoxa Stock, 1955	Callipallene longicoxa Stock, 1955	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene longicoxa	Callipallene	longicoxa	SPECIES	ACCEPTED	NE	14.65485	-61.01929		NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.1_1', 'name': 'Fort-de-France'}, 'level2': {'gid': 'MTQ.1.3_1', 'name': 'Saint-Joseph'}}							['COUNTRY_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.053+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '7fc9de3a-15cb-4f30-91f9-3aaf334dbaba'}]	[]	[]	[]	False	WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE	7fc9de3a-15cb-4f30-91f9-3aaf334dbaba				3935067613	7fc9de3a-15cb-4f30-91f9-3aaf334dbaba		928405																				7fc9de3a-15cb-4f30-91f9-3aaf334dbaba					26983.0	275.37364700437337	D2B0CE86-7C29-1275-E053-5514A8C0FBF9		Callipallene longicoxa Stock, 1955	Martinique	TaxREF	Probable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	Pantopoda											
