key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	otherCatalogNumbers	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	dynamicProperties	fieldNumber	gbifID	collectionCode	occurrenceID	higherClassification	sex	continent	waterBody	higherGeography	modified	collectionKey	datasetName	recordedBy	identifiedBy	preparations	institutionID	verbatimEventDate	georeferenceProtocol	georeferenceRemarks	locality	verbatimCoordinateSystem	locationID	collectionID	islandGroup	references	datasetID	scientificNameID	bibliographicCitation	nomenclaturalCode	stateProvince	coordinateUncertaintyInMeters	eventID	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	taxonID	http://unknown.org/orders	type
318004360	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.880+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-52.4166	-68.1833	22.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.880+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22252'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22252	BAS			318004360	SOMBASE Pycnogonids																																						
318004361	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.802+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-55.7833	-66.275	115.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.802+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22253'}]	[]	[]	[]		False		WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	EUROPE		22253	BAS			318004361	SOMBASE Pycnogonids																																						
318004362	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.799+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-54.45	-66.2	31.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.799+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22254'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22254	BAS			318004362	SOMBASE Pycnogonids																																						
318004363	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.799+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-52.9333	-75.0	96.0	4.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.799+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22255'}]	[]	[]	[]		False		WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	EUROPE		22255	BAS			318004363	SOMBASE Pycnogonids																																						
318004364	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.805+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-52.6666	-74.9666	64.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.805+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22256'}]	[]	[]	[]		False		WGS84	Pycnogonida	CL	[]	[]	LATIN_AMERICA	Chile	EUROPE		22256	BAS			318004364	SOMBASE Pycnogonids																																						
318004365	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.806+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-53.6666	-66.3333	81.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.806+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22257'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22257	BAS			318004365	SOMBASE Pycnogonids																																						
318004366	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.803+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-53.7	-66.3166	81.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.803+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22258'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22258	BAS			318004366	SOMBASE Pycnogonids																																						
318004367	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.804+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-54.7666	-65.05	247.0	18.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.804+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22259'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22259	BAS			318004367	SOMBASE Pycnogonids																																						
318004368	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.789+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-53.5333	-64.95	121.5	2.5	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.789+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22260'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22260	BAS			318004368	SOMBASE Pycnogonids																																						
318004369	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.787+00:00	124	{}	OCCURRENCE		PRESENT		2117934	1	54	354	9477065	6314	2117918	2117934	2117934	Austrodecus curtipes Stock, 1957	Austrodecus curtipes Stock, 1957	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus curtipes	Austrodecus	curtipes	SPECIES	ACCEPTED	NE	-52.5833	-65.1333	128.0	0.0	{}								['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22261'}]	[]	[]	[]		False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		22261	BAS			318004369	SOMBASE Pycnogonids																																						
