key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	gbifID	collectionCode	occurrenceID	higherClassification	recordedBy	locality	sex	typeStatus	elevation	continent	stateProvince	references	combinationAuthors	verbatimScientificName	http://unknown.org/verbatimLabel	taxonID	combinationYear	http://unknown.org/canonicalName	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	datasetID	eventID	originalNameUsage	county	identificationVerificationStatus	nameAccordingTo	associatedReferences	http://unknown.org/orders	http://unknown.org/language
2434399756	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:25.995+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE	-30.366667	-48.683333	{}	1972.0	8.0	3.0	1972-08-03	216.0	216.0	['COORDINATE_ROUNDED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:25.995+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3481@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Stock J.H.	WholeOrganism (wet specimen)	WGS84	Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3481@CRS	ZMA.PYC.3481	ICZN	Naturalis Biodiversity Center	03 aug 1972	2434399756	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3481	Animalia|Pallenopsidae																									
2434360610	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.464+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1970.0	8.0	31.0	1970-08-31	243.0	243.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:34.464+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.393@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.393@CRS	RMNH.PYC.393	ICZN	Naturalis Biodiversity Center	31 aug. 1970	2434360610	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.393	Animalia|Nymphonidae	Luymes Guyana Shelf Exp.	sta. 63																							
2434361231	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:30.265+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1970.0	8.0	31.0	1970-08-31	243.0	243.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:30.265+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.396@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.396@CRS	RMNH.PYC.396	ICZN	Naturalis Biodiversity Center	31 aug. 1970	2434361231	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.396	Animalia|Nymphonidae	Lymes Gyana Shelf Exp.	sta. 65																							
2434366898	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:24.921+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1969.0	4.0	16.0	1969-04-16	106.0	106.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:24.921+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.391@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.391@CRS	RMNH.PYC.391	ICZN	Naturalis Biodiversity Center	16 april 1969	2434366898	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.391	Animalia|Nymphonidae	O.C.P.S. 11	sta. M 98																							
2434360257	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:35.770+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1969.0	4.0	12.0	1969-04-12	102.0	102.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:35.770+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.392@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.392@CRS	RMNH.PYC.392	ICZN	Naturalis Biodiversity Center	12 april 1969	2434360257	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.392	Animalia|Nymphonidae	O.C.P.S. 11	sta. L 90																							
2434360525	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:34.803+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1969.0	4.0	12.0	1969-04-12	102.0	102.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:34.803+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.394@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.394@CRS	RMNH.PYC.394	ICZN	Naturalis Biodiversity Center	12 april 1969	2434360525	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.394	Animalia|Nymphonidae	O.C.P.S. 11	sta. L 90																							
2434361335	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:33.582+00:00	393	{}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1969.0	4.0	11.0	1969-04-11	101.0	101.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:33.582+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.395@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.395@CRS	RMNH.PYC.395	ICZN	Naturalis Biodiversity Center	11 april 1969	2434361335	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.395	Animalia|Nymphonidae	O.C.P.S. 11	sta. M 86																							
2434401266	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.146+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1357/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1357_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1357/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1967.0	11.0	18.0	1967-11-18	322.0	322.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:41.146+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1357@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1357_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1357/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	True		WholeOrganism (microscopic slide)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1357@CRS	ZMA.PYC.P.1357	ICZN	Naturalis Biodiversity Center	18.XI.1967	2434401266	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1357	Animalia			FEMALE	HOLOTYPE																					
2434359384	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:42.590+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1966.0	5.0	10.0	1966-05-10	130.0	130.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:42.590+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.303@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.303@CRS	RMNH.PYC.303	ICZN	Naturalis Biodiversity Center	10 mei 1966	2434359384	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.303	Animalia|Nymphonidae	Snellius O.C.P.S. exp.	sta. G 56																							
2434358882	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:40.926+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117474	1	54	354	9477065	3254684	2117433	2117474	2117474	Pallenopsis kempfi Stock, 1975	Pallenopsis kempfi Stock, 1975	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis kempfi	Pallenopsis	kempfi	SPECIES	ACCEPTED	NE			{}	1966.0	5.0	11.0	1966-05-11	131.0	131.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2014-10-08T00:00:00.000+00:00	2024-07-23T00:33:40.926+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.304@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False		WholeOrganism (alcohol)		Pycnogonida		[]	[]			EUROPE	Naturalis Biodiversity Center	RMNH.PYC.304@CRS	RMNH.PYC.304	ICZN	Naturalis Biodiversity Center	11 mei 1966	2434358882	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.304	Animalia|Nymphonidae	Snellius O.C.P.S. exp.	sta. H 58																							
