key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	gadm	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	gbifID	nameAccordingTo	occurrenceID	taxonID	http://unknown.org/orders	references	associatedSequences	catalogNumber	taxonConceptID	occurrenceRemarks	depth	depthAccuracy	institutionCode	collectionCode
4547810294	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:25.637+00:00	57	{}	HUMAN_OBSERVATION	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:25.637+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1502b928-046b-4429-9097-aea8c2243417'}]	[]	[]	[]	False	EB6380B5-80AF-5935-E053-0514A8C08744	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	1502b928-046b-4429-9097-aea8c2243417	1502b928-046b-4429-9097-aea8c2243417	fr | en	Colossendeis belekurovi Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	4547810294	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	1502b928-046b-4429-9097-aea8c2243417	815641										
3935087106	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:38.470+00:00	10	{}	HUMAN_OBSERVATION	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:38.470+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a3415c70-2cd3-45df-803f-5b3dce28cd2c'}]	[]	[]	[]	False	D2B0CE86-7C29-1275-E053-5514A8C0FBF9	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	a3415c70-2cd3-45df-803f-5b3dce28cd2c	a3415c70-2cd3-45df-803f-5b3dce28cd2c		Colossendeis belekurovi Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	3935087106	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	a3415c70-2cd3-45df-803f-5b3dce28cd2c	815641	Pantopoda									
3818420104	d8cd16ba-bb74-4420-821e-083f2bac17c2	ada9d123-ddb4-467d-8891-806ea8d94230	17a83780-3060-4851-9d6f-029d5fcb81c9	fbca90e3-8aed-48b1-84e3-369afbd000ce	GB	EML	2024-07-20T12:06:08.628+00:00	2024-07-20T12:51:02.279+00:00	175	{}	PRESERVED_SPECIMEN	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE				{}	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-07-20T12:51:02.279+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	True	[{'identifier': 'MT867506'}]	[]	[]	[]	False			Pycnogonida		[]	[]			EUROPE		MT867506						3818420104		MT867506	ASV:703da1fae1a7905dab82b05ca7e17a6e		https://www.ebi.ac.uk/ena/browser/view/MT867506	https://www.ebi.ac.uk/ena/browser/api/embl/MT867506	MNHN:ALC452-010TUBE-B	https://www.ebi.ac.uk/ena/browser/view/Taxon:2775105	Colossendeis belekurovi isolate PYC131 ultraconserved element UCE1241 genomic sequence.				
318006055	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.010+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-46.73	51.3166		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.010+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37846'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006055							37846			320.0	0.0	BAS	SOMBASE Pycnogonids
318006056	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.899+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-45.98	50.8483		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.899+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37850'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006056							37850			165.0	0.0	BAS	SOMBASE Pycnogonids
318006057	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.900+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-45.7216	50.6516		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.900+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37852'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006057							37852			158.0	0.0	BAS	SOMBASE Pycnogonids
318006058	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.901+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-45.8966	50.2316		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.901+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37856'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006058							37856			168.0	0.0	BAS	SOMBASE Pycnogonids
318006059	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.903+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-46.25	49.53		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.903+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37859'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006059							37859			260.0	10.0	BAS	SOMBASE Pycnogonids
318006061	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.931+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-45.7316	50.25		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.931+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37872'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006061							37872			173.0	0.0	BAS	SOMBASE Pycnogonids
318006062	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.023+00:00	124	{}	OCCURRENCE	PRESENT	4338385	1	54	354	9477065	2012	2117538	4338385	4338385	Colossendeis belekurovi Pushkin, 1993	Colossendeis belekurovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis belekurovi	Colossendeis	belekurovi	SPECIES	ACCEPTED	NE	-45.8666	49.75		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.023+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37880'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE								318006062							37880			247.5	2.5	BAS	SOMBASE Pycnogonids
