key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	locality	gbifID	collectionCode	occurrenceID	coordinateUncertaintyInMeters	datasetName	recordedBy	preparations	samplingProtocol	locationID	footprintWKT	language	georeferenceSources	individualCount	sex	waterBody	higherGeography	typeStatus	institutionKey	collectionKey	identifiedBy	institutionID	verbatimCoordinateSystem	higherClassification	collectionID
240912381	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:48.336+00:00	242	{}	HUMAN_OBSERVATION	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-70.515	-10.736667	1586.0	0.0	{}	1996.0	3.0	2.0	1996-03-02	62.0	62.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2010-05-11T18:09:00.000+00:00	2024-01-24T20:20:48.336+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2847'}]	[]	[]	[]	False	IMIS:dasid:2432	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2847	2847	urn:lsid:marinespecies.org:taxname:173523	AWI	Kapp Norvegia area	240912381	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2847																					
4081067643	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.523+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-44.79	178.996667	1947.5	15.5	{}	1993.0	9.0	14.0	1993-09-14	257.0	257.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.523+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f3e375c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5f3e375c-fa36-11e2-96b3-aa6f927c92a3	7443	urn:lsid:marinespecies.org:taxname:173523	NIWA Invertebrate Collection		4081067643	NIWA	5f3e375c-fa36-11e2-96b3-aa6f927c92a3	100.0	NIWA Invertebrate Collection	NIWA	Specimen(s), None = 1	Trawl, Agassiz medium	W247B	LINESTRING (178.9966667 -44.79, 178.9516667 -44.81)	en	GPS												
4081101477	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.391+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-42.116667	175.136667	2619.0	0.0	{}	1979.0	11.0	1.0	1979-11-01	305.0	305.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.391+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5cbfd328-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5cbfd328-fa36-11e2-96b3-aa6f927c92a3	7437	urn:lsid:marinespecies.org:taxname:173523	NIWA Invertebrate Collection		4081101477	NIWA	5cbfd328-fa36-11e2-96b3-aa6f927c92a3	500.0	NIWA Invertebrate Collection	NZOI	Specimen(s), None = 2	Sled, epibenthic	S203	POINT (175.1366667 -42.1166667)	en													
4081110695	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.284+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-42.245	175.1433	2476.0	0.0	{}	1979.0	11.0	2.0	1979-11-02	306.0	306.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:23.284+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5fb7e7fa-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA	5fb7e7fa-fa36-11e2-96b3-aa6f927c92a3	7435	urn:lsid:marinespecies.org:taxname:173523	NIWA Invertebrate Collection		4081110695	NIWA	5fb7e7fa-fa36-11e2-96b3-aa6f927c92a3	500.0	NIWA Invertebrate Collection	NZOI	Specimen(s), None = 250	Sled, epibenthic	S202	POINT (175.1433 -42.245)	en													
1318955409	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:09.485+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117642	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon spicatum Child, 1982	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	spicatum	SPECIES	SYNONYM	NE	-52.3933	-37.6133	3818.5	3.5	{}	1971.0	3.0	14.0	1971-03-14	73.0	73.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'PRESUMED_SWAPPED_COORDINATE', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-10-11T14:28:00.000+00:00	2024-07-02T12:39:09.485+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/34d8743d8-2037-4e81-8da6-9bce0ec82737'}]	[]	[]	[]	False		WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/34d8743d8-2037-4e81-8da6-9bce0ec82737	USNM 181047		USNM	Argentine Basin	1318955409	IZ	http://n2t.net/ark:/65665/34d8743d8-2037-4e81-8da6-9bce0ec82737		NMNH Extant Biology	Woods Hole Oceanographic Institution	Alcohol (Ethanol)		243				1.0	FEMALE	South Atlantic Ocean	South Atlantic Ocean, Argentina	HOLOTYPE	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	urn:lsid:biocol.org:col:34871	Degrees Minutes Seconds	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6
318008455	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.768+00:00	124	{}	OCCURRENCE	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-70.515	-10.7367	1586.0	0.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.768+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:21519'}]	[]	[]	[]	False		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		21519		BAS		318008455	SOMBASE Pycnogonids																						
318008525	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.946+00:00	124	{}	OCCURRENCE	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-64.0166	-67.75	2790.5	27.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.946+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22970'}]	[]	[]	[]	False		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		22970		BAS		318008525	SOMBASE Pycnogonids																						
318009075	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.592+00:00	124	{}	OCCURRENCE	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-42.1166	175.1366	2623.0	4.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.592+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34143'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34143		BAS		318009075	SOMBASE Pycnogonids																						
318009076	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.591+00:00	124	{}	OCCURRENCE	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-42.175	175.99	2639.5	37.5	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'DEPTH_MIN_MAX_SWAPPED', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.591+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34144'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34144		BAS		318009076	SOMBASE Pycnogonids																						
318009077	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.591+00:00	124	{}	OCCURRENCE	PRESENT	2117687	1	54	354	9477065	2013	2117630	2117687	2117687	Nymphon typhlops (Hodgson, 1915)	Nymphon typhlops (Hodgson, 1915)	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon typhlops	Nymphon	typhlops	SPECIES	ACCEPTED	NE	-42.245	175.1433	2524.0	48.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:23.591+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34145'}]	[]	[]	[]	False		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE		34145		BAS		318009077	SOMBASE Pycnogonids																						
