key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	preparations	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	gbifID	collectionCode	occurrenceID	higherClassification	individualCount	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	stateProvince	waterBody	higherGeography	collectionKey	datasetName	recordedBy	identifiedBy	geodeticDatum	countryCode	gbifRegion	country	locality	verbatimCoordinateSystem	fieldNumber	institutionCode	locationID	collectionID	otherCatalogNumbers	dynamicProperties	sex
2434361525	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:41.672+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1463/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1463_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1463/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}	1928.0	5.0	20.0	1928-05-20	141.0	141.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:41.672+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1463@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1463_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1463/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	WholeOrganism (microscopic slide)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1463@CRS	ZMA.PYC.P.1463	ICZN	Naturalis Biodiversity Center	20.V.1928	2434361525	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1463	Animalia																										
1321207089	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:35.414+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}	1908.0	3.0	5.0	1908-03-05	65.0	65.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-09-29T12:53:00.000+00:00	2024-07-02T12:39:35.414+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3b11b14a6-021c-4bc9-a1ce-3d2089ffcd84'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3b11b14a6-021c-4bc9-a1ce-3d2089ffcd84	USNM 78567		urn:lsid:biocol.org:col:34871		1321207089	IZ	http://n2t.net/ark:/65665/3b11b14a6-021c-4bc9-a1ce-3d2089ffcd84	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	1.0	6.0625	120.95	37.0	0.0	ASIA	Sulu	North Pacific Ocean	North Pacific Ocean, Philippines, Sulu	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	United States Fish Commission	Cole, L. J.	WGS84	PH	ASIA	Philippines	Jolo Island, Candea Point	Degrees Minutes Seconds	USFC/A5174	USNM	5174	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			
1057441370	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:19:03.381+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 129', 'http://purl.org/dc/terms/created': '1187778251000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/b5daf611-e0ed-4054-9f05-eb61b53fc82d'}]}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:19:03.381+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1208071'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 129', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/b5daf611-e0ed-4054-9f05-eb61b53fc82d'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False		Pycnogonida	[]	[]	EUROPE		1208071	1923.10.6.2				1057441370	ZOO	340a9c68-4144-4679-a3dd-542d08981188	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae																					NHMUK			NHMUK:ecatalogue:1208071	"{""associatedMediaCount"": 1, ""barcode"": ""011016089"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1294696376000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Rhopalorhynchus kroeyeri Wood-Mason, 1873"", ""determinationTypes"": null, ""donorName"": ""Zoological Survey of India"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057441370"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	
1057032295	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:54.988+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 34', 'http://purl.org/dc/terms/created': '1187778896000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/5e99ad8b-d626-44e3-9a48-87ee3a5d5119'}]}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:17:54.988+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1226925'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1935 - 1962: page 34', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/5e99ad8b-d626-44e3-9a48-87ee3a5d5119'}]	[]	[]	1d808a7c-1f9e-4379-9616-edb749ecf10e	False		Pycnogonida	[]	[]	EUROPE		1226925	1937.12.14.2-12				1057032295	ZOO	aa1c754a-7d52-42df-a2f6-f84f51461f73	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Colossendeidae																				B.M.D., B,D, 27, MBIIc	NHMUK			NHMUK:ecatalogue:1226925	"{""associatedMediaCount"": 1, ""barcode"": ""011021161"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295881727000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Rhopalorhynchus kroeyeri Wood-Mason, 1873"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""John Murray Expedition"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057032295"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR03"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	
90259906	8598edb6-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	60022950-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	IN	DWC_ARCHIVE	2024-07-16T20:02:33.066+00:00	2024-07-16T20:02:51.083+00:00	304	{}	OCCURRENCE	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'BASIS_OF_RECORD_INVALID']		2024-07-16T20:02:51.083+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '90259906'}]	[]	[]	[]		False		Pycnogonida	[]	[]	ASIA			36243				90259906	INDOBIS-DATASET1				10.0	93.0											WGS84	IN	ASIA	India	Andaman & Nicobar Islands			NCL					
90260272	8598edb6-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	60022950-f762-11e1-a439-00145eb45e9a	ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	IN	DWC_ARCHIVE	2024-07-16T20:02:33.066+00:00	2024-07-16T20:02:51.906+00:00	304	{}	OCCURRENCE	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'BASIS_OF_RECORD_INVALID']		2024-07-16T20:02:51.906+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '90260272'}]	[]	[]	[]		False		Pycnogonida	[]	[]	ASIA			67061				90260272	INDOBIS-DATASET1				10.0	93.0											WGS84	IN	ASIA	India	Andaman			NCL					
2434359928	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:27.648+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.25/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'RMNH.PYC.25_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.25/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2021-01-28T00:00:00.000+00:00	2024-07-23T00:33:27.648+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.25@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'RMNH.PYC.25_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.25/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	WholeOrganism (alcohol)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	RMNH.PYC.25@CRS	RMNH.PYC.25	ICZN	Naturalis Biodiversity Center		2434359928	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.25	Animalia|Collossendeidae	4.0						Westkust van Flores					Siboga exp.														
318009885	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.095+00:00	124	{}	OCCURRENCE	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:22.095+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37211'}]	[]	[]	[]		False		Pycnogonida	[]	[]	EUROPE			37211				318009885	SOMBASE Pycnogonids				-35.45	23.49											WGS84	ZA	AFRICA	South Africa				BAS					
1038189331	7d8ed137-1d30-42f1-8b78-12a4957e4690	021121c0-f040-11d8-b22f-b8a03c50a862		6047d0d6-f762-11e1-a439-00145eb45e9a	021121c0-f040-11d8-b22f-b8a03c50a862	DE	BIOCASE	2023-09-21T02:23:27.615+00:00	2024-01-25T09:13:03.824+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['INSTITUTION_MATCH_NONE']		2024-01-25T09:13:03.824+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ZMB/Pyc:Museum für Naturkunde, Berlin - Pycnogonida:171742'}]	[]	[]	[]		False		Pycnogonida	[]	[]	EUROPE			171742				1038189331	Museum für Naturkunde, Berlin - Pycnogonida														Gazelle Exp.									ZMB/Pyc					
1038189279	7d8ed137-1d30-42f1-8b78-12a4957e4690	021121c0-f040-11d8-b22f-b8a03c50a862		6047d0d6-f762-11e1-a439-00145eb45e9a	021121c0-f040-11d8-b22f-b8a03c50a862	DE	BIOCASE	2023-09-21T02:23:27.615+00:00	2024-01-25T09:13:06.014+00:00	213	{}	PRESERVED_SPECIMEN	PRESENT	2117526	1	54	354	9477065	2012	2117523	2117526	2117526	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Rhopalorhynchus kroeyeri Wood-Mason, 1873	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus kroeyeri	Rhopalorhynchus	kroeyeri	SPECIES	ACCEPTED	NE	{}							['CONTINENT_DERIVED_FROM_COUNTRY', 'INSTITUTION_MATCH_NONE']		2024-01-25T09:13:06.014+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ZMB/Pyc:Museum für Naturkunde, Berlin - Pycnogonida:171743'}]	[]	[]	[]		False		Pycnogonida	[]	[]	EUROPE			171743				1038189279	Museum für Naturkunde, Berlin - Pycnogonida								AFRICA						"Dr. Sander auf ""Prinz"""			TZ	AFRICA	Tanzania, United Republic of				ZMB/Pyc					
