key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	lifeStage	identificationRemarks	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	datasetName	recordedBy	locationID	locality	collectionCode	sex	individualCount	otherCatalogNumbers	dynamicProperties	higherClassification	waterBody	modified	occurrenceRemarks	bibliographicCitation
3386516366	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.288+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-64.0558	-58.4768	226.0	802.0	66.0	ANTARCTICA	{}	2018.0	3.0	5.0	2018-03-05	64.0	64.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.288+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR17003a_0141-5'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0141-5	urn:lsid:marinespecies.org:taxname:172928	https://ror.org/01rhff309	5/3/2018	LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	JR17003a_038	en	3386516366	JR17003a_0141-5	PhysicalObject	JR17003a_0141-5	BAS																							
3386517417	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.979+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-63.8083	-58.0679	286.0	857.0	13.0	ANTARCTICA	{}	2018.0	3.0	6.0	2018-03-06	65.0	65.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.979+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	2.0	individuals	False	[{'identifier': 'JR17003a_0332-6'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_0332-6	urn:lsid:marinespecies.org:taxname:172928	https://ror.org/01rhff309	6/3/2018	LINESTRING (-58.06523 -63.80603, -58.07064 -63.81058)	JR17003a_046	en	3386517417	JR17003a_0332-6	PhysicalObject	JR17003a_0332-6	BAS	Juvenile	Hairy, assumed juvenile with still functioning fingers, as described in Childs 1994																					
3386516880	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.739+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-64.0558	-58.4768	226.0	802.0	66.0	ANTARCTICA	{}	2018.0	3.0	5.0	2018-03-05	64.0	64.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.739+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'JR17003a_130'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr17003a.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	JR17003a	JR17003a_130	urn:lsid:marinespecies.org:taxname:172928	https://ror.org/01rhff309	5/3/2018	LINESTRING (-58.47601 -64.05378, -58.47756 -64.05778)	JR17003a_38	en	3386516880	JR17003a_130	PhysicalObject	JR17003a_130	BAS																							
3386517211	1e7b6980-0842-4c4a-8b14-541b95d2ed3c	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2024-01-23T14:13:17.412+00:00	2024-01-26T10:52:24.877+00:00	97	GOIPG/2019/4020	{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-62.2928	-58.6958	1533.0	423.35	63.150000000000006	ANTARCTICA	{}	2011.0	2.0	23.0	2011-02-23	54.0	54.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE']	2024-01-26T10:52:24.877+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	individuals	False	[{'identifier': 'ANTXXVII/3_PS77_1222_6.1'}]	[]	[]	[]	da671615-9a15-4844-9d5e-ef66382192fb	False	Jamie Maxwell	Whole animal in 96% ethanol	bottom trawl|https://epic.awi.de/id/eprint/30175/1/644-2012%20ANT27-3%20RKnust.pdf	WGS84	Pycnogonida	AQ	[]	[{'type': 'ORCID', 'value': 'https://orcid.org/0000-0001-5705-2811'}]	ANTARCTICA	Antarctica	EUROPE	PS77	ANTXXVII/3_PS77_1222_6.1	urn:lsid:marinespecies.org:taxname:172928	https://ror.org/01rhff309	23/02/2011	LINESTRING (-58.675 -62.3025, -58.71666667 -62.283)	PS77_PS77/222-6	en	3386517211	ANTXXVII/3_PS77_1222_6.1	PhysicalObject	ANTXXVII/3_PS77_1222_6.1	BAS																							
3466773062	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:22.693+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE				353.01		ANTARCTICA	{}	2007.0	12.0	28.0	2007-12-28	362.0	362.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:22.693+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '30ccd374-50c7-4b59-88b7-5850b427e6f9'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 43	30ccd374-50c7-4b59-88b7-5850b427e6f9	urn:lsid:marinespecies.org:taxname:172928		12/28/2007				3466773062	30ccd374-50c7-4b59-88b7-5850b427e6f9						ASAC_3010_0657	IU-2007-57c	7000	https://biodiversity.org.au/afd/taxa/2f6d7992-2975-4585-9fbe-98089524ba5d	Species	Ammothea meridionalis	172928														
3466772339	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:13.084+00:00	273		{}	HUMAN_OBSERVATION	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE				200.37		ANTARCTICA	{}	2007.0	12.0	30.0	2007-12-30	364.0	364.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:13.084+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': '4e766d9f-d55b-4a04-8a44-e5cdedde6ecc'}]	[]	[]	[]		False					Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 47	4e766d9f-d55b-4a04-8a44-e5cdedde6ecc	urn:lsid:marinespecies.org:taxname:172928		12/30/2007				3466772339	4e766d9f-d55b-4a04-8a44-e5cdedde6ecc						ASAC_3010_0571	IU-2007-35c	7000	https://biodiversity.org.au/afd/taxa/2f6d7992-2975-4585-9fbe-98089524ba5d	Species	Ammothea meridionalis	172928														
4081170854	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:26.340+00:00	166		{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-67.568	164.9583	500.0	148.0			{}	2001.0	2.0	26.0	2001-02-26	57.0	57.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:26.340+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '6056cfb4-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False		Specimen(s), Ethanol - no formalin = 2		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		6056cfb4-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:172928			POINT (164.9583 -67.568)	TAN0102/K0807	en	4081170854	6056cfb4-fa36-11e2-96b3-aa6f927c92a3		70085	NIWA Invertebrate Collection										NIWA Invertebrate Collection	Page, Mike; MFish	Z10651	Balleny Islands - South end Sturge Island	NIWA									
4081172954	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.168+00:00	166		{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-72.02	170.9583	500.0	307.0			{}	1965.0	1.0	20.0	1965-01-20	20.0	20.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.168+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5c750398-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False		Specimen(s), None = 1	Trawl, Blake	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		5c750398-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:172928			POINT (170.9583 -72.02)		en	4081172954	5c750398-fa36-11e2-96b3-aa6f927c92a3		9176	NIWA Invertebrate Collection										NIWA Invertebrate Collection	NZOI	E189		NIWA	MALE								
4081092201	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.212+00:00	166		{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-72.3097	170.1888	500.0	128.0		ANTARCTICA	{}	1965.0	1.0	19.0	1965-01-19	19.0	19.0	['MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.212+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5c85d420-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False		Specimen(s), None = 1		WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		5c85d420-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:172928			POINT (170.1888 -72.3097)		en	4081092201	5c85d420-fa36-11e2-96b3-aa6f927c92a3		9385	NIWA Invertebrate Collection										NIWA Invertebrate Collection	NZOI	E184		NIWA									
4081180935	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.408+00:00	166		{}	PRESERVED_SPECIMEN	PRESENT	5166776	1	54	354	9477065	6313	2118547	5166776	5166776	Ammothea meridionalis Hodgson, 1914	Ammothea meridionalis Hodgson, 1914	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothea	Ammothea meridionalis	Ammothea	meridionalis	SPECIES	ACCEPTED	NE	-72.2853	170.2187	500.0	59.0	0.0		{}	1965.0	1.0	20.0	1965-01-20	20.0	20.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.408+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5cf74a9c-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False		Specimen(s), Ethanol - no formalin = 2	Trawl, Agassiz small	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA		5cf74a9c-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:172928			POINT (170.2187 -72.2853)		en	4081180935	5cf74a9c-fa36-11e2-96b3-aa6f927c92a3		4862	NIWA Invertebrate Collection										NIWA Invertebrate Collection	NZOI	E186	Cape Hallett	NIWA									
