key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	nameAccordingTo	parentEventID	collectionID
4399691245	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.201+00:00	69	{}	PRESERVED_SPECIMEN	2	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.5655956	-34.9030225	{}	Atlantic Ocean	1982	8	21	1982-08-21	233	233	PARATYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.201+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '371772a7-f73c-46f9-ba6d-10290858465d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001289.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001289label.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 4_st.390-3	371772a7-f73c-46f9-ba6d-10290858465d	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	390-3	OBFc	4399691245	371772a7-f73c-46f9-ba6d-10290858465d	2930.0 - 2951.0 m	INV0001289	IORAS	IORAS	Turpaeva, E.P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
4406604321	062b1492-5e8a-4b56-89f9-300bc06bba5d	9abe4949-29aa-450e-b767-b2788f66e04d		da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-04-16T14:00:19.862+00:00	2024-04-16T14:00:42.688+00:00	141	{}	PRESERVED_SPECIMEN	2	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.5655956	-34.9030225	{}	Atlantic Ocean	1982	8	21	1982-08-21	233	233	PARATYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-04-16T14:00:42.688+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '371772a7-f73c-46f9-ba6d-10290858465d'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001289.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001289label.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik M. Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik M. Keldysh_cruise 4_st.390-3	371772a7-f73c-46f9-ba6d-10290858465d	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	390-3	OBFc	4406604321	371772a7-f73c-46f9-ba6d-10290858465d	2930.0-2951.0 m	INV0001289	IORAS	IORAS	Turpaeva, E. P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal. 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
4406604309	062b1492-5e8a-4b56-89f9-300bc06bba5d	9abe4949-29aa-450e-b767-b2788f66e04d		da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-04-16T14:00:19.862+00:00	2024-04-16T14:00:44.177+00:00	141	{}	PRESERVED_SPECIMEN	1	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.0495564	-30.4353452	{}	Atlantic Ocean	1982	9	9	1982-09-09	252	252	HOLOTYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-04-16T14:00:44.177+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '03868502-757b-4c4e-9782-fdbc93050dac'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001288label.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001288.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik M. Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik M. Keldysh_cruise 4_st.499	03868502-757b-4c4e-9782-fdbc93050dac	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	499	OBFc	4406604309	03868502-757b-4c4e-9782-fdbc93050dac	2440.0-2429.0 m	INV0001288	IORAS	IORAS	Turpaeva, E. P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal. 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
4399690773	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.840+00:00	69	{}	PRESERVED_SPECIMEN	1	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.0495564	-30.4353452	{}	Atlantic Ocean	1982	9	9	1982-09-09	252	252	HOLOTYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.840+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '03868502-757b-4c4e-9782-fdbc93050dac'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001288label.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001288.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 4_st.499	03868502-757b-4c4e-9782-fdbc93050dac	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	499	OBFc	4399690773	03868502-757b-4c4e-9782-fdbc93050dac	2440.0 - 2429.0 m	INV0001288	IORAS	IORAS	Turpaeva, E.P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
4406604362	062b1492-5e8a-4b56-89f9-300bc06bba5d	9abe4949-29aa-450e-b767-b2788f66e04d		da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-04-16T14:00:19.862+00:00	2024-04-16T14:00:44.609+00:00	141	{}	PRESERVED_SPECIMEN	1	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.0495564	-30.4353452	{}	Atlantic Ocean	1982	9	9	1982-09-09	252	252	PARATYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-04-16T14:00:44.609+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '81055c7d-65dc-46d7-96b6-c6d6669c34ec'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001290label.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001290.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik M. Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik M. Keldysh_cruise 4_st.499	81055c7d-65dc-46d7-96b6-c6d6669c34ec	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	499	OBFc	4406604362	81055c7d-65dc-46d7-96b6-c6d6669c34ec	2440.0-2429.0 m	INV0001290	IORAS	IORAS	Turpaeva, E. P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal. 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
4399691462	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.974+00:00	69	{}	PRESERVED_SPECIMEN	1	PRESENT	2117590	1	54	354	9477065	2012	2117538	2117590	2117590	Colossendeis aperta Turpaeva, 2005	Colossendeis aperta Turpaeva, 2005	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis aperta	Colossendeis	aperta	SPECIES	ACCEPTED	NE	58.0495564	-30.4353452	{}	Atlantic Ocean	1982	9	9	1982-09-09	252	252	PARATYPE	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.974+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '81055c7d-65dc-46d7-96b6-c6d6669c34ec'}]	[{'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001290label.png'}, {'type': 'StillImage', 'format': 'image/png', 'identifier': 'https://gbif.ocean.ru/attachments/inv0001290.png'}]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	True	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	[]	[]	EUROPE	RV Akademik Mstislav Keldysh_cruise 4_st.499	81055c7d-65dc-46d7-96b6-c6d6669c34ec	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	North Atlantic	499	OBFc	4399691462	81055c7d-65dc-46d7-96b6-c6d6669c34ec	2440.0 - 2429.0 m	INV0001290	IORAS	IORAS	Turpaeva, E.P. (2005). Bathyal pycnogonids (Pycnogonida) from the northern Atlantic Ocean and the southern Norwegian Sea. Zoologicheskii Zhurnal 84(5): 541-554.	cruise 4	fd699988-ab5d-4737-9443-9085cea191d2
