key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	identifier	catalogNumber	locality	gbifID	occurrenceRemarks	occurrenceID	georeferenceSources	verbatimDepth	networkKeys	sex	depth	depthAccuracy	waterBody	higherGeography	modified	institutionKey	collectionKey	datasetName	preparations	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	collectionCode	institutionCode	locationID	higherClassification	collectionID	continent	eventID	typeStatus
1275071326	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.360+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE	-33.081667	28.11	{}	1979.0	6.0	25.0	1979-06-25T00:00	176.0	176.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.360+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071326'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM232	urn:catalog:IZIKO:SAM-A-19599	SAM-A-19599	33°04,9'S 28°06,6'E	1275071326	male	urn:catalog:IZIKO:SAM-A-19599	Catalogue	620-560 m																							
1275071314	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.405+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE	-33.505	27.368333	{}	1978.0	5.0	29.0	1978-05-29T00:00	149.0	149.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.405+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071314'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM179	urn:catalog:IZIKO:SAM-A-19600	SAM-A-19600	33°30,3'S 27°22,1'E	1275071314		urn:catalog:IZIKO:SAM-A-19600	Catalogue	0-80 m																							
1275071318	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.405+00:00	111	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE	-33.655	27.185	{}	1978.0	5.0	31.0	1978-05-31T00:00	151.0	151.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.405+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071318'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM185	urn:catalog:IZIKO:SAM-A-19601	SAM-A-19601	33°39,3'S 27°11,1'E	1275071318	1male ovig.1female ovig.,1female	urn:catalog:IZIKO:SAM-A-19601	Catalogue	0-90 m																							
1275071302	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.416+00:00	111	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE	-27.991667	32.68	{}	1976.0	5.0	22.0	1976-05-22T00:00	143.0	143.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.416+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071302'}]	[]	[]	[]	False	R/V Meiring Naude	CA.Child	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM86	urn:catalog:IZIKO:SAM-A-19602	SAM-A-19602	27°59,5'S 32°40,8'E	1275071302	male + 2female	urn:catalog:IZIKO:SAM-A-19602	Catalogue	0-550 m																							
1321684517	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:49.275+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE	-27.9917	32.68	{}	1976.0	5.0	22.0	1976-05-22	143.0	143.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:49.275+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c6389bc4-9169-43c1-ac1a-5794317c214c'}]	[]	[]	[]	True		Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	NORTH_AMERICA		http://n2t.net/ark:/65665/3c6389bc4-9169-43c1-ac1a-5794317c214c	USNM 228135	Zululand Area	1321684517		http://n2t.net/ark:/65665/3c6389bc4-9169-43c1-ac1a-5794317c214c			['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	MALE	550.0	0.0	Indian Ocean	Indian Ocean, South Africa	2014-10-21T09:07:00.000+00:00	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	22 MAY 1976	unknown, from legacy	Degrees Minutes Seconds	IZ	USNM	SM 86	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6			
1275071036	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:03.995+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}	1902.0	2.0	20.0	1902-02-20T00:00	51.0	51.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:03.995+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071036'}]	[]	[]	[]	False	SS.Pieter Faure		Dredge on sand,shell or rock		Pycnogonida		[]	[]			AFRICA	P.F.14303	urn:catalog:IZIKO:SAM-A-10024	SAM-A-10024	Cape Seal N. by E.¾ E. 87 miles	1275071036		urn:catalog:IZIKO:SAM-A-10024		-80 fms																							
1275071030	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.012+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}	1901.0	5.0	23.0	1901-05-23T00:00	143.0	143.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.012+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071030'}]	[]	[]	[]	False	SS.Pieter Faure		Shrimp trawl over stones or rock.		Pycnogonida		[]	[]			AFRICA	P.F.12840	urn:catalog:IZIKO:SAM-A-10026	SAM-A-10026	Buffalo N.N.E.17 miles.	1275071030		urn:catalog:IZIKO:SAM-A-10026		-195 fms																							
1275071020	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.059+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}	1901.0	8.0	13.0	1901-08-13T00:00	225.0	225.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.059+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071020'}]	[]	[]	[]	False	SS.Pieter Faure		Dredge on rock		Pycnogonida		[]	[]			AFRICA	P.F.13399	urn:catalog:IZIKO:SAM-A-10027	SAM-A-10027	Cape Margan N.W.¼ N.11 ½ miles	1275071020		urn:catalog:IZIKO:SAM-A-10027		-87 fms																							
1275071035	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.007+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}	1900.0	5.0	4.0	1900-05-04T00:00	124.0	124.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.007+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071035'}]	[]	[]	[]	False	SS.Pieter Faure		Large dredge on stones		Pycnogonida		[]	[]			AFRICA	P.F.2839	urn:catalog:IZIKO:SAM-A-10025	SAM-A-10025	Vasco da Gana N. 71*E.18 ½ miles	1275071035		urn:catalog:IZIKO:SAM-A-10025		-230 fms																							
1275071208	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.534+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}							['TYPE_STATUS_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:04.534+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071208'}]	[]	[]	[]	False	UCT Ecological Survey	KH.Barnard			Pycnogonida		[]	[]			AFRICA	SE31	urn:catalog:IZIKO:SAM-A-10202	SAM-A-10202	Port Elizaberth Shore Station	1275071208		urn:catalog:IZIKO:SAM-A-10202																									
1275071270	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.293+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117819	1	54	354	9477065	2013	2117630	2117819	2117819	Nymphon distensum Möbius, 1902	Nymphon distensum Möbius, 1902	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon distensum	Nymphon	distensum	SPECIES	ACCEPTED	NE			{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.293+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071270'}]	[]	[]	[]	False	SS.Pieter Faure				Pycnogonida		[]	[]			AFRICA	PF.A12840	urn:catalog:IZIKO:SAM-A-10145	SAM-A-10145	Off Buffalo R. East London.N.N.E.17½ miles.	1275071270	Male+ Female	urn:catalog:IZIKO:SAM-A-10145		0-195 fms																							
