key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	continent	day	organismQuantity	organismQuantityType	datasetID	eventID	recordNumber	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	locality	waterBody	higherGeography	datasetName	preparations	institutionID	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification	lifeStage	sex	dateIdentified	coordinateUncertaintyInMeters	otherCatalogNumbers	rightsHolder	nomenclaturalCode	verbatimLocality	language	type	disposition	ownerInstitutionCode	parentNameUsage	materialEntityID	dynamicProperties	samplingProtocol	footprintWKT	occurrenceRemarks	coordinatePrecision	acceptedNameUsage	locationRemarks	nameAccordingTo	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	references	associatedSequences	verbatimIdentification	bibliographicCitation
1426047032	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.859+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1911', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Austropallene;Callipallenidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Bouvier, 1911)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|344534', 'http://rs.tdwg.org/dwc/terms/family': 'Callipallenidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Austropallene', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'cristata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22389', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arango C.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Austropallene cristata (Bouvier, 1911)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE	-66.604183	140.070583	59.0	14.0	{}	2012.0	2.0	2012-02-03/2012-02-04	34.0	35.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:44.859+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-6641'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	True	Lecointre, Dettaï, Ozouf & Gallut coll.	Arango C.	WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-6641	2016-6641	MNHN	REVOLTA III/REVO_065-REVO_485	1426047032	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-6641	10.15468/qgvvhd																																																								
3466772562	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:18.671+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			702.04		{}	2008.0	1.0	2008-01-04	4.0	4.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:18.671+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '01fa2fa4-9847-4f6c-9c8d-033542fb7949'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	01fa2fa4-9847-4f6c-9c8d-033542fb7949				3466772562		01fa2fa4-9847-4f6c-9c8d-033542fb7949		ANTARCTICA	4.0	1.0	Individuals	ASAC_3010_0284	SampleStation_ 38	IU-2007-102	urn:lsid:marinespecies.org:taxname:173041	1/4/2008	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
3466772734	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:20.256+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			509.95		{}	2008.0	1.0	2008-01-14	14.0	14.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:20.256+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '68bbf88c-d977-4bc0-8e31-fca90c7aa310'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	68bbf88c-d977-4bc0-8e31-fca90c7aa310				3466772734		68bbf88c-d977-4bc0-8e31-fca90c7aa310		ANTARCTICA	14.0	1.0	Individuals	ASAC_3010_0460	SampleStation_ 16	IU-2007-251	urn:lsid:marinespecies.org:taxname:173041	1/14/2008	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
3466772881	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:21.366+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			443.67		{}	2008.0	1.0	2008-01-14	14.0	14.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:21.366+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '8c1998be-4ccd-4fbe-a5e8-c127327f3664'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	8c1998be-4ccd-4fbe-a5e8-c127327f3664				3466772881		8c1998be-4ccd-4fbe-a5e8-c127327f3664		ANTARCTICA	14.0	1.0	Individuals	ASAC_3010_0470	SampleStation_ 72	IU-2007-262	urn:lsid:marinespecies.org:taxname:173041	1/14/2008	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
3466772317	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:12.095+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			597.2		{}	2007.0	12.0	2007-12-30	364.0	364.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:12.095+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '14694708-0564-4495-b9c3-40ad727dc62f'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	14694708-0564-4495-b9c3-40ad727dc62f				3466772317		14694708-0564-4495-b9c3-40ad727dc62f		ANTARCTICA	30.0	1.0	Individuals	ASAC_3010_0499	SampleStation_ 50	IU-2007-285	urn:lsid:marinespecies.org:taxname:173041	12/30/2007	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
3466772313	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:11.701+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			433.28		{}	2007.0	12.0	2007-12-23	357.0	357.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:11.701+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1a8bef9e-1a6b-442e-9ff4-0c640f1e2313'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	1a8bef9e-1a6b-442e-9ff4-0c640f1e2313				3466772313		1a8bef9e-1a6b-442e-9ff4-0c640f1e2313		ANTARCTICA	23.0	1.0	Individuals	ASAC_3010_0638	SampleStation_ 27	IU-2007-49c	urn:lsid:marinespecies.org:taxname:173041	12/23/2007	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
3466772462	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862		1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:17.464+00:00	273	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE			390.59		{}	2007.0	12.0	2007-12-26	360.0	360.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-23T06:51:17.464+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '38d73cc8-1078-4cb0-894d-4fb27e8f0cc8'}]	[]	[]	[]			False				Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	38d73cc8-1078-4cb0-894d-4fb27e8f0cc8				3466772462		38d73cc8-1078-4cb0-894d-4fb27e8f0cc8		ANTARCTICA	26.0	1.0	Individuals	ASAC_3010_0292	SampleStation_ 6	IU-2007-11	urn:lsid:marinespecies.org:taxname:173041	12/26/2007	7000	https://biodiversity.org.au/afd/taxa/48cdfa18-af9b-4420-982b-e9184e6c4d18	Species	Austropallene cristata	173041																																										
240909949	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:58.877+00:00	242	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE	-71.488333	-14.325	210.0	0.0	{}	1996.0	2.0	1996-02-24	55.0	55.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2010-05-11T18:09:00.000+00:00	2024-01-24T20:20:58.877+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:472'}]	[]	[]	[]			False			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:472	472	AWI		240909949	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:472			24.0			IMIS:dasid:2432			urn:lsid:marinespecies.org:taxname:173041							Kapp Norvegia area																																									
240909951	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:58.877+00:00	242	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE	-73.301667	-21.168333	459.0	0.0	{}	1996.0	2.0	1996-02-13	44.0	44.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2010-05-11T18:09:00.000+00:00	2024-01-24T20:20:58.877+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:474'}]	[]	[]	[]			False			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:474	474	AWI		240909951	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:474			13.0			IMIS:dasid:2432			urn:lsid:marinespecies.org:taxname:173041							South of Vestkapp																																									
240909952	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:58.877+00:00	242	{}	HUMAN_OBSERVATION		PRESENT	2118073	1	54	354	9477065	2011	2118069	2118073	2118073	Austropallene cristata (Bouvier, 1911)	Austropallene cristata (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene cristata	Austropallene	cristata	SPECIES	ACCEPTED	NE	-73.3	-21.165	468.0	0.0	{}	1996.0	2.0	1996-02-16	47.0	47.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2010-05-11T18:09:00.000+00:00	2024-01-24T20:20:58.877+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:475'}]	[]	[]	[]			False			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:475	475	AWI		240909952	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:475			16.0			IMIS:dasid:2432			urn:lsid:marinespecies.org:taxname:173041							South of Vestkapp																																									
