key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	preparations	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	locality	gbifID	collectionCode	occurrenceID	higherClassification	higherGeography	typeStatus	collectionKey	datasetName	otherCatalogNumbers	acceptedNameUsage	institutionCode	occurrenceRemarks	decimalLatitude	decimalLongitude	depth	references	datasetID	geodeticDatum	countryCode	gbifRegion	country	scientificNameID	bibliographicCitation
2434361500	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:20.789+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1210/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1210_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1210/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	MALE	2118123	1	54	354	9477065	2011	2118112	2118123	2118123	Callipallene cuspidata Stock, 1954	Callipallene cuspidata Stock, 1954	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene cuspidata	Callipallene	cuspidata	SPECIES	ACCEPTED	NE	{}	1914	3	3.0	1914-03-03	62	62	['TAXON_MATCH_FUZZY', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:20.789+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1210@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1210_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1210/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Th. Mortsensen	WholeOrganism (microscopic slide)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1210@CRS	ZMA.PYC.P.1210	ICZN	Naturalis Biodiversity Center	3.III.1914	Zamboanga	2434361500	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1210	Animalia																			
2434400924	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:40.079+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1214/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1214_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1214/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	PRESENT	MALE	2118123	1	54	354	9477065	2011	2118112	2118123	2118123	Callipallene cuspidata Stock, 1954	Callipallene cuspidata Stock, 1954	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene cuspidata	Callipallene	cuspidata	SPECIES	ACCEPTED	NE	{}	1914	3	3.0	1914-03-03	62	62	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-04-03T00:00:00.000+00:00	2024-07-23T00:33:40.079+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1214@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1214_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1214/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Th. Mortensen	WholeOrganism (microscopic slide)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.P.1214@CRS	ZMA.PYC.P.1214	ICZN	Naturalis Biodiversity Center	3.III.1914	Zamboanga	2434400924	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1214	Animalia																			
2012925704	58fc397b-eee4-4138-8a5f-50f9dfb00216	2e7df380-8356-4533-bcb3-5459e23c794e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	7b21b165-f4b0-4be4-b7dd-c2cbfc9c28a3	2e7df380-8356-4533-bcb3-5459e23c794e	DK	DWC_ARCHIVE	2024-07-21T09:59:22.110+00:00	2024-07-21T10:20:05.148+00:00	275	"{'http://rs.gbif.org/terms/1.0/Reference': [{'http://purl.org/dc/terms/creator': 'Stock, J.', 'http://purl.org/dc/terms/date': '1954', 'http://purl.org/dc/terms/source': 'Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening', 'http://purl.org/dc/terms/title': ""Pycnogonida from Indo-West-Pacific, Australian, and New-Zealand Waters. Papers from Dr. Th. Mortensen's Pacific Expedition 1914-16. LXXVII""}], 'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/typeStatus': 'holotype', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/identificationID': '9c4a9cb8-d023-cf54-f05d-5646433e28ae', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Callipallene cuspidata Stock, 1954'}]}"	PRESERVED_SPECIMEN	PRESENT		2118123	1	54	354	9477065	2011	2118112	2118123	2118123	Callipallene cuspidata Stock, 1954	Callipallene cuspidata Stock, 1954	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene cuspidata	Callipallene	cuspidata	SPECIES	ACCEPTED	NE	{}	1914	6	1.0	1914-06-01	152	152	['COUNTRY_INVALID']	2019-12-12T00:00:00.000+00:00	2024-07-21T10:20:05.148+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '80d2b0eb-0bdf-446c-a846-0c78168c6bb9'}]	[]	[]	[]	68fcaba0-61fe-4e78-a460-4f37654d025d	True	Mortensen	70% EtOH - 1|slide, unspec - 1	Pycnogonida	[]	[]	EUROPE		80d2b0eb-0bdf-446c-a846-0c78168c6bb9	NHMD110656		http://grbio.org/cool/mci8-ehqk		Sagami Sea, Japan	2012925704	IV	80d2b0eb-0bdf-446c-a846-0c78168c6bb9		Northwest Pacific, Japan NWP	HOLOTYPE	e4cac6b7-41e4-404d-b9b2-ea507703f671	Natural History Museum Denmark Invertebrate Zoology	PYC-006187	Callipallene cuspidata	NHMD	MKB05: Locality data from description. Type status checked 2003-2011, but may need reconfirmation. Labelled with correct number Mar. 2012.											
4055770206	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:12:19.305+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT		2118123	1	54	354	9477065	2011	2118112	2118123	2118123	Callipallene cuspidata Stock, 1954	Callipallene cuspidata Stock, 1954	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene cuspidata	Callipallene	cuspidata	SPECIES	ACCEPTED	NE	{}	1914	6		1914-06-01/1914-06-07	152	158	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:12:19.305+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_870'}]	[]	[]	[]		True			Pycnogonida	[]	[]	EUROPE		WoRMS Editorial Board:WoRMS type localities:sm_id_870	sm_id_870				Pacific Ocean	4055770206	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_870			HOLOTYPE					WoRMS Editorial Board		35.25	139.42	732.0	http://www.marinespecies.org/aphia.php?p=specdetails&id=870	https://marineinfo.org/id/dataset/5184	WGS84	JP	ASIA	Japan	urn:lsid:marinespecies.org:taxname:240378	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Callipallene cuspidata</i> Stock, 1954. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240378
