key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	occurrenceRemarks
1318036193	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:50.514+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT	MALE	4338765	1	54	354	9477065	6314	2117918	2117939	2117939	Pantopipetta aconae Hedgpeth & McCain, 1971	Austrodecus aconae (Hedgpeth & McCain, 1971)	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus aconae	Pantopipetta	aconae	SPECIES	SYNONYM	NE	44.6533	-125.183	1400.0	0.0	Oregon	{}	North Pacific Ocean	North Pacific Ocean, United States, Oregon	1963	1	25	1963-01-25	25	25	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2019-05-20T13:02:00.000+00:00	2024-07-02T12:38:50.514+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/324dd3eb1-512b-4913-82ae-2a34ab55bd0a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Hedgpeth, J. W.; McCain	Alcohol (Ethanol); Slide	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/324dd3eb1-512b-4913-82ae-2a34ab55bd0a	urn:lsid:biocol.org:col:34871	25 JAN 1963	unknown, from legacy	Off Oregon	Degrees Minutes Seconds	IZ	1318036193	http://n2t.net/ark:/65665/324dd3eb1-512b-4913-82ae-2a34ab55bd0a	USNM 123740	USNM	31	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
1319992237	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:42.624+00:00	395	{}	PRESERVED_SPECIMEN	2	PRESENT		4338765	1	54	354	9477065	6314	2117918	2117939	2117939	Pantopipetta aconae Hedgpeth & McCain, 1971	Austrodecus aconae (Hedgpeth & McCain, 1971)	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus aconae	Pantopipetta	aconae	SPECIES	SYNONYM	NE	44.6533	-125.183	1400.0	0.0	Oregon	{}	North Pacific Ocean	North Pacific Ocean, United States, Oregon	1963	1	25	1963-01-25	25	25	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T11:48:00.000+00:00	2024-07-02T12:37:42.624+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/37b6964a4-c023-4742-be3e-d73a739994ae'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Hedgpeth, J. W.; McCain	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/37b6964a4-c023-4742-be3e-d73a739994ae	urn:lsid:biocol.org:col:34871	25 JAN 1963	unknown, from legacy	Off Oregon	Degrees Minutes Seconds	IZ	1319992237	http://n2t.net/ark:/65665/37b6964a4-c023-4742-be3e-d73a739994ae	USNM 123741	USNM	31	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
1317888657	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:32.613+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT	MALE	4338765	1	54	354	9477065	6314	2117918	2117939	2117939	Pantopipetta aconae Hedgpeth & McCain, 1971	Austrodecus aconae (Hedgpeth & McCain, 1971)	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus aconae	Pantopipetta	aconae	SPECIES	SYNONYM	NE	44.6517	-125.18	1420.0	0.0	Oregon	{}	North Pacific Ocean	North Pacific Ocean, United States, Oregon	1963	4	27	1963-04-27	117	117	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T11:48:00.000+00:00	2024-07-02T12:38:32.613+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/31e5a122a-3fc0-4523-a8e7-5ac20c35286c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Hedgpeth, J. W.; McCain	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/31e5a122a-3fc0-4523-a8e7-5ac20c35286c	urn:lsid:biocol.org:col:34871	27 APR 1963	unknown, from legacy	Off Oregon	Degrees Minutes Seconds	IZ	1317888657	http://n2t.net/ark:/65665/31e5a122a-3fc0-4523-a8e7-5ac20c35286c	USNM 123742	USNM	39	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	
1321848575	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:16.725+00:00	395	{}	PRESERVED_SPECIMEN	5	PRESENT		4338765	1	54	354	9477065	6314	2117918	2117939	2117939	Pantopipetta aconae Hedgpeth & McCain, 1971	Austrodecus aconae (Hedgpeth & McCain, 1971)	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus aconae	Pantopipetta	aconae	SPECIES	SYNONYM	NE	44.5583	-125.243	2000.0	0.0	Oregon	{}	North Pacific Ocean	North Pacific Ocean, United States, Oregon	1962	7	6	1962-07-06	187	187	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2023-03-16T14:45:00.000+00:00	2024-07-02T12:38:16.725+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3cd845b92-24ce-4357-95d3-3f7f52883cc7'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	Hedgpeth, J. W.; McCain	Alcohol (Ethanol); Slide	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3cd845b92-24ce-4357-95d3-3f7f52883cc7	urn:lsid:biocol.org:col:34871	06 JUL 1962	unknown, from legacy	Off Oregon	Degrees Minutes Seconds	IZ	1321848575	http://n2t.net/ark:/65665/3cd845b92-24ce-4357-95d3-3f7f52883cc7	USNM 123743	USNM	6	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	In Jar With 123740-43.; Mountant loss? Airbubbles and cavities. Unsure if specimen affected
