key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	lifeStage	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	stateProvince	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	verbatimEventDate	institutionCode	locationID	locality	gbifID	collectionCode	occurrenceID	higherClassification	collectionID	sex	verbatimDepth	occurrenceRemarks	depth	depthAccuracy
1318182977	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:07.925+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT	Juvenile	2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1962	2	21	1962-02-21	52	52	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T11:50:00.000+00:00	2024-07-02T12:37:07.925+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/32b5ae933-9fa3-43a4-ac5e-ead2cf352140'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol)	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/32b5ae933-9fa3-43a4-ac5e-ead2cf352140	USNM 125167	urn:lsid:biocol.org:col:34871	21 FEB 1962	USNM	6	Santa Cruz Island, Punta Nunez, Punta Nunez	1318182977	IZ	http://n2t.net/ark:/65665/32b5ae933-9fa3-43a4-ac5e-ead2cf352140	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6					
1320645037	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:29.178+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT		2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1962	2	13	1962-02-13	44	44	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-08-16T12:54:00.000+00:00	2024-07-02T12:39:29.178+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3984aed7b-968d-4d1c-a2a8-bfcd8582c1e9'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol); Slide	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/3984aed7b-968d-4d1c-a2a8-bfcd8582c1e9	USNM 125169	urn:lsid:biocol.org:col:34871	13 FEB 1962	USNM	17	Santa Cruz Island, Isla Coamana, Off Academy Bay	1320645037	IZ	http://n2t.net/ark:/65665/3984aed7b-968d-4d1c-a2a8-bfcd8582c1e9	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE	Intertidal	In Jar With 125165-71		
1320940242	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:13.251+00:00	395	{}	PRESERVED_SPECIMEN	2	PRESENT		2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	North Pacific Ocean	North Pacific Ocean, Ecuador, Galapagos Islands	1962	2	24	1962-02-24	55	55	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-08-16T12:53:00.000+00:00	2024-07-02T12:39:13.251+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a554785a-c940-43c7-ac03-8cc0c08031d8'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol); Slide	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/3a554785a-c940-43c7-ac03-8cc0c08031d8	USNM 125170	urn:lsid:biocol.org:col:34871	24 FEB 1962	USNM	18	Coamhna Island, Off Academy Bay	1320940242	IZ	http://n2t.net/ark:/65665/3a554785a-c940-43c7-ac03-8cc0c08031d8	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Intertidal	In Jar With 125165-71.		
1322090737	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:14.014+00:00	395	{}	PRESERVED_SPECIMEN	2	PRESENT		2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1962	2	13	1962-02-13	44	44	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2016-04-28T14:35:00.000+00:00	2024-07-02T12:38:14.014+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3d843a4c5-dd92-4b26-9aba-16732a523661'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol)	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/3d843a4c5-dd92-4b26-9aba-16732a523661	USNM 125168	urn:lsid:biocol.org:col:34871	13 FEB 1962	USNM	8	Santa Cruz Island, Isla Coamana, Off Academy Bay	1322090737	IZ	http://n2t.net/ark:/65665/3d843a4c5-dd92-4b26-9aba-16732a523661	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	FEMALE				
1318603220	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:41.320+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT		2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1962	3	4	1962-03-04	63	63	HOLOTYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-09-01T06:59:00.000+00:00	2024-07-02T12:38:41.320+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33df55c52-5642-4e2a-97fe-816b3f9ce938'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol); Slide	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/33df55c52-5642-4e2a-97fe-816b3f9ce938	USNM 125165	urn:lsid:biocol.org:col:34871	04 MAR 1962	USNM	10	Espanola Island, Extreme Surf Area	1318603220	IZ	http://n2t.net/ark:/65665/33df55c52-5642-4e2a-97fe-816b3f9ce938	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE	Intertidal	In Jar With 125165-71		
1321607702	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:15.146+00:00	395	{}	PRESERVED_SPECIMEN	5	PRESENT		2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1962	3	2	1962-03-02	61	61	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T11:50:00.000+00:00	2024-07-02T12:38:15.146+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3c2ceed0a-9d0f-4b00-8db6-68406528e96c'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	E. Dawson	Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol)	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/3c2ceed0a-9d0f-4b00-8db6-68406528e96c	USNM 125166	urn:lsid:biocol.org:col:34871	02 MAR 1962	USNM	10	Espanola Island, Extreme Surf Area	1321607702	IZ	http://n2t.net/ark:/65665/3c2ceed0a-9d0f-4b00-8db6-68406528e96c	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		Intertidal			
1321416734	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:20.105+00:00	395	{}	PRESERVED_SPECIMEN	1	PRESENT	Juvenile	2118265	1	54	354	9477065	6313	2118237	2118265	2118265	Tanystylum distinctum Child & Hedgpeth, 1971	Tanystylum distinctum Child & Hedgpeth, 1971	Animalia	Arthropoda	Pantopoda	Ammotheidae	Tanystylum	Tanystylum distinctum	Tanystylum	distinctum	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	Galapagos Islands	{}	South Pacific Ocean	South Pacific Ocean, Ecuador, Galapagos Islands	1934	1	17	1934-01-17	17	17	PARATYPE	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T11:50:00.000+00:00	2024-07-02T12:39:20.105+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ba5fd201-a6fe-4ef7-9924-5156f58903f8'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology		Child, C. A.; Hedgpeth, J. W.	Alcohol (Ethanol)	Pycnogonida	EC	[]	[]	LATIN_AMERICA	Ecuador	NORTH_AMERICA	http://n2t.net/ark:/65665/3ba5fd201-a6fe-4ef7-9924-5156f58903f8	USNM 125171	urn:lsid:biocol.org:col:34871	17 JAN 1934	USNM	161-34	Santa Maria Island	1321416734	IZ	http://n2t.net/ark:/65665/3ba5fd201-a6fe-4ef7-9924-5156f58903f8	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				2.5	2.5
