key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	islandGroup	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID	stateProvince	higherGeography	modified	vernacularName	language	type	higherClassification	sex	rightsHolder	nomenclaturalCode	verbatimEventDate	depth	depthAccuracy	typeStatus	datasetName	verbatimCoordinateSystem	locationID	occurrenceRemarks	references	datasetID	scientificNameID	bibliographicCitation
4399691535	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.023+00:00	69	{}	PRESERVED_SPECIMEN	6.0	PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE	44.7665544	148.7515414	{}	Pacific Ocean	1966	9	10	1966-09-10	253	253	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.023+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '7949f564-3a26-4a17-b46a-d69d3d2ea217'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	Sigsbee trawl	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Vityaz_cruise 39_st.5641	7949f564-3a26-4a17-b46a-d69d3d2ea217	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kuril Islands	northwest Pacific	5641	OBFc	4399691535	7949f564-3a26-4a17-b46a-d69d3d2ea217	472.0 - 479.0 m	INV0001055	IORAS	IORAS	cruise 39	fd699988-ab5d-4737-9443-9085cea191d2																						
723290295	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862		82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.679+00:00	301	{}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}	Pacific	1930	8	17	1930-08-17	229	229	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.679+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '164'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f		False						Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA		164			off Oga Penn.		Art	723290295	9a64a884-f8b6-11e6-86b3-70e2840fc270		9024	SMBL				Akita	Pacific|Japan|Akita|off Oga Penn.	2011-12-01T05:00:42.000+00:00	コダニユメムシ	en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|kodanii															
2434364498	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:23.820+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1273/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1273_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1273/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}		1914	5	17	1914-05-17	137	137	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:23.820+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1273@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1273_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1273/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)			Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1273@CRS	Naturalis Biodiversity Center				Chelicerata and Myriapoda	2434364498	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1273		ZMA.PYC.P.1273							2020-04-03T00:00:00.000+00:00				Animalia	MALE	Naturalis Biodiversity Center	ICZN	17.V.1914											
2434400759	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:18.549+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1277/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1277_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1277/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}		1914	5	17	1914-05-17	137	137	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:18.549+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1277@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1277_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1277/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)			Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1277@CRS	Naturalis Biodiversity Center				Chelicerata and Myriapoda	2434400759	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1277		ZMA.PYC.P.1277							2020-04-03T00:00:00.000+00:00				Animalia		Naturalis Biodiversity Center	ICZN	17.V.1914											
2434363506	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:22.137+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1281/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1281_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1281/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}		1914	5	17	1914-05-17	137	137	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:22.137+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1281@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1281_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1281/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)			Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1281@CRS	Naturalis Biodiversity Center				Chelicerata and Myriapoda	2434363506	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1281		ZMA.PYC.P.1281							2020-04-03T00:00:00.000+00:00				Animalia	FEMALE	Naturalis Biodiversity Center	ICZN	17.V.1914											
2434401620	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:43.987+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1286/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1286_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1286/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}		1914	5	17	1914-05-17	137	137	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:43.987+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1286@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1286_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1286/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)			Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1286@CRS	Naturalis Biodiversity Center				Chelicerata and Myriapoda	2434401620	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1286		ZMA.PYC.P.1286							2020-04-03T00:00:00.000+00:00				Animalia	FEMALE	Naturalis Biodiversity Center	ICZN	17.V.1914											
2434401391	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:42.049+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1288/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'ZMA.PYC.P.1288_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1288/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN		PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE			{}		1914	5	17	1914-05-17	137	137	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:42.049+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.P.1288@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'ZMA.PYC.P.1288_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/ZMA.PYC.P.1288/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False			WholeOrganism (microscopic slide)			Pycnogonida		[]	[]			EUROPE		ZMA.PYC.P.1288@CRS	Naturalis Biodiversity Center				Chelicerata and Myriapoda	2434401391	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.P.1288		ZMA.PYC.P.1288							2020-04-03T00:00:00.000+00:00				Animalia	FEMALE	Naturalis Biodiversity Center	ICZN	17.V.1914											
1318958729	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:22.313+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE	33.3917	135.567	{}	North Pacific Ocean	1906	8	30	1906-08-30	242	242	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:22.313+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/34dada6aa-67f3-45f5-94be-7dc7f80e80b5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/34dada6aa-67f3-45f5-94be-7dc7f80e80b5	urn:lsid:biocol.org:col:34871		Honshu Island, Shiono Misaki	USFC/A4971	IZ	1318958729	http://n2t.net/ark:/65665/34dada6aa-67f3-45f5-94be-7dc7f80e80b5		USNM 80595	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Wakayama	North Pacific Ocean, Japan, Wakayama	2015-07-01T11:46:00.000+00:00				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	MALE				1187.0	0.0	PARATYPE	NMNH Extant Biology	Degrees Minutes Seconds	4971					
1320576760	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:29.553+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE	33.5889	135.181	{}	North Pacific Ocean	1906	8	28	1906-08-28	240	240	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:29.553+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/395435a49-0de3-418b-b4cf-5e82ce6bddd6'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/395435a49-0de3-418b-b4cf-5e82ce6bddd6	urn:lsid:biocol.org:col:34871		Honshu Island, Kii Strait, Shirahama, South of	USFC/A4965	IZ	1320576760	http://n2t.net/ark:/65665/395435a49-0de3-418b-b4cf-5e82ce6bddd6		USNM 80600	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Wakayama	North Pacific Ocean, Japan, Wakayama	2015-09-09T10:52:00.000+00:00				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae					349.0	0.0		NMNH Extant Biology	Degrees Minutes Seconds	4965					
1320784889	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:12.033+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117665	1	54	354	9477065	2013	2117630	2117665	2117665	Nymphon kodanii Hedgpeth, 1949	Nymphon kodanii Hedgpeth, 1949	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon kodanii	Nymphon	kodanii	SPECIES	ACCEPTED	NE	33.3833	135.628	{}	North Pacific Ocean	1906	8	31	1906-08-31	243	243	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:12.033+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/39e76fa08-f42d-471d-89e6-a5e32be25783'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol); Slide		WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA		http://n2t.net/ark:/65665/39e76fa08-f42d-471d-89e6-a5e32be25783	urn:lsid:biocol.org:col:34871		Honshu Island, Shiono Misaki, South of	USFC/A4977	IZ	1320784889	http://n2t.net/ark:/65665/39e76fa08-f42d-471d-89e6-a5e32be25783		USNM 80594	USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Wakayama	North Pacific Ocean, Japan, Wakayama	2021-08-02T07:48:00.000+00:00				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	MALE				995.0	0.0	HOLOTYPE	NMNH Extant Biology	Degrees Minutes Seconds	4977	In Jar With #80595,				
