key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	higherGeography	georeferencedBy	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	eventID	identifier	institutionID	nomenclaturalCode	georeferenceProtocol	http://unknown.org/taxonRankID	locality	fieldNumber	collectionCode	verbatimLocality	gbifID	language	occurrenceID	type	catalogNumber	institutionCode	locationID	taxonConceptID	ownerInstitutionCode	eventTime	http://unknown.org/species	higherClassification	dateIdentified	coordinateUncertaintyInMeters	scientificNameID	footprintWKT	georeferenceSources	identificationQualifier	sex	waterBody	typeStatus	collectionKey	verbatimEventDate	verbatimCoordinateSystem	collectionID	lifeStage	organismQuantity	organismQuantityType	recordNumber	bibliographicCitation
1806043482	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:33.993+00:00	381	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-39.462	149.276	2726.0	34.0	{}	Australia|Tasmania/Victoria	Dr Alan Williams - CSIRO	2017.0	5.0	22.0	2017-05-22	142.0	142.0	['RECORDED_DATE_INVALID', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'DEPTH_MIN_MAX_SWAPPED', 'INSTITUTION_COLLECTION_MISMATCH']	2023-04-21T15:03:00.000+00:00	2024-07-02T06:37:33.993+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '89baf5c6-f6b5-4cfa-9a7c-aab75395a404'}]	[]	[]	[]	22c8fe88-400b-4e8a-92cd-f1c76683f5ba	False	IN2017_V03 - Sampling the Abyss	O'Hara et. al IN2017 V03 abyss Marine Invertebrates Team	Mr David A. Staples - Museum Victoria	Whole|wet|ethanol 95%|ethanol 70%	Beam Trawl - CSIRO Four Metre	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	Museums Victoria	IN2017 V03 022	89baf5c6-f6b5-4cfa-9a7c-aab75395a404	urn:lsid:biocol.org:col:34978	ICZN	data provided with specimen(s)	7000	Bass Strait	IN2017 V03 022	Invertebrates	Bass Strait	1806043482	en	89baf5c6-f6b5-4cfa-9a7c-aab75395a404	PhysicalObject	J72704	NMV	IN2017 V03 022	https://biodiversity.org.au/afd/taxa/51892b70-3ec7-45e0-b04c-868db0d998c9	NMV	08:05:00\09:08:00	Ascorhynchus cooki	Arthropoda | Chelicerata | Pycnogonida | Ammotheidae																		
4081108439	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.585+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-37.2392	177.6403	1499.5	5.5	{}			2012.0	4.0	19.0	2012-04-19	110.0	110.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:23.585+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '6112bdfa-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Vulnerable Deep-Sea Communities Program	Neill, Kate	Specimen(s), Ethanol - no formalin = 3	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			6112bdfa-fa36-11e2-96b3-aa6f927c92a3					Site SL2d, slope, Bay of Plenty		NIWA		4081108439	en	6112bdfa-fa36-11e2-96b3-aa6f927c92a3		82362	NIWA Invertebrate Collection	TAN1206/43						2013-09-30T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (177.6403 -37.2392, 177.6308 -37.2418)	GPS													
4081144434	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.870+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-37.3675	177.6342	1192.5	1.5	{}			2012.0	4.0	19.0	2012-04-19	110.0	110.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.870+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '611326f0-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Vulnerable Deep-Sea Communities Program	Neill, Kate	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			611326f0-fa36-11e2-96b3-aa6f927c92a3					Site SL2c, slope, Bay of Plenty		NIWA		4081144434	en	611326f0-fa36-11e2-96b3-aa6f927c92a3		82398	NIWA Invertebrate Collection	TAN1206/46						2013-09-30T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (177.6342 -37.3675, 177.6257 -37.3675)	GPS													
4081068235	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.574+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-41.721333	175.662833	1479.5	6.5	{}			2010.0	4.0	15.0	2010-04-15	105.0	105.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.574+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f9693fc-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Vulnerable Deep-Sea Communities Program	Neill, Kate	Specimen(s), Ethanol - no formalin = 3	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5f9693fc-fa36-11e2-96b3-aa6f927c92a3					Site 9d, Hikurangi Margin		NIWA		4081068235	en	5f9693fc-fa36-11e2-96b3-aa6f927c92a3		63100	NIWA Invertebrate Collection	TAN1004/9						2013-09-27T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (175.6628333 -41.7213333, 175.6518333 -41.7258333)	GPS													
4081148951	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.296+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-42.542499	175.141495	1812.5	0.5	{}			2007.0	4.0	28.0	2007-04-28	118.0	118.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.296+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5de8e8ca-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Oceans Survey 2020	Bamber, Roger N.	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5de8e8ca-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081148951	en	5de8e8ca-fa36-11e2-96b3-aa6f927c92a3		34456	NIWA Invertebrate Collection	TAN0705/293						2008-01-01T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (175.1414948 -42.5424995, 175.1373291 -42.5421677)	GPS	cf.												
4081119908	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.887+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-42.539	-178.338167	1409.0	5.0	{}			2007.0	4.0	20.0	2007-04-20	110.0	110.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.887+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5de8ed20-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Oceans Survey 2020	Bamber, Roger N.	Specimen(s), Ethanol - no formalin = 2	Trawl, Beam	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5de8ed20-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081119908	en	5de8ed20-fa36-11e2-96b3-aa6f927c92a3		34455	NIWA Invertebrate Collection	TAN0705/203						2008-01-01T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (-178.3381667 -42.539, -178.3398333 -42.5433333)	GPS	cf.												
4081201878	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.804+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-40.25717	166.8738	1751.0	21.0	{}			2007.0	6.0	1.0	2007-06-01	152.0	152.0	['RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.804+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5de8d70e-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	Oceans Survey 2020	Bamber, Roger N.	Specimen(s), Ethanol - no formalin = 1	Trawl, Beam	WGS84	Pycnogonida		[]	[]			OCEANIA			5de8d70e-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081201878	en	5de8d70e-fa36-11e2-96b3-aa6f927c92a3		34460	NIWA Invertebrate Collection	TAN0707/61						2008-01-01T00:00:00	100.0	urn:lsid:marinespecies.org:taxname:240053	LINESTRING (166.8738 -40.25717, 166.8627 -40.25767)	GPS	cf.												
4081081149	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:23.438+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-41.2533	167.12	1463.0	0.0	{}			1980.0	4.0	23.0	1980-04-23	114.0	114.0	['CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:23.438+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5fec7c86-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	NZOI		Specimen(s), Unknown = 4	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5fec7c86-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081081149	en	5fec7c86-fa36-11e2-96b3-aa6f927c92a3		4916	NIWA Invertebrate Collection	P941							500.0	urn:lsid:marinespecies.org:taxname:240053	POINT (167.12 -41.2533)														
4081097325	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.853+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-42.245	175.1433	2476.0	0.0	{}			1979.0	11.0	2.0	1979-11-02	306.0	306.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:22.853+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '5f0ee2cc-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	NZOI		Specimen(s), Unknown = 6	Sled, epibenthic	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5f0ee2cc-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081097325	en	5f0ee2cc-fa36-11e2-96b3-aa6f927c92a3		4917	NIWA Invertebrate Collection	S202							500.0	urn:lsid:marinespecies.org:taxname:240053	POINT (175.1433 -42.245)														
4081176303	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.715+00:00	166	{}	PRESERVED_SPECIMEN		PRESENT	2118316	1	54	354	9477065	4338615	2118315	2118316	2118316	Ascorhynchus cooki Child, 1987	Ascorhynchus cooki Child, 1987	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus cooki	Ascorhynchus	cooki	SPECIES	ACCEPTED	NE	-36.01	179.2133	2505.0	0.0	{}			1974.0	9.0	4.0	1974-09-04	247.0	247.0	['CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']		2024-01-25T07:20:25.715+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '600c8012-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]		False	NIWA Invertebrate Collection	NZOI		Specimen(s), Unknown = 1		WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			600c8012-fa36-11e2-96b3-aa6f927c92a3							NIWA		4081176303	en	600c8012-fa36-11e2-96b3-aa6f927c92a3		4922	NIWA Invertebrate Collection	J658							500.0	urn:lsid:marinespecies.org:taxname:240053	POINT (179.2133 -36.01)														
