key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	institutionID	verbatimEventDate	footprintWKT	fieldNumber	language	gbifID	occurrenceID	type	catalogNumber	institutionCode	identificationRemarks	datasetID	recordNumber	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	taxonID	dynamicProperties	individualCount	waterBody	modified	locality	occurrenceRemarks	collectionCode	datasetName	recordedBy	locationID	georeferenceSources	associatedSequences	collectionKey	eventRemarks	parentNameUsageID	organismID	collectionID	coordinatePrecision	stateProvince	originalNameUsage	sex	higherGeography	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	lifeStage	rightsHolder	nomenclaturalCode	verbatimLocality	disposition	ownerInstitutionCode	parentNameUsage	materialEntityID	otherCatalogNumbers	bibliographicCitation	dateIdentified	http://unknown.org/language	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	http://unknown.org/orders	island
318004739	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.469+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-56.3166	-27.4833		174.5	26.5		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.469+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24057'}]	[]	[]	[]		False				WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE									318004739			24057	BAS															SOMBASE Pycnogonids																																				
318004740	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.465+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-56.1833	-38.6		2953.5	84.5		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.465+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24058'}]	[]	[]	[]		False				WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE									318004740			24058	BAS															SOMBASE Pycnogonids																																				
318004741	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.464+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-64.2383	-61.96		261.5	23.5	ANTARCTICA	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.464+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24059'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004741			24059	BAS															SOMBASE Pycnogonids																																				
318004742	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.456+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-64.845	-63.8533		321.0	9.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.456+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24060'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004742			24060	BAS															SOMBASE Pycnogonids																																				
318004743	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.455+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-64.4183	-62.05		923.5	36.5		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.455+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24061'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004743			24061	BAS															SOMBASE Pycnogonids																																				
318004744	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.457+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-61.3366	-55.0166		731.5	9.5		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.457+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24062'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004744			24062	BAS															SOMBASE Pycnogonids																																				
318004745	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.458+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-77.0833	177.2		354.0	0.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.458+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24063'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004745			24063	BAS															SOMBASE Pycnogonids																																				
318004746	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.457+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-74.5	179.6666		235.0	0.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.457+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24064'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004746			24064	BAS															SOMBASE Pycnogonids																																				
318004747	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:22.458+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-76.9833	167.6		114.0	0.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:22.458+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:24065'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004747			24065	BAS															SOMBASE Pycnogonids																																				
318004922	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.759+00:00	124		{}	OCCURRENCE	PRESENT	2118075	1	54	354	9477065	2011	2118069	2118075	2118075	Austropallene brachyura (Bouvier, 1911)	Austropallene brachyura (Bouvier, 1911)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Austropallene	Austropallene brachyura	Austropallene	brachyura	SPECIES	ACCEPTED	NE	-66.5	139.0		125.0	125.0		{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.759+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:34222'}]	[]	[]	[]		False				WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE									318004922			34222	BAS															SOMBASE Pycnogonids																																				
