key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID	references	datasetID	scientificNameID	bibliographicCitation
1319778289	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:05.059+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2117629	1	54	354	9477065	2013	2117621	2117629	2117629	Heteronymphon caecigenum Child, 1997	Heteronymphon caecigenum Child, 1997	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	Heteronymphon	caecigenum	SPECIES	ACCEPTED	NE	-43.55	-48.9683	5215.5	7.5	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina	1971	3	17	1971-03-17	76	76	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2017-08-25T15:32:00.000+00:00	2024-07-02T12:38:05.059+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/371f1a2cb-1b34-477d-bcb8-959953f245f3'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	Woods Hole Oceanographic Institution	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/371f1a2cb-1b34-477d-bcb8-959953f245f3	urn:lsid:biocol.org:col:34871	17 MAR 1971	unknown, from legacy	From Basin East Of Valdez Peninsula	Degrees Minutes Seconds	IZ	1319778289	http://n2t.net/ark:/65665/371f1a2cb-1b34-477d-bcb8-959953f245f3	USNM 234719	USNM	247	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				
1322586771	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:40:01.671+00:00	395	{}	PRESERVED_SPECIMEN	6.0	PRESENT		2117629	1	54	354	9477065	2013	2117621	2117629	2117629	Heteronymphon caecigenum Child, 1997	Heteronymphon caecigenum Child, 1997	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	Heteronymphon	caecigenum	SPECIES	ACCEPTED	NE	-43.55	-48.9683	5215.5	7.5	{}	South Atlantic Ocean	South Atlantic Ocean, Argentina	1971	3	17	1971-03-17	76	76	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:25:00.000+00:00	2024-07-02T12:40:01.671+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ee2c1cbc-2a36-468a-9648-fc0b66ad9ad5'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	True	NMNH Extant Biology	Woods Hole Oceanographic Institution	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	NORTH_AMERICA	http://n2t.net/ark:/65665/3ee2c1cbc-2a36-468a-9648-fc0b66ad9ad5	urn:lsid:biocol.org:col:34871	17 MAR 1971	unknown, from legacy	From Basin East Of Valdez Peninsula	Degrees Minutes Seconds	IZ	1322586771	http://n2t.net/ark:/65665/3ee2c1cbc-2a36-468a-9648-fc0b66ad9ad5	USNM 234720	USNM	247	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6				
4055741775	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:45.453+00:00	81	{}	PRESERVED_SPECIMEN		PRESENT		2117629	1	54	354	9477065	2013	2117621	2117629	2117629	Heteronymphon caecigenum Child, 1997	Heteronymphon caecigenum Child, 1997	Animalia	Arthropoda	Pantopoda	Nymphonidae	Heteronymphon	Heteronymphon caecigenum	Heteronymphon	caecigenum	SPECIES	ACCEPTED	NE	-43.55	-48.97	5215.5	7.5	{}			1971	3	17	1971-03-17	76	76	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:07:45.453+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1926'}]	[]	[]	[]			True					WGS84	Pycnogonida		[]	[]			EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1926				Argentine Basin		WoRMS type localities	4055741775	WoRMS Editorial Board:WoRMS type localities:sm_id_1926	sm_id_1926	WoRMS Editorial Board				http://www.marinespecies.org/aphia.php?p=specdetails&id=1926	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:239414	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Heteronymphon caecigenum</i> Child, 1997. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239414
