key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	gbifID	collectionCode	occurrenceID	higherClassification	depth	depthAccuracy	waterBody	otherCatalogNumbers	samplingProtocol	institutionCode	locality	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	higherGeography	georeferencedBy	references	collectionKey	recordedBy	geodeticDatum	georeferenceProtocol	dynamicProperties	georeferenceVerificationStatus	verbatimCoordinateSystem	verbatimLocality	disposition	ownerInstitutionCode	georeferenceSources	stateProvince	georeferenceRemarks	bibliographicCitation	typeStatus	datasetName	acceptedNameUsage	occurrenceRemarks	county	organismRemarks
2434398639	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:36.205+00:00	393	{}	PRESERVED_SPECIMEN	1.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}	1968.0	2.0	16.0	1968-02-16	47.0	47.0	['CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:36.205+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3490@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Stock J.H.	WholeOrganism (wet specimen)	Pycnogonida	BR	[]	[]	LATIN_AMERICA	Brazil	EUROPE	Naturalis Biodiversity Center	ZMA.PYC.3490@CRS	ZMA.PYC.3490	ICZN	Naturalis Biodiversity Center	16 feb 1968	2434398639	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3490	Animalia|Pallenopsidae																																		
1099408635	56aa0680-0c60-11dd-84cd-b8a03c50a862	6ba9a8cc-513a-4a51-bf93-6f5de8040a96		4346b227-ca68-4d54-8a77-909148492e0b	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	SE	EML	2023-06-02T23:29:56.464+00:00	2024-01-25T07:37:01.534+00:00	226	{}	PRESERVED_SPECIMEN	2.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE		{}	1896.0	3.0	16.0	1896-03-16	76.0	76.0	['TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2015-03-25T00:00:00.000+00:00	2024-01-25T07:37:01.534+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'NRM:EVmain:125520'}]	[]	[]	[]	5ed4ae5a-4638-4c61-8af1-b476f64bc0a2	False		specimen(s)	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE		NRM:EVmain:125520	125520	ICZN			1099408635	EVmain	NRM:EVmain:125520	Pantopoda	182.0	0.0	South Atlantic Ocean	Utl. Pantopoda:119	trawl	NRM	Patagonia, Martha Bank																											
895363458	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:26:42.366+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.W. Hedgpeth, 1942', 'http://rs.tdwg.org/dwc/terms/identificationID': '1626119', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Joel Walker Hedgpeth', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis fluminensis'}]}	PRESERVED_SPECIMEN	2.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE		{}	1872.0	1.0	22.0	1872-01-22	22.0	22.0	['INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:26:42.366+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12236'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	False	Joel Walker Hedgpeth	whole animal (70% ethanol)	Pycnogonida	BR	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/59165466'}]	LATIN_AMERICA	Brazil	NORTH_AMERICA	President and Fellows of Harvard College	MCZ:IZ:CRU-12236	CRU-12236	ICZN	b4640710-8e03-11d8-b956-b8a03c50a862	January 22, 1872	895363458	IZ	MCZ:IZ:CRU-12236	Animalia Arthropoda Pycnogonida Phoxichilidiidae Pallenopsis fluminensis	64.01	0.0	Atlantic, Southwest	dredging number=20:236P		MCZ	Off Cabo Frio	-20.70639	-39.65361	1e-05	193121.28	Atlantic Ocean: Atlantic, Southwest: Brazil	Penny Benson	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12236	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	Hassler Expedition	WGS84	Google Earth	"{""part of group"":""Hassler Expedition""}"	unverified	deg. min. sec.	off Cape Frio, Brazil	in collection	Museum of Comparative Zoology, Harvard University	Coordinates based on JH Blakes travel journal kept during the Hassler Expedition (at midpoint between known coordinates Jan 21-22)									
895363456	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:26:42.347+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.W. Hedgpeth, 1942', 'http://rs.tdwg.org/dwc/terms/identificationID': '1626117', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Joel Walker Hedgpeth', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis fluminensis'}]}	PRESERVED_SPECIMEN	6.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE		{}	1872.0	3.0	1.0	1872-03-01	61.0	61.0	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_UNCERTAINTY_METERS_INVALID', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:26:42.347+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12238'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	False	Joel Walker Hedgpeth	whole animal (70% ethanol)	Pycnogonida	AR	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/59165466'}]	LATIN_AMERICA	Argentina	NORTH_AMERICA	President and Fellows of Harvard College	MCZ:IZ:CRU-12238	CRU-12238	ICZN	b4640710-8e03-11d8-b956-b8a03c50a862	March 1, 1872	895363456	IZ	MCZ:IZ:CRU-12238	Animalia Arthropoda Pycnogonida Phoxichilidiidae Pallenopsis fluminensis	80.47		Atlantic, Southwest	dredging number=26:242P		MCZ	Off Rio de la Plata	-37.7	-56.33333	1e-05		Atlantic Ocean: Atlantic, Southwest: Argentina	[no agent data]	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12238	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	Hassler Expedition	WGS84	unknown	"{""part of group"":""Hassler Expedition""}"	verified by collector	deg. min. sec.	Off Rio de la Plata	in collection	Museum of Comparative Zoology, Harvard University	Lists of Dredging Stations in North American Water from 1867-1887 by Sanderson Smith									
895363460	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:26:42.330+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.W. Hedgpeth, 1942', 'http://rs.tdwg.org/dwc/terms/identificationID': '1626121', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Joel Walker Hedgpeth', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Pallenopsis fluminensis'}]}	PRESERVED_SPECIMEN	3.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{'level0': {'gid': 'BRA', 'name': 'Brazil'}, 'level1': {'gid': 'BRA.19_1', 'name': 'Rio de Janeiro'}, 'level2': {'gid': 'BRA.19.68_2', 'name': 'Rio de Janeiro'}}	1872.0			1872			['CONTINENT_DERIVED_FROM_COORDINATES', 'RECORDED_DATE_MISMATCH', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-01-09T10:43:26.000+00:00	2024-07-24T00:26:42.330+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12237'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	False	Joel Walker Hedgpeth	whole animal (70% ethanol)	Pycnogonida	BR	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/59165466'}]	LATIN_AMERICA	Brazil	NORTH_AMERICA	President and Fellows of Harvard College	MCZ:IZ:CRU-12237	CRU-12237	ICZN	b4640710-8e03-11d8-b956-b8a03c50a862	January-February 1872	895363460	IZ	MCZ:IZ:CRU-12237	Animalia Arthropoda Pycnogonida Phoxichilidiidae Pallenopsis fluminensis			Atlantic, Southwest			MCZ	Rio de Janeiro	-22.90295	-43.17387	1e-05	46455.0	Atlantic Ocean: Atlantic, Southwest: Brazil: Rio de Janeiro	Penny Benson	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12237	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	Hassler Expedition	WGS84	GEOLocate	"{""part of group"":""Hassler Expedition""}"	verified by MCZ collection	decimal degrees	Brazil, Rio de Janeiro	in collection	Museum of Comparative Zoology, Harvard University	GEOLocate	Rio de Janeiro	Georeferenced from Rio de Janeiro to include marine and terrestrial specimens							
1099408648	56aa0680-0c60-11dd-84cd-b8a03c50a862	6ba9a8cc-513a-4a51-bf93-6f5de8040a96		4346b227-ca68-4d54-8a77-909148492e0b	4c415e40-1e21-11de-9e40-a0d6ecebb8bf	SE	EML	2023-06-02T23:29:56.464+00:00	2024-01-25T07:36:56.810+00:00	226	{}	PRESERVED_SPECIMEN	1.0	PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE		{}	1852.0	1.0	19.0	1852-01-19	19.0	19.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'TAXON_MATCH_FUZZY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2015-03-25T00:00:00.000+00:00	2024-01-25T07:36:56.810+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'NRM:EVmain:125517'}]	[]	[]	[]	5ed4ae5a-4638-4c61-8af1-b476f64bc0a2	False		specimen(s)	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	EUROPE		NRM:EVmain:125517	125517	ICZN			1099408648	EVmain	NRM:EVmain:125517	Pantopoda	94.64	0.0	South Atlantic Ocean	Utl. Pantopoda:117		NRM	S of La Plata outflow	-39.233333	-57.0							Kinberg	WGS84																	
1328192568	f0c3a31b-df3b-4670-ac1d-0c58d13e1420	d6bc1312-f24f-4258-b117-a13243b915ff	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	2bbcc64b-16bb-4f74-8dfc-64c93cf0e109	d6bc1312-f24f-4258-b117-a13243b915ff	AR	EML	2023-01-07T12:56:49.754+00:00	2024-01-25T02:14:54.291+00:00	108	{}	OCCURRENCE		PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2015-09-01T09:17:00.000+00:00	2024-01-25T02:14:54.291+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1328192568'}]	[]	[]	[]		False			Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	LATIN_AMERICA		urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-2287	CNP-MARINEINVER-2287				1328192568	CNP-MARINEINVER	urn:catalog:CENPAT-CONICET:CNP-MARINEINVER:CNP-MARINEINVER-2287							CENPAT-CONICET	Bahia Blanca	-39.0	-62.0								WGS84											Bremec, C.S., Martinez, D.E. & Elias, R., 1986. Picnogonidos de lso alrededores de Bahia Blanca (Argentina). Spheniscus, 3, 31-49.						
2012925677	58fc397b-eee4-4138-8a5f-50f9dfb00216	2e7df380-8356-4533-bcb3-5459e23c794e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	7b21b165-f4b0-4be4-b7dd-c2cbfc9c28a3	2e7df380-8356-4533-bcb3-5459e23c794e	DK	DWC_ARCHIVE	2024-07-21T09:59:22.110+00:00	2024-07-21T10:18:22.262+00:00	275	{'http://rs.gbif.org/terms/1.0/Reference': [{'http://purl.org/dc/terms/creator': 'Krøyer, Henrik', 'http://purl.org/dc/terms/date': '1844', 'http://purl.org/dc/terms/source': 'Naturhistorisk Tidsskrift', 'http://purl.org/dc/terms/title': 'Bidrag til Kundskab om Pyknogoniderne eller Søspindlerne'}], 'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/typeStatus': 'holotype', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/identificationID': '2364a1bb-13fd-2616-db31-424482cfea64', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Phoxichilidium fluminense Krøyer, 1844'}]}	PRESERVED_SPECIMEN		PRESENT	4338439	1	54	354	9477065	3254684	2117433	9238649	9238649	Phoxichilidium fluminense Krøyer, 1844	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Phoxichilidium	fluminense	SPECIES	SYNONYM	NE		{}							['COUNTRY_INVALID']	2012-02-03T00:00:00.000+00:00	2024-07-21T10:18:22.262+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '2081b4a4-e8ff-4d51-940c-e14e41dae7fe'}]	[]	[]	[]	68fcaba0-61fe-4e78-a460-4f37654d025d	False		various	Pycnogonida		[]	[]			EUROPE		2081b4a4-e8ff-4d51-940c-e14e41dae7fe	NHMD110664		http://grbio.org/cool/mci8-ehqk		2012925677	IV	2081b4a4-e8ff-4d51-940c-e14e41dae7fe					PYC-006440		NHMD	Rio de Janeiro, Brazil					Tropical West Atlantic, Brazil TWA			e4cac6b7-41e4-404d-b9b2-ea507703f671														HOLOTYPE	Natural History Museum Denmark Invertebrate Zoology	Phoxichilidium fluminense	Type status checked 2003-2011, but may need reconfirmation. Naturhistorisk Tidsskrift 2, 1: 90-139. TS Feb. 2012 : Labelled with correct number.		
231047148	6197c830-d9c7-11de-b793-b8a03c50a862	2e4af590-37d0-11d9-8439-b8a03c50a862		9a6d3561-e96b-4e60-9a44-e42140d510b3	2e4af590-37d0-11d9-8439-b8a03c50a862	AR	EML	2023-01-08T06:32:11.642+00:00	2024-01-24T18:52:16.447+00:00	274	{}	PRESERVED_SPECIMEN		PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE	SOUTH_AMERICA	{}							['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-02-15T00:00:00.000+00:00	2024-01-24T18:52:16.447+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MACN:MACN-In:20298'}]	[]	[]	[]	8c4ae816-dfd9-4bc8-a2fd-f25a56bf82e9	False			Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	LATIN_AMERICA		MACN:MACN-In:20298	20298	ICZN			231047148	MACN-In	MACN:MACN-In:20298	Animalia | Arthropoda (Chelicerata) | Pycnogonida | Pantopoda | Phoxichilidiidae | Pallenopsis						MACN	Bahía San Blas	-40.308276	-62.237683		35921.88	América del Sur, Argentina, Buenos Aires, Patagones					WGS84	GEO MACN v. 0.1					Ubicado		Google Earth	Buenos Aires							Patagones	( Existen 2 preparados)
231047161	6197c830-d9c7-11de-b793-b8a03c50a862	2e4af590-37d0-11d9-8439-b8a03c50a862		9a6d3561-e96b-4e60-9a44-e42140d510b3	2e4af590-37d0-11d9-8439-b8a03c50a862	AR	EML	2023-01-08T06:32:11.642+00:00	2024-01-24T18:52:08.001+00:00	274	{}	PRESERVED_SPECIMEN		PRESENT	9238649	1	54	354	9477065	3254684	2117433	9238649	9238649	Pallenopsis fluminensis (Krøyer, 1844)	Pallenopsis fluminensis (Krøyer, 1844)	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis fluminensis	Pallenopsis	fluminensis	SPECIES	ACCEPTED	NE		{}							['COORDINATE_ROUNDED', 'COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2020-02-15T00:00:00.000+00:00	2024-01-24T18:52:08.001+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'MACN:MACN-In:21353'}]	[]	[]	[]	8c4ae816-dfd9-4bc8-a2fd-f25a56bf82e9	False		1 + preparado	Pycnogonida	AR	[]	[]	LATIN_AMERICA	Argentina	LATIN_AMERICA		MACN:MACN-In:21353	21353	ICZN			231047161	MACN-In	MACN:MACN-In:21353	Animalia | Arthropoda (Chelicerata) | Pycnogonida | Pantopoda | Phoxichilidiidae | Pallenopsis						MACN	Golfo San Matías	-41.56485	-64.294339		115009.27	Atlántico Sur, Mar Argentino, Golfo San Matías					WGS84	GEO MACN v. 0.1					Ubicado		Google Earth	Golfo San Matías								'Se prestó, además, un ej. al Mus. Hist. NAt. Montevideo enn 1947 y lo extraviaron, devolvió Scarabino F. VI/2007'
