key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	gbifID	collectionCode	occurrenceID	continent	stateProvince	waterBody	associatedSequences	institutionKey	collectionKey	datasetID	datasetName	recordedBy	identifiedBy	samplingProtocol	recordNumber	eventID	institutionID	island	locality	eventRemarks	taxonID	parentNameUsageID	organismID	locationID	collectionID	dateIdentified	preparations	rightsHolder	http://unknown.org/taxonRankID	language	type	taxonConceptID	http://unknown.org/species	verbatimEventDate	individualCount	higherGeography	nomenclaturalCode	verbatimLocality	ownerInstitutionCode	higherClassification	sex	locationRemarks	fieldNotes	otherCatalogNumbers	acceptedNameUsage	dynamicProperties	nameAccordingTo
1882672216	f2d200d5-914c-408f-821a-9ba0001465af	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-09T13:49:52.040+00:00	2024-01-25T02:23:40.313+00:00	262	{}	HUMAN_OBSERVATION	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE	-14.66428	145.7533	0.0018	200.0	4.0	0.0	{}	2009.0	2.0	27.0	2009-02-27	58.0	58.0	['GEODETIC_DATUM_ASSUMED_WGS84']	2018-07-13T09:32:25.000+00:00	2024-01-25T02:23:40.313+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	1.0	individuals	False	[{'identifier': '1576D84D-C63E-4183-084E-41D164D3D18C'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	1576D84D-C63E-4183-084E-41D164D3D18C	1576D84D-C63E-4183-084E-41D164D3D18C	urn:lsid:marinespecies.org:taxname:239668	AIMS	POINT (145.75330 -14.66428)	1882672216	CReefs - Lizard Island 2009	1576D84D-C63E-4183-084E-41D164D3D18C																																												
1882672498	f2d200d5-914c-408f-821a-9ba0001465af	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-09T13:49:52.040+00:00	2024-01-25T02:23:40.187+00:00	262	{}	HUMAN_OBSERVATION	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE	-14.61575	145.6196	0.0018	200.0	30.0	0.0	{}	2009.0	2.0	27.0	2009-02-27	58.0	58.0	['GEODETIC_DATUM_ASSUMED_WGS84']	2018-07-13T09:32:25.000+00:00	2024-01-25T02:23:40.187+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	1.0	individuals	False	[{'identifier': '63376223-34E2-4C6D-8C65-97C02B8619F5'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	63376223-34E2-4C6D-8C65-97C02B8619F5	63376223-34E2-4C6D-8C65-97C02B8619F5	urn:lsid:marinespecies.org:taxname:239668	AIMS	POINT (145.61960 -14.61575)	1882672498	CReefs - Lizard Island 2009	63376223-34E2-4C6D-8C65-97C02B8619F5																																												
3344688797	968dfa3e-3614-4bab-a3b5-e9209bdd6078	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-06-03T13:09:42.774+00:00	2024-01-24T22:36:13.344+00:00	159	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					18.0		{}	2009.0	2.0	20.0	2009-02-20	51.0	51.0	['TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-24T22:36:13.344+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			True	[{'identifier': 'OGL_MSC_NortheasternUniversity_S12232'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA	OGL_MSC_NortheasternUniversity_S12232	S12232	urn:lsid:marinespecies.org:taxname:239668	OGL		3344688797	OGL	OGL_MSC_NortheasternUniversity_S12232	OCEANIA	Queensland	Great Barrier Reef	BOLD ID: Q035	8c116cac-9394-4c4e-be14-06184bdc62bd	0f00dede-1a1f-49e5-ae69-2bc40db635c5	OGL_MSC_NortheasternUniversity	Ocean Genome Legacy Collection	Claudia Arango	Claudia Arango	ND	Q035	CE01739	8c116cac-9394-4c4e-be14-06184bdc62bd	Lizard Island	Coconut beach	Contact Person: Arango, Claudia; Collection Event Notes: Collector name listed as C. ARANGO/CREEFS	T02265	182869	S12232	CL02561	0f00dede-1a1f-49e5-ae69-2bc40db635c5																						
4141816750	793c3890-6c8a-11de-8226-b8a03c50a862	8cdd9232-84eb-4bad-9d9b-a36910cd524b	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:23:22.318+00:00	2024-07-02T07:38:05.871+00:00	374	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE	-12.118	130.984					{}	1993.0	10.0	11.0	1993-10-11	284.0	284.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']		2024-07-02T07:38:05.871+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '1dc09794-009c-4efb-b644-1e08b7249f70'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	1dc09794-009c-4efb-b644-1e08b7249f70	N000015		MAGNT		4141816750	Minor Invertebrate	1dc09794-009c-4efb-b644-1e08b7249f70	OCEANIA	Northern Territory			c0f3ae0e-60d2-4671-a35f-40c754780c9f					C. Arango						SSE of Lyne Reef, Vernon Islands, Beagle Gulf							2007-01-01T00:00:00	whole animal (ETOH)	Board of the Museum and Art Gallery of the Northern Territory	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum														
1633598849	a79c2b50-6c8a-11de-8226-b8a03c50a862	f9d3db7d-6ee9-4fbf-bd4c-e5d0f0bd26c6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:43.946+00:00	2024-07-02T06:30:21.744+00:00	379	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE	-19.15	146.866667					{'level0': {'gid': 'AUS', 'name': 'Australia'}, 'level1': {'gid': 'AUS.7_1', 'name': 'Queensland'}, 'level2': {'gid': 'AUS.7.67_1', 'name': 'Townsville'}}	1982.0	7.0	21.0	1982-07-21	202.0	202.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2021-12-24T00:00:00.000+00:00	2024-07-02T06:30:21.744+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '3bd3f9a2-3a4c-4365-a509-39cc2e28b6f5'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	3bd3f9a2-3a4c-4365-a509-39cc2e28b6f5	S105803		QM		1633598849	Arachnids	3bd3f9a2-3a4c-4365-a509-39cc2e28b6f5	OCEANIA	Queensland			442fa096-b2bf-4ecc-b513-ae0958eeec25	d3ab26a1-b655-42b3-ae4c-a04b651f4303				C P Arango						Townsville, Magnetic Island, Geoffrey Bay								Spirit		7000			https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum	21 Jul 1982													
1272748217	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:29.915+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					3.0		{}	1978.0	1.0		1978-01			['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-11-06T12:28:00.000+00:00	2024-07-02T06:37:29.915+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '5d211649-25c9-449e-8ef1-8a2c30f9ac4a'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	5d211649-25c9-449e-8ef1-8a2c30f9ac4a	J5342		NMV		1272748217	Invertebrates	5d211649-25c9-449e-8ef1-8a2c30f9ac4a	OCEANIA	Victoria			22c8fe88-400b-4e8a-92cd-f1c76683f5ba				Edge, R.J.	D A. Staples - Museum Victoria (Sciences)				urn:lsid:biocol.org:col:34978		Lady julia Percy Island							1981-01-01T00:00:00	Wet|ethanol 70%	Museums Victoria	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum		1.0	Australia|Victoria	ICZN	Lady julia Percy Island	NMV	Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Colossendeidae							
1272748106	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:37.305+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					2.0		{}	1978.0	1.0		1978-01			['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-11-06T12:28:00.000+00:00	2024-07-02T06:37:37.305+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'e8ffc445-0f49-4c85-83bc-0bfe920c63cb'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	e8ffc445-0f49-4c85-83bc-0bfe920c63cb	J5341		NMV		1272748106	Invertebrates	e8ffc445-0f49-4c85-83bc-0bfe920c63cb	OCEANIA	Victoria			22c8fe88-400b-4e8a-92cd-f1c76683f5ba				Edge, R.J.	D A. Staples - Museum Victoria (Sciences)				urn:lsid:biocol.org:col:34978		Lady julia Percy Island							1981-01-01T00:00:00	Wet|ethanol 70%	Museums Victoria	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum		1.0	Australia|Victoria	ICZN	Lady julia Percy Island	NMV	Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Colossendeidae							
1272748365	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:26.898+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					2.0		{}	1978.0	10.0		1978-10			['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-11-06T12:28:00.000+00:00	2024-07-02T06:37:26.898+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '3d13681f-51eb-4765-8cc6-0fe00b517f54'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	3d13681f-51eb-4765-8cc6-0fe00b517f54	J5343		NMV		1272748365	Invertebrates	3d13681f-51eb-4765-8cc6-0fe00b517f54	OCEANIA	Victoria			22c8fe88-400b-4e8a-92cd-f1c76683f5ba				Edge, R.J.	D A. Staples - Museum Victoria (Sciences)				urn:lsid:biocol.org:col:34978		Lady julia Percy Island							1981-01-01T00:00:00	Wet|ethanol 70%	Museums Victoria	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum		1.0	Australia|Victoria	ICZN	Lady julia Percy Island	NMV	Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Colossendeidae							
1272748566	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:36.632+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					1.0		{}	1978.0	10.0		1978-10			['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2019-11-06T12:27:00.000+00:00	2024-07-02T06:37:36.632+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'b298511a-2523-4328-bc06-b9212a7f3d31'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	b298511a-2523-4328-bc06-b9212a7f3d31	J5344		NMV		1272748566	Invertebrates	b298511a-2523-4328-bc06-b9212a7f3d31	OCEANIA	Victoria			22c8fe88-400b-4e8a-92cd-f1c76683f5ba				Edge, R.J.	D A. Staples - Museum Victoria (Sciences)				urn:lsid:biocol.org:col:34978		Lady julia Percy Island							1981-01-01T00:00:00	Wet|ethanol 70%	Museums Victoria	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum		1.0	Australia|Victoria	ICZN	Lady julia Percy Island	NMV	Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Colossendeidae							
1272753731	39905320-6c8a-11de-8226-b8a03c50a862	4cff2aca-5ce5-4028-88e6-d79b6449173a	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:21:32.799+00:00	2024-07-02T06:37:26.650+00:00	381	{}	PRESERVED_SPECIMEN	PRESENT	2117524	1	54	354	9477065	2012	2117523	2117524	2117524	Rhopalorhynchus tenuissimus (Haswell, 1885)	Rhopalorhynchus tenuissimus (Haswell, 1885)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Rhopalorhynchus	Rhopalorhynchus tenuissimus	Rhopalorhynchus	tenuissimus	SPECIES	ACCEPTED	NE					4.1		{}	1977.0			1977			['TAXON_MATCH_FUZZY', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_COLLECTION_MISMATCH']	2023-03-08T16:31:00.000+00:00	2024-07-02T06:37:26.650+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '47ca1658-1438-4d39-8efc-c8be8455c967'}]	[]	[]	[]	False		Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	47ca1658-1438-4d39-8efc-c8be8455c967	J58390		NMV		1272753731	Invertebrates	47ca1658-1438-4d39-8efc-c8be8455c967	OCEANIA	Queensland			22c8fe88-400b-4e8a-92cd-f1c76683f5ba				Saenger, P.	D A. Staples - Museum Victoria (Sciences)	Van Veen Grab			urn:lsid:biocol.org:col:34978		Calliope River,transect 9 on Anabranch, Gladstone								Wet|ethanol 70%	Museums Victoria	7000	en	PhysicalObject	https://biodiversity.org.au/afd/taxa/9f909645-246e-44ab-980e-32acf1d6d8ff	Rhopalorhynchus tenuissimum		3.0	Australia|Queensland	ICZN	Calliope River,transect 9 on Anabranch, Gladstone	NMV	Arthropoda | Chelicerata | Pycnogonida | Pantopoda | Colossendeidae	MALE						
