key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	sex	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	waterBody	higherGeography	year	month	day	eventDate	startDayOfYear	endDayOfYear	typeStatus	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	institutionID	verbatimEventDate	georeferenceProtocol	locality	verbatimCoordinateSystem	fieldNumber	collectionCode	gbifID	occurrenceID	catalogNumber	institutionCode	locationID	higherClassification	collectionID
1320842720	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:12.927+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	MALE	2117922	1	54	354	9477065	6314	2117918	2117922	2117922	Austrodecus serratum Child, 1994	Austrodecus serratum Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus serratum	Austrodecus	serratum	SPECIES	ACCEPTED	NE	-54.533	158.983	118.0	6.0	OCEANIA	{}	South Pacific Ocean	South Pacific Ocean	1967.0	2.0	15.0	1967-02-15	46.0	46.0	HOLOTYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:39:12.927+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a104fb36-3d67-4e04-8a3c-e2c8bd6e5f5b'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	University of Southern California	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	NORTH_AMERICA	http://n2t.net/ark:/65665/3a104fb36-3d67-4e04-8a3c-e2c8bd6e5f5b	urn:lsid:biocol.org:col:34871	15 FEB 1967	unknown, from legacy	Macquarie Island, off Island	Degrees Minutes Seconds	USARP/EL/27/1974/USC	IZ	1320842720	http://n2t.net/ark:/65665/3a104fb36-3d67-4e04-8a3c-e2c8bd6e5f5b	USNM 234600	USNM	1974	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6
1319661179	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:30.487+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	FEMALE	2117922	1	54	354	9477065	6314	2117918	2117922	2117922	Austrodecus serratum Child, 1994	Austrodecus serratum Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus serratum	Austrodecus	serratum	SPECIES	ACCEPTED	NE	-54.408	159.008	86.0	7.0		{}	South Pacific Ocean	South Pacific Ocean, New Zealand	1965.0	2.0	10.0	1965-02-10	41.0	41.0	PARATYPE	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:24:00.000+00:00	2024-07-02T12:37:30.487+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/36cbef83d-6829-4b19-92f4-f05835886f25'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	University of Southern California	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History	Alcohol (Ethanol)	WGS84	Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	NORTH_AMERICA	http://n2t.net/ark:/65665/36cbef83d-6829-4b19-92f4-f05835886f25	urn:lsid:biocol.org:col:34871	10 FEB 1965	unknown, from legacy	Macquarie Island	Degrees Minutes Seconds	USARP/EL/16/1417/USC	IZ	1319661179	http://n2t.net/ark:/65665/36cbef83d-6829-4b19-92f4-f05835886f25	USNM 234601	USNM	1417	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Austrodecidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6
318004689	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.114+00:00	124	{}	OCCURRENCE		PRESENT		2117922	1	54	354	9477065	6314	2117918	2117922	2117922	Austrodecus serratum Child, 1994	Austrodecus serratum Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus serratum	Austrodecus	serratum	SPECIES	ACCEPTED	NE	-54.5	158.9833	118.0	6.0	OCEANIA	{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.114+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22584'}]	[]	[]	[]			False					WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE								SOMBASE Pycnogonids	318004689		22584	BAS			
318004690	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862		6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.115+00:00	124	{}	OCCURRENCE		PRESENT		2117922	1	54	354	9477065	6314	2117918	2117922	2117922	Austrodecus serratum Child, 1994	Austrodecus serratum Child, 1994	Animalia	Arthropoda	Pantopoda	Austrodecidae	Austrodecus	Austrodecus serratum	Austrodecus	serratum	SPECIES	ACCEPTED	NE	-54.4	159.0166	86.0	7.0		{}										['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']		2024-01-24T20:26:21.115+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:22585'}]	[]	[]	[]			False					WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	EUROPE								SOMBASE Pycnogonids	318004690		22585	BAS			
