key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	catalogNumber	institutionCode	gbifID	collectionCode
318009318	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.194+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-53.45	-41.6966	295.0	135.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.194+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37724'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37724	BAS	318009318	SOMBASE Pycnogonids
318009333	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.238+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.7133	-34.755	540.0	60.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.238+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37793'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37793	BAS	318009333	SOMBASE Pycnogonids
318009334	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.238+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.775	-35.2133	340.0	10.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.238+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37794'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37794	BAS	318009334	SOMBASE Pycnogonids
318009335	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.242+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.7616	-35.625	72.5	7.5	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.242+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37798'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37798	BAS	318009335	SOMBASE Pycnogonids
318009337	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.887+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.7616	-35.625	72.5	7.5	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.887+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37805'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37805	BAS	318009337	SOMBASE Pycnogonids
318009339	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.895+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-53.93	-38.0366	109.0	1.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.895+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37819'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37819	BAS	318009339	SOMBASE Pycnogonids
318009341	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:24.010+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-53.465	-42.2016	210.0	5.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:24.010+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37828'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	37828	BAS	318009341	SOMBASE Pycnogonids
318009346	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.731+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.9333	-34.5166	255.0	5.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.731+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38123'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	38123	BAS	318009346	SOMBASE Pycnogonids
318009347	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.731+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.8583	-34.6216	250.0	0.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.731+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38128'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	38128	BAS	318009347	SOMBASE Pycnogonids
318009348	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:20.731+00:00	124	{}	OCCURRENCE	PRESENT	2117494	1	54	354	9477065	3254684	2117433	2117494	2117494	Pallenopsis gurjanovi Pushkin, 1993	Pallenopsis gurjanovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Pallenopsidae	Pallenopsis	Pallenopsis gurjanovi	Pallenopsis	gurjanovi	SPECIES	ACCEPTED	NE	-54.895	-34.4583	250.0	0.0	{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:20.731+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38129'}]	[]	[]	[]	False	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	38129	BAS	318009348	SOMBASE Pycnogonids
