key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	continent	gadm	year	eventDate	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	scientificNameID	locality	associatedReferences	gbifID	occurrenceID	stateProvince	waterBody	month	datasetID	catalogNumber	institutionCode	georeferenceProtocol	collectionCode	individualCount	depth	depthAccuracy	higherGeography	day	startDayOfYear	endDayOfYear	modified	references	institutionKey	otherCatalogNumbers	recordedBy	preparations	rightsHolder	dynamicProperties	municipality	county	language	type	taxonRemarks	vernacularName	nomenclaturalCode	georeferenceRemarks	verbatimDepth	disposition	previousIdentifications	ownerInstitutionCode	occurrenceRemarks	bibliographicCitation	accessRights	higherClassification	georeferenceSources	collectionKey	datasetName	identifiedBy	institutionID	verbatimEventDate	locationID	collectionID	sex	coordinatePrecision	georeferencedBy	georeferenceVerificationStatus	verbatimCoordinateSystem	verbatimLocality	fieldNumber	typeStatus
3947848511	929eb10b-732f-4247-b899-4e3e5681cb4b	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-02-18T01:33:37.612+00:00	2024-01-24T22:17:39.545+00:00	175	{}	HUMAN_OBSERVATION	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	44.134792	-68.840157	500.0	NORTH_AMERICA	{}	1982.0	1982	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-24T22:17:39.545+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'Penobscot_Bay_station_32_Achelia_scabra_13'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	Penobscot_Bay_station_32_Achelia_scabra_13	urn:lsid:marinespecies.org:taxname:158475	Penobscot Bay station 32	Larsen & Johnson, 1985	3947848511	Penobscot_Bay_station_32_Achelia_scabra_13																																																							
3947848911	929eb10b-732f-4247-b899-4e3e5681cb4b	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-02-18T01:33:37.612+00:00	2024-01-24T22:17:40.084+00:00	175	{}	HUMAN_OBSERVATION	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	44.476303	-68.813759	1000.0	NORTH_AMERICA	{}	1982.0	1982	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-24T22:17:40.084+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'Penobscot_Bay_station_3_Achelia_scabra_594'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	Penobscot_Bay_station_3_Achelia_scabra_594	urn:lsid:marinespecies.org:taxname:158475	Penobscot Bay station 3	Larsen & Johnson, 1985	3947848911	Penobscot_Bay_station_3_Achelia_scabra_594																																																							
3947848655	929eb10b-732f-4247-b899-4e3e5681cb4b	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-02-18T01:33:37.612+00:00	2024-01-24T22:17:39.798+00:00	175	{}	HUMAN_OBSERVATION	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	44.458591	-68.793533	1000.0	NORTH_AMERICA	{}	1982.0	1982	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-24T22:17:39.798+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'Penobscot_Bay_station_4_Achelia_scabra_439'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	Penobscot_Bay_station_4_Achelia_scabra_439	urn:lsid:marinespecies.org:taxname:158475	Penobscot Bay station 4	Larsen & Johnson, 1985	3947848655	Penobscot_Bay_station_4_Achelia_scabra_439																																																							
2872233969	fbaa63e3-945b-43d9-920b-812215a5bb1f	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-02-17T08:20:07.861+00:00	2024-01-25T07:27:46.580+00:00	114	{}	HUMAN_OBSERVATION	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	43.62	-70.21	50.0	NORTH_AMERICA	{'level0': {'gid': 'USA', 'name': 'United States'}, 'level1': {'gid': 'USA.20_1', 'name': 'Maine'}, 'level2': {'gid': 'USA.20.3_1', 'name': 'Cumberland'}}	1981.0	1981-04	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-25T07:27:46.580+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SMCC_1981-04_295'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	SMCC_1981-04_295	urn:lsid:marinespecies.org:taxname:158475	Fort Williams Cape Elizabeth, ME		2872233969	SMCC_1981-04_295	Maine	North Atlantic Ocean	4.0	SMCCInverts	295	SMCC	Visual georeferencing using Google Earth	Robert Siegel Invertebrate Database																																															
2872234186	fbaa63e3-945b-43d9-920b-812215a5bb1f	c3ad790a-d426-4ac1-8e32-da61f81f0117	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	a9c3f3b6-1f98-49c3-ba50-7e6aa1c9de59	c3ad790a-d426-4ac1-8e32-da61f81f0117	US	EML	2023-02-17T08:20:07.861+00:00	2024-01-25T07:27:46.618+00:00	114	{}	HUMAN_OBSERVATION	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	43.6467	-70.225	50.0	NORTH_AMERICA	{}	1981.0	1981-04	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-25T07:27:46.618+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'SMCC_1981-04_749'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	SMCC_1981-04_749	urn:lsid:marinespecies.org:taxname:158475	Siegel's Reef Willard Beach, South Portland, ME		2872234186	SMCC_1981-04_749	Maine	North Atlantic Ocean	4.0	SMCCInverts	749	SMCC	Visual georeferencing using Google Earth	Robert Siegel Invertebrate Database																																															
350556906	854e35e6-f762-11e1-a439-00145eb45e9a	2e167bb0-4441-11db-9ba2-b8a03c50a862		a974d1b0-37fa-442b-bf5e-47159b201779	2e167bb0-4441-11db-9ba2-b8a03c50a862	US	EML	2024-07-24T13:18:05.048+00:00	2024-07-24T13:22:44.542+00:00	2311	{}	PRESERVED_SPECIMEN	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	41.925	-70.5333	1851.0	NORTH_AMERICA	{}	1969.0	1969-07-21	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-24T13:22:44.542+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:uuid:b37f054a-3bb9-41b0-aedb-a2fe741618cd'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	urn:uuid:b37f054a-3bb9-41b0-aedb-a2fe741618cd		Off Manomet Point		350556906	urn:uuid:b37f054a-3bb9-41b0-aedb-a2fe741618cd	Massachusetts	Atlantic Ocean; Gulf of Maine; Cape Cod Bay	7.0	0	YPM IZ 033760	YPM	physical resource	IZ	1.0	20.0	0.0	North America; Atlantic Ocean; Gulf of Maine; Cape Cod Bay; USA; Massachusetts; Plymouth County; Plymouth	21.0	202.0	202.0	2024-01-06T10:38:03.000+00:00	http://collections.peabody.yale.edu/search/Record/YPM-IZ-033760	75f50140-830d-4630-a290-3d6e951a7c29	GM 6228	Systematics Ecology Program - Biotic Census	70% alc.	Yale Peabody Museum	"{ ""irn"": ""508416"", ""solr_long_lat"": ""-70.5333,41.9250"", ""original_num"": ""GM 6228"" }"	Plymouth	Plymouth County	en	PhysicalObject	Animals and Plants: Invertebrates - Other	sea spiders; arthropods; animals	ICZN	radius inferred 2024-01-04 from provided coordinates	64-64 ft	in collection	Achelia scabra	YPM	Gray Museum; IZ number 33760; lot count 1; original catalog number GM 6228; accn=IZA.07830	Achelia scabra (YPM IZ 033760)	Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj	Animalia; Arthropoda; Pycnogonida; Ammotheidae	Systematic Ecology Program MBL															
350556875	854e35e6-f762-11e1-a439-00145eb45e9a	2e167bb0-4441-11db-9ba2-b8a03c50a862		a974d1b0-37fa-442b-bf5e-47159b201779	2e167bb0-4441-11db-9ba2-b8a03c50a862	US	EML	2024-07-24T13:18:05.048+00:00	2024-07-24T13:22:42.173+00:00	2311	{}	PRESERVED_SPECIMEN	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	41.8417	-70.3083	1851.0		{}	1968.0	1968-08-26	['CONTINENT_COORDINATE_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-24T13:22:42.173+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:uuid:361b3107-342b-46de-a5a1-556698a1abb9'}]	[]	[]	[]	False	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	urn:uuid:361b3107-342b-46de-a5a1-556698a1abb9		about 7.75 miles N of Barnstable Harbor		350556875	urn:uuid:361b3107-342b-46de-a5a1-556698a1abb9	Massachusetts	Atlantic Ocean; Gulf of Maine; Cape Cod Bay	8.0	0	YPM IZ 030234	YPM	physical resource	IZ	1.0	34.5	5.5	North America; Atlantic Ocean; Gulf of Maine; Cape Cod Bay; USA; Massachusetts; Barnstable County; Barnstable	26.0	239.0	239.0	2024-01-06T10:37:03.000+00:00	http://collections.peabody.yale.edu/search/Record/YPM-IZ-030234	75f50140-830d-4630-a290-3d6e951a7c29	GM 974	Systematics Ecology Program - Biotic Census	70% alc.	Yale Peabody Museum	"{ ""irn"": ""504891"", ""solr_long_lat"": ""-70.3083,41.8417"", ""original_num"": ""GM 974"" }"	Barnstable	Barnstable County	en	PhysicalObject	Animals and Plants: Invertebrates - Other	sea spiders; arthropods; animals	ICZN	radius inferred 2024-01-04 from provided coordinates	94-132 ft	in collection	Achelia scabra	YPM	Gray Museum; IZ number 30234; lot count 1; original catalog number GM 974; accn=IZA.07830	Achelia scabra (YPM IZ 030234)	Open Access, http://creativecommons.org/publicdomain/zero/1.0/; see Yale Peabody policies at: http://hdl.handle.net/10079/8931zqj	Animalia; Arthropoda; Pycnogonida; Ammotheidae	Systematic Ecology Program MBL															
1319625784	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:43.360+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE				NORTH_AMERICA	{}	1912.0	1912-08-13	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:43.360+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/36b312809-f8ee-4246-b0e2-5da22dbb6420'}]	[]	[]	[]	False		Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	http://n2t.net/ark:/65665/36b312809-f8ee-4246-b0e2-5da22dbb6420		Bay Of Fundy, Campobello Island, Duck Pond		1319625784	http://n2t.net/ark:/65665/36b312809-f8ee-4246-b0e2-5da22dbb6420	New Brunswick	North Atlantic Ocean	8.0		USNM 122425	USNM		IZ	1.0	1.0	1.0	North Atlantic Ocean, Canada, New Brunswick	13.0	226.0	226.0	2014-10-20T11:44:00.000+00:00		586ee56e-b0fe-4dff-b7f9-aeb104f3308a		Biological Board of Canada	Alcohol (Ethanol)																		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae		0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	urn:lsid:biocol.org:col:34871	13 AUG 1912	00409	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
895363313	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:29:07.028+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'J.W. Hedgpeth', 'http://rs.tdwg.org/dwc/terms/identificationID': '1623818', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Joel Walker Hedgpeth', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Achelia scabra'}]}	PRESERVED_SPECIMEN	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE	44.7	-66.8	301.0	NORTH_AMERICA	{'level0': {'gid': 'CAN', 'name': 'Canada'}, 'level1': {'gid': 'CAN.4_1', 'name': 'New Brunswick'}, 'level2': {'gid': 'CAN.4.3_1', 'name': 'Charlotte'}, 'level3': {'gid': 'CAN.4.3.7_1', 'name': 'Grand Manan Village'}}	1910.0	1910-08-01/1910-08-31	['INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2024-07-24T00:29:07.028+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:CRU-12215'}]	[]	[]	[]	False	WGS84	Pycnogonida	CA	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/59165466'}]	NORTH_AMERICA	Canada	NORTH_AMERICA	MCZ:IZ:CRU-12215		off Grand Harbor, Grand Manan Island		895363313	MCZ:IZ:CRU-12215	New Brunswick		8.0		CRU-12215	MCZ	GEOLocate	IZ	1.0	23.775000000000002	9.145	North America: Canada: New Brunswick: Charlotte		213.0	243.0	2023-08-09T17:55:06.000+00:00	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:CRU-12215	1cfca87c-083e-4d67-8e60-cb7d311f6058		Hubert Lyman Clark, Henry B. Bigelow	whole animal (70% ethanol)	President and Fellows of Harvard College	"{""sex"":""male""}"		Charlotte					ICZN	[UNDER REVIEW; GEOLOCATE_SCORE: 48; GEOLOCATE_PRECISION: Low; GEOLOCATE_NUMRESULTS: 4]		in collection		Museum of Comparative Zoology, Harvard University	sex: male			Animalia Arthropoda Pycnogonida Ammotheidae Achelia scabra	GEOLocate batch georeferencing, 2019-06-10	6c118641-5b0b-4577-a8f6-a6dbd15de2e7		Joel Walker Hedgpeth	b4640710-8e03-11d8-b956-b8a03c50a862	8/1910			MALE	1e-05	Brendan Haley	unverified	decimal degrees	CANADA, New Brunswick, Charlotte, off Grand Harbor, Grand Manan Island		
1321937144	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:21.924+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118453	1	54	354	9477065	6313	2118396	2118453	2118453	Achelia scabra Wilson, 1880	Achelia scabra Wilson, 1880	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia scabra	Achelia	scabra	SPECIES	ACCEPTED	NE				NORTH_AMERICA	{}	1908.0	1908-10-07	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:21.924+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3d1725f26-503b-43a7-85d5-9c9fe5b7196b'}]	[]	[]	[]	False		Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	http://n2t.net/ark:/65665/3d1725f26-503b-43a7-85d5-9c9fe5b7196b		S Of Cape Sable		1321937144	http://n2t.net/ark:/65665/3d1725f26-503b-43a7-85d5-9c9fe5b7196b	Nova Scotia	North Atlantic Ocean	10.0		USNM 40883	USNM		IZ	2.0	82.0	0.0	North Atlantic Ocean, Canada, Nova Scotia	7.0	281.0	281.0	2013-01-11T15:45:00.000+00:00		586ee56e-b0fe-4dff-b7f9-aeb104f3308a		O. Bryant	Alcohol (Ethanol)																		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae		0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Cole, L. J.	urn:lsid:biocol.org:col:34871	07 OCT 1908		urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6								
