key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	verbatimLocality	continent	typeStatus	references	datasetID	scientificNameID	bibliographicCitation	preparations	rightsHolder	nomenclaturalCode	institutionID	verbatimEventDate	higherClassification	sex	waterBody	higherGeography	datasetName	georeferenceProtocol	verbatimCoordinateSystem	locationID	lifeStage
774192131	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.397+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1978', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ascorhynchus;Ascorhynchidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1978', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|171064', 'http://rs.tdwg.org/dwc/terms/family': 'Ascorhynchidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ascorhynchus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'turritus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22446', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus turritus Stock, 1978'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	-21.22	55.063333	1187.5	12.5	{}	1982	8	24	1982-08-24	236	236	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:59.000+00:00	2024-07-24T12:24:37.397+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3036'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet, Warén & Métivier	Arnaud F.	WGS84	Pycnogonida	RE	[]	[]	AFRICA	Réunion	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3036	2009-3036	MNHN	au large de St Leu	MD32 (REUNION)/DS78	774192131	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3036	10.15468/qgvvhd																					
774193136	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.410+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1978', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ascorhynchus;Ascorhynchidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1978', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170447', 'http://rs.tdwg.org/dwc/terms/family': 'Ascorhynchidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ascorhynchus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'turritus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22446', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus turritus Stock, 1978'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	-12.933333	45.303333	1390.0	90.0	{}	1977	3	26	1977-03-26	85	85	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:48.000+00:00	2024-07-24T12:24:37.410+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3020'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet P.	Arnaud F.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3020	2009-3020	MNHN	Mayotte	BENTHEDI/DR40 (BENT40-DR)	774193136	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3020	10.15468/qgvvhd	E récif Bandelé																				
774193137	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:37.411+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1978', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ascorhynchus;Ascorhynchidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Stock, 1978', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|170448', 'http://rs.tdwg.org/dwc/terms/family': 'Ascorhynchidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ascorhynchus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'turritus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|22446', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Arnaud F.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ascorhynchus turritus Stock, 1978'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	-11.5	47.411667	362.5	27.5	{}	1977	4	12	1977-04-12	102	102	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_COUNTRY_MISMATCH', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2016-06-29T17:13:05.000+00:00	2024-07-24T12:24:37.411+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3021'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	Bouchet P.	Arnaud F.	WGS84	Pycnogonida	ZZ	[]	[]		unknown or invalid	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3021	2009-3021	MNHN	SE des Iles Glorieuses	BENTHEDI/DS120 (BENT120-DS)	774193137	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2009-3021	10.15468/qgvvhd		AFRICA																			
201108160	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:52.779+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.0867	-4.3233	1913.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:52.779+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201108160'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		19243	Ifremer	Golfe de Gascogne		201108160	Biocean	201108160																						
201108186	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:52.792+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.0833	-4.2833	1894.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:52.792+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201108186'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		20031	Ifremer	Golfe de Gascogne		201108186	Biocean	201108186																						
201108189	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:52.794+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.135	-4.27	1995.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:52.794+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201108189'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		20115	Ifremer	Golfe de Gascogne		201108189	Biocean	201108189																						
201108194	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:52.796+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.0767	-4.3567	1980.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:52.796+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201108194'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		20174	Ifremer	Golfe de Gascogne		201108194	Biocean	201108194																						
811979249	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:56.787+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.0867	-4.3233	1913.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:56.787+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811979249'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		19243	Ifremer	Golfe de Gascogne		811979249	bio_dba	811979249																						
811979274	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:56.883+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.0833	-4.2833	1894.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:56.883+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811979274'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		20031	Ifremer	Golfe de Gascogne		811979274	bio_dba	811979274																						
811979276	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:56.884+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118348	1	54	354	9477065	4338615	2118315	2118348	2118348	Ascorhynchus turritus Stock, 1978	Ascorhynchus turritus Stock, 1978	Animalia	Arthropoda	Pantopoda	Ascorhynchidae	Ascorhynchus	Ascorhynchus turritus	Ascorhynchus	turritus	SPECIES	ACCEPTED	NE	44.135	-4.27	1995.0	0.0	{}	1974	10	1	1974-10-01	274	274	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:56.884+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811979276'}]	[]	[]	[]			False	LAUBIER Lucien	STOCK Jan	WGS84	Pycnogonida	ES	[]	[]	EUROPE	Spain	EUROPE		20115	Ifremer	Golfe de Gascogne		811979276	bio_dba	811979276																						
