key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinatePrecision	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	gbifID	collectionCode	occurrenceID	individualCount	sex	stateProvince	waterBody	higherGeography	institutionKey	collectionKey	datasetName	recordedBy	identifiedBy	preparations	institutionID	locationID	locality	higherClassification	collectionID	habitat	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	rightsHolder	nomenclaturalCode	lifeStage	typeStatus	references	datasetID	bibliographicCitation
1882672867	f2d200d5-914c-408f-821a-9ba0001465af	5fa89f68-9af0-4a0d-8998-ea39695c1db9	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	729a7375-b120-4e4f-bb81-ad9badcca81b	5fa89f68-9af0-4a0d-8998-ea39695c1db9	AU	EML	2023-12-09T13:49:52.040+00:00	2024-01-25T02:23:40.141+00:00	262	{}	HUMAN_OBSERVATION	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	-14.74669	145.50549	0.0018	200.0	12.0	0.0	OCEANIA	{}	2009.0	2.0	27.0	2009-02-27	58.0	58.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2018-07-13T09:31:44.000+00:00	2024-01-25T02:23:40.141+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	1.0	individuals	False	[{'identifier': 'C3DB32C6-EFAE-4CDF-B4C4-E065C52EFBE1'}]	[]	[]	[]	False	WGS84	Pycnogonida	AU	[]	[]	OCEANIA	Australia	OCEANIA	C3DB32C6-EFAE-4CDF-B4C4-E065C52EFBE1	C3DB32C6-EFAE-4CDF-B4C4-E065C52EFBE1	urn:lsid:marinespecies.org:taxname:239901	AIMS	POINT (145.50549 -14.74669)	1882672867	CReefs - Lizard Island 2009	C3DB32C6-EFAE-4CDF-B4C4-E065C52EFBE1																											
1322074858	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:26.096+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.22	123.48					ASIA	{}	1979.0	3.0	14.0	1979-03-14	73.0	73.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2016-09-30T11:19:00.000+00:00	2024-07-02T12:39:26.096+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3d78fbb9c-89ed-42bc-9c54-b983a58ee903'}]	[]	[]	[]	False	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3d78fbb9c-89ed-42bc-9c54-b983a58ee903	USNM 228536		USNM		1322074858	IZ	http://n2t.net/ark:/65665/3d78fbb9c-89ed-42bc-9c54-b983a58ee903	1.0	MALE	Negros Oriental	North Pacific Ocean	North Pacific Ocean, Philippines, Negros Oriental	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	C. Child	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	CAC-197	Siquijor Island, Shallows Just West Of Island	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6											
1321466946	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:05.061+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.3272	123.302			1.0	0.0	ASIA	{'level0': {'gid': 'PHL', 'name': 'Philippines'}, 'level1': {'gid': 'PHL.52_1', 'name': 'Negros Oriental'}, 'level2': {'gid': 'PHL.52.10_1', 'name': 'Dumaguete City'}, 'level3': {'gid': 'PHL.52.10.5_1', 'name': 'Bantayan'}}	1979.0	5.0	16.0	1979-05-16	136.0	136.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:38:05.061+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3bc922d24-ea0c-4f19-9ada-4175c76841c4'}]	[]	[]	[]	False	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3bc922d24-ea0c-4f19-9ada-4175c76841c4	USNM 228533		USNM		1321466946	IZ	http://n2t.net/ark:/65665/3bc922d24-ea0c-4f19-9ada-4175c76841c4	2.0	FEMALE	Negros Oriental	North Pacific Ocean	North Pacific Ocean, Philippines, Negros Oriental	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	C. Child	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	CAC-199	Dumaguete Island, Bantayan, Tidal Flat In Front Of Silliman Marine Lab.	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	Tidal flats, algae	16 MAY 1979	unknown, from legacy	Degrees Minutes Seconds							
2434400960	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:35.471+00:00	393	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	-2.063333	130.138333					ASIA	{}	1979.0	7.0	3.0	1979-07-03	184.0	184.0	['COORDINATE_ROUNDED', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2019-03-08T00:00:00.000+00:00	2024-07-23T00:33:35.471+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'ZMA.PYC.200889@CRS'}]	[]	[]	[]	False	WGS84	Pycnogonida	ID	[]	[]	ASIA	Indonesia	EUROPE	ZMA.PYC.200889@CRS	ZMA.PYC.200889				2434400960	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.200889	2.0					0e919a55-08d3-4bd2-aec1-200858fafd92				Stock J.H.	WholeOrganism (wet specimen)	Naturalis Biodiversity Center			Animalia|Ammotheidae			03 jul 1979			Naturalis Biodiversity Center	ICZN					
1319348261	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:49.588+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.2194	123.458			2.5	0.5	ASIA	{}	1978.0	5.0	10.0	1978-05-10	130.0	130.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:37:49.588+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/35eef640f-c2f8-4b2d-b312-7ee7babc7f11'}]	[]	[]	[]	False	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/35eef640f-c2f8-4b2d-b312-7ee7babc7f11	USNM 228535		USNM		1319348261	IZ	http://n2t.net/ark:/65665/35eef640f-c2f8-4b2d-b312-7ee7babc7f11	2.0		Negros Oriental	North Pacific Ocean	North Pacific Ocean, Philippines, Negros Oriental	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	SP-4-2	Siquijor Island, W Of Siquijor Village	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		10 MAY 1978	unknown, from legacy	Degrees Minutes Seconds			Juvenile				
1319297622	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:37.888+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.4333	123.39					ASIA	{'level0': {'gid': 'PHL', 'name': 'Philippines'}, 'level1': {'gid': 'PHL.25_1', 'name': 'Cebu'}, 'level2': {'gid': 'PHL.25.36_1', 'name': 'Oslob'}, 'level3': {'gid': 'PHL.25.36.2_1', 'name': 'Bangcogon'}}	1978.0	6.0	17.0	1978-06-17	168.0	168.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:37:37.888+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/35cae4225-092d-483e-97b4-248332a8d43f'}]	[]	[]	[]	True	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/35cae4225-092d-483e-97b4-248332a8d43f	USNM 228530		USNM		1319297622	IZ	http://n2t.net/ark:/65665/35cae4225-092d-483e-97b4-248332a8d43f	1.0	MALE	Cebu	North Pacific Ocean	North Pacific Ocean, Philippines, Cebu	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	SP-17-1H	Cebu Island, Sumilon Island	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		17 JUN 1978	unknown, from legacy	Degrees Minutes Seconds				HOLOTYPE			
1320194548	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:25.139+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.4333	123.39					ASIA	{'level0': {'gid': 'PHL', 'name': 'Philippines'}, 'level1': {'gid': 'PHL.25_1', 'name': 'Cebu'}, 'level2': {'gid': 'PHL.25.36_1', 'name': 'Oslob'}, 'level3': {'gid': 'PHL.25.36.2_1', 'name': 'Bangcogon'}}	1978.0	6.0	17.0	1978-06-17	168.0	168.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:39:25.139+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/384565e40-ea4b-45e1-ab31-9f002340355b'}]	[]	[]	[]	False	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/384565e40-ea4b-45e1-ab31-9f002340355b	USNM 228532		USNM		1320194548	IZ	http://n2t.net/ark:/65665/384565e40-ea4b-45e1-ab31-9f002340355b	2.0		Cebu	North Pacific Ocean	North Pacific Ocean, Philippines, Cebu	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	SP-17-1H	Cebu Island, Sumilon Island	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		17 JUN 1978	unknown, from legacy	Degrees Minutes Seconds			Juvenile				
1321154785	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:42.460+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.2792	123.304			1.0	0.0	ASIA	{'level0': {'gid': 'PHL', 'name': 'Philippines'}, 'level1': {'gid': 'PHL.52_1', 'name': 'Negros Oriental'}, 'level2': {'gid': 'PHL.52.10_1', 'name': 'Dumaguete City'}, 'level3': {'gid': 'PHL.52.10.16_1', 'name': 'Mangnao-Canal'}}	1978.0	6.0	3.0	1978-06-03	154.0	154.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:39:42.460+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3aec90068-78f1-47ec-a4e8-27dbdb12d905'}]	[]	[]	[]	False	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3aec90068-78f1-47ec-a4e8-27dbdb12d905	USNM 228534		USNM		1321154785	IZ	http://n2t.net/ark:/65665/3aec90068-78f1-47ec-a4e8-27dbdb12d905	2.0	FEMALE	Negros Oriental	North Pacific Ocean, Visayan Sea	North Pacific Ocean, Visayan Sea, Philippines, Negros Oriental	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	NC-1-1-H	Negros Island, Bacong, S Of Dumaguete	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		03 JUN 1978	unknown, from legacy	Degrees Minutes Seconds							
1322725344	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:11.497+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.4333	123.39					ASIA	{'level0': {'gid': 'PHL', 'name': 'Philippines'}, 'level1': {'gid': 'PHL.25_1', 'name': 'Cebu'}, 'level2': {'gid': 'PHL.25.36_1', 'name': 'Oslob'}, 'level3': {'gid': 'PHL.25.36.2_1', 'name': 'Bangcogon'}}	1978.0	6.0	17.0	1978-06-17	168.0	168.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T09:09:00.000+00:00	2024-07-02T12:38:11.497+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': 'http://n2t.net/ark:/65665/3f453a86b-d3c8-4e75-ab4c-8d14ffd6a720'}]	[]	[]	[]	True	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3f453a86b-d3c8-4e75-ab4c-8d14ffd6a720	USNM 228531		USNM		1322725344	IZ	http://n2t.net/ark:/65665/3f453a86b-d3c8-4e75-ab4c-8d14ffd6a720	4.0		Cebu	North Pacific Ocean	North Pacific Ocean, Philippines, Cebu	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	Smithsonian Oceanographic Sorting Center	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	SP-17-1H	Cebu Island, Sumilon Island	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6		17 JUN 1978	unknown, from legacy	Degrees Minutes Seconds				PARATYPE			
4055739298	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:14.414+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	2118208	1	54	354	9477065	6313	2118169	2118208	2118208	Ammothella alcalai Child, 1988	Ammothella alcalai Child, 1988	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella alcalai	Ammothella	alcalai	SPECIES	ACCEPTED	NE	9.33	123.32			2.0		ASIA	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2007-06-20T15:52:33.000+00:00	2024-07-02T17:07:14.414+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1521'}]	[]	[]	[]	True	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1521	sm_id_1521	urn:lsid:marinespecies.org:taxname:239901	WoRMS Editorial Board		4055739298	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1521														Pacific Ocean										HOLOTYPE	http://www.marinespecies.org/aphia.php?p=specdetails&id=1521	https://marineinfo.org/id/dataset/5184	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Ammothella alcalai</i> Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=239901
