key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	locality	county	gbifID	collectionCode	occurrenceID	higherGeography	modified	language	type	higherClassification	networkKeys	individualCount	depth	depthAccuracy	waterBody	typeStatus	collectionKey	datasetName	recordedBy	preparations	institutionID	verbatimEventDate	collectionID	sex	distanceFromCentroidInMeters	references	datasetID	scientificNameID	bibliographicCitation
3970759012	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.446+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	37.525917	130.936778	ASIA	Gyeongsangbuk-do	{}	2021	7	13	2021-07-13	194	194	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.446+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248804'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248804	MABIK CR00248804	접시낫바다거미	MABIK	Ulleung-eup	Ulleung-gun	3970759012	CR	MABIK CR00248804																								
3970762539	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.982+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	34.931856	128.974008	ASIA	Busan	{}	2019	12	5	2019-12-05	339	339	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.982+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252190'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252190	MABIK CR00252190	접시낫바다거미	MABIK		Saha-gu	3970762539	CR	MABIK CR00252190																								
3970762540	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.982+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	34.931856	128.974008	ASIA	Busan	{}	2019	12	5	2019-12-05	339	339	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.982+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252191'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252191	MABIK CR00252191	접시낫바다거미	MABIK		Saha-gu	3970762540	CR	MABIK CR00252191																								
3970762537	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.983+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	33.239469	126.548889	ASIA	Jeju-do	{}	2017	1	9	2017-01-09	9	9	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.983+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252192'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252192	MABIK CR00252192	접시낫바다거미	MABIK		Seogwipo-si	3970762537	CR	MABIK CR00252192																								
3970762538	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.983+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	33.226775	126.56881	ASIA	Jeju-do	{}	2017	4	13	2017-04-13	103	103	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.983+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252193'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252193	MABIK CR00252193	접시낫바다거미	MABIK		Seogwipo-si	3970762538	CR	MABIK CR00252193																								
3970758901	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:21.771+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	36.001342	129.570586	ASIA	Gyeongsangbuk-do	{}	2016	9	24	2016-09-24	268	268	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:21.771+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00252050'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00252050	MABIK CR00252050	접시낫바다거미	MABIK	Guryongpo-eup	Nam-gu, Pohang-si	3970758901	CR	MABIK CR00252050																								
2576080081	44481e05-53f7-41e6-b002-b70933dfa921	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T03:06:45.231+00:00	2024-01-24T17:49:57.830+00:00	266	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE				Osaka	{}	2016	12	15	2016-12-15	350	350	['INSTITUTION_MATCH_NONE']	2024-01-24T17:49:57.830+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '526'}]	[]	[]	[]		False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	526	KSNHM-C00540	ズングリツマリウミグモ	KSNHM	Artificial tidal flat of Hannan second section, Kishinoura-cho	Kishiwada-shi	2576080081	Ar	97732ee3-b6b3-4509-91d1-f0afdb03cfc4	Japan|Osaka|Kishiwada-shi|Artificial tidal flat of Hannan second section, Kishinoura-cho	2020-02-06T04:06:17.000+00:00	en	text	Animalia|ARTHROPODA|PYCNOGONIDA|PANTOPODA|Phoxichilidiidae|Anoplodactylus|crassus																			
1319186140	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:51.830+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE			OCEANIA		{}	1985	10	23	1985-10-23	296	296	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:51.830+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/357c3dbae-c6ec-4d63-846c-a51001d4d2c9'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	True	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History		Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	NORTH_AMERICA	http://n2t.net/ark:/65665/357c3dbae-c6ec-4d63-846c-a51001d4d2c9	USNM 234394		USNM	Tutuila Island, Pago Pago Harbor		1319186140	IZ	http://n2t.net/ark:/65665/357c3dbae-c6ec-4d63-846c-a51001d4d2c9	South Pacific Ocean, American Samoa	2014-10-21T10:22:00.000+00:00			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	5.0	3.0	0.0	South Pacific Ocean	PARATYPE	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	K. Nakamura	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	23 OCT 1985	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6						
1322213911	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:15.818+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE			OCEANIA		{}	1985	10	23	1985-10-23	296	296	['CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COUNTRY', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:15.818+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ddb17200-755e-41dc-aaac-77aa73f0f35a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	True	Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History		Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	NORTH_AMERICA	http://n2t.net/ark:/65665/3ddb17200-755e-41dc-aaac-77aa73f0f35a	USNM 234393		USNM	Tutuila Island, Pago Pago Harbor		1322213911	IZ	http://n2t.net/ark:/65665/3ddb17200-755e-41dc-aaac-77aa73f0f35a	South Pacific Ocean, American Samoa	2014-10-21T10:22:00.000+00:00			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Phoxichilidiidae	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	3.0	0.0	South Pacific Ocean	HOLOTYPE	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	K. Nakamura	Alcohol (Ethanol)	urn:lsid:biocol.org:col:34871	23 OCT 1985	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	MALE					
4055739429	2f7c33b3-ea7a-40ac-a3b7-bace96f978f7	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	f9df6cff-21d4-4d4b-8da4-eda454f5a086	2089ce96-4fb5-4a20-999c-3ccf45a27a4d	BE	EML	2024-07-02T17:06:09.698+00:00	2024-07-02T17:07:15.423+00:00	81	{}	PRESERVED_SPECIMEN	PRESENT	4338294	1	54	354	9477065	6316	2117290	4338294	4338294	Anoplodactylus crassus Nakamura & Child, 1988	Anoplodactylus crassus Nakamura & Child, 1988	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus crassus	Anoplodactylus	crassus	SPECIES	ACCEPTED	NE	-14.33	-170.0			{}	1985	10	23	1985-10-23	296	296	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']	2024-07-02T17:07:15.423+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'WoRMS Editorial Board:WoRMS type localities:sm_id_1588'}]	[]	[]	[]		True		WGS84	Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	EUROPE	WoRMS Editorial Board:WoRMS type localities:sm_id_1588	sm_id_1588		WoRMS Editorial Board	Pacific Ocean		4055739429	WoRMS type localities	WoRMS Editorial Board:WoRMS type localities:sm_id_1588		2007-06-20T15:52:33.000+00:00				['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		3.0			HOLOTYPE									368.80781274396577	http://www.marinespecies.org/aphia.php?p=specdetails&id=1588	https://marineinfo.org/id/dataset/5184	urn:lsid:marinespecies.org:taxname:240161	Bamber, R.N.; El Nagar, A.; Arango, C.P. (Eds) (2024). Pycnobase: World Pycnogonida Database. <i>Anoplodactylus crassus</i> Nakamura & Child, 1988. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=240161
