key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	stateProvince	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	vernacularName	institutionCode	locality	county	gbifID	collectionCode	occurrenceID	depth	depthAccuracy	higherGeography	modified	institutionID	language	type	higherClassification	collectionID	networkKeys	individualCount	lifeStage	waterBody	collectionKey	datasetName	recordedBy	preparations	verbatimEventDate	dateIdentified	nomenclaturalCode	eventRemarks	fieldNumber	locationID	occurrenceRemarks	sex	georeferenceProtocol	verbatimCoordinateSystem	samplingProtocol	eventID	verbatimDepth	ownerInstitutionCode	parentEventID
3419043678	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8	9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.748+00:00	116	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	34.053528	125.094056	ASIA	Jeollanam-do	{}	2021.0	6.0	24.0	2021-06-24	175.0	175.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-04-10T15:19:33.748+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248341'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193	False	Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248341	MABIK CR00248341	매끈기생바다거미	MABIK	Heuksan-myeon	Sinan-gun	3419043678	CR	MABIK CR00248341																																
296151519	86939734-f762-11e1-a439-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-12T19:58:14.444+00:00	2024-01-24T21:32:55.274+00:00	273	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Kyoto	{}	1979.0	5.0	26.0	1979-05-26	146.0	146.0	['COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-01-24T21:32:55.274+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a62c15ba-f8a4-11e6-ad4a-70e2840fc270'}]	[]	[]	[]	876d009e-4933-421a-8441-369637d21128	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	a62c15ba-f8a4-11e6-ad4a-70e2840fc270	7637	Nymphon属の一種（和名不明）	OMNH			296151519	Ar	a62c15ba-f8a4-11e6-ad4a-70e2840fc270	117.0	5.0	Japan|Kyoto	2022-02-17T00:00:00.000+00:00	institutionID	en	text	Animalia|ARTHROPODA|PYCNOGONIDEA|PANTOPODA|Nymphonidae|Nymphon|japonicum	collectionID																							
1318581505	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:18.609+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Shizuoka	{}	1971.0	5.0	16.0	1971-05-16	136.0	136.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:18.609+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/33cfe04e0-95c8-437a-8cf8-d334f601e74a'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.		Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/33cfe04e0-95c8-437a-8cf8-d334f601e74a	USNM 195236		USNM	Honshu Island, Sagami Bay, Off Kisami		1318581505	IZ	http://n2t.net/ark:/65665/33cfe04e0-95c8-437a-8cf8-d334f601e74a	30.0	0.0	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0	Juvenile	North Pacific Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology	K. Nakamura	Alcohol (Ethanol)	16 MAY 1971														
4536908320	44bcde48-ac71-46f2-bf73-24fc3c008b6c	66522820-055c-11d8-b84e-b8a03c50a862	a43950ae-eb88-4ef4-bfff-43bcf12885ad	66522820-055c-11d8-b84e-b8a03c50a862	US	EML	2024-07-22T22:53:39.065+00:00	2024-07-22T22:59:59.684+00:00	380	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	35.56667	129.31667	ASIA		{'level0': {'gid': 'KOR', 'name': 'South Korea'}, 'level1': {'gid': 'KOR.17_1', 'name': 'Ulsan'}, 'level2': {'gid': 'KOR.17.3_2', 'name': 'Jung'}, 'level3': {'gid': 'KOR.17.3.10_2', 'name': 'Seongan'}}	1970.0	4.0	7.0	1970-04-07	97.0	97.0	['GEODETIC_DATUM_ASSUMED_WGS84']	2024-07-22T22:59:59.684+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'urn:catalog:CAS:IZ:10270'}]	[]	[]	[]	d2a27206-87ab-47ea-b5fc-d2e57054b688	False	C.A. Child	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	NORTH_AMERICA	urn:catalog:CAS:IZ:10270	10270		CAS	Korea Strait, off Ulsan		4536908320	IZ	urn:catalog:CAS:IZ:10270			Asia, North Pacific Ocean	2024-03-08T17:12:31.000+00:00	http://grscicoll.org/institution/california-academy-sciences	en	Physical Object	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Nymphonoidea, Nymphonidae	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']				5d4a63d3-e994-4b19-b592-e853a8e3b470		Franz B. Steiner	Fluid-75% EtOH(1)	07 Apr 1970	1979-11-01T00:00:00	ICZN	Data transcribed from catalogue card by Notes from Nature volunteers via Zooniverse.	160836	e1d7fd3d-dd13-429e-8b9e-734f0b52ee28	female ?								
1319466105	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:59.556+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	34.595	138.995		Shizuoka	{}	1969.0	7.0	18.0	1969-07-18	199.0	199.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:59.556+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/364250535-954a-4e4d-a629-a7d7f2d7a5c2'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/364250535-954a-4e4d-a629-a7d7f2d7a5c2	USNM 195234		USNM	Honshu Island, Sagami Bay		1319466105	IZ	http://n2t.net/ark:/65665/364250535-954a-4e4d-a629-a7d7f2d7a5c2	256.0	0.0	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	3.0		North Pacific Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology		Alcohol (Ethanol)	18 JUL 1969					KT69-12-23		FEMALE	unknown, from legacy	Degrees Minutes Seconds					
1320992017	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:12.007+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	34.6367	138.94	ASIA	Shizuoka	{}	1969.0	7.0	18.0	1969-07-18	199.0	199.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:12.007+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a79d4e4c-a83c-4f2f-ab70-92fb5df7573b'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False	Nakamura, K.; Child, C. A.	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	NORTH_AMERICA	http://n2t.net/ark:/65665/3a79d4e4c-a83c-4f2f-ab70-92fb5df7573b	USNM 195235		USNM	Honshu Island, Sagami Bay		1320992017	IZ	http://n2t.net/ark:/65665/3a79d4e4c-a83c-4f2f-ab70-92fb5df7573b	38.5	1.5	North Pacific Ocean, Japan, Shizuoka	2014-10-20T15:52:00.000+00:00	urn:lsid:biocol.org:col:34871			Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	1.0		North Pacific Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	NMNH Extant Biology		Alcohol (Ethanol)	18 JUL 1969					KT69-12-24		MALE	unknown, from legacy	Degrees Minutes Seconds					
4444205405	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.064+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	46.633205	152.0516717			{}	1966.0	7.0	12.0	1966-07-12	193.0	193.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.064+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '0bbd6335-1c40-429a-949a-89ddc0d594d3'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Turpaeva, Elena	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	0bbd6335-1c40-429a-949a-89ddc0d594d3	INV0002533		IORAS	northwest Pacific		4444205405	OBFc	0bbd6335-1c40-429a-949a-89ddc0d594d3					51e76603-9190-4d7e-9fa4-1ea3b4d4ff86				fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']			Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2		RV Vityaz	EtOH 75%					5594						Sigsbee trawl	RV Vityaz_cruise 39_st.5594	1440.0 - 1540.0 m	IORAS	cruise 39
4444205622	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.138+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	44.1498716	148.6348501			{}	1953.0	5.0	11.0	1953-05-11	131.0	131.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.138+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '90cabe3c-4065-4637-a29c-f831c3811d9f'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Turpaeva, Elena	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	EUROPE	90cabe3c-4065-4637-a29c-f831c3811d9f	INV0002532		IORAS	Kurile-Kamchatka Trench		4444205622	OBFc	90cabe3c-4065-4637-a29c-f831c3811d9f					51e76603-9190-4d7e-9fa4-1ea3b4d4ff86				fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']			Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2		RV Vityaz	EtOH 75%					2078						Sigsbee Trawl	RV Vityaz_cruise 14_st.2078	1060.0 m	IORAS	cruise 14
4444205966	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.219+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE	45.0182908	144.3514517			{}	1948.0	8.0	10.0	1948-08-10	223.0	223.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.219+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '4ed21b3c-3bb1-4929-8dbf-532657f1586e'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Turpaeva, Elena	WGS84	Pycnogonida	JP	[]	[]	ASIA	Japan	EUROPE	4ed21b3c-3bb1-4929-8dbf-532657f1586e	INV0002567		IORAS	nortwest Pacific		4444205966	OBFc	4ed21b3c-3bb1-4929-8dbf-532657f1586e					51e76603-9190-4d7e-9fa4-1ea3b4d4ff86				fd699988-ab5d-4737-9443-9085cea191d2	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1.0		Pacific Ocean	fd699988-ab5d-4737-9443-9085cea191d2		RV Vityaz	EtOH 75%					20						Beam Trawl	RV Vityaz_cruise 2_st.20	429.0 - 404.0 m	IORAS	cruise 2
723290283	534abda8-18f5-11e2-98fb-00145eb45e9a	4fd82480-ea1c-11da-8db4-b8a03c50a862	82d6992a-b20b-4e74-b6ac-6b971b2c485d	4fd82480-ea1c-11da-8db4-b8a03c50a862	JP	EML	2023-10-14T04:19:14.400+00:00	2024-01-24T18:21:03.467+00:00	301	{}	PRESERVED_SPECIMEN	PRESENT	2117684	1	54	354	9477065	2013	2117630	2117684	2117684	Nymphon japonicum Ortmann, 1891	Nymphon japonicum Ortmann, 1891	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon japonicum	Nymphon	japonicum	SPECIES	ACCEPTED	NE				Wakayama	{}	1944.0	3.0		1944-03-01/1944-03-31	61.0	91.0	['INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-01-24T18:21:03.467+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '152'}]	[]	[]	[]	ade773d3-c637-4fd1-be56-c1ebecb4908f	False			Pycnogonida	JP	[]	[]	ASIA	Japan	ASIA	152	9012	イトユメムシ	SMBL	off Minabe	Hidaka-gun Minabecho	723290283	Art	9a62bb5a-f8b6-11e6-ae59-70e2840fc270	150.0	50.0	Pacific|Japan|Wakayama|Hidaka-gun Minabecho|off Minabe	2011-12-01T05:00:38.000+00:00		en	text	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonidae|Nymphon|japonicum					Pacific																			
