key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depth	depthAccuracy	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetName	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	scientificNameID	footprintWKT	locality	fieldNumber	collectionCode	gbifID	language	occurrenceID	catalogNumber	institutionCode	occurrenceRemarks	typeStatus	institutionKey	otherCatalogNumbers	dynamicProperties	higherClassification	identifiedBy	datasetID	originalNameUsage	county	associatedReferences	identificationVerificationStatus	http://unknown.org/orders	nameAccordingTo	taxonID	http://unknown.org/language
1427444306	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	6.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-54.2586	-36.4251	1000.0	217.0	17.0	ANTARCTICA	{}	Atlantic Ocean	1927.0	1.0	10.0	1927-01-10	10.0	10.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5344'}]	[]	[]	[]	False	Discovery Expedition Biological Reports	Large otter trawl and Net with mesh of 4mm attached to back of trawl	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	269	5344	urn:lsid:marinespecies.org:taxname:173480	LINESTRING (-36.4338 -54.235, -36.4163 -54.2822)	Off mouth of East Cumberland Bay, South Georgia. From 1.15 miles N 76.5° W to 2.62 miles S 11° W of Merton Rock	Stn 149	Discovery Reports	1427444306	en	5344	Stn 149 Nymphon paucidens	NIWA	Large otter trawl and Net with mesh of 4mm attached to back of trawl															
1427444327	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.621+00:00	259	{}	HUMAN_OBSERVATION	1.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-54.2803	-36.4749	1000.0	31.0	9.0	ANTARCTICA	{}	Atlantic Ocean	1927.0	3.0	17.0	1927-03-17	76.0	76.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.621+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5345'}]	[]	[]	[]	False	Discovery Expedition Biological Reports	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	346	5345	urn:lsid:marinespecies.org:taxname:173480	LINESTRING (-36.4852 -54.2844, -36.4645 -54.2761)	East Cumberland Bay, South Georgia. From 1 cable SE x E of Hope Point to 3.1 miles SW of Merton Rock	Stn MS 74	Discovery Reports	1427444327	en	5345	Stn MS 74 Nymphon paucidens	NIWA	Small beam trawl. Beam 2.45m in length: 12.5mm mesh at cod end															
1427444287	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.620+00:00	259	{}	HUMAN_OBSERVATION	2.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-54.2601	-36.4288	500.0	207.0	28.0	ANTARCTICA	{}	Atlantic Ocean	1926.0	3.0	25.0	1926-03-25	84.0	84.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5341'}]	[]	[]	[]	False	Discovery Expedition Biological Reports	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	7	5341	urn:lsid:marinespecies.org:taxname:173480	LINESTRING (-36.4287 -54.2417, -36.4288 -54.2785)	East Cumberland Bay, South Georgia. From 8 cables S 81° W from Merton Rock to 1.3 miles N 7° E of Macmahon Rock	Stn 39	Discovery Reports	1427444287	en	5341	Stn 39 Nymphon paucidens	NIWA	Large otter trawl. Head rope 1.2m x 1.2m x 0.75m with netting or wire 12.5mm mesh															
1055917033	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:00.167+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'http://purl.org/dc/terms/created': '1187782865000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE				240.0	10.0		{}		1926.0	12.0	15.0	1926-12-15	349.0	349.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:18:00.167+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2235237'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 202', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/871613e4-9794-4cfa-b15e-c1798aea31d3'}]	[]	[]	True				Pycnogonida		[]	[]			EUROPE		2235237			from 4.1 miles N 54 degs E of Larsen Point, to 1.2 miles S 62 deg W of Merton Rock, off mouth of Cumberland Bay, South Georgia	Stn 123	ZOO	1055917033		5b08991e-7853-4b8b-a680-bea97f435dd5	1982.91	NHMUK		PARATYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:2235237	"{""associatedMediaCount"": 1, ""barcode"": ""011007271"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311788042000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon paucidens Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055917033"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae										
1055609385	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:17:58.592+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'http://purl.org/dc/terms/created': '1187783034000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]}	PRESERVED_SPECIMEN	5.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE				240.0	10.0		{}		1926.0	12.0	15.0	1926-12-15	349.0	349.0	['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:17:58.592+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '2235470'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1976 - 1984: page 241', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/94cb73fc-2bde-44aa-aba3-02214d5acdae'}]	[]	[]	True				Pycnogonida		[]	[]			EUROPE		2235470			off mouth of Cumberland Bay, South Georgia	Stn 123	ZOO	1055609385		0b12de3e-8510-4e4f-8ca0-ed2691f357c3	1983.155	NHMUK		PARATYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:2235470	"{""associatedMediaCount"": 1, ""barcode"": ""011007308"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1311788916000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon paucidens Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1055609385"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": ""CR06"", ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae	Isabella Gordon									
1427444259	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.622+00:00	259	{}	HUMAN_OBSERVATION	5.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-54.2042	-36.4137	1000.0	240.0	10.0	ANTARCTICA	{}	Atlantic Ocean	1926.0	12.0	15.0	1926-12-15	349.0	349.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.622+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5342'}]	[]	[]	[]	True	Discovery Expedition Biological Reports	Large otter trawl	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	14	5342	urn:lsid:marinespecies.org:taxname:173480	LINESTRING (-36.3952 -54.1598, -36.4322 -54.2486)	off mouth of Cumberland Bay, South Georgia. From 4.1 miles N 54° E or Larsen Point, to 1.2 miles S 62° W or Merton Rock	Stn 123	Discovery Reports	1427444259	en	5342	Stn 123 Nymphon paucidens	NIWA	Large otter trawl															
1427444284	96385e98-93b5-4e4a-8081-6e30b738816a	1c9c3bb4-377c-4547-aa79-16ea755d6006	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2024-01-26T19:11:10.740+00:00	2024-01-29T08:18:03.620+00:00	259	{}	HUMAN_OBSERVATION	4.0	PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-54.134	-36.5737	1000.0	129.0	7.0	ANTARCTICA	{}	Atlantic Ocean	1926.0	12.0	23.0	1926-12-23	357.0	357.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES']	2019-03-15T00:00:00.000+00:00	2024-01-29T08:18:03.620+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5343'}]	[]	[]	[]	False	Discovery Expedition Biological Reports	Large otter trawl	WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	OCEANIA	104	5343	urn:lsid:marinespecies.org:taxname:173480	LINESTRING (-36.6333333333333 -54.0333333333333, -36.4833333333333 -54.1916666666667)	Stromness Harbour to Larsen Point, South Georgia	Stn 140	Discovery Reports	1427444284	en	5343	Stn 140 Nymphon paucidens	NIWA	Large otter trawl															
1056366528	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:56.222+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'http://purl.org/dc/terms/created': '1187778647000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]}	PRESERVED_SPECIMEN		PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE							{}								['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:18:56.222+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1215986'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]	[]	[]	False				Pycnogonida		[]	[]			EUROPE		1215986				39	ZOO	1056366528		e0d047df-4cc9-4536-90ec-7f2f6053b507	1933.3.23.86	NHMUK		HOLOTYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:1215986	"{""associatedMediaCount"": 1, ""barcode"": ""NHMUK014491526"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295355493000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon paucidens Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition, 1925-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056366528"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae										
1057332029	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:57.256+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'http://purl.org/dc/terms/created': '1187778647000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]}	PRESERVED_SPECIMEN		PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE							{}								['MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-23T06:18:57.256+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '1215988'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1905 - 1935: page 219', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/4047f49a-b9c3-46cb-bc0a-b4a53415d988'}]	[]	[]	False				Pycnogonida		[]	[]			EUROPE		1215988				140, 149, M.S. 74	ZOO	1057332029		f2096957-f267-4783-a805-411f8e7d1468	1933.3.23.87-91	NHMUK		PARATYPE	1d808a7c-1f9e-4379-9616-edb749ecf10e	NHMUK:ecatalogue:1215988	"{""associatedMediaCount"": 1, ""barcode"": ""NHMUK014491527"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": null, ""commodity"": null, ""created"": 1295355494000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon paucidens Gordon, 1932"", ""determinationTypes"": null, ""donorName"": null, ""expedition"": ""Discovery Expedition, 1925-1931"", ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1057332029"", ""gbifIssue"": null, ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": null, ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": ""Discovery""}"	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae										
3935091151	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:36.820+00:00	10	{}	HUMAN_OBSERVATION		PRESENT	2117676	1	54	354	9477065	2013	2117630	2117676	2117676	Nymphon paucidens Gordon, 1932	Nymphon paucidens Gordon, 1932	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon paucidens	Nymphon	paucidens	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0				{}								['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:11:36.820+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '29301d96-fede-4029-a02c-bfb43409d136'}]	[]	[]	[]	False			WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	29301d96-fede-4029-a02c-bfb43409d136	29301d96-fede-4029-a02c-bfb43409d136						3935091151		29301d96-fede-4029-a02c-bfb43409d136										D2B0CE86-7C29-1275-E053-5514A8C0FBF9	Nymphon paucidens Gordon, 1932	TAAF : Îles sub-antarctiques	TaxREF	Probable	Pantopoda	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	815664	
