key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	gadm	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	originalNameUsage	county	associatedReferences	identificationVerificationStatus	gbifID	http://unknown.org/orders	nameAccordingTo	occurrenceID	taxonID	http://unknown.org/language	depth	depthAccuracy	catalogNumber	institutionCode	collectionCode
3935096699	91aa3d5b-6f77-4135-a823-cef438a60dfa	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-19T17:11:53.743+00:00	2024-01-26T10:11:37.826+00:00	10	{}	HUMAN_OBSERVATION	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-01-26T10:11:37.826+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '8f7c24dd-5272-4df6-bd48-1e74432ab8e1'}]	[]	[]	[]	False	D2B0CE86-7C29-1275-E053-5514A8C0FBF9	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	8f7c24dd-5272-4df6-bd48-1e74432ab8e1	8f7c24dd-5272-4df6-bd48-1e74432ab8e1	Nymphon neelovi Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	3935096699	Pantopoda	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	8f7c24dd-5272-4df6-bd48-1e74432ab8e1	815663						
4547816279	f553f8f9-b147-4f09-86e5-0d1ce1a91ce0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-03-21T10:09:14.312+00:00	2024-03-21T10:14:27.594+00:00	57	{}	HUMAN_OBSERVATION	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-49.13558	68.66923	1105902.0	{}	['COUNTRY_MISMATCH', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-03-21T10:14:27.594+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e2e83a35-7b8d-4196-a562-159380f41d3b'}]	[]	[]	[]	False	EB6380B5-80AF-5935-E053-0514A8C08744	WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE	e2e83a35-7b8d-4196-a562-159380f41d3b	e2e83a35-7b8d-4196-a562-159380f41d3b	Nymphon neelovi Pushkin, 1993	TAAF : Îles sub-antarctiques	TaxREF	Probable	4547816279		Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	e2e83a35-7b8d-4196-a562-159380f41d3b	815663	fr | en					
318008135	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.220+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-55.1533	-34.7		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.220+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37745'}]	[]	[]	[]	False		WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE							318008135						127.5	2.5	37745	BAS	SOMBASE Pycnogonids
318008136	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.202+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-55.14	-34.6583		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.202+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37751'}]	[]	[]	[]	False		WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE							318008136						125.5	9.5	37751	BAS	SOMBASE Pycnogonids
318008140	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.246+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-55.165	-34.63		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.246+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37789'}]	[]	[]	[]	False		WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE							318008140						162.5	37.5	37789	BAS	SOMBASE Pycnogonids
318008142	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.239+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-54.7616	-35.625		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.239+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37796'}]	[]	[]	[]	False		WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE							318008142						72.5	7.5	37796	BAS	SOMBASE Pycnogonids
318008144	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:23.887+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-54.7616	-35.625		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:23.887+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:37803'}]	[]	[]	[]	False		WGS84	Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE							318008144						72.5	7.5	37803	BAS	SOMBASE Pycnogonids
318008211	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.952+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-45.6633	50.1966		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.952+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38070'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE							318008211						195.0	0.0	38070	BAS	SOMBASE Pycnogonids
318008212	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.951+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-45.87	49.8683		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.951+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38071'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE							318008212						210.0	0.0	38071	BAS	SOMBASE Pycnogonids
318008213	7c20aae4-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	6004680a-f762-11e1-a439-00145eb45e9a	94458240-4e38-11db-985b-b8a03c50a862	GB	DIGIR	2023-01-08T06:01:46.113+00:00	2024-01-24T20:26:21.950+00:00	124	{}	OCCURRENCE	PRESENT	4338479	1	54	354	9477065	2013	2117630	4338479	4338479	Nymphon neelovi Pushkin, 1993	Nymphon neelovi Pushkin, 1993	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon neelovi	Nymphon	neelovi	SPECIES	ACCEPTED	NE	-48.4533	69.825		{}	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'BASIS_OF_RECORD_INVALID']	2024-01-24T20:26:21.950+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:BAS:SOMBASE Pycnogonids:38072'}]	[]	[]	[]	False		WGS84	Pycnogonida	TF	[]	[]	ANTARCTICA	French Southern Territories	EUROPE							318008213						114.0	0.0	38072	BAS	SOMBASE Pycnogonids
