key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	datasetName	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	institutionID	verbatimEventDate	collectionCode	gbifID	language	occurrenceID	type	catalogNumber	institutionCode	locationID	bibliographicCitation	higherClassification	collectionID	networkKeys	depth	depthAccuracy	locality	sex	waterBody	higherGeography	georeferenceProtocol	verbatimCoordinateSystem	stateProvince	fieldNumber	typeStatus
1804325661	87f42a91-8dfd-44f1-aabb-8b6ef14aba82	a41250f0-7c3e-11d8-a19c-b8a03c50a862	1bd85d67-1c87-4591-988a-44ff22008d3e	a41250f0-7c3e-11d8-a19c-b8a03c50a862	CA	EML	2024-07-04T18:49:39.484+00:00	2024-07-04T18:50:18.145+00:00	337	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE	1993-09-13T00:00:00	42.88	-62.02	{}	1977.0	9.0	18.0	1977-09-18	261.0	261.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2021-05-28T20:23:00.000+00:00	2024-07-04T18:50:18.145+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '752ccacb-45c0-5c04-e18d-ae8486671279'}]	[]	[]	[]	c146edb6-3a82-473c-b337-4acaa92f9513	0a009cbb-94c4-4bc5-9da4-cd6ad5a0e830	False	Crustacea	unknown collector	Bamber, Roger N.	fluid	WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	Canadian Museum of Nature	752ccacb-45c0-5c04-e18d-ae8486671279	http://biocol.org/urn:lsid:biocol.org:col:34935	1977-09-18	CMNC	1804325661	en	752ccacb-45c0-5c04-e18d-ae8486671279	PhysicalObject	CMNC 1993-0215	CMN	CMNC 1993-0215	(CMNC 1993-0215)	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Callipallenidae; Callipallene;	http://grbio.org/cool/sjd8-70zp												
203583051	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:54.426+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		48.6167	-9.87	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:54.426+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '203583051'}]	[]	[]	[]			False		CABIOCH Louis	STOCK Jan		WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					Biocean	203583051		203583051		30341	Ifremer					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1080.0	0.0	Golfe de Gascogne								
203583053	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:54.426+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		48.4667	-9.8333	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:54.426+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '203583053'}]	[]	[]	[]			False		CABIOCH Louis	STOCK Jan		WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					Biocean	203583053		203583053		30380	Ifremer					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1300.0	0.0	Golfe de Gascogne								
811982171	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.856+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		48.6167	-9.87	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:49.856+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811982171'}]	[]	[]	[]			False		CABIOCH Louis	STOCK Jan		WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					bio_dba	811982171		811982171		30341	Ifremer					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1080.0	0.0	Golfe de Gascogne								
811982172	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:49.856+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		48.4667	-9.8333	{}	1973.0	10.0	1.0	1973-10-01	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:49.856+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811982172'}]	[]	[]	[]			False		CABIOCH Louis	STOCK Jan		WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE					bio_dba	811982172		811982172		30380	Ifremer					['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1300.0	0.0	Golfe de Gascogne								
1320820376	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:54.538+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		55.8	-56.0	{}	1960.0	8.0	30.0	1960-08-30	243.0	243.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-21T10:15:00.000+00:00	2024-07-02T12:37:54.538+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a009c00a-85c4-463e-834e-2abd64f78702'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology		Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA		http://n2t.net/ark:/65665/3a009c00a-85c4-463e-834e-2abd64f78702	urn:lsid:biocol.org:col:34871	30 AUG 1960	IZ	1320820376		http://n2t.net/ark:/65665/3a009c00a-85c4-463e-834e-2abd64f78702		USNM 233613	USNM	55		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2452.0	0.0	Labrador Basin	MALE	North Atlantic Ocean	North Atlantic Ocean, Canada	unknown, from legacy	Degrees Minutes Seconds			
1319031264	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:05.097+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118130	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene acus (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	acus	SPECIES	ACCEPTED	NE		41.1917	-66.2056	{}	1883.0	9.0	4.0	1883-09-04	247.0	247.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-28T09:33:00.000+00:00	2024-07-02T12:39:05.097+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/350e4575b-eaf7-447f-930c-771f3a68ccd4'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	NMNH Extant Biology	United States Fish Commission	Hedgpeth, J. W.	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA		http://n2t.net/ark:/65665/350e4575b-eaf7-447f-930c-771f3a68ccd4	urn:lsid:biocol.org:col:34871		IZ	1319031264		http://n2t.net/ark:/65665/350e4575b-eaf7-447f-930c-771f3a68ccd4		USNM 36920	USNM	2078		Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Callipallenidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	913.0	0.0	Georges Bank		North Atlantic Ocean	North Atlantic Ocean, United States, Massachusetts		Degrees Minutes Seconds	Massachusetts	USFC/A2078	
1038014385	7d8ed137-1d30-42f1-8b78-12a4957e4690	021121c0-f040-11d8-b22f-b8a03c50a862	6047d0d6-f762-11e1-a439-00145eb45e9a	021121c0-f040-11d8-b22f-b8a03c50a862	DE	BIOCASE	2023-09-21T02:23:27.615+00:00	2024-01-25T09:13:05.980+00:00	213	{}	PRESERVED_SPECIMEN		PRESENT	4338576	1	54	354	9477065	2011	2118112	2118130	2118130	Callipallene hastata (Meinert, 1898)	Callipallene acus (Meinert, 1898)	Animalia	Arthropoda	Pantopoda	Callipallenidae	Callipallene	Callipallene acus	Callipallene	hastata	SPECIES	SYNONYM	NE		62.0	-56.0	{}							['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-25T09:13:05.980+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:ZMB/Pyc:Museum für Naturkunde, Berlin - Pycnogonida:170532'}]	[]	[]	[]			False		Meinert (Ingolf-Exp. Mus. Kopenhagen)			WGS84	Pycnogonida	GL	[]	[]	NORTH_AMERICA	Greenland	EUROPE					Museum für Naturkunde, Berlin - Pycnogonida	1038014385				170532	ZMB/Pyc																SYNTYPE
