key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	depth	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	organismQuantity	organismQuantityType	isSequenced	identifiers	media	facts	relations	isInCluster	datasetID	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	recordNumber	identifier	scientificNameID	verbatimEventDate	http://unknown.org/taxonRankID	taxonConceptID	identificationQualifier	http://unknown.org/species	gbifID	occurrenceID	taxonID	networkKeys	individualCount	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	depthAccuracy	waterBody	modified	samplingProtocol	geodeticDatum	catalogNumber	institutionCode	footprintWKT	locality	fieldNumber	occurrenceRemarks	collectionCode	dateIdentified	datasetName	recordedBy	identifiedBy	preparations	locationID	language	georeferenceSources	institutionKey	collectionKey	institutionID	verbatimDepth	ownerInstitutionCode	parentEventID	collectionID	sex	islandGroup	otherCatalogNumbers	dynamicProperties	higherClassification	higherGeography	typeStatus	associatedSequences	eventRemarks	parentNameUsageID	organismID
3466773080	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:22.980+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE	1194.16	ANTARCTICA	{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:22.980+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'd081287d-e4d8-46d7-8025-5410f63b90c2'}]	[]	[]	[]	False	ASAC_3010_0546	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 32	IU-2007-31c	d081287d-e4d8-46d7-8025-5410f63b90c2	urn:lsid:marinespecies.org:taxname:173396	1/12/2008	7000	https://biodiversity.org.au/afd/taxa/2f943174-5cee-49b4-88ea-ae08d1ce3205	Species	Nymphon compactum	3466773080	d081287d-e4d8-46d7-8025-5410f63b90c2	173396																																											
3466772301	149e44e7-fb0b-4db0-a40a-86e64eb8baf3	3693ff90-4c16-11d8-b290-b8a03c50a862	1cbabffe-9073-4007-ba1e-40ebcda6e302	3693ff90-4c16-11d8-b290-b8a03c50a862	AU	DWC_ARCHIVE	2024-06-23T06:50:21.823+00:00	2024-06-23T06:51:10.658+00:00	273	{}	HUMAN_OBSERVATION	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE	1194.16	ANTARCTICA	{}	2008.0	1.0	12.0	2008-01-12	12.0	12.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']	2024-06-23T06:51:10.658+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	1.0	Individuals	False	[{'identifier': 'fd7c6b4b-a58d-4c75-bf92-fd93f0f5f091'}]	[]	[]	[]	False	ASAC_3010_0483	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA	SampleStation_ 32	IU-2007-274b	fd7c6b4b-a58d-4c75-bf92-fd93f0f5f091	urn:lsid:marinespecies.org:taxname:173396	1/12/2008	7000	https://biodiversity.org.au/afd/taxa/2f943174-5cee-49b4-88ea-ae08d1ce3205	Species	Nymphon compactum	3466772301	fd7c6b4b-a58d-4c75-bf92-fd93f0f5f091	173396																																											
1426812339	081facf0-b768-41ad-b692-3b30a1bcbb1b	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-05-29T01:32:01.002+00:00	2024-01-24T15:46:49.344+00:00	270	{}	HUMAN_OBSERVATION	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE	3208.0		{}	2008.0	3.0	1.0	2008-03-01T14:15	61.0	61.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T15:46:49.344+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '1871'}]	[]	[]	[]	True		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA			1871	urn:lsid:marinespecies.org:taxname:173396						1426812339	1871		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	1.0	-68.552167	-178.372	10.0	4.0	Southern Ocean	2012-08-21T00:00:00.000+00:00	GearType=Hyperbenthic Sled	WGS84	IPY TAN0802/188 Nymphon compactum	National Institute of Water and Atomspheric Reseach (NZ)	LINESTRING (-178.372 -68.5521666667, -178.3531666667 -68.5606666667)	Site C30, Abyssal site near Scott Seamount	TAN0802/188	GearType=Hyperbenthic Sled	International Polar Year-CAML New Zealand																										
4081195377	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:22.302+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE	3208.0		{}	2008.0	3.0	1.0	2008-03-01	61.0	61.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'RECORDED_DATE_INVALID', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:22.302+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5d358834-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	True		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	OCEANIA			5d358834-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:173396						4081195377	5d358834-fa36-11e2-96b3-aa6f927c92a3		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-68.552167	-178.372	100.0	4.0			Sled, Hyperbenthic	WGS84	48788	NIWA Invertebrate Collection	LINESTRING (-178.372 -68.5521667, -178.3531667 -68.5606667)	Site C30, Abyssal site near Scott Seamount			NIWA	2009-06-01T00:00:00	NIWA Invertebrate Collection	IPY CAML	Arango, Claudia	Specimen(s), Ethanol - no formalin = 1	TAN0802/188	en	GPS																		
4444205728	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.882+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE			{}	1989.0	3.0	5.0	1989-03-05	64.0	64.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:58.882+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': '4885e475-dbb1-44f3-93ad-706b234d5f98'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Dmitry Mendeleev_cruise 43_st.4094		4885e475-dbb1-44f3-93ad-706b234d5f98							4444205728	4885e475-dbb1-44f3-93ad-706b234d5f98		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	16.0	-60.6998335	-41.049986			Atlantic Ocean		Sigsbee Trawl	WGS84	INV0002858	IORAS		Antarctica	4094		OBFc			RV Dmitry Mendeleev	Turpaeva, Elena	EtOH 75%				51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	4070.0 - 4570.0 m	IORAS	cruise 43	fd699988-ab5d-4737-9443-9085cea191d2											
4399691017	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.160+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE			{}	1989.0	3.0	5.0	1989-03-05	64.0	64.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.160+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': 'c17b9b5d-9a00-4273-904f-188b39920f61'}]	[]	[]	[]	False		Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE	RV Dmitry Mendeleev_cruise 43_st.4093		c17b9b5d-9a00-4273-904f-188b39920f61							4399691017	c17b9b5d-9a00-4273-904f-188b39920f61		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-60.6998336	-41.2333105			Atlantic Ocean		Sigsbee Trawl	WGS84	INV0001060	IORAS		Orkney Through, Antarctic	4093		OBFc			RV Dmitry Mendeleev	Turpaeva, Elena	EtOH 75%				51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	3700.0 - 3970.0 m	IORAS	cruise 43	fd699988-ab5d-4737-9443-9085cea191d2											
4081186517	4d0b1b2a-3209-49ce-bb93-7503e4868019	c58ac019-b413-4613-8772-39e57acbeb8e	f0d34585-ddcb-4915-9332-6043585e831a	c58ac019-b413-4613-8772-39e57acbeb8e	NZ	EML	2023-06-07T18:53:24.650+00:00	2024-01-25T07:20:25.684+00:00	166	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE	2250.0		{}	1980.0	6.0	15.0	1980-06-15	167.0	167.0	['COORDINATE_ROUNDED', 'CONTINENT_COORDINATE_MISMATCH', 'MODIFIED_DATE_INVALID', 'INSTITUTION_MATCH_NONE']	2024-01-25T07:20:25.684+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': '5d54a124-fa36-11e2-96b3-aa6f927c92a3'}]	[]	[]	[]	False		Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	OCEANIA			5d54a124-fa36-11e2-96b3-aa6f927c92a3	urn:lsid:marinespecies.org:taxname:173396						4081186517	5d54a124-fa36-11e2-96b3-aa6f927c92a3		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']		-37.091667	178.348333	500.0	0.0			Sled, epibenthic	WGS84	7447	NIWA Invertebrate Collection	POINT (178.3483333 -37.0916667)	north of East Cape			NIWA		NIWA Invertebrate Collection	NZOI		Specimen(s), None = 1	P969	en									FEMALE										
4444205668	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.859+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE		ANTARCTICA	{}	1971.0	12.0	3.0	1971-12-03	337.0	337.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.859+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': '62e4ea73-c9fc-413d-971f-04451ea971c0'}]	[]	[]	[]	False		Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	RV Akademik Kurchatov_cruise 11_st.888-1		62e4ea73-c9fc-413d-971f-04451ea971c0							4444205668	62e4ea73-c9fc-413d-971f-04451ea971c0		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	13.0	-57.0999342	-26.7337036			Atlantic Ocean		Sigsbee Trawl	WGS84	INV0002857	IORAS		Antarctica	888-1		OBFc			RV Akademik Kurchatov	Turpaeva, Elena	EtOH 75%				51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	318.0 m	IORAS	cruise 11	fd699988-ab5d-4737-9443-9085cea191d2		South Sandwich Islands									
4444205888	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.195+00:00	69	{}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE			{}	1971.0	12.0	2.0	1971-12-02	336.0	336.0	['COORDINATE_REPROJECTED']	2024-06-18T12:44:59.195+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode			False	[{'identifier': '922cda2d-8a78-40d7-82c0-294f12f27ae0'}]	[]	[]	[]	False		Pycnogonida	GS	[]	[]	ANTARCTICA	South Georgia and the South Sandwich Islands	EUROPE	RV Akademik Kurchatov_cruise 11_st.882		922cda2d-8a78-40d7-82c0-294f12f27ae0							4444205888	922cda2d-8a78-40d7-82c0-294f12f27ae0		['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	13.0	-57.1499332	-26.6503761			Atlantic Ocean		Sigsbee Trawl	WGS84	INV0002856	IORAS		Sandwich Trench	882		OBFc			RV Akademik Kurchatov	Turpaeva, Elena	EtOH 75%				51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	1687.0 - 1837.0 m	IORAS	cruise 11	fd699988-ab5d-4737-9443-9085cea191d2		South Sandwich Islands									
1056327590	7e380070-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	60277b56-f762-11e1-a439-00145eb45e9a	19456090-b49a-11d8-abeb-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-23T03:26:56.939+00:00	2024-07-23T06:18:57.084+00:00	391	{'http://rs.gbif.org/terms/1.0/Multimedia': [{'http://purl.org/dc/terms/type': 'StillImage', 'http://purl.org/dc/terms/title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'http://purl.org/dc/terms/created': '1187776550000', 'http://purl.org/dc/terms/license': 'http://creativecommons.org/licenses/by/4.0/', 'http://purl.org/dc/terms/rightsHolder': 'The Trustees of the Natural History Museum, London', 'http://purl.org/dc/terms/identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]}	PRESERVED_SPECIMEN	PRESENT	2117647	1	54	354	9477065	2013	2117630	2117647	2117647	Nymphon compactum Hoek, 1881	Nymphon compactum Hoek, 1881	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon compactum	Nymphon	compactum	SPECIES	ACCEPTED	NE			{}							['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'MODIFIED_DATE_INVALID', 'MULTIMEDIA_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-23T06:18:57.084+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '1192064'}]	[{'type': 'StillImage', 'title': 'Zoology Accessions Register: Crustacea: 1876 - 1905: page 49', 'license': 'http://creativecommons.org/licenses/by/4.0/', 'rightsHolder': 'The Trustees of the Natural History Museum, London', 'identifier': 'https://data.nhm.ac.uk/media/0798dda5-c276-4765-95c3-2d86ad988e23'}]	[]	[]	False		Pycnogonida	NZ	[]	[]	OCEANIA	New Zealand	EUROPE			1192064							1056327590	9cb02165-10b9-4c3e-bc97-ae3870f6b0ef		['17abcf75-2f1e-46dd-bf75-a5b21dd02655', '99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2.0	-40.466667	177.716667						WGS84	1881.38	NHMUK			168		ZOO									1d808a7c-1f9e-4379-9616-edb749ecf10e									NHMUK:ecatalogue:1192064	"{""associatedMediaCount"": 1, ""barcode"": ""011163996"", ""catalogueDescription"": null, ""chondriteAchondrite"": null, ""chronostratigraphy"": null, ""clutchSize"": null, ""collectionKind"": null, ""collectionName"": ""Challenger Collection"", ""commodity"": null, ""created"": 1294336558000, ""currentScientificName"": null, ""dateRegistered"": null, ""depositType"": null, ""determinationFiledAs"": null, ""determinationNames"": ""Nymphon compactum Hoek, 1881"", ""determinationTypes"": null, ""donorName"": ""Lords Commissioners of the Treasury"", ""expedition"": null, ""exsiccata"": null, ""exsiccataNumber"": null, ""extractionMethod"": null, ""gbifID"": ""1056327590"", ""gbifIssue"": [""COORDINATE_ROUNDED"", ""GEODETIC_DATUM_ASSUMED_WGS84"", ""COUNTRY_DERIVED_FROM_COORDINATES""], ""identificationAsRegistered"": null, ""identificationDescription"": null, ""identificationOther"": null, ""identificationVariety"": null, ""kindOfCollection"": ""wet"", ""kindOfObject"": null, ""lithostratigraphy"": null, ""meteoriteClass"": null, ""meteoriteGroup"": null, ""meteoriteType"": null, ""mine"": null, ""mineralComplex"": null, ""observedWeight"": null, ""occurrence"": null, ""partType"": null, ""petrologySubtype"": null, ""petrologyType"": null, ""plantDescription"": null, ""populationCode"": null, ""preparationType"": null, ""preservative"": null, ""project"": null, ""recovery"": null, ""recoveryDate"": null, ""recoveryWeight"": null, ""registeredWeightUnit"": null, ""registrationCode"": null, ""resuspendedIn"": null, ""setMark"": null, ""subDepartment"": ""LS Chelicerata and Myriapoda"", ""subfamily"": null, ""suborder"": null, ""superfamily"": null, ""texture"": null, ""totalVolume"": null, ""vessel"": null}"	Animalia; Arthropoda; Chelicerata; Pycnogonida; Pantopoda; Nymphonidae						
