key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	gadm	year	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	preparations	class	recordedByIDs	identifiedByIDs	publishedByGbifRegion	rightsHolder	identifier	catalogNumber	nomenclaturalCode	institutionID	verbatimEventDate	locality	gbifID	collectionCode	occurrenceID	higherClassification	decimalLatitude	decimalLongitude	waterBody	month	day	collectionKey	identifiedBy	samplingProtocol	geodeticDatum	eventID	fieldNumber	verbatimDepth	institutionCode	ownerInstitutionCode	parentEventID	collectionID	depth	depthAccuracy	higherGeography	datasetName	countryCode	gbifRegion	country	georeferenceProtocol	verbatimCoordinateSystem	locationID	stateProvince	coordinatePrecision	georeferencedBy	references	otherCatalogNumbers	georeferenceVerificationStatus	verbatimLocality	higherGeographyID	disposition	identificationRemarks	georeferenceSources	organismQuantity	organismQuantityType	georeferencedDate	habitat	georeferenceRemarks	locationRemarks	recordNumber	coordinateUncertaintyInMeters	datasetID	fieldNotes	typeStatus	dynamicProperties
2434360981	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:24.359+00:00	393	{'http://rs.tdwg.org/ac/terms/Multimedia': [{'http://rs.tdwg.org/ac/terms/accessURI': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.477/format/large', 'http://ns.adobe.com/xap/1.0/rights/Owner': 'Naturalis Biodiversity Center', 'http://rs.tdwg.org/ac/terms/caption': 'RMNH.PYC.477_0', 'http://purl.org/dc/terms/format': 'image/jpeg', 'http://purl.org/dc/elements/1.1/type': 'StillImage', 'http://rs.tdwg.org/ac/terms/variant': 'ac:GoodQuality', 'http://purl.org/dc/terms/identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.477/format/large', 'http://purl.org/dc/terms/rights': 'CC0 1.0'}]}	PRESERVED_SPECIMEN	6.0	PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1981.0	1981-01-01/1981-12-31	1.0	365.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2021-01-28T00:00:00.000+00:00	2024-07-23T00:33:24.359+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'RMNH.PYC.477@CRS'}]	[{'type': 'StillImage', 'format': 'image/jpeg', 'description': 'RMNH.PYC.477_0', 'license': 'http://creativecommons.org/publicdomain/zero/1.0/', 'rightsHolder': 'Naturalis Biodiversity Center', 'identifier': 'https://medialib.naturalis.nl/file/id/RMNH.PYC.477/format/large'}]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92	False	Tydeman Azores exp.	WholeOrganism (alcohol)	Pycnogonida	[]	[]	EUROPE	Naturalis Biodiversity Center	RMNH.PYC.477@CRS	RMNH.PYC.477	ICZN	Naturalis Biodiversity Center	1981	sta. 5.016	2434360981	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PYC.477	Animalia|Collossendeidae																																																	
4399691125	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.181+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1976.0	1976-02-13	44.0	44.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:59.181+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'a5dccd2b-0a9b-4c75-96dd-fbbaac5480b4'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	RV Dmitry Mendeleev	EtOH 75%	Pycnogonida	[]	[]	EUROPE		a5dccd2b-0a9b-4c75-96dd-fbbaac5480b4	INV0000957		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86		Tasman Hollow, South Pacific	4399691125	OBFc	a5dccd2b-0a9b-4c75-96dd-fbbaac5480b4		-49.8413339	148.3939715	Pacific Ocean	2.0	13.0	fd699988-ab5d-4737-9443-9085cea191d2	Turpaeva, Elena	Galathea Trawl	WGS84	RV Dmitry Mendeleev_cruise 16_st.1335	1335	4395.0 m	IORAS	IORAS	cruise 16	fd699988-ab5d-4737-9443-9085cea191d2																																	
1319450188	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:11.381+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1976.0	1976-08-02	215.0	215.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T14:16:00.000+00:00	2024-07-02T12:39:11.381+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3636f205f-a6cf-4bbe-adb4-afe66c345159'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3636f205f-a6cf-4bbe-adb4-afe66c345159	USNM 169151		urn:lsid:biocol.org:col:34871	02 AUG 1976	North Atlantic Basin, E Of New Jersey	1319450188	IZ	http://n2t.net/ark:/65665/3636f205f-a6cf-4bbe-adb4-afe66c345159	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	38.9433	-72.2917	North Atlantic Ocean	8.0	2.0	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84				USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2324.0	0.0	North Atlantic Ocean, United States	NMNH Extant Biology	US	NORTH_AMERICA	United States of America	unknown, from legacy	Degrees Minutes Seconds	826																							
1322317986	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:23.664+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1975.0	1975-07-31	212.0	212.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2019-04-08T14:42:00.000+00:00	2024-07-02T12:38:23.664+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3e24da04d-a093-4df8-9932-2fc4b9122117'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3e24da04d-a093-4df8-9932-2fc4b9122117	USNM 154659		urn:lsid:biocol.org:col:34871	31 JUL 1975	Norfolk Canyon, E Of Delaware Bay	1322317986	IZ	http://n2t.net/ark:/65665/3e24da04d-a093-4df8-9932-2fc4b9122117	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	38.7633	-72.6933	North Atlantic Ocean	7.0	31.0	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84				USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	1900.0	50.0	North Atlantic Ocean, United States, Virginia	NMNH Extant Biology	US	NORTH_AMERICA	United States of America	unknown, from legacy	Degrees Minutes Seconds	43	Virginia																						
477942687	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	b4640710-8e03-11d8-b956-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b0f5183c-5ed0-47f4-b75f-65e0c1036cb5	b4640710-8e03-11d8-b956-b8a03c50a862	US	EML	2024-07-23T23:29:02.101+00:00	2024-07-24T00:22:57.371+00:00	602	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': 'migration', 'http://rs.tdwg.org/dwc/terms/identificationRemarks': 'L. Leibensperger (MCZ), 1996', 'http://rs.tdwg.org/dwc/terms/identificationID': '1595513', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Laura Leibensperger', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Colossendeis minuta'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1973.0	1973-02-26	57.0	57.0	['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'INSTITUTION_MATCH_FUZZY', 'COLLECTION_MATCH_FUZZY']	2023-02-23T19:30:49.000+00:00	2024-07-24T00:22:57.371+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MCZ:IZ:83791'}]	[]	[]	[]	1cfca87c-083e-4d67-8e60-cb7d311f6058	False	RV Chain 111	whole animal (70% ethanol)	Pycnogonida	[]	[{'type': 'OTHER', 'value': 'http://viaf.org/viaf/458148996120359751990'}]	NORTH_AMERICA	President and Fellows of Harvard College	MCZ:IZ:83791	83791	ICZN	b4640710-8e03-11d8-b956-b8a03c50a862	February 26, 1973	Hudson Canyon	477942687	IZ	MCZ:IZ:83791	Animalia Arthropoda Pycnogonida Colossendeidae Colossendeis minuta	39.3	-71.93333	Atlantic, Northwest	2.0	26.0	6c118641-5b0b-4577-a8f6-a6dbd15de2e7	Laura Leibensperger		WGS84				MCZ	Museum of Comparative Zoology, Harvard University			1700.0	100.0	Atlantic Ocean: Atlantic, Northwest: United States		US	NORTH_AMERICA	United States of America	unknown	degrees dec. minutes			1e-05	[no agent data]	http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:83791	station number=224	verified by collector	Hudson Canyon	https://marineregions.org/mrgid/25365	in collection	"Species identification questionable coll time: 1545-1645 "" misc storage of Backus "" removed from lot of 2 specimens Colossendeis colossea, 1 specimen C. macerrima, L. Leibensperger (MCZ), 1996"	Coordinates written on original label												
201111490	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:47.589+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1971.0	1971-06-01	152.0	152.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:47.589+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '201111490'}]	[]	[]	[]		False	PAUTOT Guy		Pycnogonida	[]	[]	EUROPE			21940				Golfe de Guinee, bassin de l'Angola	201111490	Biocean	201111490		-22.8883	11.9367		6.0	1.0		STOCK Jan		WGS84				Ifremer				2840.0	0.0			NA	AFRICA	Namibia																										
811983730	96309e26-f762-11e1-a439-00145eb45e9a	61e40671-1a75-4bcd-9a0d-63515057d39d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	791e3715-7452-4dd0-a906-db21a3852427	5d5e5d82-076c-4e9a-b5b0-c88d1b691a6a	FR	EML	2023-12-11T15:23:37.871+00:00	2024-01-24T22:32:46.131+00:00	258	{}	PRESERVED_SPECIMEN		PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1971.0	1971-06-01	152.0	152.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COORDINATE_PRECISION_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T22:32:46.131+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '811983730'}]	[]	[]	[]		False	PAUTOT Guy		Pycnogonida	[]	[]	EUROPE			21940				Golfe de Guinee, bassin de l'Angola	811983730	bio_dba	811983730		-22.8883	11.9367		6.0	1.0		STOCK Jan		WGS84				Ifremer				2840.0	0.0			NA	AFRICA	Namibia																										
4601175843	96cdea48-b78a-4345-ae6d-b2c7c6e0278a	69e7f900-ed5b-11dd-ac7e-b8a03c50a862		a957a663-2f17-415f-b1c8-5cf6398df8ed	2053a639-84c3-4be5-b8bc-96b6d88a976c	US	EML	2024-06-10T22:12:08.137+00:00	2024-06-11T07:21:11.162+00:00	308	{}	PRESERVED_SPECIMEN		PRESENT	2117584	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis minuta Hoek, 1881	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	minuta	SPECIES	ACCEPTED	NE	{}	1966.0	1966-11-10	314.0	314.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_INVALID', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID']		2024-06-11T07:21:11.162+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': '5f94a375-64e4-4924-b9eb-16dfb91294be'}]	[]	[]	[]	09633165-0280-421e-a3a8-e717231226be	False	S Rowe|TD Myers	70% EtOH	Pycnogonida	[]	[]	NORTH_AMERICA		5f94a375-64e4-4924-b9eb-16dfb91294be	71474		http://grbio.org/cool/aasf-rm4s	10 Nov 66	E-45-66-6261 | off North Carolina	4601175843	NMI	5f94a375-64e4-4924-b9eb-16dfb91294be		33.986667	-75.766667		11.0	10.0	40cbd61e-4fa0-48cd-bc19-7ae9fd0fc47d	LR McCloskey		WGS84		Eastward-45-66-6261		NCSM			http://grbio.org/cool/xdi0-q18a	1350.0	100.0	Atlantic Ocean	North Carolina Museum of Natural Sciences Non-molluscan Invertebrates Collection	US	NORTH_AMERICA	United States of America								DUML  1884		33° 59.2' N, 75° 46.0' W					1.0	individuals	2022-09-08	Marine	"Used Coordinate source ""other map: 1:150000"" (in agreement with protocol) and Precision of nearest 0.1 minutes"	More complete station data via Eastward logs						
1317255485	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:22.277+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117573	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis japonica Hoek, 1898	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	japonica	SPECIES	SYNONYM	NE	{}	1964.0	1964-05-30	151.0	151.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:51:00.000+00:00	2024-07-02T12:38:22.277+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/30258b2b2-43e8-4a71-9566-d3f3ce79f2cd'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/30258b2b2-43e8-4a71-9566-d3f3ce79f2cd	USNM 154800		urn:lsid:biocol.org:col:34871	30 MAY 1964	Off Oregon, SW Of Columbia River Mouth	1317255485	IZ	http://n2t.net/ark:/65665/30258b2b2-43e8-4a71-9566-d3f3ce79f2cd	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae	46.0533	-125.095	North Pacific Ocean	5.0	30.0	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)		WGS84				USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	1463.0	0.0	North Pacific Ocean	NMNH Extant Biology	US	NORTH_AMERICA	United States of America	unknown, from legacy	Degrees Minutes Seconds																								
1317687154	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:51.344+00:00	395	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117573	1	54	354	9477065	2012	2117538	2117584	2117584	Colossendeis japonica Hoek, 1898	Colossendeis minuta Hoek, 1881	Animalia	Arthropoda	Pantopoda	Colossendeidae	Colossendeis	Colossendeis minuta	Colossendeis	japonica	SPECIES	SYNONYM	NE	{}	1964.0	1964-05-28	149.0	149.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2014-10-20T13:51:00.000+00:00	2024-07-02T12:38:51.344+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3156cf4a6-972e-45d8-8420-e37497ee42bc'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	False		Alcohol (Ethanol)	Pycnogonida	[]	[]	NORTH_AMERICA		http://n2t.net/ark:/65665/3156cf4a6-972e-45d8-8420-e37497ee42bc	USNM 154792		urn:lsid:biocol.org:col:34871	28 MAY 1964	Off Oregon, SW Of Columbia River Mouth	1317687154	IZ	http://n2t.net/ark:/65665/3156cf4a6-972e-45d8-8420-e37497ee42bc	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Colossendeidae			North Pacific Ocean	5.0	28.0	0174f5b3-da29-4967-b8dc-ce75ed53e35d	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)						USNM			urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	1829.0	0.0	North Pacific Ocean	NMNH Extant Biology																													
