key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	recordedBy	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	acceptedNameUsage	institutionID	locality	collectionCode	gbifID	occurrenceID	parentNameUsageID	institutionCode	acceptedNameUsageID	higherClassification	collectionID	parentNameUsage	coordinateUncertaintyInMeters	stateProvince	recordNumber	eventID	informationWithheld	habitat	footprintWKT	identificationVerificationStatus	taxonID	verbatimDepth	taxonConceptID	http://unknown.org/rightsHolder	continent	http://unknown.org/license	organismQuantity	georeferenceVerificationStatus	locationRemarks	depth	samplingProtocol	networkKeys	datasetID	datasetName	scientificNameID	previousIdentifications	identificationQualifier	ownerInstitutionCode	language	parentEventID	type	elevation	organismQuantityType	geologicalContextID	catalogNumber	nomenclaturalCode	verbatimEventDate	otherCatalogNumbers	dynamicProperties	fieldNumber	higherGeography	collectionKey	depthAccuracy	waterBody	municipality	taxonRemarks	disposition	vernacularName	occurrenceRemarks	bibliographicCitation	accessRights	county	eventRemarks	verbatimIdentification	footprintSRS	typeStatus	coordinatePrecision	georeferencedBy	georeferenceProtocol	georeferenceRemarks	verbatimCoordinateSystem	verbatimLocality	identificationRemarks	georeferenceSources
2549094629	f49dd893-1e91-4ce6-9aa7-e1047ffee557	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	91d2f516-bdfa-458f-bad1-66717101b49f	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	RU	EML	2024-07-22T19:41:42.767+00:00	2024-07-22T19:41:59.324+00:00	440	{}	PRESERVED_SPECIMEN	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE	2019-12-20T00:00:00	77.7	103.2	{}	2019.0	10.0	12.0	2019-10-12	285.0	285.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE']	2021-04-16T13:40:56.000+00:00	2024-07-22T19:41:59.324+00:00	https://animal.depo.msu.ru/open/public/item/143588443	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'WS00000013574'}]	[]	[]	[]	943cd489-37ec-481f-9e53-2e3f7f99a972	False	Kolbasova G.D.;Razgon I.L.;Gebruk A.A.	Kolbasova G.D.	EtOH96°-1	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	Zoological Museum of M.V. Lomonosov State University	WS00000013574	Nymphon hirtum	http://grbio.org/cool/k3qp-615s	Arctic Ocean, Kara Sea, Vilkitsky Strait; AMK78-6530	ZMMU_WS	2549094629	WS00000013574	114006521	ZMMU	127759396	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonoidea|Nymphonidae|Nymphon	112770707	Nymphon																																																														
2924186925	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:32.058+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		53.007954	1.244184	{}	2014.0	9.0	12.0	2014-09-12	255.0	255.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:32.058+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '070ebbf1-b4e4-4add-8304-7c916c72b1ef'}]	[]	[]	[]		False	Apem			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		070ebbf1-b4e4-4add-8304-7c916c72b1ef			GT115 - STN178	MRNE01080000003E	2924186925	554087144							70.7	England	T-MRNE01080002E76C	MRNE010800000D37.001	OSGB Grid Reference TG177505	Sublittoral	POLYGON((1.24341 53.00753,1.24341 53.00838,1.24496 53.00838,1.24496 53.00753,1.24341 53.00753))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England																																																		
2924834645	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:48.029+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		53.010884	1.365182	{}	2014.0	9.0	10.0	2014-09-10	253.0	253.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:48.029+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '9bebee64-86d4-4976-b6fb-d325f01adc76'}]	[]	[]	[]		False	Apem			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		9bebee64-86d4-4976-b6fb-d325f01adc76			GT159 - STN158	MRNE01080000003E	2924834645	554161505							70.7	England	T-MRNE01080002E93F	MRNE010800000D24.001	OSGB Grid Reference TG258512	Sublittoral	POLYGON((1.3644 53.01046,1.3644 53.01131,1.36596 53.01131,1.36596 53.01046,1.3644 53.01046))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England																																																		
2926109529	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:47.965+00:00	322	{}	HUMAN_OBSERVATION	4.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		52.976793	1.39382	{}	2014.0	9.0	10.0	2014-09-10	253.0	253.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:47.965+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'a2d95186-746d-429b-a268-dfbdfe96df24'}]	[]	[]	[]		False	Apem			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		a2d95186-746d-429b-a268-dfbdfe96df24			GT113 - STN154	MRNE01080000003E	2926109529	554072627							70.7	England	T-MRNE01080002E6F8	MRNE010800000D20.001	OSGB Grid Reference TG279475	Sublittoral	POLYGON((1.39304 52.97637,1.39304 52.97722,1.3946 52.97722,1.3946 52.97637,1.39304 52.97637))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England																																																		
2925151933	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:51.804+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		53.066296	0.461842	{}	2013.0	8.0	15.0	2013-08-15	227.0	227.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:51.804+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e0dbba2f-fdd2-4cba-8102-f901c441b8e5'}]	[]	[]	[]		False	Centre for Environment Fisheries and Aquaculture Science			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		e0dbba2f-fdd2-4cba-8102-f901c441b8e5			LSIB36 Grab	MRNE012600000008	2925151933	554332592							70.7	England	T-MRNE010800001030	MRNE0108000000E7.001	OSGB Grid Reference TF650549	Sublittoral	POLYGON((0.46107 53.06586,0.46107 53.06673,0.46261 53.06673,0.46261 53.06586,0.46107 53.06586))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England																																																		
2924443183	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:42.061+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		53.451829	0.243102	{}	2012.0	3.0	4.0	2012-03-04	64.0	64.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:42.061+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '3f3ce87d-1c8b-4b50-a86b-5ec2f2d73964'}]	[]	[]	[]		False	Centre for Environment, Fisheries & Aquaculture Science			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		3f3ce87d-1c8b-4b50-a86b-5ec2f2d73964			LNCB_MCZ_34 A	MRNE010800000017	2924443183	554185313							70.7	England	T-MRNE010800011384	MRNE01080000047F.01	OSGB Grid Reference TF490973	Sublittoral	POLYGON((0.24233 53.45139,0.24233 53.45226,0.24388 53.45226,0.24388 53.45139,0.24233 53.45139))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England	EUROPE																																																	
2924228005	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:34.484+00:00	322	{}	HUMAN_OBSERVATION	1.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		51.753188	1.012852	{}	2012.0	6.0	18.0	2012-06-18	170.0	170.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:34.484+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1228e5fb-2b76-4e0d-b19a-0763c5593bf1'}]	[]	[]	[]		False	Engl, N. Natural			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		1228e5fb-2b76-4e0d-b19a-0763c5593bf1			OBW12E	MRNE010800000009	2924228005	554274755							70.7	England	T-MRNE01080000B42F	MRNE0108000001B0.01	OSGB Grid Reference TM080103	Sublittoral	POLYGON((1.0121 51.75276,1.0121 51.75362,1.01361 51.75362,1.01361 51.75276,1.0121 51.75276))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England	EUROPE																																																	
2926120816	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:52.498+00:00	322	{}	HUMAN_OBSERVATION	10.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		51.751357	1.048957	{}	2012.0	6.0	18.0	2012-06-18	170.0	170.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:52.498+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'aa15f63b-464e-4652-a69f-682df2d24811'}]	[]	[]	[]		False	Engl, N. Natural			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE		aa15f63b-464e-4652-a69f-682df2d24811			ESXNE37	MRNE010800000009	2926120816	554107747							70.7	England	T-MRNE01080000B7AD	MRNE0108000001A4.01	OSGB Grid Reference TM105102	Sublittoral	POLYGON((1.0482 51.75093,1.0482 51.75179,1.04971 51.75179,1.04971 51.75093,1.0482 51.75093))	Accepted - considered correct	NBNSYS0000176761	Unknown	NBNSYS0000176761	Natural England	EUROPE																																																	
3055074818	9fad752d-4bf9-4adf-9535-3cf6339a70fb	db20bedc-20f1-42dd-9051-a445139f8e51	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-20T20:50:46.296+00:00	2024-07-20T21:10:12.082+00:00	167	{}	HUMAN_OBSERVATION	10.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		55.19181	-7.011918	{}	2009.0	4.0	28.0	2009-04-28	118.0	118.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T21:10:12.082+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '3f2d323a-b9a1-4777-aeae-5b0e555bdde5'}]	[]	[]	[]		False	NIEA/WMU			WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE		3f2d323a-b9a1-4777-aeae-5b0e555bdde5			BWFDMB09 LF6	MRUMU100000000C8	3055074818	T-MRUMU100000351E3		CEDaR					70.7			MRUMU1000000106A.006				Accepted - considered correct	NBNSYS0000176761		NBNSYS0000176761	Department of Agriculture Environment and Rural Affairs	EUROPE																																																	
3054806149	9fad752d-4bf9-4adf-9535-3cf6339a70fb	db20bedc-20f1-42dd-9051-a445139f8e51	99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-20T20:50:46.296+00:00	2024-07-20T21:10:01.203+00:00	167	{}	HUMAN_OBSERVATION	10.0	PRESENT	8016634	1	54	354	9477065	2013	2117630	8016634	8016634	Nymphon hirtum Fabricius, 1780	Nymphon hirtum Fabricius, 1780	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon hirtum	Nymphon	hirtum	SPECIES	ACCEPTED	NE		55.19181	-7.011918	{}	2009.0	4.0	28.0	2009-04-28	118.0	118.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-20T21:10:01.203+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'e1d8a6d3-10d0-4fb9-bfda-37c9f1aadb8a'}]	[]	[]	[]		False	NIEA/WMU			WGS84	Pycnogonida	IE	[]	[]	EUROPE	Ireland	EUROPE		e1d8a6d3-10d0-4fb9-bfda-37c9f1aadb8a			BWFDMB09 LF6	MRUMU100000000C8	3054806149	T-MRUMU10000035167		CEDaR					70.7			MRUMU1000000106A.005				Accepted - considered correct	NBNSYS0000176761		NBNSYS0000176761	Department of Agriculture Environment and Rural Affairs	EUROPE																																																	
