key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	continent	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionID	institutionCode	islandGroup	ownerInstitutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	modified	recordedBy	rightsHolder	nomenclaturalCode	verbatimEventDate	higherClassification	samplingProtocol	eventID	verbatimDepth	sex	stateProvince	higherGeography	datasetName	habitat	georeferenceProtocol	verbatimCoordinateSystem	locationID	depth	depthAccuracy	typeStatus	lifeStage	occurrenceRemarks	acceptedNameUsage	eventRemarks	georeferenceRemarks
4399690867	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.850+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	47.5086796	152.8134847	ASIA	{}	Pacific Ocean	1992.0	8.0	28.0	1992-08-28	241.0	241.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.850+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '1912cbeb-83d6-4024-91e4-bf2df87248a7'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	1912cbeb-83d6-4024-91e4-bf2df87248a7	INV0001693	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Crater Bay east enter, Yankicha Is., Kuriles	NA	4399690867	OBFc	1912cbeb-83d6-4024-91e4-bf2df87248a7	fd699988-ab5d-4737-9443-9085cea191d2																									
2434363433	b4aad9c3-518b-4550-82de-c70a7ead1b64	396d5f30-dea9-11db-8ab4-b8a03c50a862	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	65eb93af-41b8-4917-a5fc-cfe2a45aa4bf	396d5f30-dea9-11db-8ab4-b8a03c50a862	NL	DWC_ARCHIVE	2024-07-23T00:32:26.361+00:00	2024-07-23T00:33:38.684+00:00	393	{}	PRESERVED_SPECIMEN	4.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE				{}		1988.0	10.0	11.0	1988-10-11	285.0	285.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-23T00:33:38.684+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'ZMA.PYC.3393@CRS'}]	[]	[]	[]	0e919a55-08d3-4bd2-aec1-200858fafd92		False	Stock J.H.	WholeOrganism (wet specimen)		Pycnogonida		[]	[]			EUROPE	ZMA.PYC.3393@CRS	ZMA.PYC.3393	Naturalis Biodiversity Center						2434363433	Chelicerata and Myriapoda	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.PYC.3393		2019-03-08T00:00:00.000+00:00	G.K. Miyazaki	Naturalis Biodiversity Center	ICZN	11 okt 1988	Animalia|Ammotheidae																			
4399691209	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.927+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	47.8448887	152.9184003		{}	Sea of Okhotsk	1987.0	8.0	19.0	1987-08-19	231.0	231.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.927+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '774f010d-6c42-4b2d-be5f-72b9c95ebb2b'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	774f010d-6c42-4b2d-be5f-72b9c95ebb2b	INV0001695	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Rasshua Is., Kuriles	301	4399691209	OBFc	774f010d-6c42-4b2d-be5f-72b9c95ebb2b	fd699988-ab5d-4737-9443-9085cea191d2		RV Tihookeanskii					Dredge	RV Tihookeanskii__st.301	140.0 m																
4399690718	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.817+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	45.996554	150.411616		{}	Pacific Ocean	1987.0	8.0	7.0	1987-08-07	219.0	219.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.817+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ebee6bfa-89f3-4978-8818-becc9c149e87'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	ebee6bfa-89f3-4978-8818-becc9c149e87	INV0001694	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Kuril Islands	IORAS	Hiva Cape, Urup Is.	184	4399690718	OBFc	ebee6bfa-89f3-4978-8818-becc9c149e87	fd699988-ab5d-4737-9443-9085cea191d2		RV Tihookeanskii					Dredge	RV Tihookeanskii__st.184	320.0 m																
1317948810	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:49.986+00:00	395	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	51.92	-176.57	NORTH_AMERICA	{}	North Pacific Ocean, Bering Sea	1979.0	6.0	8.0	1979-06-08	159.0	159.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:49.986+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/320fd54c5-196d-40d0-8cef-15b4b69cb509'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/320fd54c5-196d-40d0-8cef-15b4b69cb509	USNM 173719	urn:lsid:biocol.org:col:34871	USNM			Aleutian Islands, Andreanof Islands, Adak Island, S Side Of Clam Lagoon		1317948810	IZ	http://n2t.net/ark:/65665/320fd54c5-196d-40d0-8cef-15b4b69cb509	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2020-03-02T14:00:00.000+00:00	J. Rosewater			08 JUN 1979	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae				FEMALE	Alaska	North Pacific Ocean, Bering Sea, United States, Alaska	NMNH Extant Biology	On large clump of sabellid worm tubes	unknown, from legacy	Degrees Minutes Seconds	JR-10-79								
4399691215	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.927+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	54.8247332	167.566457	ASIA	{}	Pacific Ocean	1972.0	7.0	10.0	1972-07-10	192.0	192.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-06-18T12:44:58.927+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '2a6c799c-94f0-4edd-9b60-33887d0cced0'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	2a6c799c-94f0-4edd-9b60-33887d0cced0	INV0001696	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	IORAS	Commander Islands	IORAS	Peschany cape, Medny Is.	6	4399691215	OBFc	2a6c799c-94f0-4edd-9b60-33887d0cced0	fd699988-ab5d-4737-9443-9085cea191d2		RV Krylatka						RV Krylatka__st.6	10.0 m																
1319896462	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:47.741+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE	13.2125	121.646		{}	North Pacific Ocean, Sulu Sea	1908.0	2.0	2.0	1908-02-02	33.0	33.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:47.741+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3772cfe65-4ca4-43af-9c32-4a93d8c55565'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	WGS84	Pycnogonida	PH	[]	[]	ASIA	Philippines	NORTH_AMERICA	http://n2t.net/ark:/65665/3772cfe65-4ca4-43af-9c32-4a93d8c55565	USNM 136925	urn:lsid:biocol.org:col:34871	USNM			Mindoro Island, Pola Bay, East of	USFC/A5123	1319896462	IZ	http://n2t.net/ark:/65665/3772cfe65-4ca4-43af-9c32-4a93d8c55565	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2015-09-09T10:53:00.000+00:00	United States Fish Commission				Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae				FEMALE	Mindoro Oriental	North Pacific Ocean, Sulu Sea, Philippines, Mindoro Oriental	NMNH Extant Biology			Degrees Minutes Seconds	5123	518.0	0.0						
1321099862	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:39:41.121+00:00	395	{}	PRESERVED_SPECIMEN	6.0	PRESENT	2118446	1	54	354	9477065	6313	2118396	2118446	2118446	Achelia latifrons (Cole, 1904)	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Achelia	latifrons	SPECIES	ACCEPTED	NE				{}	North Pacific Ocean, Bering Sea	1899.0			1899			['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:39:41.121+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3ac5ee4dc-ff97-41ac-9685-49c1259d32bd'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Cole, L. J.	Alcohol (Ethanol)		Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3ac5ee4dc-ff97-41ac-9685-49c1259d32bd	USNM 80866	urn:lsid:biocol.org:col:34871	USNM			Aleutian Islands, Fox Islands, Unalaska Island, Dutch Harbor		1321099862	IZ	http://n2t.net/ark:/65665/3ac5ee4dc-ff97-41ac-9685-49c1259d32bd	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2013-01-11T15:47:00.000+00:00	L. Cole			-- --- 1899	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae					Alaska	North Pacific Ocean, Bering Sea, United States, Alaska	NMNH Extant Biology												
1318374644	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:37:14.446+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5715386	1	54	354	9477065	6313	2118396	2118446	2118446	Ammothea latifrons Cole, 1904	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Ammothea	latifrons	SPECIES	SYNONYM	NE				{}	North Pacific Ocean, Bering Sea	1897.0			1897			['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:37:14.446+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/333d8da10-9f21-4361-a7b7-48cbdfad4df4'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Cole, L. J.	Alcohol (Ethanol)		Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/333d8da10-9f21-4361-a7b7-48cbdfad4df4	USNM 231851	urn:lsid:biocol.org:col:34871	USNM			Pribilof Islands, St. Paul Island		1318374644	IZ	http://n2t.net/ark:/65665/333d8da10-9f21-4361-a7b7-48cbdfad4df4	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2014-10-21T09:58:00.000+00:00	T. Kincaid			-- --- 1897	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae				FEMALE	Alaska	North Pacific Ocean, Bering Sea, United States, Alaska	NMNH Extant Biology				123			ALLOTYPE					
1320956428	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:05.514+00:00	395	{}	PRESERVED_SPECIMEN	1.0	PRESENT	5715386	1	54	354	9477065	6313	2118396	2118446	2118446	Ammothea latifrons Cole, 1904	Achelia latifrons (Cole, 1904)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Achelia	Achelia latifrons	Ammothea	latifrons	SPECIES	SYNONYM	NE				{}	North Pacific Ocean, Bering Sea	1897.0			1897			['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:05.514+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3a60b781c-8fb3-4629-8723-866f7db85983'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	0174f5b3-da29-4967-b8dc-ce75ed53e35d	False	Cole, L. J.	Alcohol (Ethanol)		Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	NORTH_AMERICA	http://n2t.net/ark:/65665/3a60b781c-8fb3-4629-8723-866f7db85983	USNM 231850	urn:lsid:biocol.org:col:34871	USNM			Pribilof Islands, St. Paul Island		1320956428	IZ	http://n2t.net/ark:/65665/3a60b781c-8fb3-4629-8723-866f7db85983	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6	2014-10-21T09:58:00.000+00:00	T. Kincaid			-- --- 1897	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Ammotheidae				MALE	Alaska	North Pacific Ocean, Bering Sea, United States, Alaska	NMNH Extant Biology				123			HOLOTYPE					
