key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	elevation	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	references	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	identifiedBy	preparations	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	rightsHolder	identifier	acceptedNameUsage	institutionID	locality	collectionCode	gbifID	occurrenceID	parentNameUsageID	institutionCode	acceptedNameUsageID	higherClassification	collectionID	parentNameUsage	recordedBy	previousIdentifications	identificationQualifier	identificationRemarks	verbatimElevation	depth	depthAccuracy	datasetID	datasetName	scientificNameID	fieldNumber	language	type	taxonID	verbatimIdentification	catalogNumber	networkKeys	waterBody	collectionKey	samplingProtocol	eventID	verbatimDepth	ownerInstitutionCode	parentEventID	projectId	programmeAcronym	locationRemarks	verbatimSRS	verbatimCoordinateSystem	eventRemarks	infraspecificEpithet	recordNumber	dynamicProperties	occurrenceRemarks	coordinatePrecision	higherGeography	georeferencedBy	nomenclaturalCode	verbatimEventDate	georeferenceProtocol	georeferenceVerificationStatus	georeferenceRemarks	verbatimLocality	higherGeographyID	disposition	georeferenceSources	otherCatalogNumbers	georeferencedDate	locationAccordingTo	organismID	eventTime	accessRights	stateProvince	habitat	locationID	sex	coordinateUncertaintyInMeters	footprintWKT	county	bibliographicCitation	municipality	associatedReferences	taxonRemarks	vernacularName	typeStatus	nameAccordingTo	lifeStage	organismQuantity	organismQuantityType	islandGroup	materialEntityID	footprintSRS	dataGeneralizations
1914304251	f49dd893-1e91-4ce6-9aa7-e1047ffee557	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	91d2f516-bdfa-458f-bad1-66717101b49f	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	RU	EML	2024-07-22T19:41:42.767+00:00	2024-07-22T19:42:01.211+00:00	440	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE	2018-07-09T00:00:00	66.3	33.1	-15.0	EUROPE	{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.26_1', 'name': 'Karelia'}, 'level2': {'gid': 'RUS.26.10_1', 'name': 'Loukhskiy rayon'}, 'level3': {'gid': 'RUS.26.10.1_1', 'name': ''}}	2018.0	7.0	6.0	2018-07-06	187.0	187.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE']	2021-02-26T12:04:32.000+00:00	2024-07-22T19:42:01.211+00:00	https://animal.depo.msu.ru/open/public/item/119017516	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'WS00000010555'}]	[{'type': 'StillImage', 'format': 'image/tiff', 'identifier': 'https://animal.depo.msu.ru/open/public/item/119017516/img/0.tif?gbif'}]	[]	[]	943cd489-37ec-481f-9e53-2e3f7f99a972	False	Petrova M.	DNA-1	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	Zoological Museum of M.V. Lomonosov State University	WS00000010555	Nymphon longitarse	http://grbio.org/cool/k3qp-615s	Arctic Ocean, White Sea, Kandalaksha Gulf, Velikaya Salma Strait; Kresrovye Island	ZMMU_WS	1914304251	WS00000010555	114006521	ZMMU	114006549	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonoidea|Nymphonidae|Nymphon	112770707	Nymphon																																																																									
1883307625	f49dd893-1e91-4ce6-9aa7-e1047ffee557	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	91d2f516-bdfa-458f-bad1-66717101b49f	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	RU	EML	2024-07-22T19:41:42.767+00:00	2024-07-22T19:41:57.642+00:00	440	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE	2017-07-01T00:00:00	66.5	33.3	-35.0	EUROPE	{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.26_1', 'name': 'Karelia'}, 'level2': {'gid': 'RUS.26.10_1', 'name': 'Loukhskiy rayon'}, 'level3': {'gid': 'RUS.26.10.1_1', 'name': ''}}	2016.0	9.0	13.0	2016-09-13	257.0	257.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE']	2021-01-29T12:20:54.000+00:00	2024-07-22T19:41:57.642+00:00	https://animal.depo.msu.ru/open/public/item/113898537	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'WS00000007835'}]	[]	[]	[]	943cd489-37ec-481f-9e53-2e3f7f99a972	False	Bogomolova E.V.	EtOH96°-1	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	Zoological Museum of M.V. Lomonosov State University	WS00000007835	Nymphon longitarse	http://grbio.org/cool/k3qp-615s	Arctic Ocean, White Sea, Kandalaksha Gulf, Velikaya Salma Strait; PZ-II 3-7(1)	ZMMU_WS	1883307625	WS00000007835	114006521	ZMMU	114006549	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonoidea|Nymphonidae|Nymphon	112770707	Nymphon	Tzetlin A.B.;Lavrov A.;Kozin V.	Pantopoda gen. sp., ID: Degtyareva E., 02.10.2016	cf.	не все определительные признаки есть. Сильно поврежден	-30.0																																																																				
3038398339	f49dd893-1e91-4ce6-9aa7-e1047ffee557	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	91d2f516-bdfa-458f-bad1-66717101b49f	f5fc4e61-b7a0-414b-ab68-b41cb23e7fdc	RU	EML	2024-07-22T19:41:42.767+00:00	2024-07-22T19:41:57.783+00:00	440	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE	2012-07-27T00:00:00	66.5	33.2	-35.0	EUROPE	{'level0': {'gid': 'RUS', 'name': 'Russia'}, 'level1': {'gid': 'RUS.26_1', 'name': 'Karelia'}, 'level2': {'gid': 'RUS.26.10_1', 'name': 'Loukhskiy rayon'}, 'level3': {'gid': 'RUS.26.10.1_1', 'name': ''}}	2012.0	7.0	26.0	2012-07-26	208.0	208.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'COLLECTION_MATCH_NONE']	2022-09-13T13:11:02.000+00:00	2024-07-22T19:41:57.783+00:00	https://animal.depo.msu.ru/open/public/item/170085702	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'WS00000002037'}]	[]	[]	[]	943cd489-37ec-481f-9e53-2e3f7f99a972	False	Gorin S.A.	EtOH96°-1;DNA-1	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	Zoological Museum of M.V. Lomonosov State University	WS00000002037	Nymphon longitarse	http://grbio.org/cool/k3qp-615s	Arctic Ocean, White Sea, Kandalaksha Gulf, Velikaya Salma Strait, Krestovie Islands; Krestovie Isalnds Bank (dive-site): mud	ZMMU_WS	3038398339	WS00000002037	114006521	ZMMU	114006549	Animalia|Arthropoda|Pycnogonida|Pantopoda|Nymphonoidea|Nymphonidae|Nymphon	112770707	Nymphon	Zhadan A.E.				-15.0																																																																				
4465127480	93efc16a-7eb1-4792-bdec-de1ea69b8c65	c98a8d0d-cab2-4506-8c0f-c91a5e4996b9	5ff1c992-5c84-40aa-bd9a-c1743a870c32	09a9c196-cb5b-4fa1-afc2-3499b868b225	CA	EML	2024-07-17T23:36:27.118+00:00	2024-07-17T23:36:42.534+00:00	160	{}	PRESERVED_SPECIMEN		PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		49.621333	-64.190333			{}	2012.0	8.0	31.0	2012-08-31	244.0	244.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-07-17T23:36:42.534+00:00		http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'DFO_MLI_MuseumCollection_11787'}]	[]	[]	[]	2ae7293d-9c89-46ee-9aa8-ea116dacad3f	False			WGS84	Pycnogonida	CA	[]	[]	NORTH_AMERICA	Canada	NORTH_AMERICA	His Majesty the King in right of Canada, as represented by the Minister of Fisheries and Oceans	DFO_MLI_MuseumCollection_11787		https://edmo.seadatanet.org/report/4160	4Ss	MuseumCollection	4465127480	DFO_MLI_MuseumCollection_11787		IML										156.0	0.0	dfo_que_mli_museum	DFO Quebec Region MLI museum collection	urn:lsid:marinespecies.org:taxname:134696	TEL-009-220	en	PhysicalObject	083_01207	Nymphon longitarse	11787																																																									
4444205880	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.193+00:00	69	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		71.2818121	65.6489142			{}	2007.0	9.0	11.0	2007-09-11	254.0	254.0	['COORDINATE_REPROJECTED']		2024-06-18T12:44:59.193+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '065dfb88-0263-46e4-b818-0a3839697563'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Raiskiy, Alexey	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		065dfb88-0263-46e4-b818-0a3839697563		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kara Sea	OBFc	4444205880	065dfb88-0263-46e4-b818-0a3839697563		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		RV Akademik Mstislav Keldysh										4957					INV0003221	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Kara Sea	fd699988-ab5d-4737-9443-9085cea191d2	Sigsbee Trawl	RV Akademik Mstislav Keldysh_cruise 54_st.4957	47.0 - 52.0 m	IORAS	cruise 54																																																	
4444205315	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.658+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		75.4105477	64.297181			{}	2007.0	9.0	13.0	2007-09-13	256.0	256.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:58.658+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '200b6cfe-45e0-4b47-8af4-9c777985b51f'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Raiskiy, Alexey	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		200b6cfe-45e0-4b47-8af4-9c777985b51f		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Novaya Zemlya Trough	OBFc	4444205315	200b6cfe-45e0-4b47-8af4-9c777985b51f		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		RV Akademik Mstislav Keldysh										4968					INV0003202	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Kara Sea	fd699988-ab5d-4737-9443-9085cea191d2	Sigsbee trawl 2m	RV Akademik Mstislav Keldysh_cruise 49_st.4968	362.0 - 360.0 m	IORAS	cruise 49																																																	
4444205303	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.648+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		71.4134722	64.8676824			{}	2007.0	9.0	12.0	2007-09-12	255.0	255.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']		2024-06-18T12:44:58.648+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'ded80659-406d-4e91-919d-ea4eee6aa676'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Raiskiy, Alexey	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		ded80659-406d-4e91-919d-ea4eee6aa676		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Kara Sea	OBFc	4444205303	ded80659-406d-4e91-919d-ea4eee6aa676		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		RV Akademik Mstislav Keldysh										4960					INV0003195	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Kara Sea	fd699988-ab5d-4737-9443-9085cea191d2	Sigsbee Trawl	RV Akademik Mstislav Keldysh_cruise 54_st.4960	123.0 m	IORAS	cruise 54																																																	
4399691177	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.189+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		64.666627	5.28912			{}	2006.0	5.0	25.0	2006-05-25	145.0	145.0	['COORDINATE_ROUNDED']		2024-06-18T12:44:59.189+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'e04888f0-2076-43b2-b36d-97c7fd80acb0'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Turpaeva, Elena	EtOH 75%	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE		e04888f0-2076-43b2-b36d-97c7fd80acb0		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Nyegga	OBFc	4399691177	e04888f0-2076-43b2-b36d-97c7fd80acb0		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		RV Pourquoi pas ?										272-2 VKG-PL-02-ASPI5					INV0002232	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Norwegian Sea	fd699988-ab5d-4737-9443-9085cea191d2	Aspirateur bouteille	RV Pourquoi pas ?_cruise Viking_st.272-2 VKG-PL-02-ASPI5	736.0 m	IORAS	cruise Viking																																																	
4444205635	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.849+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		74.4002188	58.8827002		EUROPE	{}	2005.0	9.0	17.0	2005-09-17	260.0	260.0	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-06-18T12:44:58.849+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'b8bd2faa-753b-47cd-ad23-b80d256931d5'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Raiskiy, Alexey	EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		b8bd2faa-753b-47cd-ad23-b80d256931d5		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Tsivolki Bay, Novaya Zemlya	OBFc	4444205635	b8bd2faa-753b-47cd-ad23-b80d256931d5		IORAS			fd699988-ab5d-4737-9443-9085cea191d2		RV Professor Shtokman										32					INV0002821	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	Kara Sea	fd699988-ab5d-4737-9443-9085cea191d2	Small Trawl	RV Professor Shtokman_cruise 73_st.32	72.9 m	IORAS	cruise 73																																																	
4399690426	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.047+00:00	69	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117722	1	54	354	9477065	2013	2117630	2117722	2117722	Nymphon longitarse Krøyer, 1844	Nymphon longitarse Krøyer, 1844	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon longitarse	Nymphon	longitarse	SPECIES	ACCEPTED	NE		66.5032226	33.3695194		EUROPE	{}	2004.0	7.0	29.0	2004-07-29	211.0	211.0	['COORDINATE_REPROJECTED', 'CONTINENT_DERIVED_FROM_COORDINATES']		2024-06-18T12:44:59.047+00:00		http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '07353209-674a-42b1-a153-50ef840a5310'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	False	Raiskiy, Alexey	dried:EtOH 75%	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE		07353209-674a-42b1-a153-50ef840a5310		51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Mussel plantation, Velikaya Salma Strait	OBFc	4399690426	07353209-674a-42b1-a153-50ef840a5310		IORAS			fd699988-ab5d-4737-9443-9085cea191d2												NA					INV0001587	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	White Sea	fd699988-ab5d-4737-9443-9085cea191d2			0 - 10.0 m	IORAS																																																		
