key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	catalogNumber	scientificNameID	institutionCode	footprintWKT	eventTime	locality	fieldNumber	gbifID	collectionCode	occurrenceID	networkKeys	modified	datasetID	individualCount	dateIdentified	coordinatePrecision	coordinateUncertaintyInMeters	otherCatalogNumbers	recordedBy	identifiedBy	preparations	verbatimEventDate	http://unknown.org/taxonRankID	verbatimLocality	type	taxonConceptID	http://unknown.org/species	higherGeography	collectionKey	institutionID	georeferenceProtocol	verbatimCoordinateSystem	locationID	higherClassification	collectionID	recordNumber	verbatimDepth	continent	dynamicProperties	occurrenceRemarks	rightsHolder	language	taxonID	verbatimIdentification	lifeStage	organismQuantity	organismQuantityType	nomenclaturalCode	disposition	ownerInstitutionCode	parentNameUsage	materialEntityID	stateProvince	establishmentMeans	county	typeStatus	http://unknown.org/language	originalNameUsage	associatedReferences	identificationVerificationStatus	nameAccordingTo	http://unknown.org/orders
2240585658	99006141-bf02-4821-8e6e-5818a1cbf70a	ff265032-b806-411a-b4b8-15a27b767dce	56b3ccf5-ad40-433f-997e-1eeb565a5889	ff265032-b806-411a-b4b8-15a27b767dce	NO	EML	2024-04-11T12:43:11.848+00:00	2024-04-11T12:43:28.469+00:00	330	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementUnit': 'Gram biomass per 100 square meter', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.366274306902945', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/ODRYBM01/', 'http://rs.tdwg.org/dwc/terms/occurrenceID': '148710535001037', 'http://rs.tdwg.org/dwc/terms/measurementType': 'Biomass'}]}	MATERIAL_SAMPLE	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	73.347912	36.255697	228.595	3.905000000000001	{}	Barents Sea	2015.0	6.0	13.0	2015-06-13T18:30Z/2015-06-13T18:35Z	164.0	164.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-04-11T12:43:28.469+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '148710535001037'}]	[]	[]	[]	1711d910-22c6-415c-bb34-9f226ec314ca	False	beamtrawl_2006-2022	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	WGS84	Pycnogonida	NO	[]	[]	EUROPE	Norway	EUROPE	Cruise: 58GS-2015109 Sample: 535	148710535001037	148710535001037	urn:lsid:marinespecies.org:taxname:150542	IMR	LINESTRING(36.255697 73.347912,36.256143 73.345828)	18:30Z/18:35Z	MAREANO Reference Station: 1487	catchId: 37	2240585658	IMRMarbunnBenthos	148710535001037																																																				
240912349	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:48.405+00:00	242	{}	HUMAN_OBSERVATION	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-73.256667	-21.46	1704.0	0.0	{}		1996.0	2.0	16.0	1996-02-16	47.0	47.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:48.405+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2815'}]	[]	[]	[]		False			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2815	2815		AWI			South of Vestkapp		240912349	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2815	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432																																																	
240912350	7b52e794-f762-11e1-a439-00145eb45e9a	104e9c96-791b-4f14-978c-f581cb214912	27c24cba-13c5-47d1-96a1-16abd8f11437	fb10a11f-4417-41c8-be6a-13a5c8535122	GB	EML	2023-01-08T06:21:55.654+00:00	2024-01-24T20:20:48.405+00:00	242	{}	HUMAN_OBSERVATION	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-71.525	-12.425	504.0	0.0	{}		1996.0	2.0	28.0	1996-02-28	59.0	59.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES']	2024-01-24T20:20:48.405+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2816'}]	[]	[]	[]		False			WGS84	Pycnogonida	AQ	[]	[]	ANTARCTICA	Antarctica	EUROPE		urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2816	2816		AWI			Kapp Norvegia area		240912350	Weddell Sea macrozoobenthos EASIZ I	urn:catalog:AWI:Weddell Sea macrozoobenthos EASIZ I:2816	['8534dd20-c368-4a1f-bdaf-e6b390710f89', '2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	2010-05-11T18:09:00.000+00:00	IMIS:dasid:2432																																																	
3032285331	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:34.351+00:00	382	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-52.72	75.13	380.0		{}		1990.0	5.0	23.0	1990-05-23	143.0	143.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T07:13:34.351+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '4ae09b09-00a8-4207-ac26-8a9a4da19e49'}]	[]	[]	[]	5d0174cc-48aa-497e-8751-df708df5ccc5	False	ANARE Heard Island and Kerguelen Survey 1990	trawled	WGS84	Pycnogonida	HM	[]	[]	ANTARCTICA	Heard Island and McDonald Islands	OCEANIA	urn:emu.sam.sa.gov.au:Event:232044	4ae09b09-00a8-4207-ac26-8a9a4da19e49	E8388		SAMA					3032285331	Marine Invertebrates	4ae09b09-00a8-4207-ac26-8a9a4da19e49	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2021-10-19T00:00:00.000+00:00		1.0	1993-01-01T00:00:00	0.01	5000.0	ecatalogue.irn:786723	Zeidler, W.|Hobbs, L.	Child, C. Allan - Smithsonian	Wet Specimen	23 May 1990	7000	South Indian Ocean, approx 60 nautical miles NE of Heard Island	PhysicalObject	https://biodiversity.org.au/afd/taxa/6096e821-bcb4-424e-8032-d89eac58f172	Nymphon gracilipes																																			
3032277390	fa375330-6c8a-11de-8226-b8a03c50a862	4d0539cd-a2e0-4a2c-8b7d-ec6718eef764	19893c10-381e-4534-9bb8-6c37d03ad29e	3c5e4331-7f2f-4a8d-aa56-81ece7014fc8	AU	DWC_ARCHIVE	2024-07-02T04:22:31.414+00:00	2024-07-02T07:13:37.292+00:00	382	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-52.2	72.67	430.0		{}		1990.0	6.0	10.0	1990-06-10	161.0	161.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']	2024-07-02T07:13:37.292+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'aed839ca-698f-4f15-92a6-cf7fd1c26416'}]	[]	[]	[]	5d0174cc-48aa-497e-8751-df708df5ccc5	True	ANARE Heard Island and Kerguelen Survey 1990	trawled	WGS84	Pycnogonida	HM	[]	[]	ANTARCTICA	Heard Island and McDonald Islands	OCEANIA	urn:emu.sam.sa.gov.au:Event:55897	aed839ca-698f-4f15-92a6-cf7fd1c26416	E8389		SAMA					3032277390	Marine Invertebrates	aed839ca-698f-4f15-92a6-cf7fd1c26416	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2021-10-19T00:00:00.000+00:00		5.0	1993-01-01T00:00:00	0.01	5000.0	ecatalogue.irn:786724	Zeidler, W.|Hobbs, L.	Child, C. Allan - Smithsonian	Wet Specimen	10 Jun 1990	7000	South Indian Ocean, approx 60 nautical miles NW of Heard Island	PhysicalObject	https://biodiversity.org.au/afd/taxa/6096e821-bcb4-424e-8032-d89eac58f172	Nymphon gracilipes																																			
1322953846	821cc27a-e3bb-4bc5-ac34-89ada245069d	bc092ff0-02e4-11dc-991f-b8a03c50a862	b2ff19b5-d74f-40d2-82f1-ec5db01e8e31	bc092ff0-02e4-11dc-991f-b8a03c50a862	US	EML	2024-07-02T10:46:41.039+00:00	2024-07-02T12:38:25.006+00:00	395	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-52.2	72.67	430.0	0.0	{}	Indian Ocean	1990.0	6.0	10.0	1990-06-10	161.0	161.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-02T12:38:25.006+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode	False	[{'identifier': 'http://n2t.net/ark:/65665/3fe762490-24fd-4798-af5e-775cbf8fb007'}]	[]	[]	[]	586ee56e-b0fe-4dff-b7f9-aeb104f3308a	True	NMNH Extant Biology		WGS84	Pycnogonida	HM	[]	[]	ANTARCTICA	Heard Island and McDonald Islands	NORTH_AMERICA		http://n2t.net/ark:/65665/3fe762490-24fd-4798-af5e-775cbf8fb007	USNM 234683		USNM			Heard Island, 60 Mile NW Of		1322953846	IZ	http://n2t.net/ark:/65665/3fe762490-24fd-4798-af5e-775cbf8fb007	['99d66b6c-9087-452f-a9d4-f15f2c2d0e7e']	2014-10-21T10:25:00.000+00:00		2.0						Child, C. Allan, (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)	Alcohol (Ethanol)	10 JUN 1990						Indian Ocean	0174f5b3-da29-4967-b8dc-ce75ed53e35d	urn:lsid:biocol.org:col:34871	unknown, from legacy	Degrees Minutes Seconds	57	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Nymphonidae	urn:uuid:f14c21a9-8cbf-4c8b-817f-d19d427e2dd6																											
1275078260	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:24:59.540+00:00	111	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE					{}		1989.0	4.0	22.0	1989-04-22T00:00	112.0	112.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:24:59.540+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275078260'}]	[]	[]	[]		False		Dredge		Pycnogonida		[]	[]			AFRICA		urn:catalog:IZIKO:SAM-A-40587	SAM-A-40587					Marion and Price Edward Island		1275078260		urn:catalog:IZIKO:SAM-A-40587				0.0					UCT Marion Island Survey	Arnuad																MAD 53D	606-775 m																									
1836933011	cd6fe3a0-eee9-4066-8420-e36313ed833d	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T13:52:47.454+00:00	2024-01-25T00:34:40.784+00:00	251	{}	HUMAN_OBSERVATION	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE	-46.915	37.553167			{}		1989.0	4.0	22.0	1989-04-22	112.0	112.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-25T00:34:40.784+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:IZIKO:12215'}]	[]	[]	[]		False			WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	MAD 53 B	urn:catalog:FBIP:IZIKO:12215						Marion Island		1836933011		urn:catalog:FBIP:IZIKO:12215																												ANTARCTICA																								
1275078261	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:24:59.539+00:00	111	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE					{}		1988.0	9.0	7.0	1988-09-07T00:00	251.0	251.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:24:59.539+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275078261'}]	[]	[]	[]		False		Dredge		Pycnogonida		[]	[]			AFRICA		urn:catalog:IZIKO:SAM-A-40586	SAM-A-40586					Marion and Price Edward Island		1275078261		urn:catalog:IZIKO:SAM-A-40586				0.0					UCT Marion Island Survey	Arnuad																MAD 49 R	265-306 m																									
1275078263	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:24:59.540+00:00	111	{}	PRESERVED_SPECIMEN	PRESENT	2117770	1	54	354	9477065	2013	2117630	2117770	2117770	Nymphon gracilipes Miers, 1875	Nymphon gracilipes Miers, 1875	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon gracilipes	Nymphon	gracilipes	SPECIES	ACCEPTED	NE					{}		1988.0	9.0	1.0	1988-09-01T00:00	245.0	245.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:24:59.540+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275078263'}]	[]	[]	[]		False		Dredge		Pycnogonida		[]	[]			AFRICA		urn:catalog:IZIKO:SAM-A-40584	SAM-A-40584					Marion and Price Edward Island		1275078263		urn:catalog:IZIKO:SAM-A-40584				0.0					UCT Marion Island Survey	Arnuad																MAD 42 W.4	460-560 m																									
