key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	waterBody	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	preparations	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	eventID	identifier	institutionID	locality	fieldNumber	collectionCode	gbifID	occurrenceID	verbatimDepth	catalogNumber	institutionCode	ownerInstitutionCode	parentEventID	collectionID
4444205512	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.094+00:00	69	{}	PRESERVED_SPECIMEN	1	PRESENT	2117605	1	54	354	9477065	2012	2117604	2117605	2117605	Hedgpethia articulata (Loman, 1908)	Hedgpethia articulata (Loman, 1908)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia articulata	Hedgpethia	articulata	SPECIES	ACCEPTED	NE	55.2204481	167.4868549	{}	Bering Sea	1990	7	31	1990-07-31	212	212	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.094+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '7b862032-a44b-4b97-9e41-ecba6b072b55'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Akademik Mstislav Keldysh_cruise 22_st.2309	7b862032-a44b-4b97-9e41-ecba6b072b55	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	to NE of Bering Island	2309	OBFc	4444205512	7b862032-a44b-4b97-9e41-ecba6b072b55	3957.0 - 3978.0 m	INV0002640	IORAS	IORAS	cruise 22	fd699988-ab5d-4737-9443-9085cea191d2
4444205570	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:59.110+00:00	69	{}	PRESERVED_SPECIMEN	1	PRESENT	2117605	1	54	354	9477065	2012	2117604	2117605	2117605	Hedgpethia articulata (Loman, 1908)	Hedgpethia articulata (Loman, 1908)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia articulata	Hedgpethia	articulata	SPECIES	ACCEPTED	NE	55.6011242	167.3863771	{}	Bering Sea	1990	8	5	1990-08-05	217	217	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:59.110+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'bace435a-ae05-4aa0-8c67-f5d5ba6a494b'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Akademik Mstislav Keldysh	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	RU	[]	[]	EUROPE	Russian Federation	EUROPE	RV Akademik Mstislav Keldysh_cruise 22_st.2316	bace435a-ae05-4aa0-8c67-f5d5ba6a494b	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	to NE of Bering Island	2316	OBFc	4444205570	bace435a-ae05-4aa0-8c67-f5d5ba6a494b	4294.0 - 4200.0 m	INV0002641	IORAS	IORAS	cruise 22	fd699988-ab5d-4737-9443-9085cea191d2
4444205986	97169dfa-325b-4c1e-af91-3ef023f8a498	9abe4949-29aa-450e-b767-b2788f66e04d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	da87027f-12b5-442f-b132-0f6f25acfd53	9abe4949-29aa-450e-b767-b2788f66e04d	RU	EML	2024-06-18T12:44:43.404+00:00	2024-06-18T12:44:58.961+00:00	69	{}	PRESERVED_SPECIMEN	1	PRESENT	2117605	1	54	354	9477065	2012	2117604	2117605	2117605	Hedgpethia articulata (Loman, 1908)	Hedgpethia articulata (Loman, 1908)	Animalia	Arthropoda	Pantopoda	Colossendeidae	Hedgpethia	Hedgpethia articulata	Hedgpethia	articulata	SPECIES	ACCEPTED	NE	58.248805	-142.564228	{}	Pacific Ocean	1969	5	13	1969-05-13	133	133	['COORDINATE_ROUNDED', 'COORDINATE_REPROJECTED']	2024-06-18T12:44:58.961+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': '5a8a3082-3960-4bb2-a744-b7c9dcb817e7'}]	[]	[]	[]	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	fd699988-ab5d-4737-9443-9085cea191d2	False	RV Vityaz	Turpaeva, Elena	EtOH 75%	Sigsbee Trawl	WGS84	Pycnogonida	US	[]	[]	NORTH_AMERICA	United States of America	EUROPE	RV Vityaz_cruise 45_st.6106	5a8a3082-3960-4bb2-a744-b7c9dcb817e7	51e76603-9190-4d7e-9fa4-1ea3b4d4ff86	Yakutat bay transect	6106	OBFc	4444205986	5a8a3082-3960-4bb2-a744-b7c9dcb817e7	3620.0 m	INV0002639	IORAS	IORAS	cruise 45	fd699988-ab5d-4737-9443-9085cea191d2
