key	datasetKey	publishingOrgKey	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	isInCluster	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	recordNumber	identifier	catalogNumber	locality	gbifID	occurrenceRemarks	occurrenceID	georeferenceSources	verbatimDepth	continent	eventID	networkKeys	modified	institutionKey	collectionKey	institutionCode	collectionCode	collectionID
1275071356	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.688+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE	-32.253333	29.163333	{}	1979.0	6.0	25.0	1979-06-25T00:00	176.0	176.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.688+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071356'}]	[]	[]	[]	False	RV.Meiring Naude	Child,1984	DBL.Beam Trawl	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM233	urn:catalog:IZIKO:SAM-A-19611	SAM-A-19611	32°15,2'S 29°09,8'E	1275071356	male	urn:catalog:IZIKO:SAM-A-19611	Catalogue	540-580 m									
1275071359	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.686+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE	-33.505	27.368333	{}	1978.0	5.0	29.0	1978-05-29T00:00	149.0	149.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.686+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071359'}]	[]	[]	[]	False	RV.Meiring Naude	Child,1984	Heavy Dredge	WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA	SM179	urn:catalog:IZIKO:SAM-A-19612	SAM-A-19612	33°30,3'S 27°22,1'E	1275071359	female	urn:catalog:IZIKO:SAM-A-19612	Catalogue	0-80 m									
1275071213	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.283+00:00	111	{}	PRESERVED_SPECIMEN	0.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}	1948.0	4.0	29.0	1948-04-29T00:00	120.0	120.0	['OCCURRENCE_STATUS_INFERRED_FROM_BASIS_OF_RECORD']	2024-01-24T17:25:01.283+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071213'}]	[]	[]	[]	False	UCT Ecological Survey	KH.Barnard			Pycnogonida		[]	[]			AFRICA	FB 806 &FB809	urn:catalog:IZIKO:SAM-A-10201	SAM-A-10201	34°09,2'S8°26,8'E &  34°11'S 18°27,3'E	1275071213	34*09,2'S8*26,8'E &  34*11'S 18*27,3'E.29 April 1948 / 18 march 1950.20-23m & 25m	urn:catalog:IZIKO:SAM-A-10201		20-23 m									
1836929650	cd6fe3a0-eee9-4066-8420-e36313ed833d	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-08-29T13:52:47.454+00:00	2024-01-25T00:34:43.974+00:00	251	{}	HUMAN_OBSERVATION		PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE	-34.153333	18.44667	{}	1948.0	4.0	29.0	1948-04-29	120.0	120.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES']	2024-01-25T00:34:43.974+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'urn:catalog:FBIP:IZIKO:8808'}]	[]	[]	[]	False				WGS84	Pycnogonida	ZA	[]	[]	AFRICA	South Africa	AFRICA		urn:catalog:FBIP:IZIKO:8808		False Bay	1836929650		urn:catalog:FBIP:IZIKO:8808			AFRICA	FB 806							
1275071022	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.029+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}	1902.0	2.0	20.0	1902-02-20T00:00	51.0	51.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.029+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071022'}]	[]	[]	[]	False	SS.Pieter Faure		Dredge on sand,shell or rock		Pycnogonida		[]	[]			AFRICA	P.F.14303	urn:catalog:IZIKO:SAM-A-10029	SAM-A-10029	Cape Seal N. by E.¾ E. 87 miles	1275071022		urn:catalog:IZIKO:SAM-A-10029		0-80 fms									
1275071018	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.045+00:00	111	{}	PRESERVED_SPECIMEN	1.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}	1901.0	8.0	2.0	1901-08-02T00:00	214.0	214.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.045+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071018'}]	[]	[]	[]	False	SS.Pieter Faure		Dredge on stone		Pycnogonida		[]	[]			AFRICA	P.F.13239	urn:catalog:IZIKO:SAM-A-10030	SAM-A-10030	Cover Rock N ¾ E. 5 ½ miles	1275071018		urn:catalog:IZIKO:SAM-A-10030		0-43 fms									
1275071024	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.040+00:00	111	{}	PRESERVED_SPECIMEN	7.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}	1900.0	7.0	10.0	1900-07-10T00:00	191.0	191.0	['TYPE_STATUS_INVALID', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.040+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071024'}]	[]	[]	[]	False	SS.Pieter Faure		Large dredge on sand or shell.		Pycnogonida		[]	[]			AFRICA	P.F.8041	urn:catalog:IZIKO:SAM-A-10028	SAM-A-10028	Cape Infanta N.E.by N.19 miles	1275071024		urn:catalog:IZIKO:SAM-A-10028		0-46 fms									
1275071287	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.283+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}	1900.0	7.0	10.0	1900-07-10T00:00	191.0	191.0	['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.283+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071287'}]	[]	[]	[]	False	SS.Pieter Faure		Shrimp Trawl		Pycnogonida		[]	[]			AFRICA	PF.A8041	urn:catalog:IZIKO:SAM-A-10143	SAM-A-10143	Cape Infanta.NE by N 19 miles.	1275071287		urn:catalog:IZIKO:SAM-A-10143		0-46 fms									
1275071147	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:04.468+00:00	111	{}	PRESERVED_SPECIMEN	3.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:04.468+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071147'}]	[]	[]	[]	False	P.Pretorius	C. Appliston			Pycnogonida		[]	[]			AFRICA		urn:catalog:IZIKO:SAM-A-10163	SAM-A-10163	Bredasdorp Coast	1275071147		urn:catalog:IZIKO:SAM-A-10163											
1275071264	379156c8-c268-4537-aea4-83d94cc785f5	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e	c5f7ef70-e233-11d9-a4d6-b8a03c50a862	ZA	EML	2023-01-07T13:47:43.557+00:00	2024-01-24T17:25:01.285+00:00	111	{}	PRESERVED_SPECIMEN	2.0	PRESENT	2117683	1	54	354	9477065	2013	2117630	2117683	2117683	Nymphon comes Flynn, 1928	Nymphon comes Flynn, 1928	Animalia	Arthropoda	Pantopoda	Nymphonidae	Nymphon	Nymphon comes	Nymphon	comes	SPECIES	ACCEPTED	NE			{}							['OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-01-24T17:25:01.285+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '1275071264'}]	[]	[]	[]	False	Emmerson -K	Stock			Pycnogonida		[]	[]			AFRICA		urn:catalog:IZIKO:SAM-A-10155	SAM-A-10155	Off Orange R.Mouth	1275071264	F.(other spicimen kept at ZMA)	urn:catalog:IZIKO:SAM-A-10155											
